doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,es,es,X,
text3,1,2,gibt,gibt,NOUN,
text3,1,3,einen,einen,NOUN,
text3,1,4,alten,alten,ADJ,
text3,1,5,Grundsatz,Grundsatz,PROPN,ORG_B
text3,1,6,bei,bei,VERB,
text3,1,7,netzpolitik.org,netzpolitik.org,X,ORG_B
text3,1,8,",",",",PUNCT,
text3,1,9,der,der,NOUN,PERSON_B
text3,1,10,da,da,PROPN,PERSON_I
text3,1,11,lautet,lautet,NOUN,PERSON_I
text3,1,12,:,:,PUNCT,
text3,2,1,Uns,Uns,PROPN,
text3,2,2,liegen,liegen,NOUN,
text3,2,3,Dokumente,Dokumente,PROPN,NORP_B
text3,2,4,nicht,nicht,PROPN,
text3,2,5,nur,nur,VERB,
text3,2,6,vor,vor,NOUN,
text3,2,7,",",",",PUNCT,
text3,2,8,wir,wir,PROPN,
text3,2,9,veröffentlichen,veröffentlichen,PROPN,
text3,2,10,sie,sie,PROPN,
text3,2,11,auch,auch,PROPN,
text3,2,12,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,vergangene,vergangene,NOUN,
text3,3,3,Woche,Woche,PROPN,
text3,3,4,war,war,NOUN,
text3,3,5,eine,eine,NOUN,
text3,3,6,",",",",PUNCT,
text3,3,7,in,in,ADP,
text3,3,8,der,der,PROPN,
text3,3,9,wir,wir,NOUN,
text3,3,10,dieser,dieser,PROPN,
text3,3,11,i,I,PRON,
text3,3,12,m,m,VERB,
text3,3,13,Journalismus,Journalismus,PROPN,PERSON_B
text3,3,14,leider,leider,NOUN,
text3,3,15,immer,immer,NOUN,
text3,3,16,noch,noch,PROPN,PERSON_B
text3,3,17,viel,viel,PROPN,PERSON_I
text3,3,18,zu,zu,PROPN,PERSON_I
text3,3,19,wenig,wenig,PROPN,
text3,3,20,verbreiteten,verbreiteten,NOUN,
text3,3,21,Praxis,Praxis,PROPN,PERSON_B
text3,3,22,alle,alle,NOUN,PERSON_I
text3,3,23,Ehre,Ehre,PROPN,PERSON_I
text3,3,24,gemacht,gemacht,NOUN,PERSON_I
text3,3,25,haben,haben,NOUN,PERSON_I
text3,3,26,.,.,PUNCT,
text3,4,1,Wir,Wir,PROPN,
text3,4,2,halten,halten,NOUN,
text3,4,3,die,die,VERB,
text3,4,4,Veröffentlichung,Veröffentlichung,PROPN,PERSON_B
text3,4,5,von,von,PROPN,PERSON_I
text3,4,6,Dokumenten,Dokumenten,PROPN,PERSON_I
text3,5,1,i,I,PRON,
text3,5,2,m,m,VERB,
text3,5,3,Volltext,Volltext,PROPN,PERSON_B
text3,5,4,für,für,NOUN,
text3,5,5,wichtig,wichtig,NOUN,
text3,5,6,",",",",PUNCT,
text3,5,7,weil,weil,VERB,
text3,5,8,sich,sich,PROPN,
text3,5,9,dann,dann,PROPN,
text3,5,10,auch,auch,PROPN,
text3,5,11,andere,andere,PROPN,
text3,5,12,ein,ein,PROPN,
text3,5,13,echtes,echte,VERB,
text3,5,14,Bild,Bild,PROPN,PERSON_B
text3,5,15,machen,machen,PROPN,
text3,5,16,können,können,NOUN,
text3,5,17,.,.,PUNCT,
text3,6,1,Nicht,nicht,NOUN,ORG_B
text3,6,2,nur,nur,VERB,
text3,6,3,unsere,unsere,NOUN,
text3,6,4,Leser,Leser,PROPN,PERSON_B
text3,6,5,:,:,PUNCT,
text3,6,6,innen,innen,NOUN,
text3,6,7,",",",",PUNCT,
text3,6,8,sondern,sondern,ADJ,
text3,6,9,auch,auch,NOUN,
text3,6,10,andere,andere,PROPN,
text3,6,11,Redaktionen,Redaktionen,PROPN,GPE_B
text3,6,12,.,.,PUNCT,
text3,7,1,Journalismus,Journalismus,PROPN,ORG_B
text3,7,2,wird,wird,NOUN,
text3,7,3,besser,besser,PROPN,
text3,7,4,überprüfbar,überprüfbar,PROPN,
text3,7,5,",",",",PUNCT,
text3,7,6,Politik,Politik,PROPN,NORP_B
text3,7,7,besser,besser,PROPN,
text3,7,8,begreifbar,begreifbar,NOUN,
text3,7,9,und,und,NOUN,
text3,7,10,mehr,mehr,NOUN,
text3,7,11,Spaß,Spaß,PROPN,
text3,7,12,macht,macht,NOUN,
text3,7,13,es,es,X,
text3,7,14,auch,auch,PROPN,
text3,7,15,.,.,PUNCT,
text5,1,1,In,in,ADP,
text5,1,2,den,den,NOUN,
text5,1,3,zurückliegenden,zurückliegenden,ADJ,
text5,1,4,sieben,sieben,NOUN,
text5,1,5,Tagen,Tagen,PROPN,PRODUCT_B
text5,1,6,haben,haben,NOUN,
text5,1,7,wir,wir,NOUN,
text5,1,8,in,in,ADP,
text5,1,9,diesem,diesem,PROPN,
text5,1,10,Sinne,Sinne,PROPN,NORP_B
text5,1,11,eine,eine,NOUN,
text5,1,12,Art,Art,PROPN,PERSON_B
text5,1,13,Volltext,Volltext,PROPN,PERSON_I
text5,1,14,-,-,PUNCT,PERSON_I
text5,1,15,Festival,Festival,PROPN,PERSON_I
text5,1,16,veranstaltet,veranstaltet,NOUN,
text5,1,17,.,.,PUNCT,
text5,2,1,Wir,wir,ADJ,
text5,2,2,haben,haben,PROPN,
text5,2,3,nicht,nicht,PROPN,
text5,2,4,nur,nur,AUX,
text5,2,5,den,den,VERB,
text5,2,6,Arbeitsstand,Arbeitsstand,PROPN,ORG_B
text5,2,7,des,des,PROPN,ORG_I
