doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,eine,eine,NOUN,
text3,1,2,Überschrift,Überschrift,PROPN,ORG_B
text3,1,3,aus,aus,PUNCT,ORG_I
text3,1,4,dieser,dieser,NOUN,ORG_I
text3,1,5,Woche,Woche,PROPN,ORG_I
text3,1,6,beschreibt,beschreibt,NOUN,
text3,1,7,ganz,ganz,PROPN,
text3,1,8,gut,gut,PROPN,
text3,1,9,den,den,VERB,
text3,1,10,Vibe,Vibe,PROPN,PRODUCT_B
text3,1,11,",",",",PUNCT,
text3,1,12,der,der,PROPN,GPE_B
text3,1,13,mich,mich,PROPN,GPE_I
text3,1,14,gerade,gerade,PROPN,
text3,1,15,bei,bei,PROPN,
text3,1,16,der,der,PROPN,
text3,1,17,Arbeit,Arbeit,PROPN,GPE_B
text3,1,18,begleitet,begleitet,PROPN,
text3,1,19,:,:,PUNCT,
text3,1,20,„,„,PUNCT,
text3,1,21,Kämpft,Kämpft,PROPN,LANGUAGE_B
text3,1,22,mit,mit,AUX,
text3,1,23,uns,un,VERB,
text3,1,24,gegen,gegen,NOUN,
text3,1,25,den,den,VERB,
text3,1,26,Bullshit,Bullshit,PROPN,PERSON_B
text3,1,27,“,"""",PUNCT,
text3,1,28,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,dem,dem,ADJ,
text3,2,3,dazugehörigen,dazugehörigen,NOUN,
text3,2,4,Artikel,Artikel,PROPN,
text3,2,5,stellen,stellen,NOUN,
text3,2,6,wir,wir,NOUN,
text3,2,7,unser,unser,NOUN,
text3,2,8,erstes,erste,NOUN,
text3,2,9,Browser,Browser,PROPN,PERSON_B
text3,2,10,-,-,PUNCT,PERSON_I
text3,2,11,Spiel,Spiel,PROPN,PERSON_I
text3,2,12,–,–,PUNCT,
text3,2,13,*,*,PUNCT,
text3,2,14,Bullshit,Bullshit,PROPN,
text3,2,15,Busters,Busters,PROPN,
text3,2,16,*,*,PUNCT,
text3,2,17,–,–,PUNCT,
text3,2,18,vor,vor,NOUN,
text3,2,19,",",",",PUNCT,
text3,2,20,und,und,NOUN,
text3,2,21,die,die,VERB,
text3,2,22,Überschrift,überschrift,NOUN,
text3,2,23,weckt,weckt,NOUN,
text3,2,24,in,in,ADP,
text3,2,25,mir,mir,PROPN,
text3,2,26,ein,ein,NOUN,PERSON_B
text3,2,27,Gefühl,Gefühl,PROPN,PERSON_I
text3,2,28,von,von,PROPN,PERSON_I
text3,2,29,Gemeinschaftlichkeit,Gemeinschaftlichkeit,PROPN,PERSON_I
text3,2,30,.,.,PUNCT,
text5,1,1,In,in,ADP,
text5,1,2,mehrfacher,mehrfacher,NOUN,
text5,1,3,Hinsicht,Hinsicht,PROPN,ORG_B
text5,1,4,ist,ist,ADP,
text5,1,5,netzpolitik.org,netzpolitik.org,PROPN,ORG_B
text5,1,6,Teamarbeit,Teamarbeit,PROPN,ORG_I
text5,1,7,.,.,PUNCT,
text5,2,1,Einerseits,Einerseits,PROPN,
text5,2,2,",",",",PUNCT,
text5,2,3,weil,weil,PROPN,
text5,2,4,wir,wir,PROPN,
text5,2,5,täglich,täglich,PROPN,
text5,2,6,zusammen,zusamman,NOUN,
text5,2,7,diskutieren,diskutieren,PROPN,
text5,2,8,",",",",PUNCT,
text5,2,9,schreiben,schreiben,PROPN,PERSON_B
text5,2,10,",",",",PUNCT,
text5,2,11,lunchen,lunchen,PROPN,
text5,2,12,",",",",PUNCT,
text5,2,13,lachen,lachen,PROPN,
text5,2,14,und,und,ADJ,
text5,2,15,facepalmen,facepalman,NOUN,
text5,2,16,.,.,PUNCT,
text5,3,1,Andererseits,andererseit,NOUN,
text5,3,2,",",",",PUNCT,
text5,3,3,weil,weil,NOUN,
text5,3,4,die,die,PROPN,
text5,3,5,Spenden,Spenden,PROPN,FAC_B
text5,3,6,von,von,PROPN,FAC_I
text5,3,7,euch,euch,NOUN,FAC_I
text5,3,8,",",",",PUNCT,
text5,3,9,unserer,unserer,NOUN,
text5,3,10,Community,Community,PROPN,ORG_B
text5,3,11,",",",",PUNCT,
text5,3,12,unsere,unsere,NOUN,
text5,3,13,Arbeit,Arbeit,PROPN,GPE_B
text5,3,14,überhaupt,überhaupt,ADJ,
text5,3,15,erst,erst,NOUN,
text5,3,16,ermöglichen,ermöglichen,ADV,
text5,3,17,.,.,PUNCT,
text5,4,1,Diese,Diese,PROPN,ORG_B
text5,4,2,Gemeinschaftlichkeit,Gemeinschaftlichkeit,PROPN,ORG_I
text5,4,3,macht,macht,PROPN,
text5,4,4,Mut,Mut,PROPN,
text5,4,5,",",",",PUNCT,
text5,4,6,und,und,VERB,
