doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,für,für,NOUN,
text1,1,3,die,die,VERB,
text1,1,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,5,zuständige,zuständige,PROPN,
text1,1,6,EU,EU,PROPN,ORG_B
text1,1,7,-,-,PUNCT,
text1,1,8,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,1,9,Ylva,Ylva,PROPN,PERSON_I
text1,1,10,Johansson,Johansson,PROPN,PERSON_I
text1,1,11,ist,ist,NOUN,
text1,1,12,vom,vom,NOUN,
text1,1,13,14.–16,14.–16,NUM,
text1,1,14,.,.,PUNCT,
text1,2,1,Juni,Juni,PROPN,
text1,2,2,zur,zur,NOUN,
text1,2,3,deutschen,deutschen,PROPN,
text1,2,4,Innenministerkonferenz,Innenministerkonferenz,PROPN,ORG_B
text1,2,5,eingeladen,eingeladen,PROPN,
text1,2,6,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,nutzen,nutzen,PROPN,
text1,3,3,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,3,4,und,und,PROPN,
text1,3,5,Aktivist,aktivist,NOUN,
text1,3,6,:,:,PUNCT,
text1,3,7,innen,innen,NOUN,
text1,3,8,rund,rund,NOUN,
text1,3,9,um,um,INTJ,
text1,3,10,das,das,PROPN,PERSON_B
text1,3,11,Bündnis,Bündnis,PROPN,PERSON_I
text1,3,12,„,„,PUNCT,PERSON_I
text1,3,13,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text1,3,14,stoppen,stoppen,NOUN,
text1,3,15,“,"""",PUNCT,
text1,3,16,für,für,NOUN,
text1,3,17,einen,einen,NOUN,
text1,3,18,weiteren,weiteren,NOUN,
text1,3,19,Protest,Protest,PROPN,NORP_B
text1,3,20,auf,auf,PROPN,
text1,3,21,der,der,NOUN,
text1,3,22,Straße,Straße,PROPN,ORG_B
text1,3,23,gegen,gegen,NOUN,
text1,3,24,das,das,PROPN,PERSON_B
text1,3,25,EU,EU,PROPN,PERSON_I
text1,3,26,-,-,PUNCT,PERSON_I
text1,3,27,Vorhaben,Vorhaben,PROPN,PERSON_I
text1,3,28,.,.,PUNCT,
text3,1,1,Zuletzt,Zuletzt,PROPN,NORP_B
text3,1,2,kam,kam,PROPN,
text3,1,3,durch,durch,NOUN,
text3,1,4,eine,eine,NOUN,
text3,1,5,Veröffentlichung,Veröffentlichung,PROPN,ORG_B
text3,1,6,von,von,PROPN,ORG_I
text3,1,7,netzpolitik.org,netzpolitik.org,PROPN,ORG_I
text3,1,8,heraus,heraus,PROPN,ORG_I
text3,1,9,",",",",PUNCT,
text3,1,10,dass,dass,NOUN,
text3,1,11,die,die,VERB,
text3,1,12,meisten,meisten,NOUN,
text3,1,13,EU,EU,PROPN,ORG_B
text3,1,14,-,-,PUNCT,
text3,1,15,Staaten,Staaten,PROPN,
text3,1,16,weiterhin,weiterhin,NOUN,
text3,1,17,die,die,VERB,
text3,1,18,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,19,fordern,fordern,NOUN,
text3,1,20,.,.,PUNCT,
text3,2,1,Sie,Sie,PROPN,
text3,2,2,wollen,wollen,VERB,
text3,2,3,Internet,Internet,PROPN,
text3,2,4,-,-,PUNCT,
text3,2,5,Kommunikation,Kommunikation,PROPN,
text3,2,6,massenhaft,massenhaft,NOUN,
text3,2,7,und,und,PROPN,
