doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,es,es,VERB,
text3,1,2,gibt,gibt,NOUN,
text3,1,3,immer,immer,NOUN,
text3,1,4,wieder,wieder,NOUN,
text3,1,5,Momente,Momente,PROPN,PERSON_B
text3,1,6,",",",",PUNCT,
text3,1,7,in,in,ADP,
text3,1,8,denen,denen,NOUN,
text3,1,9,ein,ein,NOUN,
text3,1,10,einzelnes,einzelne,VERB,
text3,1,11,Wort,Wort,PROPN,
text3,1,12,das,das,PROPN,
text3,1,13,große,große,VERB,
text3,1,14,Ganze,Ganze,PROPN,ORG_B
text3,1,15,erleuchtet,erleuchtet,NOUN,
text3,1,16,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,dieser,dieser,NOUN,
text3,2,3,Woche,Woche,PROPN,
text3,2,4,war,war,PROPN,
text3,2,5,es,es,PROPN,
text3,2,6,das,das,PROPN,
text3,2,7,Wort,Wort,PROPN,
text3,2,8,„,„,PUNCT,
text3,2,9,leider,leider,NOUN,
text3,2,10,“,"""",PUNCT,
text3,2,11,.,.,PUNCT,
text3,3,1,I,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Zusammenhang,Zusammenhang,PROPN,PERSON_B
text3,3,4,mit,mit,NOUN,
text3,3,5,den,den,VERB,
text3,3,6,Klimaprotesten,klimaprotesten,ADJ,PERSON_B
text3,3,7,der,der,NOUN,PERSON_I
text3,3,8,„,„,PUNCT,
text3,3,9,Letzten,Letzten,PROPN,
text3,3,10,Generation,generation,NOUN,
text3,3,11,“,"""",PUNCT,
text3,3,12,und,und,ADJ,
text3,3,13,der,der,NOUN,
text3,3,14,zunehmenden,zunehmenden,NOUN,
text3,3,15,Gewalt,Gewalt,PROPN,PERSON_B
text3,3,16,von,von,PROPN,PERSON_I
text3,3,17,Autofahrer,Autofahrer,PROPN,PERSON_I
text3,3,18,:,:,PUNCT,
text3,3,19,innen,innen,NOUN,
text3,3,20,gegen,gegen,NOUN,
text3,3,21,Demonstrierende,Demonstrierende,PROPN,
text3,3,22,bedauerte,bedauerte,NOUN,
text3,3,23,die,die,VERB,
text3,3,24,Berliner,Berliner,PROPN,PERSON_B
text3,3,25,Innensenatorin,Innensenatorin,PROPN,PERSON_I
text3,3,26,Iris,Iris,PROPN,PERSON_B
text3,3,27,Spranger,Spranger,PROPN,PERSON_I
text3,3,28,",",",",PUNCT,
text3,3,29,dass,dass,NOUN,
text3,3,30,die,die,VERB,
text3,3,31,Polizei,Polizei,PROPN,PERSON_B
text3,3,32,Selbstjustiz,Selbstjustiz,PROPN,PERSON_I
text3,3,33,verfolgen,verfolgen,NOUN,
text3,3,34,müsse,müsse,NOUN,
text3,3,35,.,.,PUNCT,
text3,4,1,Sie,Sie,PROPN,
text3,4,2,sagte,sagte,PROPN,
text3,4,3,:,:,PUNCT,
text3,4,4,„,„,PUNCT,
text3,4,5,Das,Das,PROPN,
text3,4,6,muss,muss,NOUN,
text3,4,7,leider,leider,NOUN,
text3,4,8,dann,dann,PROPN,
text3,4,9,auch,auch,PROPN,
text3,4,10,zur,zur,PROPN,
text3,4,11,Rechenschaft,Rechenschaft,PROPN,ORG_B
text3,4,12,gezogen,gezogen,PROPN,
text3,4,13,werden,werden,PROPN,
text3,4,14,“,"""",PUNCT,
text3,4,15,.,.,PUNCT,
text3,5,1,Leider,Leider,PROPN,PERSON_B
text3,5,2,.,.,PUNCT,
text5,1,1,Ein,Ein,PROPN,
text5,1,2,kleines,kleine,NOUN,
text5,1,3,Wort,Wort,PROPN,GPE_B
text5,1,4,mit,mit,NOUN,
text5,1,5,großer,großer,VERB,
text5,1,6,Tragweite,Tragweite,PROPN,
text5,1,7,.,.,PUNCT,
text5,2,1,Denn,Denn,PROPN,PERSON_B
text5,2,2,Spranger,Spranger,PROPN,PERSON_I
text5,2,3,steht,steht,NOUN,PERSON_I
text5,2,4,mit,mit,NOUN,PERSON_I
text5,2,5,dieser,dieser,PROPN,
text5,2,6,verbalen,verbalen,PROPN,
text5,2,7,Rechtsstaatsbeugung,Rechtsstaatsbeugung,PROPN,PERSON_B
text5,2,8,beispielhaft,beispielhaft,PROPN,
text5,2,9,für,für,ADJ,
text5,2,10,eine,eine,NOUN,
text5,2,11,erregte,erregte,NOUN,
text5,2,12,Debatte,Debatte,PROPN,ORG_B
text5,2,13,",",",",PUNCT,
text5,2,14,in,in,ADP,
text5,2,15,der,der,PROPN,NORP_B
text5,2,16,der,der,PROPN,
text5,2,17,Chefredakteur,Chefredakteur,PROPN,ORG_B
text5,2,18,der,der,NOUN,
text5,2,19,„,„,PUNCT,
text5,2,20,Welt,Welt,PROPN,
text5,2,21,“,"""",PUNCT,
text5,2,22,verklausuliert,verklausuliert,PROPN,
text5,2,23,zur,zur,PROPN,
text5,2,24,Gewalt,Gewalt,PROPN,PERSON_B
text5,2,25,gegen,gegen,NOUN,
text5,2,26,Klimaaktivist,Klimaaktivist,PROPN,PERSON_B
text5,2,27,:,:,PUNCT,
text5,2,28,innen,innen,NOUN,
text5,2,29,aufruft,aufruft,NOUN,
text5,2,30,und,und,PROPN,
text5,2,31,der,der,PROPN,
text5,2,32,Bundesjustizminister,Bundesjustizminister,PROPN,PERSON_B
text5,2,33,Weimarer,Weimarer,PROPN,PERSON_I
text5,2,34,Zustände,Zustände,PROPN,PERSON_I
text5,2,35,wegen,wegen,NOUN,
