doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,SMS,SMS,PROPN,
text1,1,3,ist,ist,PROPN,
text1,1,4,lange,lange,PROPN,
text1,1,5,nicht,nicht,PROPN,
text1,1,6,mehr,mehr,NOUN,
text1,1,7,so,so,SCONJ,
text1,1,8,populär,populär,PROPN,
text1,1,9,",",",",PUNCT,
text1,1,10,wie,wie,PROPN,
text1,1,11,sie,sie,PROPN,
text1,1,12,mal,mal,PROPN,
text1,1,13,war,war,PROPN,
text1,1,14,.,.,PUNCT,
text1,2,1,I,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Jahr,Jahr,PROPN,PERSON_B
text1,2,4,2012,2012,NUM,PERSON_I
text1,2,5,wurden,wurden,NOUN,TIME_B
text1,2,6,in,in,ADP,
text1,2,7,Deutschland,Deutschland,PROPN,GPE_B
text1,2,8,noch,noch,ADV,
text1,2,9,fast,fast,ADJ,
text1,2,10,60,60,NUM,CARDINAL_B
text1,2,11,Milliarden,Milliarden,PROPN,LOC_B
text1,2,12,davon,davon,NOUN,LOC_I
text1,2,13,verschickt,verschickt,NOUN,
text1,2,14,",",",",PUNCT,
text1,2,15,2023,2023,NUM,DATE_B
text1,2,16,waren,waren,NOUN,
text1,2,17,es,es,PROPN,
text1,2,18,nur,nur,VERB,
text1,2,19,noch,noch,PROPN,
text1,2,20,"5,3","5,3",NUM,
text1,2,21,Milliarden,Milliarden,PROPN,
text1,2,22,",",",",PUNCT,
text1,2,23,so,so,ADV,
text1,2,24,die,die,VERB,
text1,2,25,Bundesnetzagentur,Bundesnetzagentur,PROPN,GPE_B
text1,2,26,.,.,PUNCT,
text1,3,1,Messenger,Messenger,PROPN,PERSON_B
text1,3,2,–,–,PUNCT,
text1,3,3,bestenfalls,bestenfall,VERB,
text1,3,4,mit,mit,VERB,
text1,3,5,Ende,ende,NOUN,ORG_B
text1,3,6,-,-,PUNCT,ORG_I
text1,3,7,zu,zu,NOUN,ORG_I
text1,3,8,-,-,PUNCT,ORG_I
text1,3,9,Ende,ende,ADJ,ORG_I
text1,3,10,-,-,PUNCT,ORG_I
text1,3,11,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text1,3,12,–,–,PUNCT,
text1,3,13,haben,haben,VERB,
text1,3,14,dem,dem,ADJ,
text1,3,15,Kommunikationsmittel,Kommunikationsmittel,PROPN,ORG_B
text1,3,16,den,den,NOUN,
text1,3,17,Rang,Rang,PROPN,PERSON_B
