doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Auch,auch,NOUN,
text1,1,2,in,in,ADP,
text1,1,3,dieser,dieser,NOUN,
text1,1,4,Woche,Woche,PROPN,
text1,1,5,dominiert,dominiert,PROPN,PERSON_B
text1,1,6,der,der,PROPN,PERSON_I
text1,1,7,russische,russische,NOUN,
text1,1,8,Angriffskrieg,Angriffskrieg,PROPN,ORG_B
text1,1,9,in,in,ADP,
text1,1,10,der,der,PROPN,
text1,1,11,Ukraine,Ukraine,PROPN,GPE_B
text1,1,12,die,die,VERB,
text1,1,13,Nachrichten,Nachrichten,PROPN,
text1,1,14,und,und,VERB,
text1,1,15,auch,auch,NOUN,
text1,1,16,unsere,unsere,NOUN,
text1,1,17,Arbeit,Arbeit,PROPN,GPE_B
text1,1,18,.,.,PUNCT,
text1,2,1,Ein,Ein,PROPN,PERSON_B
text1,2,2,Aspekt,Aspekt,PROPN,PERSON_I
text1,2,3,dabei,dabei,VERB,
text1,2,4,ist,ist,AUX,
text1,2,5,die,die,VERB,
text1,2,6,Herrschaft,Herrschaft,PROPN,ORG_B
text1,2,7,über,über,PROPN,
text1,2,8,Informationen,Informationen,PROPN,ORG_B
text1,2,9,.,.,PUNCT,
text1,3,1,Ausländische,Ausländische,PROPN,
text1,3,2,Social,Social,PROPN,
text1,3,3,-,-,PUNCT,
text1,3,4,Media,Media,PROPN,
text1,3,5,-,-,PUNCT,
text1,3,6,Plattformen,Plattformen,PROPN,
text1,3,7,etwa,etwa,NOUN,
text1,3,8,sind,sind,NOUN,
text1,3,9,in,in,ADP,
text1,3,10,Russland,Russland,PROPN,GPE_B
text1,3,11,mittlerweile,mittlerweile,NOUN,
text1,3,12,gesperrt,gesperrt,ADJ,
text1,3,13,–,–,PUNCT,
text1,3,14,mit,mit,VERB,
text1,3,15,Ausnahme,ausnahme,ADJ,
text1,3,16,von,von,PROPN,
text1,3,17,TikTok,tiktok,NOUN,
text1,3,18,.,.,PUNCT,
text1,4,1,Die,die,VERB,
text1,4,2,App,App,PROPN,
text1,4,3,ist,ist,VERB,
text1,4,4,in,in,ADP,
text1,4,5,Russland,Russland,PROPN,GPE_B
text1,4,6,weiterhin,weiterhin,NOUN,
text1,4,7,verfügbar,verfügbar,NOUN,
text1,4,8,",",",",PUNCT,
text1,4,9,allerdings,allerding,NOUN,
text1,4,10,sind,sind,VERB,
text1,4,11,alle,alle,NOUN,PERSON_B
text1,4,12,nicht,nicht,NOUN,PERSON_I
text1,4,13,-,-,PUNCT,PERSON_I
text1,4,14,russischen,russischen,PROPN,PERSON_I
text1,4,15,Inhalte,Inhalte,PROPN,PRODUCT_B
text1,4,16,blockiert,blockiert,PROPN,
text1,4,17,.,.,PUNCT,
text3,1,1,95,95,NUM,CARDINAL_B
text3,1,2,Prozent,Prozent,PROPN,ORG_B
text3,1,3,aller,aller,NOUN,
text3,1,4,Inhalte,Inhalte,PROPN,NORP_B
text3,1,5,sind,sind,NOUN,
text3,1,6,damit,damit,PROPN,
text3,1,7,nicht,nicht,PROPN,
text3,1,8,mehr,mehr,PROPN,
text3,1,9,abrufbar,abrufbar,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,schätzen,schätzen,ADP,
text3,1,12,Forscher,Forscher,PROPN,PERSON_B
text3,1,13,:,:,PUNCT,
text3,1,14,innen,innen,NOUN,
text3,1,15,",",",",PUNCT,
text3,1,16,und,und,PROPN,
text3,1,17,verantwortlich,verantwortlich,PROPN,PERSON_B
text3,1,18,dafür,dafür,PROPN,PERSON_I
text3,1,19,ist,ist,ADJ,
text3,1,20,TikTok,TikTok,PROPN,ORG_B
text3,1,21,selbst,selbst,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,Auf,Auf,PROPN,
text3,2,2,diese,diese,ADJ,
text3,2,3,Weise,Weise,PROPN,PERSON_B
text3,2,4,werden,werden,NOUN,
text3,2,5,kritische,kritische,NOUN,ORG_B
text3,2,6,Inhalte,Inhalte,PROPN,PRODUCT_B
text3,2,7,zum,zum,PROPN,PERSON_B
text3,2,8,Ukrainekonflikt,Ukrainekonflikt,PROPN,PERSON_I
text3,2,9,zensiert,zensiert,NOUN,
text3,2,10,",",",",PUNCT,
text3,2,11,während,während,VERB,
text3,2,12,pro,pro,ADJ,
text3,2,13,-,-,ADJ,
text3,2,14,russische,russische,ADJ,
text3,2,15,Propaganda,Propaganda,PROPN,GPE_B
text3,2,16,verfügbar,verfügbar,NOUN,
text3,2,17,bleibt,bleibt,NOUN,
text3,2,18,.,.,PUNCT,
text5,1,1,Derweilen,derweilen,NOUN,
text5,1,2,hat,hat,NOUN,
text5,1,3,Russland,Russland,PROPN,GPE_B
text5,1,4,zumindest,zumind,ADJ,
text5,1,5,auf,auf,PROPN,
text5,1,6,Twitter,Twitter,PROPN,PRODUCT_B
text5,1,7,eine,eine,NOUN,
text5,1,8,Möglichkeit,Möglichkeit,PROPN,
text5,1,9,gefunden,gefunden,NOUN,
text5,1,10,",",",",PUNCT,
text5,1,11,die,die,VERB,
text5,1,12,europäische,europäische,PROPN,
text5,1,13,Zensur,Zensur,PROPN,PERSON_B
text5,1,14,zu,zu,PROPN,
text5,1,15,umgehen,umgehen,ADV,
text5,1,16,.,.,PUNCT,
text5,2,1,Unter,Unter,PROPN,
text5,2,2,der,der,NOUN,
text5,2,3,Verwendung,Verwendung,PROPN,PERSON_B
text5,2,4,von,von,PROPN,PERSON_I
text5,2,5,offiziellen,offiziellen,VERB,
text5,2,6,Regierungsaccounts,Regierungsaccounts,PROPN,
text5,2,7,verbreitet,verbreitet,NOUN,
text5,2,8,Russland,Russland,PROPN,GPE_B
text5,2,9,dort,dort,NOUN,
text5,2,10,weitgehend,weitgehend,NOUN,
text5,2,11,ungestört,ungestört,VERB,
text5,2,12,seine,seine,ADJ,
text5,2,13,Narrative,Narrative,PROPN,ORG_B
text5,2,14,.,.,PUNCT,
text7,1,1,Dazu,Dazu,PROPN,PERSON_B
text7,1,2,passt,passt,NOUN,
text7,1,3,eine,eine,NOUN,
text7,1,4,Untersuchung,Untersuchung,PROPN,PERSON_B
text7,1,5,von,von,PROPN,PERSON_I
text7,1,6,Human,Human,PROPN,PERSON_I
text7,1,7,Rights,Rights,PROPN,PERSON_I
text7,1,8,Watch,Watch,PROPN,PERSON_I
text7,1,9,.,.,PUNCT,
text7,2,1,Die,die,VERB,
text7,2,2,Menschenrechtsorganisation,Menschenrechtsorganisation,PROPN,
text7,2,3,untersuchte,untersuchte,NOUN,
text7,2,4,die,die,VERB,
text7,2,5,Maßnahmen,Maßnahmen,PROPN,
text7,2,6,der,der,NOUN,
text7,2,7,größten,größten,VERB,
text7,2,8,Social,Social,PROPN,ORG_B
text7,2,9,-,-,PUNCT,ORG_I
text7,2,10,Media,Media,PROPN,ORG_I
text7,2,11,-,-,PUNCT,ORG_I
text7,2,12,Unternehmen,Unternehmen,PROPN,ORG_I
text7,2,13,und,und,ADJ,
text7,2,14,Messenger,Messenger,PROPN,ORG_B
text7,2,15,-,-,PUNCT,ORG_I
text7,2,16,Dienste,Dienste,PROPN,ORG_I
text7,3,1,i,I,PRON,
text7,3,2,m,m,VERB,
text7,3,3,Zusammenhang,Zusammenhang,PROPN,GPE_B
text7,3,4,mit,mit,VERB,
text7,3,5,dem,dem,ADJ,NORP_B
text7,3,6,Krieg,Krieg,PROPN,ORG_B
text7,3,7,und,und,VERB,
text7,3,8,macht,macht,PROPN,
text7,3,9,auf,auf,PROPN,
text7,3,10,Versäumnisse,Versäumnisse,PROPN,GPE_B
text7,3,11,bei,bei,PROPN,
text7,3,12,der,der,PROPN,
text7,3,13,Achtung,Achtung,PROPN,PERSON_B
text7,3,14,der,der,PROPN,PERSON_I
text7,3,15,Menschenrechte,Menschenrechte,PROPN,PERSON_I
