doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,wir,wir,PROPN,
text3,1,2,schielen,schielen,VERB,
text3,1,3,ja,ja,PROPN,
text3,1,4,gerne,gerne,PROPN,
text3,1,5,über,über,PROPN,
text3,1,6,den,den,PROPN,
text3,1,7,digitalen,digitalen,VERB,
text3,1,8,Tellerrand,Tellerrand,PROPN,ORG_B
text3,1,9,.,.,PUNCT,
text3,2,1,Gerade,Gerade,PROPN,
text3,2,2,sehen,sehen,NOUN,
text3,2,3,wir,wir,NOUN,
text3,2,4,halb,halb,PROPN,
text3,2,5,entgeistert,entgeistert,PROPN,
text3,2,6,",",",",PUNCT,
text3,2,7,halb,halb,PROPN,
text3,2,8,amüsiert,amüsiert,PROPN,PERSON_B
text3,2,9,dem,dem,PROPN,PERSON_I
text3,2,10,nächsten,nächsten,VERB,
text3,2,11,Skandal,skandal,ADJ,
text3,2,12,zu,zu,NOUN,
text3,2,13,",",",",PUNCT,
text3,2,14,in,in,ADP,
text3,2,15,den,den,NOUN,
text3,2,16,Kulturstaatsminister,Kulturstaatsminister,PROPN,PERSON_B
text3,2,17,Wolfram,Wolfram,PROPN,PERSON_I
text3,2,18,Weimer,Weimer,PROPN,PERSON_I
text3,2,19,selbstverschuldet,selbstverschuldet,NOUN,
text3,2,20,geraten,geraten,PROPN,
text3,2,21,ist,ist,PROPN,
text3,2,22,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,ist,ist,PROPN,
text3,3,3,nicht,nicht,PROPN,
text3,3,4,ohne,ohne,PROPN,
text3,3,5,Unterhaltungswert,Unterhaltungswert,PROPN,PERSON_B
text3,3,6,",",",",PUNCT,
text3,3,7,wie,wie,NOUN,
text3,3,8,sich,sich,SCONJ,
text3,3,9,hier,hi,ADJ,
text3,3,10,Buchhandlungen,Buchhandlungen,PROPN,ORG_B
text3,3,11,und,und,ADJ,
text3,3,12,Verlage,Verlage,PROPN,
text3,3,13,solidarisch,solidarisch,NOUN,
text3,3,14,und,und,VERB,
text3,3,15,kampagnenstark,kampagnenstark,PROPN,
text3,3,16,gegen,gegen,PROPN,
text3,3,17,den,den,VERB,
text3,3,18,glücklosen,glücklosen,NOUN,
text3,3,19,Kulturkämpfer,Kulturkämpfer,PROPN,PERSON_B
text3,3,20,Weimer,Weimer,PROPN,PERSON_I
text3,3,21,wehren,wehren,NOUN,
text3,3,22,.,.,PUNCT,
text5,1,1,Gegen,Gegen,PROPN,ORG_B
text5,1,2,diesen,diesen,VERB,
text5,1,3,Unterhaltungswert,Unterhaltungswert,PROPN,PERSON_B
text5,1,4,wäre,wäre,NOUN,
text5,1,5,die,die,VERB,
text5,1,6,Verlängerung,Verlängerung,PROPN,ORG_B
text5,1,7,der,der,PROPN,ORG_I
text5,1,8,freiwilligen,freiwilligen,NOUN,
text5,1,9,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text5,1,10,",",",",PUNCT,
text5,1,11,die,die,PROPN,
text5,1,12,das,das,PROPN,
text5,1,13,EU,EU,PROPN,ORG_B
text5,1,14,-,-,PUNCT,ORG_I
text5,1,15,Parlament,Parlament,PROPN,ORG_I
text5,1,16,heute,heute,NOUN,
text5,1,17,beschlossen,beschlossen,NOUN,
text5,1,18,hat,hat,NOUN,
text5,1,19,",",",",PUNCT,
text5,1,20,natürlich,natürlich,ADJ,PERSON_B
text5,1,21,kaum,kaum,ADJ,PERSON_I
text5,1,22,angekommen,angekomman,NOUN,
text5,1,23,.,.,PUNCT,
text5,2,1,Doch,Doch,PROPN,
text5,2,2,auch,auch,NOUN,
text5,2,3,hier,hi,ADJ,
text5,2,4,gab,gab,NOUN,
text5,2,5,’s,’s,PART,
text5,2,6,eine,eine,NOUN,
text5,2,7,Überraschung,Überraschung,PROPN,WORK_OF_ART_B
text5,2,8,:,:,PUNCT,WORK_OF_ART_I
text5,2,9,Das,Das,PROPN,WORK_OF_ART_I
text5,2,10,Parlament,Parlament,PROPN,WORK_OF_ART_I
text5,2,11,hat,hat,NOUN,
text5,2,12,zwar,zwar,NOUN,
text5,2,13,beschlossen,beschlossen,PROPN,
text5,2,14,",",",",PUNCT,
text5,2,15,dass,dass,PROPN,
text5,2,16,Anbieter,Anbieter,PROPN,PERSON_B
text5,2,17,weiter,weiter,PROPN,
text5,2,18,freiwillig,freiwillig,NOUN,
text5,2,19,nach,nach,VERB,
text5,2,20,Inhalten,Inhalten,PROPN,
text5,2,21,sexualisierten,sexualisierten,VERB,
text5,2,22,Kindesmissbrauchs,Kindesmissbrauchs,PROPN,ORG_B
text5,2,23,scannen,scannen,NOUN,
text5,2,24,dürfen,dürfen,NOUN,
text5,2,25,–,–,PUNCT,
text5,2,26,aber,aber,PROPN,
text5,2,27,nur,nur,VERB,
text5,2,28,noch,noch,PROPN,
text5,2,29,auf,auf,PROPN,
text5,2,30,Verdacht,Verdacht,PROPN,PERSON_B
text5,2,31,.,.,PUNCT,
text5,3,1,Wenn,Wenn,PROPN,
text5,3,2,das,das,PROPN,ORG_B
text5,3,3,Parlament,Parlament,PROPN,ORG_I
text5,3,4,sich,sich,PROPN,
text5,3,5,jetzt,jetzt,VERB,
text5,3,6,noch,noch,PROPN,
text5,3,7,gegen,gegen,PROPN,
text5,3,8,EU,EU,PROPN,ORG_B
text5,3,9,-,-,PUNCT,ORG_I
text5,3,10,Kommission,Kommission,PROPN,ORG_I
