doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,ein,ein,PROPN,PERSON_B
text3,1,2,Freund,Freund,PROPN,PERSON_I
text3,1,3,von,von,PROPN,PERSON_I
text3,1,4,mir,mir,PROPN,PERSON_I
text3,1,5,nennt,nennt,PROPN,PERSON_I
text3,1,6,netzpolitik.org,netzpolitik.org,SYM,ORG_B
text3,1,7,immer,immer,NOUN,
text3,1,8,spöttisch,spöttisch,NOUN,
text3,1,9,die,die,VERB,
text3,1,10,„,„,PUNCT,
text3,1,11,Bad,Bad,PROPN,ORG_B
text3,1,12,News,News,PROPN,ORG_I
text3,1,13,Agency,Agency,PROPN,ORG_I
text3,1,14,“,"""",PUNCT,
text3,1,15,",",",",PUNCT,
text3,1,16,also,also,ADV,
text3,1,17,die,die,VERB,
text3,1,18,Agentur,Agentur,PROPN,NORP_B
text3,1,19,für,für,NOUN,
text3,1,20,schlechte,schlechte,ADJ,
text3,1,21,Nachrichten,nachrichten,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,dieser,dieser,NOUN,
text3,2,3,Woche,Woche,PROPN,
text3,2,4,hat,hat,PROPN,
text3,2,5,er,er,INTJ,
text3,2,6,endlich,endlich,ADJ,
text3,2,7,mal,mal,ADJ,
text3,2,8,wieder,wieder,NOUN,
text3,2,9,Unrecht,Unrecht,PROPN,ORG_B
text3,2,10,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,gibt,gibt,NOUN,
text3,3,3,Gutes,Gutes,PROPN,
text3,3,4,zu,zu,NOUN,
text3,3,5,vermelden,vermelden,ADJ,
text3,3,6,:,:,PUNCT,
text3,3,7,Die,die,VERB,PERSON_B
text3,3,8,Pläne,Pläne,PROPN,PERSON_I
text3,3,9,für,für,NOUN,
text3,3,10,die,die,VERB,
text3,3,11,gefährliche,gefährliche,NOUN,
text3,3,12,Chatkontrolle,Chatkontrolle,PROPN,FAC_B
text3,3,13,wurden,wurden,VERB,FAC_I
text3,3,14,ein,ein,NOUN,
text3,3,15,weiteres,weitere,VERB,
text3,3,16,Mal,Mal,PROPN,PERSON_B
text3,3,17,abgewehrt,abgewehrt,PROPN,
text3,3,18,",",",",PUNCT,
text3,3,19,weil,weil,NOUN,
text3,3,20,sich,sich,PROPN,
text3,3,21,die,die,VERB,
text3,3,22,EU,EU,PROPN,ORG_B
text3,3,23,-,-,PUNCT,ORG_I
text3,3,24,Länder,Länder,PROPN,ORG_I
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Rat,Rat,PROPN,
text3,4,4,nicht,nicht,PROPN,
text3,4,5,einigen,einigen,NOUN,
text3,4,6,konnten,konnten,PROPN,
text3,4,7,.,.,PUNCT,
text3,5,1,Und,und,NOUN,
text3,5,2,daran,daran,NOUN,
text3,5,3,haben,haben,NOUN,
text3,5,4,alle,alle,NOUN,PERSON_B
text3,5,5,Anteil,Anteil,PROPN,PERSON_I
text3,5,6,",",",",PUNCT,
text3,5,7,die,die,VERB,
text3,5,8,in,in,ADP,
text3,5,9,den,den,NOUN,
text3,5,10,letzten,letzten,NOUN,
text3,5,11,Jahren,Jahren,PROPN,PERSON_B
text3,5,12,und,und,PROPN,
text3,5,13,Monaten,Monaten,PROPN,
text3,5,14,unermüdlich,unermüdlich,ADJ,
text3,5,15,vor,vor,VERB,
text3,5,16,dieser,dieser,NOUN,
text3,5,17,Verordnung,Verordnung,PROPN,PERSON_B
text3,5,18,gewarnt,gewarnt,VERB,
text3,5,19,haben,haben,NOUN,
text3,5,20,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,PERSON_B
text5,1,2,Kampf,Kampf,PROPN,PERSON_I
text5,1,3,um,um,INTJ,
text5,1,4,digitale,digitale,PROPN,
text5,1,5,Freiheitsrechte,Freiheitsrechte,PROPN,PERSON_B
text5,1,6,ist,ist,NOUN,
text5,1,7,ja,ja,PROPN,
text5,1,8,bekanntlich,bekanntlich,PROPN,
text5,1,9,steinig,steinig,PROPN,
text5,1,10,",",",",PUNCT,
text5,1,11,i,I,PRON,
text5,1,12,m,m,VERB,
text5,1,13,Fußballjargon,Fußballjargon,PROPN,ORG_B
text5,1,14,würde,würde,PROPN,
text5,1,15,man,man,PROPN,
text5,1,16,sagen,sagen,PROPN,
text5,1,17,eine,eine,NOUN,
text5,1,18,„,„,PUNCT,
text5,1,19,Abwehrschlacht,Abwehrschlacht,PROPN,ORG_B
text5,1,20,“,"""",PUNCT,
text5,1,21,.,.,PUNCT,
text5,2,1,Viel,Viel,PROPN,PERSON_B
text5,2,2,zu,zu,ADJ,PERSON_I
text5,2,3,selten,selten,VERB,
text5,2,4,können,können,NOUN,
text5,2,5,wir,wir,PROPN,
text5,2,6,als,al,NOUN,
text5,2,7,Redaktion,Redaktion,PROPN,
text5,2,8,gute,gute,NOUN,
text5,2,9,Ideen,Ideen,PROPN,
text5,2,10,und,und,PROPN,
text5,2,11,Visionen,Visionen,PROPN,PERSON_B
text5,2,12,für,für,ADJ,
text5,2,13,eine,eine,NOUN,
text5,2,14,digitale,digitale,NOUN,
text5,2,15,Zukunft,Zukunft,PROPN,ORG_B
text5,2,16,begleiten,begleiten,NOUN,
text5,2,17,",",",",PUNCT,
text5,2,18,meistens,meistens,PROPN,PERSON_B
text5,2,19,müssen,müssen,PROPN,PERSON_I
text5,2,20,wir,wir,PROPN,
