doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,vier,vier,NOUN,
text1,1,3,Jahren,Jahren,PROPN,PERSON_B
text1,1,4,verhandeln,verhandeln,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,EU,EU,PROPN,ORG_B
text1,1,7,-,-,PUNCT,
text1,1,8,Institutionen,Institutionen,PROPN,
text1,1,9,über,über,NOUN,
text1,1,10,die,die,NOUN,
text1,1,11,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,12,",",",",PUNCT,
text1,1,13,seit,seit,PROPN,PERSON_B
text1,1,14,einem,einem,PROPN,PERSON_I
text1,1,15,halben,halben,PROPN,
text1,1,16,Jahr,Jahr,PROPN,PERSON_B
text1,2,1,i,i,PROPN,
text1,2,2,m,m,NOUN,
text1,2,3,Trilog,Trilog,PROPN,PERSON_B
text1,2,4,.,.,PUNCT,
text1,3,1,Jetzt,Jetzt,PROPN,
text1,3,2,verhandeln,verhandeln,PROPN,
text1,3,3,sie,sie,PROPN,
text1,3,4,die,die,VERB,
text1,3,5,heikelsten,heikelsten,ADP,
text1,3,6,Fragen,Fragen,PROPN,ORG_B
text1,3,7,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Kommission,Kommission,PROPN,ORG_I
text3,1,3,will,will,AUX,
text3,1,4,Hoster,Hoster,PROPN,
text3,1,5,und,und,VERB,
text3,1,6,Kommunikations,Kommunikations,PROPN,
text3,1,7,-,-,PUNCT,
text3,1,8,Dienste,Dienste,PROPN,
text3,1,9,verpflichten,verpflichten,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,die,die,VERB,
text3,1,12,Inhalte,Inhalte,PROPN,NORP_B
text3,1,13,aller,aller,NOUN,
text3,1,14,Nutzer,Nutzer,PROPN,ORG_B
text3,1,15,auf,auf,PROPN,ORG_I
text3,1,16,Straftaten,Straftaten,PROPN,ORG_I
text3,1,17,zu,zu,NOUN,
text3,1,18,durchsuchen,durchsuchen,NOUN,
text3,1,19,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,ORG_B
text3,2,2,Parlament,Parlament,PROPN,ORG_I
text3,2,3,will,will,AUX,
text3,2,4,Internet,internet,NOUN,
text3,2,5,-,-,PUNCT,
text3,2,6,Dienste,Dienste,PROPN,
text3,2,7,verpflichten,verpflichten,VERB,
text3,2,8,",",",",PUNCT,
text3,2,9,die,die,VERB,
text3,2,10,Inhalte,Inhalte,PROPN,PRODUCT_B
text3,2,11,verdächtiger,verdächtiger,NOUN,
text3,2,12,Nutzer,Nutzer,PROPN,PRODUCT_B
text3,2,13,auf,auf,PROPN,PRODUCT_I
text3,2,14,Straftaten,Straftaten,PROPN,PRODUCT_I
text3,2,15,zu,zu,NOUN,
text3,2,16,durchsuchen,durchsuchen,NOUN,
text3,2,17,.,.,PUNCT,
text3,3,1,Die,die,VERB,ORG_B
text3,3,2,EU,EU,PROPN,ORG_I
text3,3,3,-,-,PUNCT,ORG_I
text3,3,4,Staaten,Staaten,PROPN,ORG_I
text3,3,5,wollen,wollen,NOUN,
text3,3,6,keine,keine,NOUN,
text3,3,7,Verpflichtung,Verpflichtung,PROPN,
text3,3,8,für,für,NOUN,
text3,3,9,Internet,Internet,PROPN,
text3,3,10,-,-,PUNCT,
text3,3,11,Dienste,Dienste,PROPN,
text3,3,12,",",",",PUNCT,
text3,3,13,sie,sie,PROPN,
text3,3,14,sollen,sollen,NOUN,
text3,3,15,Inhalte,Inhalte,PROPN,PRODUCT_B
text3,3,16,freiwillig,freiwillig,NOUN,
text3,3,17,scannen,scannen,NOUN,
text3,3,18,dürfen,dürfen,NOUN,
text3,3,19,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,PERSON_B
text5,1,2,vierte,vierte,NOUN,
text5,1,3,Trilog,Trilog,PROPN,PRODUCT_B
text5,1,4,fand,fand,NOUN,
text5,1,5,am,be,AUX,
text5,1,6,11,11,NUM,
text5,1,7,.,.,PUNCT,
text5,2,1,Mai,Mai,PROPN,
text5,2,2,statt,statt,NOUN,
text5,2,3,.,.,PUNCT,
text5,3,1,Wir,Wir,PROPN,
text5,3,2,veröffentlichen,veröffentlichen,PROPN,
text5,3,3,einen,einen,NOUN,
text5,3,4,Bericht,Bericht,PROPN,ORG_B
text5,3,5,aus,aus,ADP,ORG_I
text5,3,6,Brüssel,Brüssel,PROPN,ORG_I
text5,3,7,.,.,PUNCT,
text5,4,1,Danach,danach,NOUN,
text5,4,2,hat,hat,NOUN,
text5,4,3,die,die,VERB,
text5,4,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,4,5,neue,neue,NOUN,
text5,4,6,Kompromissvorschläge,Kompromissvorschläge,PROPN,PERSON_B
text5,4,7,vorgelegt,vorgelegt,VERB,
text5,4,8,.,.,PUNCT,
text5,5,1,Wir,Wir,PROPN,
text5,5,2,veröffentlichen,veröffentlichen,NOUN,
text5,5,3,die,die,VERB,
text5,5,4,Entwürfe,Entwürfe,PROPN,GPE_B
text5,5,5,vom,vom,NOUN,
text5,5,6,26,26,NUM,CARDINAL_B
text5,5,7,.,.,PUNCT,
text5,6,1,Mai,Mai,PROPN,
text5,6,2,und,und,PROPN,
text5,6,3,vom,vom,NOUN,
text5,6,4,29,29,NUM,CARDINAL_B
text5,6,5,.,.,PUNCT,
text5,7,1,Mai,Mai,PROPN,
text5,7,2,.,.,PUNCT,
text5,8,1,I,I,PRON,
text5,8,2,m,m,VERB,
text5,8,3,Rat,Rat,PROPN,
text5,8,4,diskutieren,diskutieren,NOUN,
text5,8,5,die,die,VERB,
text5,8,6,Referent,Referent,PROPN,
text5,8,7,:,:,PUNCT,
