doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,PERSON_B
text1,1,2,Telefon,Telefon,PROPN,PERSON_I
text1,1,3,abhören,abhören,NOUN,
text1,1,4,–,–,PUNCT,
text1,1,5,das,das,PROPN,ORG_B
text1,1,6,ist,ist,ADJ,
text1,1,7,alltägliche,alltägliche,NOUN,
text1,1,8,Ermittlungsarbeit,Ermittlungsarbeit,PROPN,PERSON_B
text1,1,9,.,.,PUNCT,
text1,2,1,Jedes,Jedes,PROPN,PERSON_B
text1,2,2,Jahr,Jahr,PROPN,PERSON_I
text1,2,3,überwacht,überwacht,NOUN,
text1,2,4,die,die,VERB,
text1,2,5,Polizei,Polizei,PROPN,ORG_B
text1,2,6,in,in,ADP,
text1,2,7,Deutschland,Deutschland,PROPN,GPE_B
text1,2,8,zehntausende,zehntausende,NOUN,
text1,2,9,Telefonanschlüsse,Telefonanschlüsse,PROPN,ORG_B
text1,2,10,.,.,PUNCT,
text1,3,1,In,in,ADP,
text1,3,2,den,den,NOUN,
text1,3,3,meisten,meisten,NOUN,
text1,3,4,Fällen,Fällen,PROPN,PERSON_B
text1,3,5,geht,geht,NOUN,
text1,3,6,es,es,PROPN,
text1,3,7,um,um,INTJ,
text1,3,8,Drogen,Drogen,PROPN,GPE_B
text1,3,9,.,.,PUNCT,
text1,4,1,Die,die,VERB,
text1,4,2,Polizei,Polizei,PROPN,
text1,4,3,in,in,ADP,
text1,4,4,Bayern,Bayern,PROPN,ORG_B
text1,4,5,überwacht,überwacht,NOUN,
text1,4,6,13,13,NUM,CARDINAL_B
text1,4,7,Telefonanschlüsse,Telefonanschlüsse,PROPN,ORG_B
text1,4,8,von,von,PROPN,
text1,4,9,Klima,Klima,PROPN,ORG_B
text1,4,10,-,-,PUNCT,ORG_I
text1,4,11,Aktivist,Aktivist,PROPN,ORG_I
text1,4,12,:,:,PUNCT,
text1,4,13,innen,innen,NOUN,
text1,4,14,der,der,ADJ,
text1,4,15,Letzten,Letzten,PROPN,PERSON_B
text1,4,16,Generation,Generation,PROPN,PERSON_I
text1,4,17,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,
text3,1,2,2017,2017,NUM,DATE_B
text3,1,3,darf,darf,PROPN,
text3,1,4,die,die,NOUN,
text3,1,5,Polizei,Polizei,PROPN,PRODUCT_B
text3,1,6,nicht,nicht,NOUN,
text3,1,7,nur,nur,VERB,
text3,1,8,passiv,passiv,PROPN,
text3,1,9,Telefongespräche,Telefongespräche,PROPN,
text3,1,10,beim,beim,PROPN,
text3,1,11,Telefonanbieter,Telefonanbieter,PROPN,PERSON_B
text3,1,12,mithören,mithören,NOUN,PERSON_I
text3,1,13,",",",",PUNCT,
text3,1,14,sondern,sondern,NOUN,
text3,1,15,aktiv,aktiv,PROPN,ORG_B
text3,1,16,Smartphones,Smartphones,PROPN,ORG_I
text3,1,17,hacken,hacken,VERB,
text3,1,18,und,und,ADJ,
text3,1,19,Apps,Apps,PROPN,ORG_B
text3,1,20,per,per,ADP,ORG_I
text3,1,21,Staatstrojaner,Staatstrojaner,PROPN,ORG_I
text3,1,22,ausforschen,ausforschen,PROPN,
text3,1,23,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,hat,hat,NOUN,
text3,2,3,die,die,VERB,
text3,3,1,Große,Große,PROPN,ORG_B
text3,3,2,Koalition,Koalition,PROPN,ORG_I
text3,3,3,beschlossen,beschlossen,PROPN,
text3,3,4,und,und,PROPN,
text3,3,5,den,den,NOUN,
text3,3,6,als,al,NOUN,
text3,4,1,Quellen,Quellen,PROPN,PERSON_B
text3,4,2,-,-,PUNCT,
text3,4,3,TKÜ,TKÜ,PROPN,
text3,4,4,bezeichneten,bezeichneten,ADJ,
text3,4,5,Staatstrojaner,Staatstrojaner,PROPN,ORG_B
text3,4,6,der,der,NOUN,
text3,4,7,klassischen,klassischen,NOUN,
text3,4,8,Telekommunikationsüberwachung,Telekommunikationsüberwachung,PROPN,PERSON_B
text3,4,9,rechtlich,rechtlich,PROPN,
text3,4,10,gleichgesetzt,gleichgesetzt,NOUN,
text3,4,11,.,.,PUNCT,
text3,5,1,Auch,Auch,PROPN,PERSON_B
text3,5,2,Staatstrojaner,Staatstrojaner,PROPN,PERSON_I
text3,5,3,nutzt,nutzt,NOUN,
text3,5,4,die,die,VERB,
text3,5,5,Polizei,Polizei,PROPN,ORG_B
text3,5,6,vor,vor,VERB,
text3,5,7,allem,allem,NOUN,
text3,5,8,wegen,wegen,NOUN,
text3,5,9,Drogen,Drogen,PROPN,GPE_B
text3,5,10,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,Ampel,Ampel,PROPN,
text5,1,3,-,-,PUNCT,
text5,1,4,Regierung,Regierung,PROPN,
text5,1,5,hat,hat,NOUN,
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text5,2,4,vereinbart,vereinbart,NOUN,
text5,2,5,",",",",PUNCT,
text5,2,6,die,die,VERB,
text5,2,7,Eingriffsschwellen,Eingriffsschwellen,PROPN,PERSON_B
text5,2,8,für,für,NOUN,
text5,2,9,Staatstrojaner,Staatstrojaner,PROPN,PERSON_B
text5,2,10,hochzusetzen,hochzusetzen,NOUN,
text5,2,11,und,und,PROPN,
text5,2,12,das,das,PROPN,
text5,2,13,Gesetz,Gesetz,PROPN,
text5,2,14,an,an,DET,
text5,2,15,ein,ein,NOUN,
text5,2,16,Urteil,Urteil,PROPN,ORG_B
text5,2,17,des,des,PROPN,ORG_I
text5,2,18,Bundesverfassungsgerichts,Bundesverfassungsgerichts,PROPN,ORG_I
text5,2,19,anzupassen,anzupassen,PROPN,
text5,2,20,.,.,PUNCT,
text5,3,1,Das,Das,PROPN,
text5,3,2,Justizministerium,Justizministerium,PROPN,
text5,3,3,hat,hat,NOUN,
text5,3,4,einen,einen,NOUN,
text5,3,5,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text5,3,6,erarbeitet,erarbeitet,NOUN,
text5,3,7,und,und,VERB,
text5,3,8,an,an,DET,
text5,3,9,die,die,PROPN,
text5,3,10,anderen,anderen,NOUN,
text5,3,11,Ministerien,Ministerien,PROPN,ORG_B
text5,3,12,geschickt,geschickt,VERB,
text5,3,13,",",",",PUNCT,
text5,3,14,berichtete,berichtete,VERB,
text5,3,15,Iris,Iris,PROPN,PERSON_B
text5,3,16,Sayram,Sayram,PROPN,PERSON_I
text5,3,17,für,für,NOUN,
text5,3,18,Tagesschau,Tagesschau,PROPN,GPE_B
text5,3,19,.,.,PUNCT,
text5,4,1,Wir,Wir,PROPN,
text5,4,2,veröffentlichen,veröffentlichen,PROPN,
text5,4,3,jetzt,jetzt,PROPN,
text5,4,4,den,den,VERB,
text5,4,5,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text5,4,6,in,in,ADP,
text5,4,7,Volltext,Volltext,PROPN,GPE_B
text5,4,8,.,.,PUNCT,
text7,1,1,#,#,SYM,MONEY_B
text7,1,2,#,#,NOUN,MONEY_I
text7,1,3,Zwei,Zwei,PROPN,PERSON_B
text7,1,4,Arten,Arten,PROPN,PERSON_I
text7,1,5,Staatstrojaner,Staatstrojaner,PROPN,PERSON_I
text9,1,1,Schon,Schon,PROPN,
text9,1,2,2008,2008,NUM,DATE_B
text9,1,3,hat,hat,NOUN,
text9,1,4,das,das,PROPN,
text9,1,5,Bundesverfassungsgericht,Bundesverfassungsgericht,PROPN,PERSON_B
text9,1,6,das,das,PROPN,
text9,1,7,„,„,PUNCT,
text9,1,8,Grundrecht,Grundrecht,PROPN,ORG_B
text9,1,9,auf,auf,PROPN,
text9,1,10,Gewährleistung,Gewährleistung,PROPN,PERSON_B
text9,1,11,der,der,NOUN,PERSON_I
text9,1,12,Vertraulichkeit,Vertraulichkeit,PROPN,PERSON_I
text9,1,13,und,und,PROPN,
