doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Befürworter,Befürworter,PROPN,
text1,1,2,der,der,NOUN,
text1,1,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,4,beschweren,beschweren,VERB,PERSON_I
text1,1,5,sich,sich,PROPN,
text1,1,6,über,über,PROPN,
text1,1,7,die,die,PROPN,
text1,1,8,politische,politische,PROPN,
text1,1,9,Gegenwehr,Gegenwehr,PROPN,GPE_B
text1,1,10,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,wollen,wollen,PROPN,
text1,2,3,das,das,PROPN,
text1,2,4,Framing,Framing,PROPN,
text1,2,5,„,„,PRON,
text1,2,6,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,7,“,"""",PUNCT,
text1,2,8,loswerden,loswerden,NOUN,
text1,2,9,und,und,PROPN,
text1,2,10,stattdessen,stattdessen,PROPN,
text1,2,11,über,über,PROPN,
text1,2,12,„,„,PROPN,
text1,2,13,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text1,2,14,“,"""",PUNCT,
text1,2,15,sprechen,sprechen,NOUN,
text1,2,16,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,deutsche,deutsche,NOUN,
text3,1,3,Botschaft,Botschaft,PROPN,ORG_B
text3,1,4,in,in,ADP,
text3,1,5,Brüssel,Brüssel,PROPN,GPE_B
text3,1,6,hat,hat,NOUN,
text3,1,7,letzte,letzte,NOUN,
text3,1,8,Woche,Woche,PROPN,
text3,1,9,einen,einen,NOUN,
text3,1,10,Drahtbericht,Drahtbericht,PROPN,ORG_B
text3,1,11,an,an,DET,
text3,1,12,die,die,ADJ,
text3,1,13,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,1,14,verschickt,verschickt,NOUN,
text3,1,15,.,.,PUNCT,
text3,2,1,Innenpolitiker,Innenpolitiker,PROPN,ORG_B
text3,2,2,der,der,PROPN,
text3,2,3,Ständigen,Ständigen,PROPN,PERSON_B
text3,2,4,Vertretung,Vertretung,PROPN,PERSON_I
text3,2,5,fordern,fordern,NOUN,
text3,2,6,darin,darin,PROPN,GPE_B
text3,2,7,",",",",PUNCT,
text3,2,8,dass,dass,NOUN,
text3,2,9,Deutschland,Deutschland,PROPN,GPE_B
text3,2,10,dem,dem,PROPN,
text3,2,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,12,-,-,PUNCT,ORG_I
text3,2,13,Gesetz,Gesetz,PROPN,ORG_I
text3,2,14,zustimmt,zustimmt,PROPN,ORG_I
text3,2,15,.,.,PUNCT,
text3,3,1,Wir,Wir,PROPN,
text3,3,2,veröffentlichen,veröffentlichen,PROPN,
text3,3,3,das,das,PROPN,
text3,3,4,Dokument,Dokument,PROPN,
text3,3,5,in,in,ADP,
text3,3,6,Volltext,Volltext,PROPN,PERSON_B
text3,3,7,:,:,PUNCT,
text3,3,8,„,„,PUNCT,
text3,3,9,Es,Es,PROPN,
text3,3,10,geht,geht,VERB,
text3,3,11,um,um,INTJ,
text3,3,12,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text3,3,13,",",",",PUNCT,
text3,3,14,nicht,nicht,NOUN,
text3,3,15,um,um,INTJ,
text3,3,16,‚,‚,PROPN,PERSON_B
text3,3,17,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,3,18,’,',PUNCT,
text3,3,19,.,.,PUNCT,
text3,4,1,Keine,Keine,PROPN,PERSON_B
text3,4,2,Verordnung,Verordnung,PROPN,PERSON_I
text3,4,3,ist,ist,VERB,
text3,4,4,auch,auch,ADJ,
text3,4,5,keine,keine,NOUN,
text3,4,6,Lösung,Lösung,PROPN,PERSON_B
text3,4,7,.,.,PUNCT,
text3,4,8,“,"""",PUNCT,
text5,1,1,Diplomaten,diplomaten,ADJ,
text5,1,2,sind,sind,NOUN,
text5,1,3,eigentlich,eigentlich,PROPN,
text5,1,4,diplomatisch,diplomatisch,NOUN,
text5,1,5,.,.,PUNCT,
text5,2,1,Sie,Sie,PROPN,
text5,2,2,vertreten,vertreten,NOUN,
text5,2,3,ihren,ihren,PROPN,
text5,2,4,Staat,Staat,PROPN,PERSON_B
text5,2,5,und,und,PROPN,
text5,2,6,ihre,ihre,ADJ,
text5,2,7,Regierung,Regierung,PROPN,GPE_B
text5,3,1,i,I,PRON,
text5,3,2,m,m,VERB,
text5,3,3,Ausland,Ausland,PROPN,PERSON_B
text5,3,4,.,.,PUNCT,
text5,4,1,Diplomaten,diplomaten,ADJ,PERSON_B
text5,4,2,handeln,handeln,NOUN,
text5,4,3,nicht,nicht,PROPN,
text5,4,4,nach,nach,PROPN,
text5,4,5,ihren,ihren,PROPN,
text5,4,6,eigenen,eigenen,PROPN,
text5,4,7,Überzeugungen,Überzeugungen,PROPN,PERSON_B
text5,4,8,",",",",PUNCT,
text5,4,9,sondern,sondern,ADJ,
text5,4,10,nach,nach,NOUN,
text5,4,11,Weisungen,Weisungen,PROPN,PERSON_B
text5,4,12,ihrer,ihrer,NOUN,
text5,4,13,Regierung,Regierung,PROPN,GPE_B
text5,4,14,.,.,PUNCT,
text5,5,1,Vor,Vor,PROPN,
text5,5,2,diesem,diesem,PROPN,
text5,5,3,Hintergrund,Hintergrund,PROPN,ORG_B
text5,5,4,ist,ist,ADJ,
text5,5,5,der,der,PROPN,PERSON_B
text5,5,6,Ton,Ton,PROPN,PERSON_I
text5,5,7,dieses,diesis,NOUN,
text5,5,8,Drahtberichts,drahtbericht,VERB,
text5,5,9,ungewöhnlich,ungewöhnlich,NOUN,
text5,5,10,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,2,1,Anlasslose,Anlasslose,PROPN,
text7,2,2,Chatkontrolle,Chatkontrolle,PROPN,
text7,2,3,tabu,tabu,NOUN,
text9,1,1,Anfang,Anfang,PROPN,PERSON_B
text9,1,2,Oktober,Oktober,PROPN,PERSON_I
text9,1,3,verkündete,verkündete,NOUN,
text9,1,4,Justizministerin,Justizministerin,PROPN,PERSON_B
text9,1,5,Stefanie,Stefanie,PROPN,PERSON_I
text9,1,6,Hubig,Hubig,PROPN,PERSON_I
text9,1,7,(,(,PUNCT,
text9,1,8,SPD,SPD,PROPN,
text9,1,9,):,):,PUNCT,
text9,1,10,„,„,PUNCT,
text9,1,11,Anlasslose,Anlasslose,PROPN,WORK_OF_ART_B
text9,1,12,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_I
text9,1,13,muss,muss,NOUN,
text9,1,14,in,in,ADP,
text9,1,15,einem,einem,PROPN,
text9,1,16,Rechtsstaat,Rechtsstaat,PROPN,PERSON_B
text9,1,17,tabu,tabu,PROPN,
text9,1,18,sein,sein,PROPN,
text9,1,19,.,.,PUNCT,
text9,2,1,Private,private,ADJ,
text9,2,2,Kommunikation,Kommunikation,PROPN,
text9,2,3,darf,darf,NOUN,
text9,2,4,nie,nie,PROPN,
text9,2,5,unter,unter,NOUN,
text9,2,6,Generalverdacht,Generalverdacht,PROPN,PERSON_B
text9,2,7,stehen,stehen,ADV,
text9,2,8,.,.,PUNCT,
text9,2,9,“,"""",PUNCT,
text11,1,1,Am,be,AUX,
text11,1,2,selben,selben,PROPN,
text11,1,3,Tag,Tag,PROPN,PERSON_B
text11,1,4,machte,machte,PROPN,PERSON_I
text11,1,5,Regierungs,Regierungs,PROPN,
text11,1,6,-,-,PUNCT,
text11,1,7,Sprecher,Sprecher,PROPN,
text11,1,8,Stefan,Stefan,PROPN,PERSON_B
text11,1,9,Kornelius,Kornelius,PROPN,PERSON_I
text11,1,10,widersprüchliche,widersprüchliche,NOUN,
text11,1,11,Äußerungen,Äußerungen,PROPN,ORG_B
text11,1,12,.,.,PUNCT,
text11,2,1,Einerseits,einerseit,NOUN,
text11,2,2,sagte,sagte,NOUN,
text11,2,3,er,er,INTJ,
text11,2,4,:,:,PUNCT,
text11,2,5,„,„,PUNCT,
text11,2,6,Die,Die,PROPN,WORK_OF_ART_B
text11,2,7,Bundesregierung,Bundesregierung,PROPN,WORK_OF_ART_I
text11,2,8,hat,hat,NOUN,
text11,2,9,stets,stet,NOUN,
text11,2,10,betont,betont,PROPN,
text11,2,11,",",",",PUNCT,
text11,2,12,dass,dass,PROPN,
text11,2,13,die,die,VERB,
text11,2,14,anlasslose,anlasslose,VERB,
text11,2,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,3,1,für,für,NOUN,
text11,3,2,sie,sie,PROPN,
text11,3,3,ein,ein,PROPN,
text11,4,1,Tabu,Tabu,PROPN,ORG_B
text11,4,2,ist,ist,NOUN,
text11,4,3,“,"""",PUNCT,
text11,4,4,.,.,PUNCT,
text11,5,1,Andererseite,Andererseite,PROPN,
text11,5,2,sagte,sagte,PROPN,
text11,5,3,er,er,INTJ,
text11,5,4,:,:,PUNCT,
text11,5,5,„,„,PUNCT,
text11,5,6,Wir,Wir,PROPN,
text11,5,7,machen,machen,PROPN,
text11,5,8,hier,hier,NOUN,
text11,5,9,keine,keine,NOUN,
text11,5,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,5,11,.,.,PUNCT,
text11,6,1,Es,es,INTJ,
text11,6,2,geht,geht,VERB,
text11,6,3,in,in,ADP,
text11,6,4,diesem,diesem,PROPN,
text11,6,5,Verfahren,Verfahren,PROPN,PERSON_B
text11,6,6,darum,darum,NOUN,
text11,6,7,",",",",PUNCT,
text11,6,8,Prävention,Prävention,PROPN,
text11,6,9,i,I,PRON,
text11,6,10,m,m,VERB,
text11,6,11,Fall,Fall,PROPN,PERSON_B
text11,6,12,von,von,PROPN,PERSON_I
text11,6,13,Kindsmissbrauch,Kindsmissbrauch,PROPN,PERSON_I
text11,6,14,durchzusetzen,durchzusetzen,NOUN,
text11,6,15,.,.,PUNCT,
text11,6,16,“,"""",PUNCT,
text13,1,1,Die,die,VERB,ORG_B
text13,1,2,Botschaft,Botschaft,PROPN,ORG_I
text13,1,3,in,in,ADP,
text13,1,4,Brüssel,Brüssel,PROPN,GPE_B
text13,1,5,widerspricht,widerspricht,NOUN,
text13,1,6,der,der,PROPN,
text13,1,7,Ministerin,Ministerin,PROPN,PERSON_B
text13,1,8,ebenfalls,ebenfall,NOUN,
text13,1,9,.,.,PUNCT,
text13,2,1,Die,die,VERB,
text13,2,2,Diplomaten,Diplomaten,PROPN,PERSON_B
text13,2,3,schreiben,schreiben,PROPN,PERSON_I
text13,2,4,:,:,PUNCT,
text13,2,5,„,„,PUNCT,
text13,2,6,‚,‚,PROPN,PERSON_B
text13,2,7,Wir,Wir,PROPN,
text13,2,8,wollen,wollen,NOUN,
text13,2,9,keine,keine,NOUN,
text13,2,10,anlasslose,anlasslose,VERB,
text13,2,11,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text13,2,12,’,',PUNCT,
text13,2,13,",",",",PUNCT,
text13,2,14,schallt,schallt,VERB,
text13,2,15,es,es,PROPN,
text13,2,16,aus,aus,PROPN,GPE_B
text13,2,17,Berlin,Berlin,PROPN,GPE_I
text13,2,18,",",",",PUNCT,
text13,2,19,obwohl,obwohl,NOUN,
text13,2,20,selbige,selbige,NOUN,
text13,2,21,in,in,ADP,
text13,2,22,Brüssel,Brüssel,PROPN,GPE_B
text13,2,23,niemand,niemand,NOUN,
text13,2,24,fordert,fordert,PROPN,
text13,2,25,.,.,PUNCT,
text13,2,26,“,"""",PUNCT,
text13,3,1,Und,und,NOUN,
text13,3,2,:,:,PUNCT,
text13,3,3,„,„,PUNCT,
text13,3,4,Es,Es,PROPN,
text13,3,5,geht,geht,VERB,
text13,3,6,um,um,INTJ,
text13,3,7,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text13,3,8,",",",",PUNCT,
text13,3,9,nicht,nicht,NOUN,
text13,3,10,um,um,INTJ,
text13,3,11,‚,‚,PROPN,PERSON_B
text13,3,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text13,3,13,’,',PUNCT,
text13,3,14,.,.,PUNCT,
text13,3,15,“,"""",PUNCT,
text15,1,1,#,#,SYM,
text15,1,2,#,#,NOUN,
text15,1,3,Irreführend,irreführend,ADJ,
text15,1,4,bis,bis,CCONJ,
text15,1,5,falsch,falsch,NOUN,
text17,1,1,Diese,diese,ADJ,NORP_B
text17,1,2,Aussagen,Aussagen,PROPN,
text17,1,3,sind,sind,NOUN,
text17,1,4,irreführend,irreführend,VERB,
text17,1,5,bis,bis,ADP,
text17,1,6,falsch,falsch,NOUN,
text17,1,7,.,.,PUNCT,
text17,2,1,Der,Der,PROPN,PERSON_B
text17,2,2,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text17,2,3,soll,soll,PROPN,
text17,2,4,Internet,Internet,PROPN,
text17,2,5,-,-,PUNCT,
text17,2,6,Dienste,Dienste,PROPN,
text17,2,7,verpflichten,verpflichten,VERB,
text17,2,8,",",",",PUNCT,
text17,2,9,die,die,VERB,
text17,2,10,Kommunikation,Kommunikation,PROPN,
text17,2,11,ihrer,ihrer,NOUN,
text17,2,12,Nutzer,Nutzer,PROPN,ORG_B
text17,2,13,auf,auf,PROPN,
text17,2,14,mutmaßliche,mutmaßliche,NOUN,
text17,2,15,Straftaten,Straftaten,PROPN,PERSON_B
text17,2,16,zu,zu,ADJ,PERSON_I
text17,2,17,durchsuchen,durchsuchen,NOUN,PERSON_I
text17,2,18,.,.,PUNCT,
text17,3,1,Das,Das,PROPN,
text17,3,2,Gesetz,Gesetz,PROPN,
text17,3,3,will,will,AUX,
text17,3,4,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text17,3,5,durch,durch,NOUN,
text17,3,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text17,3,7,",",",",PUNCT,
text17,3,8,nicht,nicht,PROPN,
text17,3,9,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text17,3,10,statt,statt,NOUN,
text17,3,11,Chatkontrolle,Chatkontrolle,PROPN,
text17,3,12,.,.,PUNCT,
text19,1,1,Darüber,Darüber,PROPN,PERSON_B
text19,1,2,hinaus,hinaus,NOUN,
text19,1,3,fordern,fordern,NOUN,
text19,1,4,manche,manche,NOUN,
text19,1,5,Politiker,Politiker,PROPN,PRODUCT_B
text19,1,6,bereits,bereit,VERB,
text19,1,7,eine,eine,NOUN,
text19,1,8,Ausweitung,Ausweitung,PROPN,ORG_B
text19,1,9,der,der,NOUN,
text19,1,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text19,1,11,auf,auf,PROPN,
text19,1,12,andere,andere,PROPN,
text19,1,13,Inhalte,Inhalte,PROPN,PERSON_B
text19,1,14,.,.,PUNCT,
text21,1,1,Die,die,VERB,ORG_B
text21,1,2,EU,EU,PROPN,ORG_I
text21,1,3,-,-,PUNCT,ORG_I
text21,1,4,Kommission,Kommission,PROPN,ORG_I
text21,1,5,will,will,AUX,
text21,1,6,auf,auf,PROPN,
text21,1,7,Anordnung,Anordnung,PROPN,PERSON_B
text21,1,8,Dienste,Dienste,PROPN,PERSON_I
text21,1,9,dazu,dazu,NOUN,
text21,1,10,verpflichten,verpflichten,VERB,
text21,1,11,",",",",PUNCT,
text21,1,12,die,die,VERB,
text21,1,13,Chats,Chats,PROPN,PERSON_B
text21,1,14,all,all,DET,
