doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Heimlich,Heimlich,PROPN,
text1,1,2,",",",",PUNCT,
text1,1,3,still,still,ADV,
text1,1,4,und,und,VERB,
text1,1,5,leise,leise,PROPN,
text1,1,6,hat,hat,NOUN,
text1,1,7,die,die,VERB,
text1,1,8,EU,EU,PROPN,ORG_B
text1,1,9,-,-,PUNCT,ORG_I
text1,1,10,Kommission,Kommission,PROPN,ORG_I
text1,1,11,nun,nun,PROPN,
text1,1,12,doch,doch,PROPN,PERSON_B
text1,1,13,ihren,ihren,PROPN,PERSON_I
text1,1,14,Bericht,Bericht,PROPN,PERSON_I
text1,1,15,zur,zur,PROPN,
text1,1,16,freiwilligen,freiwilligen,NOUN,
text1,1,17,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,18,veröffentlicht,veröffentlicht,PROPN,
text1,1,19,.,.,PUNCT,
text1,2,1,Dazu,Dazu,PROPN,
text1,2,2,ist,ist,AUX,
text1,2,3,sie,sie,PROPN,
text1,2,4,gesetzlich,gesetzlich,PROPN,
text1,2,5,verpflichtet,verpflichtet,NOUN,
text1,2,6,",",",",PUNCT,
text1,2,7,um,um,INTJ,
text1,2,8,die,die,VERB,
text1,2,9,Verhältnismäßigkeit,Verhältnismäßigkeit,PROPN,ORG_B
text1,2,10,der,der,PROPN,
text1,2,11,freiwilligen,freiwilligen,NOUN,
text1,2,12,Massen,Massen,PROPN,ORG_B
text1,2,13,-,-,PUNCT,ORG_I
text1,2,14,Scans,Scans,PROPN,ORG_I
text1,2,15,zu,zu,NOUN,
text1,2,16,untersuchen,untersuchen,NOUN,
text1,2,17,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,PERSON_B
text3,1,2,Anfang,Anfang,PROPN,PERSON_I
text3,1,3,September,September,PROPN,DATE_B
text3,1,4,stand,stand,VERB,
text3,1,5,der,der,NOUN,
text3,1,6,Bericht,Bericht,PROPN,ORG_B
text3,1,7,bereits,bereit,VERB,
text3,1,8,aus,aus,PROPN,
text3,1,9,.,.,PUNCT,
text3,2,1,Die,die,VERB,ORG_B
text3,2,2,EU,EU,PROPN,ORG_I
text3,2,3,-,-,PUNCT,ORG_I
text3,2,4,Kommission,Kommission,PROPN,ORG_I
text3,2,5,zögerte,zögerte,PROPN,
text3,2,6,ihn,ihn,PROPN,
text3,2,7,monatelang,monatelang,PROPN,
text3,2,8,hinaus,hinaus,PROPN,
text3,2,9,und,und,PROPN,
text3,2,10,veröffentlichte,veröffentlichte,PROPN,PERSON_B
text3,2,11,ihn,ihn,PROPN,
text3,2,12,dann,dann,PROPN,
text3,2,13,genau,genau,PROPN,
text3,2,14,am,be,AUX,
text3,2,15,Tag,Tag,PROPN,
text3,2,16,nach,nach,PROPN,
text3,2,17,der,der,PROPN,
text3,2,18,Einigung,Einigung,PROPN,PERSON_B
text3,2,19,zur,zur,PROPN,PERSON_I
text3,2,20,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,EU,EU,PROPN,PERSON_B
text3,3,4,-,-,PUNCT,PERSON_I
text3,3,5,Rat,Rat,PROPN,PERSON_I
text3,3,6,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,PERSON_B
text5,1,2,Kommissionsbericht,Kommissionsbericht,PROPN,PERSON_I
text5,1,3,kann,kann,NOUN,
text5,1,4,auch,auch,ADJ,
text5,1,5,nach,nach,PROPN,
text5,1,6,mehreren,mehreren,NOUN,
text5,1,7,Monaten,Monaten,PROPN,PERSON_B
text5,1,8,Verzögerung,Verzögerung,PROPN,PERSON_I
text5,1,9,wieder,wieder,NOUN,
text5,1,10,keine,keine,NOUN,
text5,1,11,ausreichenden,ausreichenden,PROPN,
text5,1,12,Fakten,Fakten,PROPN,
text5,1,13,und,und,VERB,
text5,1,14,Statistiken,statistiken,ADJ,PERSON_B
text5,1,15,liefern,liefern,NOUN,
text5,1,16,",",",",PUNCT,
text5,1,17,um,um,INTJ,
text5,1,18,ein,ein,PROPN,
text5,1,19,Urteil,Urteil,PROPN,ORG_B
text5,1,20,über,über,PROPN,
text5,1,21,die,die,VERB,
text5,1,22,Verhältnismäßigkeit,Verhältnismäßigkeit,PROPN,ORG_B
text5,1,23,der,der,NOUN,
text5,1,24,freiwilligen,freiwilligen,NOUN,
text5,1,25,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,1,26,zu,zu,ADJ,PERSON_I
text5,1,27,treffen,treffen,NOUN,PERSON_I
text5,1,28,.,.,PUNCT,
text5,2,1,Die,die,AUX,
text5,2,2,aufgelisteten,aufgelisteten,VERB,
text5,2,3,Zahlen,Zahlen,PROPN,PERSON_B
text5,2,4,von,von,PROPN,PERSON_I
text5,2,5,Dienste,Dienste,PROPN,PERSON_I
text5,2,6,-,-,PUNCT,PERSON_I
text5,2,7,Anbietern,anbietern,ADJ,PERSON_I
text5,2,8,und,und,PROPN,
text5,2,9,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text5,2,10,sind,sind,NOUN,
text5,2,11,nach,nach,PROPN,
text5,2,12,wie,wie,NOUN,
text5,2,13,vor,vor,NOUN,
text5,2,14,unvollständig,unvollständig,ADJ,
text5,2,15,und,und,PROPN,
text5,2,16,nicht,nicht,PROPN,
text5,2,17,hinreichend,hinreichend,NOUN,
text5,2,18,.,.,PUNCT,
text5,3,1,Die,die,VERB,ORG_B
text5,3,2,EU,EU,PROPN,ORG_I
text5,3,3,-,-,PUNCT,ORG_I
text5,3,4,Kommission,Kommission,PROPN,ORG_I
