doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Bundesregierung,Bundesregierung,PROPN,
text1,1,3,will,will,AUX,
text1,1,4,Online,Online,PROPN,
text1,1,5,-,-,PUNCT,
text1,1,6,Radikalisierung,Radikalisierung,PROPN,
text1,1,7,und,und,PROPN,
text1,1,8,gewalttätigen,gewalttätigen,PROPN,
text1,1,9,Extremismus,Extremismus,PROPN,ORG_B
text1,1,10,stärker,stärker,NOUN,
text1,1,11,bekämpfen,bekämpfen,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Deutschland,deutschland,NOUN,GPE_B
text1,2,2,hat,hat,NOUN,
text1,2,3,zusammen,zusamman,NOUN,
text1,2,4,mit,mit,NOUN,
text1,2,5,Frankreich,Frankreich,PROPN,PERSON_B
text1,2,6,und,und,VERB,
text1,2,7,den,den,VERB,
text1,2,8,Niederlanden,Niederlanden,PROPN,GPE_B
text1,2,9,ein,ein,NOUN,
text1,3,1,Diskussionspapier,Diskussionspapier,PROPN,
text1,3,2,mit,mit,VERB,
text1,3,3,möglichen,möglichen,NOUN,
text1,3,4,Maßnahmen,Maßnahmen,PROPN,PRODUCT_B
text1,3,5,erstellt,erstellt,PROPN,
text1,3,6,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Verordnung,verordnung,ADJ,ORG_I
text3,1,3,gegen,gegen,NOUN,
text3,1,4,terroristische,terroristische,PROPN,
text3,1,5,Online,Online,PROPN,
text3,1,6,-,-,PUNCT,
text3,1,7,Inhalte,Inhalte,PROPN,
text3,1,8,und,und,PROPN,
text3,1,9,das,das,PROPN,ORG_B
text3,1,10,Gesetz,Gesetz,PROPN,ORG_I
text3,1,11,über,über,NOUN,
text3,1,12,digitale,digitale,NOUN,
text3,1,13,Dienste,Dienste,PROPN,GPE_B
text3,1,14,regeln,regeln,NOUN,
text3,1,15,viele,viele,NOUN,
