doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,AUX,ORG_B
text1,1,2,Europawahl,Europawahl,NOUN,ORG_I
text1,1,3,steht,steht,VERB,
text1,1,4,vor,vor,NOUN,
text1,1,5,der,der,NOUN,
text1,1,6,Tür,Tür,PROPN,ORG_B
text1,1,7,",",",",PUNCT,
text1,1,8,aber,aber,PROPN,
text1,1,9,die,die,VERB,
text1,1,10,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,1,11,zur,zur,PROPN,ORG_I
text1,1,12,verpflichtenden,verpflichtenden,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,sind,sind,VERB,
text1,1,15,noch,noch,PROPN,
text1,1,16,nicht,nicht,PROPN,
text1,1,17,abgeschlossen,abgeschlossen,PROPN,
text1,1,18,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,Kommission,Kommission,PROPN,ORG_I
text1,2,3,will,will,AUX,
text1,2,4,Internetdienste,Internetdienste,PROPN,
text1,2,5,verpflichten,verpflichten,VERB,
text1,2,6,",",",",PUNCT,
text1,2,7,die,die,VERB,
text1,2,8,Inhalte,Inhalte,PROPN,NORP_B
text1,2,9,ihrer,ihrer,NOUN,
text1,2,10,Nutzer,Nutzer,PROPN,ORG_B
text1,2,11,auf,auf,PROPN,
text1,2,12,Straftaten,Straftaten,PROPN,
text1,2,13,zu,zu,NOUN,
text1,2,14,durchsuchen,durchsuchen,NOUN,
text1,2,15,und,und,VERB,
text1,2,16,diese,diese,ADJ,NORP_B
text1,2,17,bei,bei,NOUN,
text1,2,18,Verdacht,Verdacht,PROPN,PERSON_B
text1,2,19,an,an,DET,
text1,2,20,Behörden,Behörden,PROPN,GPE_B
text1,2,21,zu,zu,NOUN,
text1,2,22,schicken,schicken,NOUN,
text1,2,23,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,bisher,bisher,PROPN,
text3,1,8,nicht,nicht,PROPN,
text3,1,9,auf,auf,PROPN,
text3,1,10,eine,eine,NOUN,
text3,1,11,gemeinsame,gemeinsame,NOUN,
text3,1,12,Position,Position,PROPN,
text3,1,13,einigen,einigen,NOUN,
text3,1,14,.,.,PUNCT,
text3,2,1,Manche,Manche,PROPN,PERSON_B
text3,2,2,Länder,Länder,PROPN,PERSON_I
text3,2,3,unterstützen,unterstützen,NOUN,
text3,2,4,den,den,VERB,
text3,2,5,Vorschlag,Vorschlag,PROPN,ORG_B
text3,2,6,der,der,PROPN,
text3,2,7,Kommission,Kommission,PROPN,ORG_B
text3,2,8,",",",",PUNCT,
text3,2,9,andere,andere,VERB,
text3,2,10,eher,eher,ADJ,
text3,2,11,die,die,PROPN,
text3,2,12,Position,Position,PROPN,ORG_B
text3,2,13,des,des,PROPN,ORG_I
text3,2,14,Parlaments,Parlaments,PROPN,ORG_I
text3,2,15,.,.,PUNCT,
text3,3,1,Letzte,Letzte,PROPN,ORG_B
text3,3,2,Woche,Woche,PROPN,ORG_I
text3,3,3,hat,hat,NOUN,
text3,3,4,der,der,NOUN,
text3,3,5,Rat,Rat,PROPN,
text3,3,6,erneut,erneut,NOUN,
text3,3,7,in,in,ADP,
text3,3,8,der,der,PROPN,
text3,3,9,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text3,3,10,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,3,11,verhandelt,verhandelt,ADV,
text3,3,12,.,.,PUNCT,
text3,4,1,Wir,Wir,PROPN,
text3,4,2,veröffentlichen,veröffentlichen,PROPN,
text3,4,3,ein,ein,PROPN,
text3,4,4,weiteres,weitere,VERB,
text3,4,5,Mal,Mal,PROPN,PERSON_B
text3,4,6,das,das,PROPN,PERSON_I
text3,4,7,eingestufte,eingestufte,NOUN,
text3,4,8,Protokoll,Protokoll,PROPN,ORG_B
text3,4,9,der,der,PROPN,
text3,4,10,Sitzung,Sitzung,PROPN,GPE_B
text3,4,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Belgien,Belgien,PROPN,PERSON_B
text5,1,4,präsentiert,präsentiert,NOUN,
text5,1,5,neuen,neuen,NOUN,
text5,1,6,Entwurf,Entwurf,PROPN,ORG_B
text7,1,1,Nachdem,Nachdem,PROPN,ORG_B
text7,1,2,die,die,VERB,
text7,1,3,Verhandlungen,Verhandlungen,PROPN,ORG_B
text7,1,4,i,I,PRON,
text7,1,5,m,m,VERB,
text7,1,6,April,April,PROPN,DATE_B
text7,1,7,festgesteckt,festgesteckt,NOUN,
text7,1,8,waren,waren,NOUN,PERSON_B
text7,1,9,",",",",PUNCT,
text7,1,10,hat,hat,NOUN,
text7,1,11,die,die,NOUN,
text7,1,12,belgische,belgische,PROPN,
text7,1,13,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text7,1,14,Anfang,Anfang,PROPN,PERSON_I
text7,1,15,Mai,Mai,PROPN,PERSON_I
text7,1,16,neue,neue,NOUN,
text7,1,17,Kompromissvorschläge,Kompromissvorschläge,PROPN,GPE_B
text7,1,18,gemacht,gemacht,NOUN,
text7,1,19,.,.,PUNCT,
text7,2,1,Wir,Wir,PROPN,
text7,2,2,veröffentlichen,veröffentlichen,PROPN,
text7,2,3,jetzt,jetzt,PROPN,
text7,2,4,die,die,PROPN,
text7,2,5,belgische,belgische,PROPN,
text7,2,6,PowerPoint,PowerPoint,PROPN,ORG_B
text7,2,7,-,-,PUNCT,ORG_I
text7,2,8,Präsentation,Präsentation,PROPN,ORG_I
text7,2,9,.,.,PUNCT,
text9,1,1,Am,be,AUX,
text9,1,2,Dienstag,Dienstag,PROPN,PERSON_B
text9,1,3,hat,hat,PROPN,
text9,1,4,die,die,PROPN,
text9,1,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text9,1,6,ihren,ihren,PROPN,
text9,1,7,ausformulierten,ausformulierten,VERB,
text9,1,8,Kompromisstext,Kompromisstext,PROPN,PERSON_B
text9,1,9,an,an,DET,
text9,1,10,die,die,NOUN,
text9,1,11,Staaten,Staaten,PROPN,PRODUCT_B
text9,1,12,verschickt,verschickt,NOUN,
text9,1,13,.,.,PUNCT,
text9,2,1,Wir,Wir,PROPN,
text9,2,2,veröffentlichen,veröffentlichen,NOUN,
text9,2,3,diesen,diesen,VERB,
text9,2,4,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text9,2,5,in,in,ADP,
text9,2,6,Volltext,Volltext,PROPN,PERSON_B
text9,2,7,(,(,PUNCT,
text9,2,8,Update,update,NOUN,
text9,2,9,:,:,PUNCT,
text9,2,10,offiziell,offiziell,PROPN,
text9,2,11,),),PUNCT,
text9,2,12,.,.,PUNCT,
text11,1,1,Dienste,dienste,NOUN,GPE_B
text11,1,2,sollen,sollen,NOUN,
text11,1,3,ihr,ihr,VERB,
text11,1,4,Risiko,Risiko,PROPN,PERSON_B
text11,1,5,für,für,NOUN,
text11,1,6,Straftaten,Straftaten,PROPN,NORP_B
text11,1,7,bewerten,bewerten,NOUN,
text11,1,8,",",",",PUNCT,
text11,1,9,demnach,demnach,PROPN,
text11,1,10,würde,würde,NOUN,
text11,1,11,die,die,VERB,
text11,1,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,1,13,vor,vor,VERB,
text11,1,14,allem,allem,NOUN,
text11,1,15,Dienste,Dienste,PROPN,PERSON_B
text11,1,16,mit,mit,NOUN,
text11,1,17,Anonymität,Anonymität,PROPN,
text11,1,18,und,und,ADJ,
text11,1,19,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text11,1,20,treffen,treffen,NOUN,
text11,1,21,.,.,PUNCT,
text11,2,1,Dienste,Dienste,PROPN,PERSON_B
text11,2,2,sollen,sollen,NOUN,
text11,2,3,Bilder,Bilder,PROPN,
text11,2,4,",",",",PUNCT,
text11,2,5,Videos,video,NOUN,ORG_B
text11,2,6,und,und,VERB,
text11,2,7,URLs,url,NOUN,
text11,2,8,durchsuchen,durchsuchen,NOUN,
text11,2,9,",",",",PUNCT,
text11,2,10,aber,aber,PROPN,
text11,2,11,nicht,nicht,PROPN,
text11,2,12,mehr,mehr,NOUN,
text11,2,13,Audio,Audio,PROPN,
text11,2,14,und,und,PROPN,
text11,2,15,Text,Text,PROPN,
text11,2,16,.,.,PUNCT,
text11,3,1,Zudem,Zudem,PROPN,ORG_B
text11,3,2,sollen,sollen,PROPN,
text11,3,3,Nutzer,Nutzer,PROPN,GPE_B
text11,3,4,einer,einer,NOUN,
text11,3,5,Chatkontrolle,Chatkontrolle,PROPN,
text11,3,6,zustimmen,zustimmen,PROPN,
text11,3,7,",",",",PUNCT,
text11,3,8,sonst,sonst,NOUN,
text11,3,9,dürfen,dürfen,PROPN,
text11,3,10,sie,sie,PROPN,
text11,3,11,keine,keine,PROPN,
text11,3,12,Bilder,Bilder,PROPN,
text11,3,13,und,und,NOUN,
text11,3,14,Videos,video,NOUN,GPE_B
text11,3,15,hochladen,hochladen,ADJ,
text11,3,16,.,.,PUNCT,
text13,1,1,Viele,Viele,PROPN,
text13,1,2,Staaten,Staaten,PROPN,
text13,1,3,unterstützen,unterstützen,NOUN,
text13,1,4,diese,diese,PROPN,
text13,1,5,Ideen,Ideen,PROPN,ORG_B
text13,1,6,",",",",PUNCT,
text13,1,7,trotzdem,trotzdem,PROPN,ORG_B
text13,1,8,bleiben,bleiben,PROPN,ORG_I
text13,1,9,noch,noch,PROPN,
text13,1,10,Fragen,Fragen,PROPN,ORG_B
text13,1,11,offen,offen,PROPN,
text13,1,12,.,.,PUNCT,
text15,1,1,#,#,SYM,
text15,1,2,#,#,NOUN,
text15,1,3,Frankreich,Frankreich,PROPN,PERSON_B
text15,1,4,entscheidet,entscheidet,NOUN,
text15,1,5,auf,auf,PROPN,
text15,1,6,höchster,höchster,NOUN,
text15,1,7,Ebene,Ebene,PROPN,PERSON_B
text17,1,1,Für,Für,PROPN,
text17,1,2,Deutschland,Deutschland,PROPN,GPE_B
text17,1,3,ist,ist,PROPN,
text17,1,4,der,der,PROPN,
text17,1,5,neue,neue,PROPN,
text17,1,6,Vorschlag,Vorschlag,PROPN,ORG_B
text17,1,7,„,„,PROPN,
text17,1,8,noch,noch,PROPN,
text17,1,9,immer,immer,PROPN,
text17,1,10,nicht,nicht,PROPN,
text17,1,11,zufriedenstellend,zufriedenstellend,PROPN,
text17,1,12,“,"""",PUNCT,
text17,1,13,.,.,PUNCT,
text17,2,1,Polen,Polen,PROPN,PERSON_B
text17,2,2,findet,findet,NOUN,
text17,2,3,den,den,VERB,
text17,2,4,„,„,PROPN,
text17,2,5,Eingriff,Eingriff,PROPN,
text17,2,6,in,in,ADP,
text17,2,7,die,die,PROPN,
text17,2,8,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text17,2,9,weiterhin,weiterhin,PROPN,
text17,2,10,zu,zu,PROPN,
text17,2,11,groß,groß,PROPN,
text17,2,12,“,"""",PUNCT,
text17,2,13,",",",",PUNCT,
text17,2,14,unverdächtige,unverdächtige,PROPN,GPE_B
text17,2,15,Personen,Personen,PROPN,ORG_B
text17,2,16,dürfen,dürfen,PROPN,
text17,2,17,nicht,nicht,PROPN,
text17,2,18,überwacht,überwacht,PROPN,PERSON_B
text17,2,19,werden,werden,PROPN,PERSON_I
text17,2,20,.,.,PUNCT,
text17,3,1,Luxemburg,luxemburg,ADJ,
text17,3,2,hat,hat,NOUN,
text17,3,3,„,„,PUNCT,
text17,3,4,weiterhin,weiterhin,NOUN,
text17,3,5,erhebliche,erhebliche,NOUN,
text17,3,6,Bedenken,Bedenken,PROPN,PRODUCT_B
text17,3,7,angesichts,angesicht,VERB,
text17,3,8,des,des,PROPN,GPE_B
text17,3,9,Scannens,Scannens,PROPN,GPE_I
text17,3,10,aller,aller,NOUN,
text17,3,11,Nutzer,Nutzer,PROPN,PERSON_B
text17,3,12,“,"""",PUNCT,
text17,3,13,.,.,PUNCT,
text19,1,1,Österreich,Österreich,PROPN,
text19,1,2,sieht,sieht,NOUN,ORG_B
text19,1,3,ebenfalls,ebenfall,NOUN,
text19,1,4,„,„,PUNCT,
text19,1,5,die,die,VERB,
text19,1,6,grundrechtlichen,grundrechtlichen,ADP,
text19,1,7,Bedenken,Bedenken,PROPN,GPE_B
text19,1,8,als,al,NOUN,
text19,1,9,nicht,nicht,PROPN,
text19,1,10,ausgeräumt,ausgeräumt,NOUN,
text19,1,11,an,an,PRON,
text19,1,12,“,"""",PUNCT,
text19,1,13,.,.,PUNCT,
text19,2,1,Die,die,VERB,ORG_B
text19,2,2,Niederlande,Niederlande,PROPN,ORG_I
text19,2,3,lehnen,lehnen,NOUN,PERSON_B
text19,2,4,den,den,NOUN,PERSON_I
text19,2,5,Vorschlag,Vorschlag,PROPN,ORG_B
text19,2,6,ebenfalls,ebenfall,NOUN,
text19,2,7,ab,ab,PROPN,
text19,2,8,",",",",PUNCT,
text19,2,9,weil,weil,PROPN,
text19,2,10,Anbieter,Anbieter,PROPN,PERSON_B
text19,2,11,nicht,nicht,PROPN,
text19,2,12,nur,nur,VERB,
text19,2,13,bekanntes,bekannte,NOUN,
text19,2,14,Missbrauchsmaterial,Missbrauchsmaterial,PROPN,GPE_B
text19,2,15,",",",",PUNCT,
text19,2,16,sondern,sondern,ADJ,
text19,2,17,auch,auch,NOUN,
text19,2,18,bisher,bisher,PROPN,
text19,2,19,unbekannte,unbekannte,NOUN,
text19,2,20,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text19,2,21,suchen,suchen,PROPN,
text19,2,22,sollen,sollen,NOUN,
text19,2,23,.,.,PUNCT,
text21,1,1,Andere,Andere,PROPN,
text21,1,2,Staaten,Staaten,PROPN,PRODUCT_B
text21,1,3,prüfen,prüfen,NOUN,
text21,1,4,den,den,VERB,
text21,1,5,Vorschlag,Vorschlag,PROPN,ORG_B
text21,1,6,noch,noch,PROPN,
text21,1,7,",",",",PUNCT,
text21,1,8,darunter,darunter,ADJ,
text21,1,9,Italien,Italien,PROPN,PERSON_B
text21,1,10,",",",",PUNCT,
text21,1,11,Tschechien,Tschechien,PROPN,ORG_B
text21,1,12,und,und,PROPN,
text21,1,13,Slowenien,Slowenien,PROPN,
text21,1,14,.,.,PUNCT,
text21,2,1,In,in,ADP,
text21,2,2,Schweden,Schweden,PROPN,GPE_B
text21,2,3,muss,muss,NOUN,
text21,2,4,sich,sich,PROPN,
text21,2,5,das,das,PROPN,PRODUCT_B
text21,2,6,Parlament,Parlament,PROPN,PRODUCT_I
text21,2,7,mit,mit,VERB,PRODUCT_I
text21,2,8,dem,dem,ADJ,PRODUCT_I
text21,2,9,neuen,neuen,NOUN,
text21,2,10,Vorschlag,Vorschlag,PROPN,ORG_B
text21,2,11,befassen,befassen,PROPN,
text21,2,12,.,.,PUNCT,
text23,1,1,Bisher,Bisher,PROPN,
text23,1,2,scheitert,scheitert,ADJ,
text23,1,3,eine,eine,NOUN,
text23,1,4,Einigung,Einigung,PROPN,ORG_B
text23,1,5,",",",",PUNCT,
text23,1,6,weil,weil,PROPN,
text23,1,7,eine,eine,NOUN,
text23,1,8,Sperrminorität,Sperrminorität,PROPN,NORP_B
text23,1,9,aus,aus,PROPN,
text23,1,10,mindestens,mindesten,VERB,
text23,1,11,vier,vier,ADJ,
text23,1,12,Staaten,Staaten,PROPN,PRODUCT_B
text23,1,13,mit,mit,NOUN,
text23,1,14,mindestens,mindesten,VERB,
text23,1,15,35,35,NUM,CARDINAL_B
text23,1,16,Prozent,Prozent,PROPN,ORG_B
text23,1,17,der,der,PROPN,
text23,1,18,EU,EU,PROPN,ORG_B
text23,1,19,-,-,PUNCT,
text23,1,20,Bevölkerung,Bevölkerung,PROPN,
text23,1,21,nicht,nicht,NOUN,
text23,1,22,zustimmen,zustimman,NOUN,
text23,1,23,kann,kann,NOUN,
text23,1,24,.,.,PUNCT,
text23,2,1,Das,Das,PROPN,
text23,2,2,ist,ist,PROPN,
text23,2,3,neben,neben,PROPN,
text23,2,4,Deutschland,Deutschland,PROPN,GPE_B
text23,2,5,und,und,VERB,
text23,2,6,Polen,Polen,PROPN,PERSON_B
text23,2,7,bisher,bisher,NOUN,
text23,2,8,vor,vor,VERB,
text23,2,9,allem,allem,NOUN,
text23,2,10,Frankreich,Frankreich,PROPN,PERSON_B
text23,2,11,.,.,PUNCT,
text25,1,1,Jetzt,Jetzt,PROPN,
text25,1,2,wackelt,wackelt,VERB,
text25,1,3,Paris,Paris,PROPN,GPE_B
text25,1,4,.,.,PUNCT,
text25,2,1,Einerseits,einerseit,NOUN,
text25,2,2,steht,steht,VERB,
text25,2,3,Frankreich,Frankreich,PROPN,PERSON_B
text25,2,4,dem,dem,INTJ,PERSON_I
text25,2,5,neuen,neuen,NOUN,
text25,2,6,Vorschlag,Vorschlag,PROPN,ORG_B
text25,2,7,„,„,PUNCT,
text25,2,8,deutlich,deutlich,NOUN,
text25,2,9,positiver,positiver,NOUN,
text25,2,10,gegenüber,gegenüber,PROPN,
text25,2,11,“,"""",PUNCT,
text25,2,12,als,al,NOUN,
text25,2,13,bisher,bisher,PROPN,
text25,2,14,und,und,PROPN,
text25,2,15,will,will,AUX,
text25,2,16,„,„,PUNCT,
text25,2,17,gerne,gerne,NOUN,
text25,2,18,zur,zur,PROPN,
text25,2,19,Kompromissfindung,Kompromissfindung,PROPN,ORG_B
text25,2,20,beitragen,beitragen,NOUN,
text25,2,21,“,"""",PUNCT,
text25,2,22,.,.,PUNCT,
text25,3,1,Andererseits,andererseit,NOUN,
text25,3,2,hat,hat,NOUN,
text25,3,3,das,das,PROPN,
text25,3,4,Land,Land,PROPN,
text25,3,5,„,„,PROPN,
text25,3,6,noch,noch,PROPN,
text25,3,7,in,in,ADP,
text25,3,8,einigen,einigen,NOUN,
text25,3,9,Punkten,Punkten,PROPN,PERSON_B
text25,3,10,Klärungsbedarf,Klärungsbedarf,PROPN,PERSON_I
text25,3,11,“,"""",PUNCT,
text25,3,12,.,.,PUNCT,
text25,4,1,Die,die,VERB,
text25,4,2,französische,französische,ADJ,
text25,4,3,Vertretung,Vertretung,PROPN,
text25,4,4,in,in,ADP,
text25,4,5,Brüssel,Brüssel,PROPN,GPE_B
text25,4,6,wartet,wartet,NOUN,
text25,4,7,„,„,SYM,
text25,4,8,auf,auf,PROPN,
text25,4,9,eine,eine,NOUN,
text25,4,10,Entscheidung,Entscheidung,PROPN,PERSON_B
text25,4,11,auf,auf,PROPN,PERSON_I
text25,4,12,allerhöchster,allerhöchster,NOUN,
text25,4,13,Ebene,Ebene,PROPN,PERSON_B
text25,4,14,“,"""",PUNCT,
text25,4,15,–,–,PUNCT,
text25,4,16,also,also,ADV,
text25,4,17,von,von,PROPN,
text25,4,18,Premierminister,Premierminister,PROPN,ORG_B
text25,4,19,Attal,Attal,PROPN,ORG_I
text25,4,20,oder,oder,NOUN,
text25,4,21,Staatspräsident,Staatspräsident,PROPN,PERSON_B
text25,4,22,Macron,Macron,PROPN,PERSON_I
text25,4,23,.,.,PUNCT,
text27,1,1,#,#,SYM,
text27,1,2,#,#,NOUN,
text27,1,3,Juristen,Juristen,PROPN,
text27,1,4,kritisieren,kritisieren,NOUN,
text27,1,5,anlasslose,anlasslose,VERB,
text27,1,6,Überwachung,Überwachung,PROPN,PRODUCT_B
text29,1,1,Die,die,VERB,ORG_B
text29,1,2,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text29,1,3,ist,ist,ADP,
text29,1,4,nicht,nicht,NOUN,
text29,1,5,nur,nur,NOUN,
text29,1,6,politisch,politisch,VERB,
text29,1,7,und,und,ADJ,
text29,1,8,technisch,technisch,ADJ,
text29,1,9,umstritten,umstritten,NOUN,
text29,1,10,",",",",PUNCT,
text29,1,11,sondern,sondern,ADJ,
text29,1,12,auch,auch,NOUN,
text29,1,13,juristisch,juristisch,NOUN,
text29,1,14,.,.,PUNCT,
text29,2,1,Der,Der,PROPN,PERSON_B
text29,2,2,Juristische,Juristische,PROPN,PERSON_I
text29,2,3,Dienst,Dienst,PROPN,PERSON_I
text29,2,4,der,der,PROPN,
text29,2,5,EU,EU,PROPN,ORG_B
text29,2,6,-,-,PUNCT,
text29,2,7,Staaten,Staaten,PROPN,
text29,2,8,hat,hat,NOUN,
text29,2,9,die,die,VERB,
text29,2,10,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text29,2,11,letztes,letzte,VERB,
text29,2,12,Jahr,Jahr,PROPN,PERSON_B
text29,2,13,als,al,NOUN,
text29,3,1,rechtswidrig,rechtswidrig,PROPN,
text29,3,2,bezeichnet,bezeichnet,PROPN,
text29,3,3,und,und,PROPN,
text29,3,4,gewarnt,gewarnt,VERB,
text29,3,5,",",",",PUNCT,
text29,3,6,dass,dass,PROPN,
text29,3,7,Gerichte,Gerichte,PROPN,PERSON_B
text29,3,8,das,das,PROPN,PERSON_I
