doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,PERSON_B
text1,1,2,EU,EU,PROPN,PERSON_I
text1,1,3,-,-,PUNCT,PERSON_I
text1,1,4,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,1,5,Ylva,Ylva,PROPN,PERSON_I
text1,1,6,Johansson,Johansson,PROPN,PERSON_I
text1,1,7,versucht,versucht,NOUN,
text1,1,8,offenbar,offenbar,PROPN,
text1,1,9,weiterhin,weiterhin,PROPN,
text1,1,10,",",",",PUNCT,
text1,1,11,i,I,PRON,
text1,1,12,m,m,AUX,
text1,1,13,geplanten,geplanten,VERB,
text1,1,14,EU,EU,PROPN,ORG_B
text1,1,15,-,-,PUNCT,
text1,1,16,Gesetzespaket,Gesetzespaket,PROPN,
text1,1,17,gegen,gegen,NOUN,
text1,1,18,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text1,1,19,eine,eine,NOUN,
text1,1,20,sogenannte,sogenannte,NOUN,
text1,1,21,„,„,PUNCT,
text1,1,22,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text1,1,23,“,"""",PUNCT,
text1,1,24,zu,zu,ADJ,
text1,1,25,verankern,verankern,NOUN,
text1,1,26,.,.,PUNCT,
text1,2,1,Dies,die,NOUN,
text1,2,2,würde,würde,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,Durchsuchung,Durchsuchung,PROPN,PERSON_B
text1,2,5,von,von,PROPN,PERSON_I
text1,2,6,Inhalten,Inhalten,PROPN,PERSON_I
text1,2,7,auf,auf,PROPN,
text1,2,8,Endgeräten,Endgeräten,PROPN,PERSON_B
text1,2,9,unbescholtener,unbescholtener,NOUN,PERSON_I
text1,2,10,Bürger,Bürger,PROPN,PERSON_I
text1,2,11,:,:,PUNCT,
text1,2,12,innen,innen,NOUN,
text1,2,13,vorsehen,vorsehen,NOUN,
text1,2,14,",",",",PUNCT,
text1,2,15,bevor,bevor,VERB,
text1,2,16,diese,diese,ADJ,NORP_B
text1,2,17,zum,zum,ADJ,
text1,2,18,Beispiel,Beispiel,PROPN,ORG_B
text1,2,19,per,per,ADP,
text1,2,20,WhatsApp,WhatsApp,PROPN,ORG_B
text1,2,21,verschlüsselt,verschlüsselt,NOUN,
text1,2,22,kommunizieren,kommunizieren,NOUN,
text1,2,23,.,.,PUNCT,
text1,3,1,Die,die,VERB,PERSON_B
text1,3,2,Pläne,Pläne,PROPN,PERSON_I
text1,3,3,stehen,stehen,PROPN,
text1,3,4,als,als,PROPN,
text1,3,5,neue,neue,PROPN,
text1,3,6,Form,Form,PROPN,
text1,3,7,von,von,PROPN,PERSON_B
text1,3,8,Massenüberwachung,Massenüberwachung,PROPN,PERSON_I
text1,3,9,und,und,VERB,
text1,3,10,wegen,wegen,NOUN,
text1,3,11,ihrer,ihrer,NOUN,
text1,3,12,grundrechtsverletzenden,grundrechtsverletzenden,PROPN,
text1,3,13,Eingriff,Eingriff,PROPN,
text1,3,14,in,in,ADP,
text1,3,15,der,der,PROPN,
text1,3,16,Kritik,Kritik,PROPN,PRODUCT_B
text1,3,17,.,.,PUNCT,
text3,1,1,Dass,dass,NOUN,
text3,1,2,die,die,VERB,
text3,1,3,Pläne,Pläne,PROPN,PERSON_B
text3,1,4,offenbar,offenbar,PROPN,
text3,1,5,noch,noch,PROPN,
text3,1,6,nicht,nicht,PROPN,
text3,1,7,vom,vom,NOUN,
text3,1,8,Tisch,Tisch,PROPN,PERSON_B
text3,1,9,sind,sind,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,kann,kann,PROPN,PERSON_B
text3,1,12,man,man,PROPN,
text3,1,13,aus,aus,PROPN,PERSON_B
text3,1,14,einem,einem,PROPN,PERSON_I
text3,1,15,internen,internen,PROPN,
text3,2,1,Bericht,Bericht,PROPN,ORG_B
text3,2,2,des,des,PROPN,ORG_I
text3,2,3,Ausschusses,Ausschusses,PROPN,ORG_I
text3,2,4,für,für,NOUN,
text3,2,5,Regierungskontrolle,Regierungskontrolle,PROPN,ORG_B
text3,2,6,(,(,PUNCT,
text3,2,7,RSB,RSB,PROPN,ORG_B
text3,2,8,),),PUNCT,
text3,2,9,der,der,PROPN,
text3,2,10,EU,EU,PROPN,ORG_B
text3,2,11,-,-,PUNCT,ORG_I
text3,2,12,Kommission,Kommission,PROPN,ORG_I
text3,2,13,interpretieren,interpretieren,NOUN,
text3,2,14,.,.,PUNCT,
text3,3,1,Die,die,VERB,ORG_B
text3,3,2,Prüfberichte,Prüfberichte,PROPN,ORG_I
text3,3,3,des,des,X,ORG_I
text3,3,4,RSB,RSB,PROPN,ORG_I
text3,3,5,geben,geben,NOUN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Gesetzgebungsprozess,Gesetzgebungsprozess,PROPN,PERSON_B
text3,4,4,Feedback,Feedback,PROPN,PERSON_I
text3,4,5,und,und,PROPN,
text3,4,6,Verbesserungsvorschläge,Verbesserungsvorschläge,PROPN,
text3,4,7,zu,zu,NOUN,
text3,4,8,den,den,NOUN,
text3,4,9,Planungen,Planungen,PROPN,
text3,4,10,.,.,PUNCT,
text3,5,1,Insgesamt,Insgesamt,PROPN,
text3,5,2,lautet,lautet,NOUN,
text3,5,3,das,das,PROPN,
text3,5,4,Urteil,Urteil,PROPN,
text3,5,5,über,über,PROPN,
text3,5,6,den,den,PROPN,
text3,5,7,internen,internen,PROPN,
text3,5,8,Kommissionsvorschlag,Kommissionsvorschlag,PROPN,PERSON_B
text3,5,9,„,„,PROPN,PERSON_I
text3,5,10,Positiv,Positiv,PROPN,PERSON_I
text3,5,11,",",",",PUNCT,
text3,5,12,aber,aber,PROPN,
