doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Grüne,Grüne,PROPN,ORG_B
text1,1,2,und,und,VERB,
text1,1,3,FDP,FDP,PROPN,ORG_B
text1,1,4,verabschieden,verabschieden,NOUN,
text1,1,5,sich,sich,PRON,
text1,1,6,mit,mit,VERB,
text1,1,7,dem,dem,INTJ,
text1,1,8,Überwachungspaket,Überwachungspaket,PROPN,
text1,1,9,der,der,NOUN,
text1,1,10,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,1,11,von,von,PROPN,PERSON_I
text1,1,12,ihrem,ihrem,NOUN,PERSON_I
text1,1,13,Image,Image,PROPN,PERSON_I
text1,1,14,als,al,VERB,
text1,1,15,Bürgerrechtsparteien,Bürgerrechtsparteien,PROPN,PERSON_B
text1,1,16,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,als,al,NOUN,
text1,2,3,„,„,PUNCT,
text1,2,4,Sicherheitspaket,sicherheitspaket,NOUN,
text1,2,5,“,"""",PUNCT,
text1,2,6,deklarierte,deklarierte,NOUN,
text1,2,7,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PERSON_B
text1,2,8,der,der,NOUN,PERSON_I
text1,2,9,Ampel,Ampel,PROPN,PERSON_I
text1,2,10,wird,wird,PROPN,
text1,2,11,von,von,PROPN,PERSON_B
text1,2,12,Menschenrechtsorganisationen,Menschenrechtsorganisationen,PROPN,PERSON_I
text1,2,13,wie,wie,PROPN,
text1,2,14,Amnesty,Amnesty,PROPN,ORG_B
text1,2,15,International,International,PROPN,ORG_I
text1,2,16,und,und,PROPN,
text1,2,17,der,der,PROPN,
text1,2,18,Humanistischen,Humanistischen,PROPN,ORG_B
text1,2,19,Union,Union,PROPN,ORG_I
text1,2,20,scharf,scharf,NOUN,
text1,2,21,kritisiert,kritisiert,PROPN,
text1,2,22,",",",",PUNCT,
text1,2,23,die,die,VERB,
text1,2,24,Bundesdatenschutzbeauftragte,Bundesdatenschutzbeauftragte,PROPN,PERSON_B
text1,2,25,hält,hält,NOUN,
text1,2,26,es,es,X,
text1,2,27,für,für,PROPN,
text1,2,28,unverhältnismäßig,unverhältnismäßig,NOUN,
text1,2,29,und,und,PROPN,
text1,2,30,rechtswidrig,rechtswidrig,ADJ,
text1,2,31,.,.,PUNCT,
text1,3,1,Und,und,NOUN,
text1,3,2,sogar,sogar,NOUN,
text1,3,3,in,in,ADP,
text1,3,4,der,der,PROPN,
text1,3,5,SPD,SPD,PROPN,
text1,3,6,regt,regt,VERB,
text1,3,7,sich,sich,PROPN,
text1,3,8,Widerstand,Widerstand,PROPN,GPE_B
text1,3,9,.,.,PUNCT,
text3,1,1,Die,die,VERB,PERSON_B
text3,1,2,Fraktionen,Fraktionen,PROPN,PERSON_I
text3,1,3,von,von,PROPN,PERSON_I
text3,1,4,Grünen,Grünen,PROPN,PERSON_I
text3,1,5,und,und,VERB,
text3,1,6,FDP,FDP,PROPN,ORG_B
text3,1,7,tragen,tragen,NOUN,
text3,1,8,das,das,PROPN,
