doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Deutschland,Deutschland,PROPN,GPE_B
text1,1,2,bekommt,bekommt,PROPN,
text1,1,3,erstmals,erstmals,PROPN,
text1,1,4,ein,ein,PROPN,
text1,1,5,eigenes,eigene,VERB,
text1,1,6,Ministerium,Ministerium,PROPN,
text1,1,7,für,für,NOUN,
text1,1,8,Digitalpolitik,Digitalpolitik,PROPN,ORG_B
text1,1,9,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,einem,einem,PROPN,
text1,2,3,Organisationserlass,Organisationserlass,PROPN,
text1,2,4,[,[,X,
text1,2,5,PDF,PDF,PROPN,ORG_B
text1,2,6,],],PUNCT,
text1,2,7,legte,legte,PROPN,
text1,2,8,der,der,PROPN,
text1,2,9,frisch,frisch,PROPN,
text1,2,10,gewählte,gewählte,PROPN,
text1,2,11,Bundeskanzler,Bundeskanzler,PROPN,PERSON_B
text1,2,12,Friedrich,Friedrich,PROPN,PERSON_I
text1,2,13,Merz,Merz,PROPN,PERSON_I
text1,2,14,(,(,PUNCT,
text1,2,15,CDU,CDU,PROPN,ORG_B
text1,2,16,),),PUNCT,
text1,2,17,gestern,gestern,NOUN,
text1,2,18,die,die,VERB,
text1,2,19,Aufgabenverteilung,Aufgabenverteilung,PROPN,GPE_B
text1,2,20,innerhalb,innerhalb,ADJ,
text1,2,21,der,der,ADJ,
text1,2,22,neuen,neuen,NOUN,
text1,2,23,Bundesregierung,Bundesregierung,PROPN,NORP_B
text1,2,24,fest,f,ADJ,
text1,2,25,und,und,PROPN,
text1,2,26,schuf,schuf,ADJ,
text1,2,27,das,das,PROPN,PRODUCT_B
text1,2,28,.,.,PUNCT,
text1,3,1,Dessen,Dessen,PROPN,
text1,3,2,genauer,genauer,NOUN,
text1,3,3,Zuschnitt,Zuschnitt,PROPN,PERSON_B
text1,3,4,war,war,NOUN,
text1,3,5,bisher,bisher,NOUN,
text1,3,6,unklar,unklar,ADJ,
text1,3,7,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Erlass,Erlass,PROPN,PERSON_I
text3,1,3,zeigt,zeigt,PROPN,
text3,1,4,",",",",PUNCT,
text3,1,5,dass,dass,PROPN,
text3,1,6,das,das,PROPN,
text3,1,7,BMDS,BMDS,PROPN,
text3,1,8,weit,weit,NOUN,
text3,1,9,mehr,mehr,NOUN,
text3,1,10,Kompetenzen,Kompetenzen,PROPN,PERSON_B
text3,1,11,erhält,erhält,VERB,
text3,1,12,als,al,NOUN,
text3,1,13,erwartet,erwartet,PROPN,GPE_B
text3,1,14,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,den,den,NOUN,
text3,2,3,vergangenen,vergangenen,NOUN,
text3,2,4,Jahren,Jahren,PROPN,PERSON_B
text3,2,5,kümmerte,kümmerte,NOUN,PERSON_I
text3,2,6,sich,sich,ADP,
text3,2,7,etwa,etwa,NOUN,
text3,2,8,das,das,PROPN,
text3,3,1,Bundeskanzleramt,Bundeskanzleramt,PROPN,
text3,3,2,um,um,INTJ,
text3,3,3,die,die,VERB,
text3,3,4,„,„,PUNCT,
text3,3,5,strategische,strategische,PROPN,
text3,3,6,Vorausschau,Vorausschau,PROPN,PERSON_B
text3,3,7,“,"""",PUNCT,
text3,3,8,und,und,VERB,
text3,3,9,Grundsatzfragen,Grundsatzfragen,PROPN,PERSON_B
text3,3,10,der,der,PROPN,PERSON_I
text3,3,11,Digitalpolitik,Digitalpolitik,PROPN,PERSON_I
text3,3,12,.,.,PUNCT,
text3,4,1,Dafür,Dafür,PROPN,
text3,4,2,ist,ist,ADJ,
text3,4,3,nun,nun,PROPN,
text3,4,4,das,das,PROPN,PRODUCT_B
text3,4,5,neue,neue,PROPN,PRODUCT_I
text3,4,6,Ministerium,Ministerium,PROPN,PRODUCT_I
text3,4,7,zuständig,zuständig,PROPN,PRODUCT_I
text3,4,8,",",",",PUNCT,
text3,4,9,das,das,PROPN,ORG_B
text3,4,10,zunächst,zunächst,NOUN,ORG_I
text3,4,11,in,in,ADP,
text3,4,12,ein,ein,PROPN,ORG_B
text3,4,13,Gebäude,Gebäude,PROPN,ORG_I
text3,4,14,des,des,PROPN,ORG_I
text3,4,15,Innenministeriums,Innenministeriums,PROPN,ORG_I
text3,4,16,am,be,AUX,
text3,4,17,Berliner,Berliner,PROPN,
text3,4,18,Tiergarten,Tiergarten,PROPN,
text3,4,19,zieht,zieht,NOUN,
