doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,FDP,FDP,PROPN,
text1,1,3,-,-,PUNCT,
text1,1,4,Ministerien,Ministerien,PROPN,
text1,1,5,formulieren,formulieren,NOUN,
text1,1,6,rote,rote,VERB,
text1,1,7,Linien,Linien,PROPN,ORG_B
text1,1,8,",",",",PUNCT,
text1,1,9,der,der,PROPN,
text1,1,10,Bundesdatenschutzbeauftragte,Bundesdatenschutzbeauftragte,PROPN,PERSON_B
text1,1,11,warnt,warnt,VERB,
text1,1,12,vor,vor,VERB,
text1,1,13,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,1,14,und,und,PROPN,
text1,1,15,nun,nun,PROPN,
text1,1,16,bekennen,bekennen,PROPN,
text1,1,17,sich,sich,PROPN,
text1,1,18,auch,auch,PROPN,
text1,1,19,die,die,VERB,
text1,1,20,Bundesländer,Bundesländer,PROPN,
text1,1,21,gegen,gegen,NOUN,
text1,1,22,die,die,VERB,
text1,1,23,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,24,.,.,PUNCT,
text1,2,1,Am,be,AUX,
text1,2,2,Freitag,Freitag,PROPN,ORG_B
text1,2,3,hat,hat,NOUN,
text1,2,4,der,der,NOUN,
text1,2,5,Bundesrat,Bundesrat,PROPN,NORP_B
text1,2,6,sich,sich,PROPN,
text1,2,7,zum,zum,PROPN,
text1,2,8,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,ORG_B
text1,2,9,der,der,PROPN,
text1,2,10,EU,EU,PROPN,ORG_B
text1,2,11,-,-,PUNCT,ORG_I
text1,2,12,Kommission,Kommission,PROPN,ORG_I
text1,2,13,zur,zur,NOUN,
text1,2,14,Bekämpfung,Bekämpfung,PROPN,
text1,2,15,sexualisierter,sexualisierter,NOUN,
text1,2,16,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,17,gegen,gegen,NOUN,
text1,2,18,Kinder,Kinder,PROPN,
text1,2,19,positioniert,positioniert,NOUN,
text1,2,20,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Länder,Länder,PROPN,
text3,1,3,betonen,betonen,NOUN,
text3,1,4,",",",",PUNCT,
text3,1,5,wie,wie,PROPN,
text3,1,6,wichtig,wichtig,NOUN,
text3,1,7,es,es,PROPN,
text3,1,8,sei,sei,ADJ,
text3,1,9,",",",",PUNCT,
text3,1,10,Kinder,Kinder,PROPN,PERSON_B
text3,1,11,zu,zu,ADJ,PERSON_I
text3,1,12,schützen,schützen,NOUN,PERSON_I
text3,1,13,",",",",PUNCT,
text3,1,14,sprechen,sprechen,PROPN,
text3,1,15,sich,sich,PROPN,
text3,1,16,aber,aber,PROPN,
text3,1,17,gegen,gegen,NOUN,
text3,1,18,Maßnahmen,Maßnahmen,PROPN,
text3,1,19,wie,wie,NOUN,
text3,1,20,die,die,VERB,
text3,1,21,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,22,aus,aus,PROPN,PERSON_I
text3,1,23,.,.,PUNCT,
text3,2,1,Bei,Bei,PROPN,
text3,2,2,der,der,NOUN,
text3,2,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,2,4,wären,wären,PROPN,PERSON_I
text3,2,5,Anbieter,Anbieter,PROPN,PERSON_I
text3,2,6,auf,auf,PROPN,
text3,2,7,Anordnung,Anordnung,PROPN,PERSON_B
text3,2,8,verpflichtet,verpflichtet,NOUN,
text3,2,9,",",",",PUNCT,
text3,2,10,die,die,VERB,
text3,2,11,private,private,ADJ,
text3,2,12,Kommunikation,Kommunikation,PROPN,
text3,2,13,ihrer,ihrer,NOUN,
text3,2,14,Nutzer,Nutzer,PROPN,
text3,2,15,:,:,PUNCT,
text3,2,16,innen,innen,NOUN,
text3,2,17,zu,zu,NOUN,
text3,2,18,durchleuchten,durchleuchten,NOUN,
text3,2,19,.,.,PUNCT,
text3,3,1,Dadurch,dadurch,NOUN,
text3,3,2,sollen,sollen,NOUN,
text3,3,3,sie,sie,VERB,
text3,3,4,Hinweise,Hinweise,PROPN,PERSON_B
text3,3,5,aufspüren,aufspüren,PROPN,
text3,3,6,",",",",PUNCT,
text3,3,7,ob,ob,PROPN,
text3,3,8,Nutzende,Nutzende,PROPN,ORG_B
text3,3,9,etwa,etwa,NOUN,
text3,3,10,Bildmaterial,bildmaterial,ADJ,ORG_B
text3,3,11,mit,mit,NOUN,
text3,3,12,Darstellungen,Darstellungen,PROPN,ORG_B
text3,3,13,sexualisierter,sexualisierter,NOUN,
text3,3,14,Gewalt,Gewalt,PROPN,PERSON_B
text3,3,15,gegen,gegen,NOUN,
text3,3,16,Kinder,Kinder,PROPN,
text3,3,17,(,(,PUNCT,
text3,3,18,CSAM,CSAM,PROPN,ORG_B
text3,3,19,),),PUNCT,
text3,3,20,verschicken,verschicken,NOUN,
text3,3,21,.,.,PUNCT,
text5,1,1,„,„,PUNCT,
text5,1,2,Aufgrund,Aufgrund,PROPN,
text5,1,3,des,des,X,
text5,1,4,breiten,breiten,VERB,
text5,1,5,Technologieeinsatzes,Technologieeinsatzes,PROPN,LAW_B
text5,1,6,zum,zum,NOUN,LAW_I
text5,1,7,Aufspüren,Aufspüren,PROPN,
text5,1,8,von,von,PROPN,
text5,1,9,sexuellem,sexuellem,NOUN,
text5,1,10,Missbrauch,Missbrauch,PROPN,PERSON_B
text5,1,11,von,von,PROPN,PERSON_I
text5,1,12,Kindern,Kindern,PROPN,PERSON_I
text5,1,13,“,"""",PUNCT,PERSON_I
text5,1,14,könne,könne,PROPN,
text5,1,15,der,der,PROPN,
text5,1,16,Vorschlag,Vorschlag,PROPN,ORG_B
text5,1,17,der,der,PROPN,
text5,1,18,EU,EU,PROPN,ORG_B
text5,1,19,-,-,PUNCT,ORG_I
text5,1,20,Kommission,Kommission,PROPN,ORG_I
text5,1,21,zu,zu,PROPN,ORG_I
text5,1,22,Eingriffen,Eingriffen,PROPN,ORG_I
text5,1,23,in,in,ADP,
text5,1,24,die,die,NOUN,
text5,1,25,Kommunikations-,Kommunikations-,PROPN,PERSON_B
text5,2,1,und,und,ADJ,
text5,2,2,Meinungsfreiheit,Meinungsfreiheit,PROPN,ORG_B
text5,2,3,führen,führen,NOUN,
text5,2,4,",",",",PUNCT,
text5,2,5,so,so,ADV,
text5,2,6,der,der,PROPN,
text5,2,7,Bundesrat,Bundesrat,PROPN,NORP_B
text5,2,8,.,.,PUNCT,
text5,3,1,Das,Das,PROPN,
text5,3,2,kann,kann,NOUN,
text5,3,3,auch,auch,ADJ,
text5,3,4,besonders,besonder,NOUN,
text5,3,5,geschützte,geschützte,PROPN,
text5,3,6,Kommunikation,Kommunikation,PROPN,
text5,3,7,betreffen,betreffen,PROPN,
text5,3,8,",",",",PUNCT,
text5,3,9,etwa,etwa,VERB,
text5,3,10,von,von,PROPN,PERSON_B
text5,3,11,Anwältinnen,Anwältinnen,PROPN,PERSON_I
text5,3,12,oder,oder,NOUN,
text5,3,13,Ärzten,Ärzten,PROPN,
text5,3,14,.,.,PUNCT,
text5,4,1,I,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,EU,EU,PROPN,ORG_B
text5,4,4,-,-,PUNCT,
text5,4,5,Entwurf,Entwurf,PROPN,
text5,4,6,gebe,gebe,NOUN,
text5,4,7,es,es,X,
text5,4,8,keine,keine,NOUN,
text5,4,9,Vorschriften,Vorschriften,PROPN,PERSON_B
text5,4,10,",",",",PUNCT,
text5,4,11,derartige,derartige,VERB,
text5,4,12,Kommunikation,Kommunikation,PROPN,PERSON_B
text5,4,13,besonders,besonder,NOUN,
text5,4,14,zu,zu,PROPN,
text5,4,15,schützen,schützen,NOUN,
text5,4,16,",",",",PUNCT,
text5,4,17,kritisieren,kritisieren,NOUN,
text5,4,18,die,die,VERB,
text5,4,19,Länder,Länder,PROPN,
text5,4,20,.,.,PUNCT,
text7,1,1,#,#,SYM,MONEY_B
text7,1,2,#,#,NOUN,MONEY_I
text7,1,3,Die,Die,VERB,MONEY_I
text7,1,4,Kritik,Kritik,PROPN,MONEY_I
text7,1,5,hätte,hätte,PROPN,
text7,1,6,noch,noch,PROPN,
text7,1,7,deutlicher,deutlicher,PROPN,
text7,1,8,sein,sein,PROPN,
text7,1,9,können,können,PROPN,
text9,1,1,Insgesamt,Insgesamt,PROPN,
text9,1,2,begegneten,begegneten,NOUN,
text9,1,3,den,den,VERB,
text9,1,4,geplanten,geplanten,VERB,
