doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Staaten,Staaten,PROPN,ORG_I
text1,1,5,wollen,wollen,NOUN,
text1,1,6,das,das,PROPN,PRODUCT_B
text1,1,7,von,von,PROPN,PRODUCT_I
text1,1,8,der,der,PROPN,PRODUCT_I
text1,1,9,EU,EU,PROPN,ORG_B
text1,1,10,-,-,PUNCT,ORG_I
text1,1,11,Kommission,Kommission,PROPN,ORG_I
text1,1,12,geplante,geplante,VERB,
text1,1,13,Gesetz,Gesetz,PROPN,
text1,1,14,zur,zur,PROPN,
text1,1,15,Bekämpfung,Bekämpfung,PROPN,
text1,1,16,des,des,X,
text1,1,17,sexuellen,sexuellen,NOUN,
text1,2,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,2,2,von,von,PROPN,PERSON_I
text1,2,3,Kindern,Kindern,PROPN,PERSON_I
text1,2,4,verschärfen,verschärfen,NOUN,
text1,2,5,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,geht,geht,PROPN,ORG_B
text1,3,3,aus,aus,PROPN,ORG_I
text1,3,4,internen,internen,PROPN,
text1,3,5,Papieren,Papieren,PROPN,ORG_B
text1,3,6,der,der,PROPN,
text1,3,7,tschechischen,tschechischen,PROPN,
text1,3,8,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,3,9,an,an,DET,
text1,3,10,die,die,NOUN,
text1,3,11,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text1,3,12,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text1,3,13,hervor,hervor,NOUN,
text1,3,14,.,.,PUNCT,
text1,4,1,Sie,Sie,PROPN,
text1,4,2,bezeichnet,bezeichnet,NOUN,
text1,4,3,die,die,VERB,
text1,4,4,Vorschläge,Vorschläge,PROPN,
text1,4,5,selbst,selbst,PROPN,
text1,4,6,als,al,NOUN,
text1,4,7,„,„,PUNCT,
text1,4,8,Kompromiss,Kompromiss,PROPN,PERSON_B
text1,4,9,“,"""",PUNCT,
text1,4,10,.,.,PUNCT,
text1,5,1,Behörden,Behörden,PROPN,GPE_B
text1,5,2,in,in,ADP,
text1,5,3,EU,EU,PROPN,ORG_B
text1,5,4,-,-,PUNCT,
text1,5,5,Staaten,Staaten,PROPN,
text1,5,6,sollen,sollen,NOUN,
text1,5,7,demnach,demnach,NOUN,
text1,5,8,einfacher,einfacher,NOUN,
text1,5,9,und,und,VERB,
text1,5,10,umfassender,umfassender,NOUN,
text1,5,11,Netzsperren,Netzsperren,PROPN,PERSON_B
text1,5,12,anordnen,anordnen,PROPN,PERSON_I
text1,5,13,können,können,PROPN,PERSON_I
text1,5,14,.,.,PUNCT,
text1,6,1,Außerdem,Außerdem,PROPN,
text1,6,2,sollen,sollen,PROPN,
text1,6,3,sie,sie,PROPN,
text1,6,4,Anbieter,Anbieter,PROPN,PERSON_B
text1,6,5,von,von,PROPN,PERSON_I
text1,6,6,Suchmaschinen,Suchmaschinen,PROPN,PERSON_I
text1,6,7,dazu,dazu,NOUN,
text1,6,8,verpflichten,verpflichten,VERB,
text1,6,9,",",",",PUNCT,
text1,6,10,Websites,Websites,PROPN,ORG_B
text1,6,11,aus,aus,ADP,ORG_I
text1,6,12,ihren,ihren,PROPN,
text1,6,13,Suchergebnissen,Suchergebnissen,PROPN,PERSON_B
text1,6,14,zu,zu,PROPN,
text1,6,15,verbannen,verbannen,NOUN,
text1,6,16,.,.,PUNCT,
text3,1,1,Derzeit,Derzeit,PROPN,
text3,1,2,arbeiten,arbeiten,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Organe,Organe,PROPN,ORG_B
text3,1,5,der,der,NOUN,ORG_I
text3,1,6,Europäischen,Europäischen,PROPN,ORG_I
text3,1,7,Union,Union,PROPN,ORG_I
text3,1,8,an,an,DET,
text3,1,9,ihren,ihren,NOUN,
text3,1,10,Positionen,Positionen,PROPN,PERSON_B
text3,1,11,zu,zu,PROPN,
text3,1,12,einem,einem,PROPN,
text3,1,13,Vorschlag,Vorschlag,PROPN,ORG_B
text3,1,14,der,der,PROPN,
text3,1,15,EU,EU,PROPN,ORG_B
text3,1,16,-,-,PUNCT,ORG_I
text3,1,17,Kommission,Kommission,PROPN,ORG_I
text3,1,18,.,.,PUNCT,
text3,2,1,Was,be,AUX,
text3,2,2,letztlich,letztlich,ADJ,
text3,2,3,i,I,PRON,
text3,2,4,m,m,VERB,
text3,2,5,Gesetz,gesetz,ADJ,PERSON_B
text3,2,6,landet,landet,NOUN,
text3,2,7,",",",",PUNCT,
text3,2,8,entscheiden,entscheiden,NOUN,
text3,2,9,dann,dann,NOUN,
text3,2,10,die,die,VERB,
text3,2,11,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text3,2,12,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,Paket,Paket,PROPN,
text3,3,3,ist,ist,AUX,
text3,3,4,umfassend,umfassend,VERB,
text3,3,5,;,;,PUNCT,
text3,3,6,der,der,PROPN,
text3,3,7,bekannteste,bekannteste,NOUN,
text3,3,8,Teil,Teil,PROPN,PERSON_B
text3,3,9,ist,ist,NOUN,
text3,3,10,die,die,PROPN,
text3,3,11,sogenannte,sogenannte,PROPN,
text3,3,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,13,.,.,PUNCT,
text3,4,1,Hier,Hier,PROPN,PERSON_B
text3,4,2,sollen,sollen,NOUN,PERSON_I
text3,4,3,Anbieter,Anbieter,PROPN,PERSON_I
text3,4,4,dazu,dazu,NOUN,
text3,4,5,verpflichtet,verpflichtet,PROPN,
text3,4,6,werden,werden,PROPN,
text3,4,7,",",",",PUNCT,
text3,4,8,auch,auch,ADJ,
text3,4,9,private,private,ADJ,
text3,4,10,Nachrichten,Nachrichten,PROPN,PERSON_B
text3,4,11,von,von,PROPN,PERSON_I
text3,4,12,Nutzer,Nutzer,PROPN,PERSON_I
text3,4,13,:,:,PUNCT,PERSON_I
text3,4,14,innen,innen,NOUN,
text3,4,15,auf,auf,PROPN,
text3,4,16,Anordnung,Anordnung,PROPN,PERSON_B
text3,4,17,zu,zu,PROPN,
text3,4,18,durchleuchten,durchleuchten,VERB,
text3,4,19,.,.,PUNCT,
text3,5,1,Das,Das,PROPN,
text3,5,2,ist,ist,PROPN,
text3,5,3,ein,ein,PROPN,PERSON_B
text3,5,4,Vorhaben,Vorhaben,PROPN,PERSON_I
text3,5,5,",",",",PUNCT,
text3,5,6,vor,vor,VERB,
text3,5,7,dem,dem,ADJ,NORP_B
text3,5,8,sogar,sogar,NOUN,
text3,5,9,EU,EU,PROPN,ORG_B
text3,5,10,-,-,PUNCT,ORG_I
text3,5,11,Datenschutzbehörden,Datenschutzbehörden,PROPN,ORG_I
text3,5,12,eindringlich,eindringlich,NOUN,
text3,5,13,warnen,warnen,NOUN,
text3,5,14,",",",",PUNCT,
text3,5,15,außerdem,außerdem,PROPN,
text3,5,16,Bürgerrechtler,Bürgerrechtler,PROPN,ORG_B
text3,5,17,:,:,PUNCT,
text3,5,18,innen,innen,NOUN,
text3,5,19,",",",",PUNCT,
text3,5,20,Kinderschützer,Kinderschützer,PROPN,PERSON_B
text3,5,21,:,:,PUNCT,
text3,5,22,innen,innen,NOUN,
text3,5,23,und,und,NOUN,
text3,5,24,die,die,VERB,
text3,5,25,Wissenschaftliche,Wissenschaftliche,PROPN,ORG_B
text3,5,26,Dienste,Dienste,PROPN,ORG_I
text3,5,27,des,des,X,ORG_I
text3,5,28,Bundestags,Bundestags,PROPN,ORG_I
text3,5,29,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,EU,EU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Staaten,Staaten,PROPN,ORG_I
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Rat,Rat,PROPN,
text5,2,4,sind,sind,NOUN,
text5,2,5,gegenüber,gegenüber,PROPN,PERSON_B
text5,2,6,der,der,PROPN,PERSON_I
text5,2,7,geplanten,geplanten,VERB,
text5,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,9,offenbar,offenbar,NOUN,
text5,2,10,gespalten,gespalten,PROPN,
text5,2,11,",",",",PUNCT,
text5,2,12,wie,wie,PROPN,
text5,2,13,ein,ein,PROPN,
text5,2,14,internes,intern,VERB,
text5,2,15,Stimmungsbild,Stimmungsbild,PROPN,NORP_B
text5,2,16,aus,aus,PROPN,
text5,2,17,dem,dem,PROPN,NORP_B
text5,2,18,Juli,Juli,PROPN,
text5,2,19,2022,2022,NUM,CARDINAL_B
text5,2,20,zeigte,zeigte,NOUN,PERSON_B
text5,2,21,.,.,PUNCT,
text5,3,1,In,in,ADP,
text5,3,2,den,den,NOUN,
text5,3,3,Papieren,Papieren,PROPN,NORP_B
text5,3,4,ist,ist,NOUN,
text5,3,5,die,die,VERB,
text5,3,6,Durchleuchtung,Durchleuchtung,PROPN,PERSON_B
text5,3,7,von,von,PROPN,PERSON_I
text5,3,8,Chats,Chats,PROPN,PERSON_I
text5,3,9,allerdings,allerding,VERB,
text5,3,10,noch,noch,PROPN,PERSON_B
text5,3,11,kein,kein,PROPN,PERSON_I
text5,3,12,Thema,Thema,PROPN,PERSON_I
text5,3,13,–,–,PUNCT,
text5,3,14,das,das,PROPN,
text5,3,15,kommt,kommt,PROPN,PERSON_B
text5,3,16,noch,noch,PROPN,PERSON_I
text5,3,17,.,.,PUNCT,
text5,4,1,Stattdessen,Stattdessen,PROPN,
text5,4,2,geht,geht,VERB,
text5,4,3,es,es,PROPN,
text5,4,4,zunächst,zunächst,NOUN,
text5,4,5,um,um,INTJ,
text5,4,6,andere,andere,VERB,
text5,4,7,Maßnahmen,Maßnahmen,PROPN,ORG_B
text5,4,8,",",",",PUNCT,
text5,4,9,die,die,VERB,
text5,4,10,ebenso,ebenso,NOUN,
text5,4,11,Grundrechte,Grundrechte,PROPN,PERSON_B
text5,4,12,von,von,PROPN,PERSON_I
text5,4,13,Nutzer,Nutzer,PROPN,PERSON_I
text5,4,14,:,:,PUNCT,
text5,4,15,innen,innen,NOUN,
text5,4,16,i,I,PRON,
text5,4,17,m,m,VERB,
text5,4,18,Netz,Netz,PROPN,PERSON_B
text5,4,19,betreffen,betreffen,ADJ,
text5,4,20,.,.,PUNCT,
text5,5,1,Die,die,VERB,
text5,5,2,Papiere,Papiere,PROPN,
text5,5,3,wurden,wurden,PROPN,PERSON_B
text5,5,4,von,von,PROPN,PERSON_I
text5,5,5,der,der,PROPN,PERSON_I
text5,5,6,britischen,britischen,PROPN,
text5,5,7,NGO,NGO,PROPN,PRODUCT_B
text5,5,8,Statewatch,Statewatch,PROPN,PRODUCT_I
text5,5,9,und,und,VERB,
text5,5,10,dem,dem,ADJ,NORP_B
text5,5,11,Rat,Rat,PROPN,
text5,5,12,selbst,selbst,PROPN,
