doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Über,über,NOUN,PERSON_B
text1,1,2,80,80,NUM,CARDINAL_B
text1,1,3,Nichtregierungsorganisationen,Nichtregierungsorganisationen,PROPN,
text1,1,4,aus,aus,NOUN,
text1,1,5,aller,aller,NOUN,
text1,1,6,Welt,Welt,PROPN,PERSON_B
text1,1,7,fordern,fordern,PROPN,PERSON_I
text1,1,8,von,von,PROPN,PERSON_I
text1,1,9,den,den,VERB,
text1,1,10,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,PERSON_B
text1,1,11,der,der,PROPN,
text1,1,12,EU,EU,PROPN,ORG_B
text1,1,13,",",",",PUNCT,
text1,1,14,die,die,VERB,
text1,1,15,sogenannte,sogenannte,NOUN,
text1,1,16,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,17,zu,zu,PROPN,PERSON_I
text1,1,18,verhindern,verhindern,NOUN,PERSON_I
text1,1,19,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,einem,einem,PROPN,
text1,2,3,Offenen,Offenen,PROPN,PERSON_B
text1,2,4,Brief,Brief,PROPN,
text1,2,5,warnen,warnen,PROPN,
text1,2,6,sie,sie,PROPN,
text1,2,7,",",",",PUNCT,
text1,2,8,dass,dass,NOUN,
text1,2,9,die,die,VERB,
text1,2,10,geplante,geplante,ADJ,
text1,2,11,Verordnung,Verordnung,PROPN,ORG_B
text1,2,12,zur,zur,PROPN,ORG_I
text1,2,13,Prävention,Prävention,PROPN,ORG_I
text1,2,14,und,und,PROPN,ORG_I
text1,2,15,Bekämpfung,Bekämpfung,PROPN,ORG_I
text1,2,16,des,des,X,ORG_I
text1,2,17,sexuellen,sexuellen,NOUN,ORG_I
text1,3,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,3,2,von,von,PROPN,PERSON_I
text1,3,3,Kindern,Kindern,PROPN,PERSON_I
text1,3,4,zur,zur,PROPN,
text1,3,5,anlasslosen,anlasslosen,PROPN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,von,von,PROPN,PERSON_I
text1,3,8,Millionen,Millionen,PROPN,PERSON_I
text1,3,9,von,von,PROPN,PERSON_I
text1,3,10,Menschen,Menschen,PROPN,PERSON_I
text1,3,11,führt,führt,PROPN,
text1,3,12,.,.,PUNCT,
text1,4,1,Die,die,VERB,PERSON_B
text1,4,2,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text1,4,3,zur,zur,NOUN,
text1,5,1,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,5,2,stehen,stehen,ADV,
text1,5,3,kurz,kurz,PROPN,PERSON_B
text1,5,4,vor,vor,VERB,PERSON_I
text1,5,5,dem,dem,PROPN,PERSON_I
text1,5,6,Abschluss,Abschluss,PROPN,PERSON_I
text1,5,7,",",",",PUNCT,
text1,5,8,die,die,VERB,
text1,5,9,Staaten,Staaten,PROPN,PRODUCT_B
text1,5,10,wollen,wollen,NOUN,
text1,5,11,Ende,ende,NOUN,
text1,5,12,September,September,PROPN,DATE_B
text1,5,13,ihre,ihre,ADJ,
text1,5,14,gemeinsame,gemeinsame,NOUN,
text1,5,15,Position,Position,PROPN,ORG_B
text1,5,16,beschließen,beschließen,NOUN,
text1,5,17,.,.,PUNCT,
text3,1,1,#,#,SYM,
text3,1,2,#,#,NOUN,
text3,1,3,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,1,4,",",",",PUNCT,
text3,1,5,Meinungsfreiheit,Meinungsfreiheit,PROPN,ORG_B
text3,1,6,und,und,VERB,
text3,1,7,Unschuldvermutung,Unschuldvermutung,PROPN,ORG_B
text3,1,8,bedroht,bedroht,ADJ,
text5,1,1,„,„,PUNCT,
text5,1,2,Wir,Wir,PROPN,
text5,1,3,rufen,rufen,NOUN,
text5,1,4,alle,alle,NOUN,
text5,1,5,EU,EU,PROPN,ORG_B
text5,1,6,-,-,PUNCT,
text5,1,7,Regierungen,Regierungen,PROPN,
text5,1,8,dazu,dazu,NOUN,
text5,1,9,auf,auf,PROPN,
text5,1,10,",",",",PUNCT,
text5,1,11,die,die,VERB,
text5,1,12,Verordnung,Verordnung,PROPN,ORG_B
text5,1,13,zur,zur,PROPN,ORG_I
text5,1,14,Prävention,Prävention,PROPN,ORG_I
text5,1,15,und,und,PROPN,
text5,1,16,Bekämpfung,Bekämpfung,PROPN,PERSON_B
text5,1,17,von,von,PROPN,PERSON_I
text5,1,18,sexuellem,sexuellem,NOUN,
text5,1,19,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_B
text5,1,20,abzulehnen,abzulehnen,NOUN,
text5,1,21,",",",",PUNCT,
text5,1,22,bis,bis,ADJ,
text5,1,23,diese,diese,PROPN,NORP_B
text5,1,24,die,die,VERB,
text5,1,25,Rechte,Rechte,PROPN,ORG_B
text5,1,26,",",",",PUNCT,
text5,1,27,Freiheiten,Freiheiten,PROPN,PERSON_B
text5,1,28,und,und,NOUN,
text5,1,29,Sicherheit,Sicherheit,PROPN,PERSON_B
text5,1,30,i,I,PRON,
text5,1,31,m,m,VERB,
text5,1,32,Internet,Internet,PROPN,
