doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Was,be,AUX,
text1,1,2,Jahr,Jahr,PROPN,PERSON_B
text1,1,3,ist,ist,VERB,
text1,1,4,fast,fast,ADV,
text1,1,5,vorbei,vorbei,NOUN,
text1,1,6,uns,un,VERB,
text1,1,7,uns,uns,NOUN,
text1,1,8,fehlen,fehlen,VERB,
text1,1,9,noch,noch,PROPN,
text1,1,10,153.011,153.011,NUM,CARDINAL_B
text1,1,11,Euro,Euro,PROPN,
text1,1,12,zu,zu,NOUN,
text1,1,13,unserem,unserem,ADJ,
text1,1,14,Spendenziel,Spendenziel,PROPN,
text1,1,15,.,.,PUNCT,
text1,2,1,Falls,Falls,PROPN,
text1,2,2,ihr,ihr,PROPN,
text1,2,3,noch,noch,PROPN,
text1,2,4,etwas,etwas,PROPN,
text1,2,5,übrig,übrig,PROPN,
text1,2,6,habt,habt,PROPN,
text1,2,7,für,für,NOUN,
text1,2,8,kritische,kritische,VERB,ORG_B
text1,2,9,Berichterstattung,Berichterstattung,PROPN,ORG_I
text1,2,10,ohne,ohne,PROPN,
text1,2,11,Werbung,Werbung,PROPN,
text1,2,12,",",",",PUNCT,
text1,2,13,Tracking,Tracking,PROPN,
text1,2,14,und,und,PROPN,
text1,2,15,Paywall,paywall,NOUN,
text1,2,16,:,:,PUNCT,
text1,2,17,Wann,Wann,PROPN,PERSON_B
text1,2,18,wäre,wäre,PROPN,
text1,2,19,ein,ein,PROPN,
text1,2,20,besserer,besserer,PROPN,
text1,2,21,Tag,Tag,PROPN,PERSON_B
text1,2,22,als,al,NOUN,
text1,2,23,heute,heute,VERB,
text1,2,24,an,an,DET,
text1,2,25,Heiligabend,Heiligabend,PROPN,PERSON_B
text1,2,26,?,?,PUNCT,
text1,3,1,Und,Und,PROPN,
text1,3,2,wenn,wenn,NOUN,
text1,3,3,nicht,nicht,NOUN,
text1,3,4,",",",",PUNCT,
text1,3,5,erzählt,erzählt,ADJ,
text1,3,6,gern,gern,NOUN,
text1,3,7,trotzdem,trotzdem,PROPN,ORG_B
text1,3,8,unterm,unterm,NOUN,
text1,3,9,Tannenbaum,Tannenbaum,PROPN,ORG_B
text1,3,10,euren,euren,PROPN,
text1,3,11,Lieben,Lieben,PROPN,PERSON_B
text1,3,12,von,von,PROPN,PERSON_I
text1,3,13,uns,un,VERB,PERSON_I
text1,3,14,.,.,PUNCT,
text1,4,1,Und,und,NOUN,
text1,4,2,großes,großes,NOUN,
text1,4,3,Danke,Danke,PROPN,PERSON_B
text1,4,4,an,an,DET,
text1,4,5,alle,alle,NOUN,
text1,4,6,",",",",PUNCT,
text1,4,7,die,die,AUX,
text1,4,8,uns,uns,PROPN,
text1,4,9,schon,schon,NOUN,
text1,4,10,spenden,spenden,VERB,
text1,4,11,und,und,NOUN,
text1,4,12,unterstützen,unterstützen,NOUN,
text1,4,13,.,.,PUNCT,
text1,5,1,Ihr,Ihr,PROPN,
text1,5,2,seid,seid,NOUN,
text1,5,3,die,die,VERB,
text1,5,4,besten,besten,ADJ,
text1,5,5,Leser,Leser,PROPN,PERSON_B
text1,5,6,:,:,PUNCT,
text1,5,7,innen,innen,NOUN,
text1,5,8,",",",",PUNCT,
text1,5,9,die,die,NOUN,
text1,5,10,wir,wir,NOUN,
text1,5,11,uns,un,VERB,
text1,5,12,vorstellen,vorstellen,ADJ,
text1,5,13,können,können,NOUN,
text1,5,14,!,!,PUNCT,
text3,1,1,#,#,SYM,MONEY_B
text3,1,2,#,#,NOUN,MONEY_I
text3,1,3,Regierungskritische,Regierungskritische,PROPN,PERSON_B
text3,1,4,Stimmen,Stimmen,PROPN,PERSON_I
text3,1,5,in,in,ADP,
text3,1,6,Gefahr,Gefahr,PROPN,
text5,1,1,Weltweit,Weltweit,PROPN,ORG_B
text5,1,2,werden,werden,PROPN,
text5,1,3,Menschenrechtsaktivistinnen,Menschenrechtsaktivistinnen,PROPN,GPE_B
text5,1,4,",",",",PUNCT,
text5,1,5,Anwälte,Anwälte,PROPN,PERSON_B
text5,1,6,und,und,VERB,
text5,2,1,Journalisten,Journalisten,PROPN,NORP_B
text5,2,2,mit,mit,VERB,
text5,2,3,dem,dem,ADJ,
text5,2,4,Staatstrojaner,Staatstrojaner,PROPN,PERSON_B
text5,2,5,Pegasus,Pegasus,PROPN,PERSON_I
text5,2,6,ausgeforscht,ausgeforscht,NOUN,
text5,2,7,.,.,PUNCT,
text5,3,1,Auch,auch,NOUN,
text5,3,2,in,in,ADP,
text5,3,3,Polen,Polen,PROPN,PERSON_B
text5,3,4,:,:,PUNCT,
text5,3,5,Diese,Diese,PROPN,NORP_B
text5,3,6,Woche,Woche,PROPN,
text5,3,7,wurde,wurde,NOUN,PERSON_B
text5,3,8,bekannt,bekannt,PROPN,PERSON_I
text5,3,9,",",",",PUNCT,
text5,3,10,dass,dass,PROPN,
text5,3,11,der,der,PROPN,
text5,3,12,regierungskritische,regierungskritische,NOUN,
text5,3,13,Rechtsanwalt,Rechtsanwalt,PROPN,PERSON_B
text5,3,14,Roman,Roman,PROPN,PERSON_I
text5,3,15,Giertych,Giertych,PROPN,PERSON_I
text5,3,16,und,und,VERB,
text5,3,17,die,die,VERB,
text5,3,18,Staatsanwältin,Staatsanwältin,PROPN,PERSON_B
text5,3,19,Ewa,Ewa,PROPN,PERSON_I
text5,4,1,Wrzosek,Wrzosek,PROPN,
text5,4,2,mit,mit,VERB,
text5,4,3,dem,dem,ADJ,NORP_B
text5,4,4,Staatstrojaner,Staatstrojaner,PROPN,ORG_B
text5,4,5,der,der,NOUN,ORG_I
text5,4,6,NSO,NSO,PROPN,ORG_B
text5,4,7,Group,Group,PROPN,ORG_I
text5,4,8,bespitzelt,bespitzelt,NOUN,
text5,4,9,wurden,wurden,PROPN,
text5,4,10,.,.,PUNCT,
text5,5,1,Nach,Nach,PROPN,ORG_B
text5,5,2,Ungarn,Ungarn,PROPN,ORG_I
