doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Auseinandersetzung,Auseinandersetzung,PROPN,
text1,1,3,um,um,INTJ,
text1,1,4,die,die,VERB,
text1,1,5,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,6,in,in,ADP,
text1,1,7,der,der,PROPN,
text1,1,8,EU,EU,PROPN,ORG_B
text1,1,9,geht,geht,NOUN,
text1,1,10,weiter,weiter,PROPN,
text1,1,11,.,.,PUNCT,
text1,2,1,Eigentlich,Eigentlich,PROPN,
text1,2,2,verbieten,verbieten,VERB,
text1,2,3,europäische,europäische,NOUN,
text1,2,4,und,und,NOUN,
text1,2,5,deutsche,deutsche,X,
text1,2,6,Gesetze,Gesetze,PROPN,PERSON_B
text1,2,7,",",",",PUNCT,
text1,2,8,dass,dass,NOUN,
text1,2,9,Diensteanbieter,Diensteanbieter,PROPN,ORG_B
text1,2,10,die,die,NOUN,ORG_I
text1,2,11,Kommunikation,Kommunikation,PROPN,ORG_I
text1,2,12,ihrer,ihrer,NOUN,
text1,2,13,Nutzer,Nutzer,PROPN,
text1,2,14,:,:,PUNCT,
text1,2,15,innen,innen,NOUN,
text1,2,16,überwachen,überwachen,NOUN,
text1,2,17,.,.,PUNCT,
text1,3,1,Trotzdem,Trotzdem,PROPN,GPE_B
text1,3,2,führen,führen,PROPN,
text1,3,3,einige,einige,PROPN,
text1,3,4,Tech,Tech,PROPN,ORG_B
text1,3,5,-,-,PUNCT,
text1,3,6,Konzerne,Konzerne,PROPN,
text1,3,7,eine,eine,NOUN,
text1,3,8,freiwillige,freiwillige,NOUN,
text1,3,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,10,durch,durch,NOUN,
text1,3,11,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,erlaubt,erlaubt,ADJ,
text1,4,3,eine,eine,NOUN,
text1,4,4,vorübergehende,vorübergehende,NOUN,
text1,4,5,Ausnahmeregelung,Ausnahmeregelung,PROPN,PERSON_B
text1,4,6,.,.,PUNCT,
text1,5,1,I,I,PRON,
text1,5,2,m,m,VERB,
text1,5,3,Februar,Februar,PROPN,PERSON_B
text1,5,4,haben,haben,NOUN,
text1,5,5,die,die,VERB,
text1,5,6,EU,EU,PROPN,ORG_B
text1,5,7,-,-,PUNCT,ORG_I
text1,5,8,Gesetzgeber,Gesetzgeber,PROPN,ORG_I
text1,5,9,beschlossen,beschlossen,PROPN,
text1,5,10,",",",",PUNCT,
text1,5,11,diese,diese,PROPN,NORP_B
text1,5,12,temporäre,temporäre,NOUN,
text1,5,13,Ausnahme,Ausnahme,PROPN,
text1,5,14,bis,bi,VERB,
text1,5,15,April,April,PROPN,DATE_B
text1,5,16,2026,2026,NUM,DATE_I
text1,5,17,zu,zu,PROPN,
text1,5,18,verlängern,verlängern,NOUN,
text1,5,19,.,.,PUNCT,
text1,6,1,Auch,auch,NOUN,
text1,6,2,die,die,VERB,
text1,6,3,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,6,4,stimmte,stimmte,NOUN,
text1,6,5,dafür,dafür,NOUN,
text1,6,6,.,.,PUNCT,
text3,1,1,Jetzt,jetzt,NOUN,
text3,1,2,wenden,wenden,ADV,
text3,1,3,sich,sich,PROPN,
text3,1,4,die,die,VERB,
text3,1,5,EU,EU,PROPN,ORG_B
text3,1,6,-,-,PUNCT,
text3,1,7,Institutionen,Institutionen,PROPN,
text3,1,8,wieder,wieder,NOUN,
text3,1,9,der,der,PROPN,
text3,1,10,verpflichtenden,verpflichtenden,NOUN,
text3,1,11,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,12,zu,zu,NOUN,
text3,1,13,.,.,PUNCT,
text3,2,1,Die,die,VERB,ORG_B
text3,2,2,EU,EU,PROPN,ORG_I
text3,2,3,-,-,PUNCT,ORG_I
text3,2,4,Kommission,Kommission,PROPN,ORG_I
text3,2,5,hat,hat,NOUN,
text3,2,6,vor,vor,NOUN,
text3,2,7,fast,fast,ADJ,
text3,2,8,zwei,zwei,NOUN,
text3,3,1,Jahren,Jahren,PROPN,
text3,3,2,eine,eine,NOUN,
text3,3,3,entsprechende,entsprechende,ADJ,
text3,3,4,EU,EU,PROPN,ORG_B
text3,3,5,-,-,PUNCT,
text3,3,6,Verordnung,Verordnung,PROPN,
text3,3,7,vorgeschlagen,vorgeschlagen,NOUN,
text3,3,8,.,.,PUNCT,
text3,4,1,Das,Das,PROPN,ORG_B
text3,4,2,Parlament,Parlament,PROPN,ORG_I
text3,4,3,beschloss,beschloss,ADV,
text3,5,1,i,I,PRON,
text3,5,2,m,m,VERB,
text3,5,3,November,November,PROPN,DATE_B
text3,5,4,",",",",PUNCT,
text3,5,5,die,die,VERB,
text3,5,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,5,7,auf,auf,PROPN,
text3,5,8,unverschlüsselte,unverschlüsselte,ADJ,
text3,5,9,Inhalte,Inhalte,PROPN,PERSON_B
text3,5,10,von,von,PROPN,PERSON_I
text3,5,11,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text3,5,12,zu,zu,PROPN,PERSON_I
text3,5,13,beschränken,beschränken,X,PERSON_I
text3,5,14,.,.,PUNCT,
text3,6,1,Die,die,VERB,
text3,6,2,EU,EU,PROPN,ORG_B
text3,6,3,-,-,PUNCT,
text3,6,4,Staaten,Staaten,PROPN,
text3,6,5,haben,haben,NOUN,
text3,6,6,bisher,bisher,PROPN,PERSON_B
text3,6,7,noch,noch,PROPN,PERSON_I
text3,6,8,keine,keine,PROPN,PERSON_I
text3,6,9,gemeinsame,gemeinsame,PROPN,
text3,6,10,Position,Position,PROPN,
text3,6,11,.,.,PUNCT,
text3,7,1,Das,Das,PROPN,
text3,7,2,Gesetz,Gesetz,PROPN,
text3,7,3,wird,wird,PROPN,
text3,7,4,daher,daher,PROPN,
text3,7,5,nicht,nicht,PROPN,
text3,7,6,mehr,mehr,NOUN,
text3,7,7,vor,vor,NOUN,
text3,7,8,der,der,NOUN,
text3,7,9,EU,EU,PROPN,ORG_B
text3,7,10,-,-,PUNCT,ORG_I
text3,7,11,Wahl,Wahl,PROPN,ORG_I
text3,7,12,i,I,PRON,
text3,7,13,m,m,VERB,
text3,7,14,Juni,Juni,PROPN,PERSON_B
text3,7,15,fertig,fertig,NOUN,
text3,7,16,.,.,PUNCT,
text5,1,1,Das,Das,PROPN,
text5,1,2,Gesetzgebungsverfahren,Gesetzgebungsverfahren,PROPN,
text5,1,3,geht,geht,VERB,
text5,1,4,trotzdem,trotzdem,PROPN,
text5,1,5,weiter,weiter,PROPN,
text5,1,6,.,.,PUNCT,
text5,2,1,Das,Das,PROPN,
text5,2,2,Gesetz,Gesetz,PROPN,
text5,2,3,kann,kann,NOUN,
text5,2,4,auch,auch,NOUN,
text5,2,5,in,in,ADP,
text5,2,6,der,der,PROPN,
text5,2,7,nächsten,nächsten,VERB,
text5,2,8,Wahlperiode,Wahlperiode,PROPN,PERSON_B
text5,2,9,beschlossen,beschlossen,PROPN,
text5,2,10,werden,werden,PROPN,
text5,2,11,.,.,PUNCT,
text5,3,1,I,I,PRON,
text5,3,2,m,m,VERB,
text5,3,3,Rat,Rat,PROPN,
text5,3,4,arbeiten,arbeiten,NOUN,
text5,3,5,die,die,VERB,
text5,3,6,EU,EU,PROPN,ORG_B
text5,3,7,-,-,PUNCT,
text5,3,8,Staaten,Staaten,PROPN,
text5,3,9,weiter,weiter,NOUN,PERSON_B
text5,3,10,daran,daran,NOUN,PERSON_I
text5,3,11,",",",",PUNCT,
text5,3,12,sich,sich,PROPN,
text5,3,13,zu,zu,PROPN,
text5,3,14,einigen,einigen,NOUN,
text5,3,15,.,.,PUNCT,
text5,4,1,Die,die,VERB,
text5,4,2,belgische,belgische,PROPN,
text5,4,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text5,4,4,will,will,AUX,
text5,4,5,das,das,PROPN,
text5,4,6,bis,bis,VERB,
text5,4,7,Juni,Juni,PROPN,ORG_B
text5,4,8,erreichen,erreichen,PROPN,
text5,4,9,.,.,PUNCT,
text5,5,1,Dazu,Dazu,PROPN,PERSON_B
text5,5,2,hat,hat,NOUN,
text5,5,3,sie,sie,PROPN,
text5,5,4,vor,vor,NOUN,
text5,5,5,zwei,zwei,PROPN,
text5,5,6,Wochen,Wochen,PROPN,
text5,5,7,ein,ein,PROPN,
text5,5,8,neues,neue,VERB,
text5,5,9,Konzept,Konzept,PROPN,ORG_B
text5,5,10,vorgeschlagen,vorgeschlagen,NOUN,
text5,5,11,.,.,PUNCT,
text7,1,1,Diesen,Diesen,PROPN,ORG_B
text7,1,2,Vorschlag,Vorschlag,PROPN,ORG_I
text7,1,3,haben,haben,NOUN,
text7,1,4,die,die,VERB,
text7,1,5,Staaten,Staaten,PROPN,ORG_B
text7,1,6,am,be,AUX,
text7,1,7,Freitag,Freitag,PROPN,
text7,1,8,in,in,ADP,
text7,1,9,der,der,PROPN,
text7,1,10,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text7,1,11,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text7,1,12,und,und,VERB,
text7,1,13,am,be,AUX,
text7,2,1,Montag,Montag,PROPN,
text7,3,1,i,I,PRON,
text7,3,2,m,m,VERB,
text7,3,3,Rat,Rat,PROPN,
text7,3,4,für,für,NOUN,
text7,3,5,Justiz,Justiz,PROPN,
text7,3,6,und,und,PROPN,
text7,3,7,Inneres,Inneres,PROPN,ORG_B
text7,3,8,diskutiert,diskutiert,VERB,
text7,3,9,.,.,PUNCT,
text7,4,1,Wir,Wir,PROPN,
text7,4,2,veröffentlichen,veröffentlichen,PROPN,
text7,4,3,ein,ein,PROPN,
text7,4,4,weiteres,weitere,NOUN,
text7,4,5,Mal,Mal,PROPN,PERSON_B
text7,4,6,die,die,VERB,
text7,4,7,eingestuften,eingestuften,ADJ,
text7,4,8,Protokolle,Protokolle,PROPN,GPE_B
text7,4,9,der,der,PROPN,
text7,4,10,Sitzungen,Sitzungen,PROPN,GPE_B
text7,4,11,",",",",PUNCT,
text7,4,12,dazu,dazu,NOUN,
text7,4,13,die,die,VERB,
text7,4,14,Weisung,Weisung,PROPN,
text7,4,15,für,für,NOUN,
text7,4,16,die,die,VERB,
text7,4,17,deutsche,deutsche,NOUN,ORG_B
