doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Sollen,Sollen,PROPN,PERSON_B
text1,1,2,Internetdienste,Internetdienste,PROPN,PERSON_I
text1,1,3,wie,wie,NOUN,
text1,1,4,Messenger,Messenger,PROPN,PERSON_B
text1,1,5,die,die,VERB,
text1,1,6,Inhalte,Inhalte,PROPN,
text1,1,7,ihrer,ihrer,NOUN,
text1,1,8,Nutzer,Nutzer,PROPN,PRODUCT_B
text1,1,9,mitlesen,mitlesen,PROPN,
text1,1,10,",",",",PUNCT,
text1,1,11,um,um,INTJ,
text1,1,12,Straftaten,Straftaten,PROPN,NORP_B
text1,1,13,zu,zu,NOUN,
text1,1,14,suchen,suchen,PROPN,
text1,1,15,und,und,VERB,
text1,1,16,an,an,DET,
text1,1,17,Behörden,Behörden,PROPN,GPE_B
text1,1,18,auszuleiten,auszuleiten,NOUN,
text1,1,19,?,?,PUNCT,
text1,2,1,Seit,Seit,PROPN,
text1,2,2,zwei,zwei,PROPN,
text1,2,3,Jahren,Jahren,PROPN,
text1,2,4,streiten,streiten,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,EU,EU,PROPN,ORG_B
text1,2,7,-,-,PUNCT,
text1,2,8,Institutionen,Institutionen,PROPN,
text1,2,9,über,über,NOUN,
text1,2,10,diese,diese,PROPN,NORP_B
text1,2,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,12,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Kommission,Kommission,PROPN,ORG_I
text3,1,5,fordert,fordert,NOUN,
text3,1,6,eine,eine,NOUN,
text3,1,7,anlasslose,anlasslose,VERB,
text3,1,8,und,und,ADJ,
text3,1,9,massenhafte,massenhafte,NOUN,
text3,1,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,11,und,und,ADJ,
text3,1,12,hat,hat,NOUN,
text3,1,13,eine,eine,NOUN,
text3,1,14,entsprechende,entsprechende,ADJ,
text3,1,15,Verordnung,Verordnung,PROPN,PERSON_B
text3,1,16,vorgeschlagen,vorgeschlagen,NOUN,
text3,1,17,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,EU,EU,PROPN,ORG_B
text3,2,3,-,-,PUNCT,ORG_I
text3,2,4,Parlament,Parlament,PROPN,ORG_I
text3,2,5,kritisiert,kritisiert,NOUN,
text3,2,6,diese,diese,PROPN,NORP_B
text3,2,7,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,2,8,und,und,PROPN,
text3,2,9,fordert,fordert,NOUN,
text3,2,10,",",",",PUNCT,
text3,2,11,die,die,VERB,
text3,2,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,13,auf,auf,PROPN,
text3,2,14,unverschlüsselte,unverschlüsselte,ADJ,
text3,2,15,Inhalte,Inhalte,PROPN,PERSON_B
text3,2,16,von,von,PROPN,PERSON_I
text3,2,17,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text3,2,18,zu,zu,PROPN,PERSON_I
text3,2,19,beschränken,beschränken,PROPN,PERSON_I
text3,2,20,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,EU,EU,PROPN,
text5,1,3,-,-,PUNCT,
text5,1,4,Staaten,Staaten,PROPN,
text5,1,5,sind,sind,NOUN,
text5,1,6,gespalten,gespalten,NOUN,
text5,1,7,.,.,PUNCT,
text5,2,1,Manche,Manche,PROPN,PERSON_B
text5,2,2,Länder,Länder,PROPN,PERSON_I
text5,2,3,unterstützen,unterstützen,NOUN,
text5,2,4,den,den,VERB,
text5,2,5,Vorschlag,Vorschlag,PROPN,ORG_B
text5,2,6,der,der,PROPN,
text5,2,7,Kommission,Kommission,PROPN,ORG_B
text5,2,8,",",",",PUNCT,
text5,2,9,andere,andere,VERB,
text5,2,10,eher,eher,ADJ,
text5,2,11,die,die,PROPN,
text5,2,12,Position,Position,PROPN,ORG_B
text5,2,13,des,des,PROPN,ORG_I
text5,2,14,Parlaments,Parlaments,PROPN,ORG_I
text5,2,15,.,.,PUNCT,
text5,3,1,Letzte,Letzte,PROPN,ORG_B
text5,3,2,Woche,Woche,PROPN,ORG_I
text5,3,3,hat,hat,NOUN,
text5,3,4,der,der,NOUN,
text5,3,5,Rat,Rat,PROPN,
text5,3,6,erneut,erneut,NOUN,
text5,3,7,in,in,ADP,
text5,3,8,der,der,PROPN,
text5,3,9,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text5,3,10,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text5,3,11,verhandelt,verhandelt,ADV,
text5,3,12,.,.,PUNCT,
text5,4,1,Wir,Wir,PROPN,
text5,4,2,veröffentlichen,veröffentlichen,PROPN,
text5,4,3,ein,ein,PROPN,
text5,4,4,weiteres,weitere,VERB,
text5,4,5,Mal,Mal,PROPN,PERSON_B
text5,4,6,das,das,PROPN,PERSON_I
text5,4,7,eingestufte,eingestufte,NOUN,
text5,4,8,Protokoll,Protokoll,PROPN,ORG_B
text5,4,9,der,der,PROPN,
text5,4,10,Sitzung,Sitzung,PROPN,GPE_B
text5,4,11,und,und,PROPN,
text5,4,12,die,die,VERB,
text5,4,13,Verhandlungsposition,Verhandlungsposition,PROPN,
text5,4,14,Deutschlands,Deutschlands,PROPN,
text5,4,15,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Deutschland,Deutschland,PROPN,GPE_B
text7,1,4,fordert,fordert,NOUN,
text7,1,5,wesentliche,wesentliche,NOUN,
text7,1,6,Änderungen,Änderungen,PROPN,ORG_B
text9,1,1,Die,die,VERB,
text9,1,2,deutsche,deutsche,NOUN,
text9,1,3,Bundesregierung,Bundesregierung,PROPN,
text9,1,4,ist,ist,VERB,
text9,1,5,sich,sich,PROPN,
text9,1,6,nicht,nicht,PROPN,
text9,1,7,immer,immer,PROPN,
text9,1,8,einig,einig,PROPN,
text9,1,9,.,.,PUNCT,
text9,2,1,Die,die,VERB,PERSON_B
text9,2,2,Ampel,Ampel,PROPN,PERSON_I
text9,2,3,-,-,PUNCT,PERSON_I
text9,2,4,Ministerien,Ministerien,PROPN,PERSON_I
text9,2,5,haben,haben,NOUN,
text9,2,6,ein,ein,PROPN,PERSON_B
text9,2,7,Jahr,Jahr,PROPN,PERSON_I
text9,2,8,verhandelt,verhandelt,PROPN,
text9,2,9,",",",",PUNCT,
text9,2,10,um,um,INTJ,
text9,2,11,eine,eine,NOUN,
text9,2,12,erste,erste,NOUN,
text9,2,13,gemeinsame,gemeinsame,NOUN,
text9,2,14,Position,Position,PROPN,
text9,2,15,zu,zu,PROPN,
text9,2,16,beschließen,beschließen,NOUN,
text9,2,17,.,.,PUNCT,
text11,1,1,Demnach,Demnach,PROPN,
text11,1,2,lehnt,lehnt,PROPN,
text11,1,3,Deutschland,Deutschland,PROPN,GPE_B
text11,1,4,einige,einige,NOUN,
text11,1,5,besonders,besonder,NOUN,
text11,1,6,umstrittene,umstrittene,NOUN,
text11,1,7,Teile,Teile,PROPN,
text11,1,8,der,der,NOUN,
text11,1,9,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text11,1,10,ab,ab,PROPN,PERSON_I
text11,1,11,",",",",PUNCT,
text11,1,12,darunter,darunter,NOUN,
text11,1,13,das,das,PROPN,PERSON_B
text11,1,14,Scannen,Scannen,PROPN,PERSON_I
text11,1,15,verschlüsselter,verschlüsselter,NOUN,
text11,1,16,Kommunikation,Kommunikation,PROPN,
text11,1,17,und,und,PROPN,
text11,1,18,Client,Client,PROPN,
text11,1,19,-,-,PUNCT,
text11,1,20,Side,Side,PROPN,
text11,1,21,-,-,PUNCT,
text11,1,22,Scanning,Scanning,PROPN,
text11,1,23,.,.,PUNCT,
text11,2,1,Andere,Andere,PROPN,
text11,2,2,Aspekte,Aspekte,PROPN,PRODUCT_B
text11,2,3,verhandelt,verhandelt,NOUN,
text11,2,4,die,die,VERB,
text11,2,5,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text11,2,6,jedoch,jedoch,PROPN,
text11,2,7,weiterhin,weiterhin,PROPN,
text11,2,8,",",",",PUNCT,
text11,2,9,zum,zum,NOUN,
text11,3,1,Beispiel,Beispiel,PROPN,ORG_B
text11,3,2,das,das,PROPN,ORG_I
text11,3,3,Scannen,Scannen,PROPN,ORG_I
text11,3,4,unverschlüsselter,unverschlüsselter,ADJ,
text11,3,5,Kommunikation,Kommunikation,PROPN,ORG_B
text11,3,6,",",",",PUNCT,
text11,3,7,das,das,PROPN,
text11,3,8,Scannen,Scannen,PROPN,PERSON_B
text11,3,9,von,von,PROPN,PERSON_I
text11,3,10,Cloud,Cloud,PROPN,PERSON_I
text11,3,11,-,-,PUNCT,PERSON_I
text11,3,12,Speichern,Speichern,PROPN,PERSON_I
text11,3,13,und,und,PROPN,
text11,3,14,nach,nach,NOUN,
text11,3,15,welchen,welchen,VERB,
text11,3,16,Inhalten,inhalten,ADJ,
text11,3,17,eigentlich,eigentlich,NOUN,
text11,3,18,gesucht,gesucht,PROPN,
text11,3,19,werden,werden,PROPN,
text11,3,20,soll,soll,PROPN,
text11,3,21,.,.,PUNCT,
text13,1,1,Deshalb,Deshalb,PROPN,
text13,1,2,arbeiten,arbeiten,NOUN,
text13,1,3,die,die,VERB,
text13,1,4,Ministerien,Ministerien,PROPN,GPE_B
text13,1,5,zur,zur,PROPN,
text13,1,6,Zeit,Zeit,PROPN,GPE_B
text13,1,7,daran,daran,NOUN,
text13,1,8,",",",",PUNCT,
text13,1,9,ihr,ihr,PROPN,
text13,1,10,Positionspapier,Positionspapier,PROPN,ORG_B
text13,1,11,zu,zu,PROPN,
text13,1,12,aktualisieren,aktualisieren,PROPN,
text13,1,13,.,.,PUNCT,
text13,2,1,Dabei,Dabei,PROPN,
text13,2,2,will,will,AUX,
text13,2,3,sich,sich,VERB,
text13,2,4,die,die,VERB,
text13,2,5,Bundesregierung,Bundesregierung,PROPN,ORG_B
text13,2,6,der,der,PROPN,ORG_I
text13,2,7,Position,Position,PROPN,ORG_I
text13,2,8,des,des,PROPN,ORG_I
text13,2,9,EU,EU,PROPN,ORG_I
text13,2,10,-,-,PUNCT,ORG_I
text13,2,11,Parlaments,Parlaments,PROPN,ORG_I
text13,2,12,annähern,annähern,NOUN,
text13,2,13,.,.,PUNCT,
text13,3,1,Die,die,VERB,
text13,3,2,bezeichnet,bezeichnet,NOUN,
text13,3,3,sie,sie,PROPN,
text13,3,4,als,al,NOUN,
text13,4,1,„,„,PUNCT,
text13,4,2,gute,gute,VERB,
text13,4,3,Grundlage,Grundlage,PROPN,
text13,4,4,für,für,ADV,
text13,4,5,die,die,VERB,
text13,4,6,weiteren,weiteren,PROPN,
text13,4,7,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text13,4,8,“,"""",PUNCT,
text13,4,9,.,.,PUNCT,
text15,1,1,Gleichzeitig,Gleichzeitig,PROPN,
text15,1,2,fordert,fordert,NOUN,
text15,1,3,die,die,NOUN,
text15,1,4,Bundesregierung,Bundesregierung,PROPN,GPE_B
text15,1,5,",",",",PUNCT,
text15,1,6,dass,dass,NOUN,
text15,1,7,die,die,VERB,
text15,1,8,Zahl,Zahl,PROPN,ORG_B
text15,1,9,der,der,NOUN,
text15,1,10,gemeldeten,gemeldeten,NOUN,
text15,1,11,Inhalte,Inhalte,PROPN,NORP_B
