doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,EU,EU,PROPN,
text1,1,3,-,-,PUNCT,
text1,1,4,Institutionen,Institutionen,PROPN,
text1,1,5,streiten,streiten,NOUN,
text1,1,6,seit,seit,NOUN,
text1,1,7,über,über,PROPN,
text1,1,8,zwei,zwei,PROPN,
text1,2,1,Jahren,Jahren,PROPN,
text1,2,2,über,über,PROPN,
text1,2,3,eine,eine,NOUN,
text1,2,4,verpflichtende,verpflichtende,NOUN,
text1,2,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,6,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Kommission,Kommission,PROPN,
text1,3,3,will,will,AUX,
text1,3,4,Internetdienste,Internetdienste,PROPN,
text1,3,5,verpflichten,verpflichten,VERB,
text1,3,6,",",",",PUNCT,
text1,3,7,die,die,VERB,
text1,3,8,Inhalte,Inhalte,PROPN,NORP_B
text1,3,9,ihrer,ihrer,NOUN,
text1,3,10,Nutzer,Nutzer,PROPN,ORG_B
text1,3,11,auf,auf,PROPN,
text1,3,12,Straftaten,Straftaten,PROPN,
text1,3,13,zu,zu,NOUN,
text1,3,14,durchsuchen,durchsuchen,NOUN,
text1,3,15,und,und,VERB,
text1,3,16,diese,diese,ADJ,NORP_B
text1,3,17,bei,bei,NOUN,
text1,3,18,Verdacht,Verdacht,PROPN,PERSON_B
text1,3,19,an,an,DET,
text1,3,20,Behörden,Behörden,PROPN,GPE_B
text1,3,21,zu,zu,NOUN,
text1,3,22,schicken,schicken,NOUN,
text1,3,23,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,ORG_B
text1,4,2,Parlament,Parlament,PROPN,ORG_I
text1,4,3,bezeichnet,bezeichnet,NOUN,
text1,4,4,das,das,PROPN,
text1,4,5,als,al,NOUN,
text1,4,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,4,7,und,und,PROPN,
text1,4,8,fordert,fordert,NOUN,
text1,4,9,",",",",PUNCT,
text1,4,10,nur,nur,VERB,
text1,4,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,4,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,4,13,von,von,PROPN,PERSON_I
text1,4,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,4,15,zu,zu,PROPN,PERSON_I
text1,4,16,scannen,scannen,NOUN,PERSON_I
text1,4,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,bisher,bisher,PROPN,
text3,1,8,nicht,nicht,PROPN,
text3,1,9,auf,auf,PROPN,
text3,1,10,eine,eine,NOUN,
text3,1,11,gemeinsame,gemeinsame,NOUN,
text3,1,12,Position,Position,PROPN,
text3,1,13,einigen,einigen,NOUN,
text3,1,14,.,.,PUNCT,
text3,2,1,Vor,Vor,PROPN,PERSON_B
text3,2,2,einem,einem,PROPN,
text3,2,3,Monat,Monat,PROPN,ORG_B
text3,2,4,hat,hat,NOUN,
text3,2,5,die,die,VERB,
text3,2,6,ungarische,ungarische,NOUN,
text3,2,7,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,2,8,vorgeschlagen,vorgeschlagen,PROPN,
text3,2,9,",",",",PUNCT,
text3,2,10,erstmal,erstmal,ADJ,
text3,2,11,nur,nur,NOUN,
text3,2,12,bekannte,bekannte,VERB,
text3,2,13,Straftaten,Straftaten,PROPN,FAC_B
text3,2,14,zu,zu,NOUN,
text3,2,15,suchen,suchen,PROPN,
text3,2,16,und,und,VERB,
text3,2,17,andere,andere,ADV,
text3,2,18,Inhalte,Inhalte,PROPN,NORP_B
text3,2,19,erst,erst,ADJ,
text3,2,20,später,später,NOUN,
text3,2,21,.,.,PUNCT,
text5,1,1,Heute,heute,NOUN,
text5,1,2,hat,hat,NOUN,
text5,1,3,Ungarn,Ungarn,PROPN,
text5,1,4,die,die,NOUN,
text5,1,5,Justiz-,Justiz-,PROPN,
text5,1,6,und,und,ADJ,
text5,1,7,Innenminister,Innenminister,PROPN,
text5,1,8,über,über,NOUN,
text5,1,9,den,den,NOUN,
text5,1,10,Stand,Stand,PROPN,ORG_B
text5,1,11,der,der,PROPN,
text5,1,12,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text5,1,13,informiert,informiert,PROPN,
text5,1,14,.,.,PUNCT,
text5,2,1,Inhaltlich,inhaltlich,ADJ,GPE_B
text5,2,2,wurde,wurde,NOUN,
text5,2,3,nichts,nicht,NOUN,
text5,2,4,Neues,Neues,PROPN,ORG_B
text5,2,5,gesagt,gesagt,NOUN,
text5,2,6,.,.,PUNCT,
text5,3,1,Wir,Wir,PROPN,
text5,3,2,veröffentlichen,veröffentlichen,PROPN,
text5,3,3,das,das,PROPN,ORG_B
text5,3,4,Protokoll,Protokoll,PROPN,ORG_I
text5,3,5,der,der,PROPN,
text5,3,6,Sitzung,Sitzung,PROPN,GPE_B
text5,3,7,.,.,PUNCT,
