doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ich,Ich,PROPN,
text1,1,2,möchte,möchte,PROPN,
text1,1,3,über,über,PROPN,
text1,1,4,die,die,PROPN,
text1,1,5,Dinge,Dinge,PROPN,GPE_B
text1,1,6,sprechen,sprechen,PROPN,
text1,1,7,",",",",PUNCT,
text1,1,8,die,die,VERB,
text1,1,9,mich,mich,PROPN,
text1,1,10,nachts,nacht,NOUN,
text1,1,11,wachhalten,wachhalten,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Dazu,Dazu,PROPN,
text1,2,2,zählt,zählt,NOUN,
text1,2,3,vor,vor,VERB,
text1,2,4,allem,allem,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,derzeitige,derzeitige,NOUN,
text1,2,7,Flut,Flut,PROPN,PERSON_B
text1,2,8,an,an,DET,
text1,2,9,Regulierungsvorschlägen,Regulierungsvorschlägen,PROPN,ORG_B
text1,2,10,",",",",PUNCT,
text1,2,11,die,die,VERB,
text1,2,12,falsche,falsche,NOUN,
text1,2,13,technische,technische,NOUN,
text1,2,14,Lösungen,Lösungen,PROPN,GPE_B
text1,2,15,für,für,PROPN,
text1,2,16,komplexe,komplexe,NOUN,
text1,2,17,soziale,soziale,ADJ,
text1,2,18,Probleme,Probleme,PROPN,ORG_B
text1,2,19,anbieten,anbieten,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,Diese,Diese,PROPN,NORP_B
text1,3,2,Lösungen,Lösungen,PROPN,PERSON_B
text1,3,3,setzen,setzen,PROPN,
text1,3,4,das,das,PROPN,PERSON_B
text1,3,5,Recht,Recht,PROPN,PERSON_I
text1,3,6,auf,auf,PROPN,
text1,3,7,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,3,8,mit,mit,VERB,
text1,3,9,Fehlverhalten,Fehlverhalten,PROPN,PERSON_B
text1,3,10,gleich,gleich,NOUN,
text1,3,11,.,.,PUNCT,
text1,4,1,Und,und,NOUN,
text1,4,2,sie,sie,NOUN,
text1,4,3,wollen,wollen,PROPN,
text1,4,4,gegen,gegen,PROPN,
text1,4,5,schlechte,schlechte,PROPN,
text1,4,6,Taten,Taten,PROPN,PERSON_B
text1,4,7,vorgehen,vorgehen,NOUN,PERSON_I
text1,4,8,",",",",PUNCT,
text1,4,9,indem,indem,PROPN,ORG_B
text1,4,10,sie,sie,PROPN,
text1,4,11,die,die,PROPN,
text1,4,12,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,4,13,abschaffen,abschaffen,PROPN,
text1,4,14,.,.,PUNCT,
text3,1,1,#,#,SYM,MONEY_B
text3,1,2,#,#,NOUN,MONEY_I
text3,1,3,Die,Die,VERB,MONEY_I
text3,1,4,Wiederkehr,Wiederkehr,PROPN,MONEY_I
text3,1,5,fadenscheiniger,fadenscheiniger,NOUN,
text3,1,6,Lösungen,Lösungen,PROPN,PERSON_B
text5,1,1,In,in,ADP,
text5,1,2,meinen,meinen,ADJ,
text5,1,3,knapp,knapp,NOUN,
text5,1,4,zwanzig,zwanzig,PROPN,PERSON_B
text5,1,5,Jahren,Jahren,PROPN,PERSON_I
text5,1,6,in,in,ADP,
text5,1,7,der,der,PROPN,
text5,1,8,Tech,Tech,PROPN,PERSON_B
text5,1,9,-,-,PUNCT,
text5,1,10,Branche,Branche,PROPN,
text5,1,11,habe,habe,NOUN,
text5,1,12,ich,ich,NOUN,
text5,1,13,erlebt,erlebt,PROPN,
text5,1,14,",",",",PUNCT,
text5,1,15,wie,wie,NOUN,
text5,1,16,die,die,NOUN,
text5,1,17,immer,immer,NOUN,
text5,1,18,gleichen,gleichen,NOUN,
text5,1,19,Gespräche,Gespräche,PROPN,PERSON_B
text5,1,20,aufkamen,aufkamen,PROPN,
text5,1,21,",",",",PUNCT,
text5,1,22,abklangen,abklangen,NOUN,
text5,1,23,und,und,PROPN,
text5,1,24,zurückkehrten,zurückkehrten,ADJ,
text5,1,25,–,–,PUNCT,
text5,1,26,und,und,ADJ,
text5,1,27,wie,wie,NOUN,
text5,1,28,dabei,dabei,VERB,
text5,1,29,immer,immer,NOUN,
text5,1,30,wieder,wieder,NOUN,
text5,1,31,die,die,VERB,
text5,1,32,gleiche,gleiche,PROPN,
text5,1,33,Form,Form,PROPN,
text5,1,34,des,des,X,
text5,1,35,magischen,magischen,NOUN,
text5,1,36,Denkens,Denkens,PROPN,
text5,1,37,aufschien,aufschien,NOUN,
text5,1,38,.,.,PUNCT,
text7,1,1,Das,Das,PROPN,ORG_B
text7,1,2,Muster,Muster,PROPN,ORG_I
text7,1,3,sieht,sieht,NOUN,
text7,1,4,in,in,ADP,
text7,1,5,etwa,etwa,NOUN,
text7,1,6,wie,wie,NOUN,
text7,1,7,folgt,folgt,NOUN,
text7,1,8,aus,aus,PROPN,
text7,1,9,:,:,PUNCT,
text7,1,10,Ein,Ein,PROPN,
text7,1,11,komplexes,komplexe,VERB,
text7,1,12,",",",",PUNCT,
text7,1,13,erschütterndes,erschütternde,VERB,
text7,1,14,soziales,soziale,NOUN,
text7,1,15,Problem,Problem,PROPN,PRODUCT_B
text7,1,16,zieht,zieht,NOUN,
text7,1,17,die,die,VERB,
text7,1,18,Aufmerksamkeit,Aufmerksamkeit,PROPN,PERSON_B
text7,1,19,von,von,PROPN,PERSON_I
text7,1,20,Regulierungsbehörden,Regulierungsbehörden,PROPN,PERSON_I
text7,1,21,und,und,VERB,
text7,1,22,Medien,Medien,PROPN,PERSON_B
text7,1,23,auf,auf,PROPN,
text7,1,24,sich,sich,PROPN,
text7,1,25,.,.,PUNCT,
text7,2,1,Jede,Jede,PROPN,
text7,2,2,:,:,PUNCT,
text7,2,3,r,r,NOUN,
text7,2,4,erkennt,erkennt,NOUN,
text7,2,5,die,die,VERB,
text7,2,6,Schwere,Schwere,PROPN,ORG_B
text7,2,7,des,de,NOUN,ORG_I
text7,2,8,Problems,problem,NOUN,ORG_I
text7,2,9,an,an,DET,
text7,2,10,und,und,ADJ,
text7,2,11,die,die,ADJ,
text7,2,12,Dringlichkeit,Dringlichkeit,PROPN,GPE_B
text7,2,13,",",",",PUNCT,
text7,2,14,es,es,PROPN,
text7,2,15,zu,zu,PROPN,
text7,2,16,lösen,lösen,PROPN,
text7,2,17,.,.,PUNCT,
text7,3,1,Wir,Wir,PROPN,
text7,3,2,sind,sind,NOUN,
text7,3,3,beunruhigt,beunruhigt,PROPN,
text7,3,4,",",",",PUNCT,
text7,3,5,besorgt,besorgt,NOUN,
text7,3,6,und,und,VERB,
text7,3,7,emotional,emotional,ADJ,
text7,3,8,.,.,PUNCT,
text7,4,1,Und,und,INTJ,
text7,4,2,die,die,VERB,
text7,4,3,Menschen,Menschen,PROPN,
text7,4,4,sputen,sputen,ADJ,
text7,4,5,sich,sich,PROPN,
text7,4,6,",",",",PUNCT,
text7,4,7,„,„,PUNCT,
text7,4,8,etwas,etwa,VERB,
text7,4,9,zu,zu,ADJ,
text7,4,10,tun,tun,NOUN,
text7,4,11,“,"""",PUNCT,
text7,4,12,.,.,PUNCT,
text9,1,1,Dann,Dann,PROPN,
text9,1,2,wird,wird,NOUN,
text9,1,3,uns,un,VERB,
text9,1,4,die,die,VERB,
text9,1,5,gleiche,gleiche,NOUN,
text9,1,6,fadenscheinige,fadenscheinige,NOUN,PERSON_B
text9,1,7,„,„,PUNCT,PERSON_I
text9,1,8,Lösung,Lösung,PROPN,
text9,1,9,“,"""",PUNCT,
text9,1,10,präsentiert,präsentiert,NOUN,
text9,1,11,:,:,PUNCT,
text9,1,12,Um,um,INTJ,ORG_B
text9,1,13,das,das,PROPN,ORG_I
text9,1,14,Unrecht,Unrecht,PROPN,ORG_I
text9,1,15,in,in,ADP,
text9,1,16,der,der,PROPN,
text9,1,17,Welt,Welt,PROPN,
text9,1,18,zu,zu,PROPN,
text9,1,19,beseitigen,beseitigen,NOUN,
text9,1,20,",",",",PUNCT,
text9,1,21,heißt,heißt,NOUN,
text9,1,22,es,es,PROPN,
text9,1,23,dann,dann,PROPN,
text9,1,24,",",",",PUNCT,
text9,1,25,müsse,müsse,ADJ,
text9,1,26,man,man,NOUN,
text9,1,27,die,die,VERB,
text9,1,28,private,private,ADJ,
text9,1,29,Kommunikation,Kommunikation,PROPN,
text9,1,30,einschränken,einschränken,ADJ,
text9,1,31,.,.,PUNCT,
text11,1,1,#,#,SYM,MONEY_B
text11,1,2,#,#,NOUN,MONEY_I
text11,1,3,Die,Die,VERB,MONEY_I
text11,1,4,Gefahren,Gefahren,PROPN,MONEY_I
text11,1,5,der,der,NOUN,
text11,1,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text13,1,1,Die,die,VERB,PERSON_B
text13,1,2,Geschichte,Geschichte,PROPN,PERSON_I
text13,1,3,der,der,PROPN,
text13,1,4,Datenverarbeitung,Datenverarbeitung,PROPN,PERSON_B
text13,1,5,ist,ist,NOUN,
text13,1,6,gespickt,gespickt,PROPN,
text13,1,7,mit,mit,VERB,
text13,1,8,Episoden,Episoden,PROPN,PERSON_B
text13,1,9,",",",",PUNCT,
text13,1,10,die,die,VERB,
text13,1,11,die,die,VERB,
