doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Zwei,Zwei,PROPN,PERSON_B
text1,1,2,Drittel,drittel,ADJ,PERSON_I
text1,1,3,aller,aller,NOUN,
text1,1,4,Jugendlichen,Jugendlichen,PROPN,PERSON_B
text1,1,5,zwischen,zwischen,PROPN,
text1,1,6,13,13,NUM,CARDINAL_B
text1,1,7,und,und,NOUN,
text1,1,8,18,18,NUM,CARDINAL_B
text1,1,9,Jahren,Jahren,PROPN,
text1,1,10,sind,sind,NOUN,
text1,1,11,dagegen,dagegen,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,dass,dass,NOUN,
text1,1,14,Anbieter,Anbieter,PROPN,PERSON_B
text1,1,15,ihre,ihre,ADJ,
text1,1,16,Mails,Mails,PROPN,
text1,1,17,und,und,VERB,
text1,1,18,Chatnachrichten,Chatnachrichten,PROPN,PERSON_B
text1,1,19,durchsuchen,durchsuchen,NOUN,PERSON_I
text1,1,20,",",",",PUNCT,
text1,1,21,nur,nur,VERB,
text1,1,22,jeder,jeder,NOUN,
text1,1,23,fünfte,fünfte,PROPN,
text1,1,24,hält,hält,NOUN,
text1,1,25,das,das,PROPN,
text1,1,26,für,für,PROPN,
text1,1,27,angemessen,angemessen,PROPN,
text1,1,28,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,geht,geht,NOUN,ORG_B
text1,2,3,aus,aus,PROPN,ORG_I
text1,2,4,einer,einer,PROPN,ORG_I
text1,2,5,repräsentativen,repräsentativen,VERB,
text1,2,6,Umfrage,Umfrage,PROPN,
text1,2,7,unter,unter,NOUN,
text1,2,8,8000,8000,NUM,
text1,2,9,Jugendlichen,Jugendlichen,PROPN,ORG_B
text1,2,10,aus,aus,PROPN,ORG_I
text1,2,11,13,13,NUM,ORG_I
text1,2,12,Ländern,Ländern,PROPN,ORG_I
text1,2,13,in,in,ADP,
text1,2,14,Europa,Europa,PROPN,LOC_B
text1,2,15,hervor,hervor,NOUN,
text1,2,16,",",",",PUNCT,
text1,2,17,die,die,VERB,
text1,2,18,der,der,NOUN,
text1,2,19,europäische,europäische,NOUN,
text1,2,20,Dachverband,Dachverband,PROPN,NORP_B
text1,2,21,digitaler,digitaler,NOUN,
text1,2,22,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,2,23,EDRi,EDRi,PROPN,
text1,2,24,und,und,VERB,
text1,2,25,die,die,VERB,
text1,3,1,Piratenpartei,Piratenpartei,PROPN,
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Europaparlament,europaparlament,ADJ,
text1,4,4,in,in,ADP,
text1,4,5,Auftrag,Auftrag,PROPN,GPE_B
text1,4,6,gegeben,gegeben,NOUN,
text1,4,7,haben,haben,NOUN,
text1,4,8,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Umfrage,Umfrage,PROPN,
text3,1,3,zeigt,zeigt,PROPN,
text3,1,4,auch,auch,PROPN,
text3,1,5,",",",",PUNCT,
text3,1,6,dass,dass,VERB,
text3,1,7,80,80,NUM,CARDINAL_B
text3,1,8,Prozent,Prozent,PROPN,ORG_B
text3,1,9,der,der,NOUN,
text3,1,10,Jugendlichen,Jugendlichen,PROPN,PERSON_B
text3,1,11,sich,sich,PROPN,
text3,1,12,nicht,nicht,PROPN,
text3,1,13,wohl,wohl,PROPN,
text3,1,14,dabei,dabei,VERB,
text3,1,15,fühlen,fühlen,PROPN,
text3,1,16,würden,würden,PROPN,GPE_B
text3,1,17,",",",",PUNCT,
text3,1,18,politisch,politisch,VERB,
text3,1,19,aktiv,aktiv,PROPN,PERSON_B
text3,1,20,zu,zu,PROPN,PERSON_I
text3,1,21,sein,sein,PROPN,
text3,1,22,oder,oder,NOUN,
text3,1,23,ihre,ihre,ADJ,
text3,1,24,Sexualität,Sexualität,PROPN,
text3,1,25,zu,zu,PROPN,
text3,1,26,erkunden,erkunden,PROPN,
text3,1,27,",",",",PUNCT,
text3,1,28,wenn,wenn,PROPN,
text3,1,29,Unternehmen,Unternehmen,PROPN,ORG_B
text3,1,30,oder,oder,NOUN,
text3,1,31,Behörden,Behörden,PROPN,GPE_B
text3,1,32,ihre,ihre,ADJ,
text3,1,33,digitale,digitale,NOUN,
text3,1,34,Kommunikation,Kommunikation,PROPN,ORG_B
text3,1,35,überwachen,überwachen,PROPN,
text3,1,36,könnten,könnten,PROPN,
text3,1,37,",",",",PUNCT,
text3,1,38,um,um,INTJ,
