doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,der,der,PROPN,
text1,1,3,Debatte,Debatte,PROPN,ORG_B
text1,1,4,um,um,INTJ,
text1,1,5,die,die,VERB,
text1,1,6,so,so,ADV,
text1,1,7,genannte,genannte,NOUN,
text1,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,9,taucht,taucht,VERB,
text1,1,10,ein,ein,PROPN,GPE_B
text1,1,11,Name,name,NOUN,GPE_I
text1,1,12,immer,immer,NOUN,
text1,1,13,wieder,wieder,NOUN,
text1,1,14,auf,auf,PROPN,
text1,1,15,:,:,PUNCT,
text1,1,16,Thorn,thorn,NOUN,
text1,1,17,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,vom,vom,NOUN,
text1,2,3,US,US,PROPN,GPE_B
text1,2,4,-,-,PUNCT,
text1,2,5,Schauspieler,Schauspieler,PROPN,
text1,2,6,Ashton,Ashton,PROPN,
text1,2,7,Kutcher,Kutcher,PROPN,
text1,2,8,mitgegründete,mitgegründete,PROPN,
text1,2,9,Organisation,Organisation,PROPN,
text1,2,10,spielt,spielt,NOUN,
text1,2,11,eine,eine,NOUN,
text1,2,12,Schlüsselrolle,Schlüsselrolle,PROPN,GPE_B
text1,2,13,bei,bei,PROPN,
text1,2,14,der,der,PROPN,
text1,2,15,Entstehung,Entstehung,PROPN,ORG_B
text1,2,16,des,des,PROPN,ORG_I
text1,2,17,EU,EU,PROPN,ORG_I
text1,2,18,-,-,PUNCT,ORG_I
text1,2,19,Gesetzespaketes,Gesetzespaketes,PROPN,ORG_I
text1,2,20,zur,zur,NOUN,PERSON_B
text1,2,21,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text1,2,22,von,von,PROPN,PERSON_I
text1,2,23,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text1,2,24,und,und,VERB,
text1,2,25,beim,beim,NOUN,
text1,2,26,Lobbying,Lobbying,PROPN,PERSON_B
text1,2,27,für,für,NOUN,
text1,2,28,dieses,diesis,NOUN,
text1,2,29,.,.,PUNCT,
text1,3,1,Thorn,thorn,NOUN,
text1,3,2,selbst,selbst,PROPN,
text1,3,3,entwickelt,entwickelt,NOUN,
text1,3,4,mit,mit,VERB,PERSON_B
text1,3,5,dem,dem,ADJ,PERSON_I
text1,3,6,Produkt,produkt,NOUN,
text1,3,7,„,„,PUNCT,
text1,3,8,Safer,safe,ADJ,
text1,3,9,“,"""",PUNCT,
text1,3,10,auch,auch,ADJ,
text1,3,11,Software,Software,PROPN,ORG_B
text1,3,12,zur,zur,PROPN,
text1,3,13,Erkennung,Erkennung,PROPN,PERSON_B
text1,3,14,von,von,PROPN,PERSON_I
text1,3,15,Dateien,Dateien,PROPN,PERSON_I
text1,3,16,",",",",PUNCT,
text1,3,17,die,die,VERB,
text1,3,18,Darstellungen,Darstellungen,PROPN,PERSON_B
text1,3,19,von,von,PROPN,PERSON_I
text1,3,20,sexualisierter,sexualisierter,NOUN,
text1,3,21,Gewalt,Gewalt,PROPN,PERSON_B
text1,3,22,zeigen,zeigen,PROPN,PERSON_I
text1,3,23,.,.,PUNCT,
text1,4,1,Sollte,Sollte,PROPN,
text1,4,2,die,die,VERB,
text1,4,3,EU,EU,PROPN,ORG_B
text1,4,4,Plattformen,Plattformen,PROPN,
text1,4,5,tatsächlich,tatsächlich,NOUN,
text1,4,6,zur,zur,PROPN,
text1,4,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,4,8,verpflichten,verpflichten,VERB,
text1,4,9,",",",",PUNCT,
text1,4,10,dann,dann,PROPN,
text1,4,11,brauchen,brauchen,NOUN,
text1,4,12,die,die,VERB,
text1,4,13,Unternehmen,Unternehmen,PROPN,
text1,4,14,dazu,dazu,NOUN,
text1,4,15,Software,Software,PROPN,ORG_B
text1,4,16,–,–,PUNCT,
text1,4,17,zum,zum,NOUN,PERSON_B
text1,4,18,Beispiel,Beispiel,PROPN,PERSON_I
text1,4,19,die,die,VERB,
text1,4,20,von,von,PROPN,PERSON_B
text1,4,21,Thorn,Thorn,PROPN,PERSON_I
text1,4,22,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Investigativ,Investigativ,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Plattform,Plattform,PROPN,ORG_I
text3,1,5,Follow,Follow,PROPN,ORG_I
text3,1,6,the,the,DET,ORG_I
text3,1,7,Money,Money,PROPN,ORG_I
text3,1,8,(,(,PUNCT,ORG_I
text3,1,9,FTM,FTM,PROPN,ORG_I
text3,1,10,),),PUNCT,
text3,1,11,hat,hat,NOUN,
text3,1,12,sich,sich,ADJ,
text3,1,13,Thorn,Thorn,PROPN,PRODUCT_B
text3,1,14,noch,noch,ADV,
text3,1,15,einmal,einmal,ADJ,
text3,1,16,näher,näher,ADJ,
text3,1,17,angesehen,angesehen,NOUN,
text3,1,18,und,und,PROPN,
text3,1,19,kommt,kommt,PROPN,PERSON_B
text3,1,20,dabei,dabei,PROPN,
text3,1,21,zum,zum,PROPN,PERSON_B
