doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,dänische,dänische,NOUN,
text1,1,3,Justizminister,Justizminister,PROPN,
text1,1,4,Peter,Peter,PROPN,PERSON_B
text1,1,5,Hummelgaard,Hummelgaard,PROPN,PERSON_I
text1,1,6,hat,hat,NOUN,
text1,1,7,in,in,ADP,
text1,1,8,einer,einer,NOUN,
text1,1,9,Pressekonferenz,Pressekonferenz,PROPN,ORG_B
text1,1,10,nach,nach,PROPN,
text1,1,11,der,der,PROPN,
text1,1,12,abgesagten,abgesagten,ADJ,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,-,-,PUNCT,ORG_I
text1,1,15,Abstimmung,Abstimmung,PROPN,ORG_I
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,PERSON_B
text1,2,4,der,der,PROPN,PERSON_I
text1,2,5,EU,EU,PROPN,ORG_B
text1,2,6,Journalist,Journalist,PROPN,
text1,2,7,:,:,PUNCT,
text1,2,8,innen,innen,NOUN,
text1,2,9,empfohlen,empfohlen,NOUN,
text1,2,10,",",",",PUNCT,
text1,2,11,sie,sie,PROPN,
text1,2,12,sollten,sollten,VERB,
text1,2,13,„,„,PUNCT,
text1,2,14,dem,dem,ADJ,NORP_B
text1,2,15,Geld,Geld,PROPN,PERSON_B
text1,2,16,folgen,folgen,NOUN,
text1,2,17,“,"""",PUNCT,
text1,2,18,(,(,PUNCT,
text1,2,19,Video,Video,PROPN,
text1,2,20,),),PUNCT,
text1,2,21,",",",",PUNCT,
text1,2,22,um,um,INTJ,
text1,2,23,herauszufinden,herauszufinden,NOUN,
text1,2,24,",",",",PUNCT,
text1,2,25,wie,wie,NOUN,
text1,2,26,die,die,VERB,
text1,2,27,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,28,-,-,PUNCT,ORG_I
text1,2,29,Debatte,Debatte,PROPN,ORG_I
text1,2,30,entstanden,entstanden,VERB,
text1,2,31,sei,sei,ADJ,
text1,2,32,.,.,PUNCT,
text1,3,1,Damit,Damit,PROPN,ORG_B
text1,3,2,streut,streut,NOUN,
text1,3,3,er,er,INTJ,
text1,3,4,Gerüchte,Gerüchte,PROPN,ORG_B
text1,3,5,",",",",PUNCT,
text1,3,6,dass,dass,NOUN,
text1,3,7,die,die,VERB,
text1,3,8,Gegner,Gegner,PROPN,
text1,3,9,:,:,PUNCT,
text1,3,10,innen,innen,NOUN,PERSON_B
text1,3,11,der,der,PROPN,PERSON_I
text1,3,12,anlasslosen,anlasslosen,PROPN,
text1,3,13,Überwachung,Überwachung,PROPN,PRODUCT_B
text1,3,14,letztlich,letztlich,PROPN,
text1,3,15,gekauft,gekauft,PROPN,
text1,3,16,seien,seien,PROPN,
text1,3,17,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Sozialdemokrat,Sozialdemokrat,PROPN,PERSON_I
text3,1,3,Hummelgaard,Hummelgaard,PROPN,PERSON_I
text3,1,4,wiederholt,wiederholt,PROPN,
text3,1,5,damit,damit,NOUN,
text3,1,6,Vorwürfe,Vorwürfe,PROPN,GPE_B
text3,1,7,",",",",PUNCT,
text3,1,8,die,die,VERB,
text3,1,9,er,er,INTJ,
text3,1,10,schon,schon,NOUN,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,September,September,PROPN,DATE_B
text3,2,4,dieses,diesis,NOUN,
text3,2,5,Jahres,Jahres,PROPN,PERSON_B
