doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Gerade,gerade,NOUN,
text1,1,2,verhandeln,verhandeln,NOUN,
text1,1,3,die,die,VERB,
text1,1,4,Unionsparteien,Unionsparteien,PROPN,
text1,1,5,und,und,PROPN,
text1,1,6,die,die,VERB,
text1,1,7,SPD,SPD,PROPN,
text1,1,8,über,über,NOUN,
text1,1,9,die,die,NOUN,
text1,1,10,Zukunft,Zukunft,PROPN,ORG_B
text1,1,11,der,der,NOUN,ORG_I
text1,1,12,Bundesrepublik,Bundesrepublik,PROPN,ORG_I
text1,1,13,.,.,PUNCT,
text1,2,1,Die,die,VERB,PERSON_B
text1,2,2,Sondierungsgespräche,Sondierungsgespräche,PROPN,PERSON_I
text1,2,3,sollen,sollen,NOUN,
text1,2,4,schnell,schnell,NOUN,
text1,2,5,in,in,ADP,
text1,2,6,Koalitionsverhandlungen,Koalitionsverhandlungen,PROPN,GPE_B
text1,2,7,übergehen,übergehen,NOUN,
text1,2,8,.,.,PUNCT,
text1,3,1,Die,die,VERB,PERSON_B
text1,3,2,Mischung,Mischung,PROPN,PERSON_I
text1,3,3,schwarz,schwarz,NOUN,
text1,3,4,-,-,PUNCT,
text1,3,5,rot,rot,PROPN,
text1,3,6,ist,ist,PROPN,
text1,3,7,bislang,bislang,PROPN,
text1,3,8,eher,eher,PROPN,
text1,3,9,nicht,nicht,PROPN,
text1,3,10,für,für,PROPN,
text1,3,11,progressive,progressive,PROPN,
text1,3,12,Politik,Politik,PROPN,NORP_B
text1,3,13,bekannt,bekannt,NOUN,
text1,3,14,.,.,PUNCT,
text1,4,1,Auch,auch,ADJ,
text1,4,2,deshalb,deshalb,ADJ,
text1,4,3,drängen,drängen,PROPN,
text1,4,4,jetzt,jetzt,PROPN,
text1,4,5,zahlreiche,zahlreiche,PROPN,
text1,4,6,zivilgesellschaftliche,zivilgesellschaftliche,PROPN,
text1,4,7,Organisationen,Organisationen,PROPN,PERSON_B
text1,4,8,darauf,darauf,PROPN,
text1,4,9,",",",",PUNCT,
text1,4,10,dass,dass,NOUN,
text1,4,11,ihre,ihre,ADJ,
text1,4,12,Anliegen,Anliegen,PROPN,ORG_B
text1,4,13,in,in,ADP,
text1,4,14,den,den,NOUN,
text1,4,15,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text1,4,16,Beachtung,Beachtung,PROPN,PERSON_I
text1,4,17,finden,finden,NOUN,
text1,4,18,.,.,PUNCT,
text1,5,1,Wir,wir,ADJ,
text1,5,2,haben,haben,NOUN,
text1,5,3,die,die,VERB,
text1,5,4,wichtigsten,wichtigsten,VERB,
text1,6,1,Projekte,Projekte,PROPN,PERSON_B
text1,6,2,und,und,VERB,
text1,6,3,Baustellen,Baustellen,PROPN,PERSON_B
text1,7,1,i,I,PRON,
text1,7,2,m,m,VERB,
text1,7,3,digitalpolitischen,digitalpolitischen,ADJ,
text1,7,4,Bereich,Bereich,PROPN,PERSON_B
text1,7,5,zusammengestellt,zusammengestellt,PROPN,
text1,7,6,.,.,PUNCT,
text3,1,1,#,#,SYM,
text3,1,2,#,#,NOUN,
text3,1,3,Transparenz,Transparenz,PROPN,PERSON_B
text3,1,4,herstellen,herstellen,VERB,
text5,1,1,💡,💡,NOUN,
text5,1,2,*,*,PUNCT,
text5,1,3,*,*,NOUN,
text5,1,4,Warum,warum,NOUN,
text5,1,5,ist,ist,ADP,
text5,1,6,das,das,PROPN,
text5,1,7,wichtig,wichtig,NOUN,
text5,1,8,?,?,PUNCT,
text5,2,1,*,*,PUNCT,
text5,2,2,*,*,PUNCT,
text5,2,3,Transparenz,Transparenz,PROPN,
text5,2,4,ist,ist,NOUN,
text5,2,5,die,die,VERB,
text5,2,6,Basis,Basis,PROPN,ORG_B
text5,2,7,einer,einer,NOUN,
text5,2,8,funktionierenden,funktionierenden,PROPN,
text5,2,9,Demokratie,Demokratie,PROPN,ORG_B
text5,2,10,.,.,PUNCT,
text5,3,1,Eine,Eine,PROPN,PERSON_B
text5,3,2,Behörde,Behörde,PROPN,PERSON_I
text5,3,3,",",",",PUNCT,
text5,3,4,die,die,VERB,
text5,3,5,gegenüber,gegenüber,PROPN,PERSON_B
text5,3,6,dem,dem,PROPN,PERSON_I
text5,3,7,Souverän,Souverän,PROPN,PERSON_B
text5,3,8,regelmäßig,regelmäßig,NOUN,
text5,3,9,ausführlich,ausführlich,NOUN,
text5,3,10,Rechenschaft,Rechenschaft,PROPN,ORG_B
text5,3,11,ablegen,ablegen,PROPN,
text5,3,12,muss,muss,PROPN,
text5,3,13,",",",",PUNCT,
text5,3,14,ist,ist,NOUN,
text5,3,15,ein,ein,PROPN,PERSON_B
text5,3,16,Bollwerk,Bollwerk,PROPN,PERSON_I
text5,3,17,gegen,gegen,NOUN,
text5,3,18,den,den,VERB,
text5,3,19,Faschismus,Faschismus,PROPN,PERSON_B
text5,3,20,.,.,PUNCT,
text5,4,1,Außerdem,Außerdem,PROPN,
text5,4,2,eröffnet,eröffnet,NOUN,
text5,4,3,umfassende,umfassende,VERB,
text5,4,4,Transparenz,Transparenz,PROPN,ORG_B
text5,4,5,auch,auch,PROPN,
text5,4,6,Spielräume,Spielräume,PROPN,GPE_B
text5,4,7,für,für,NOUN,
text5,4,8,wirtschaftliche,wirtschaftliche,PROPN,
text5,4,9,Innovationen,Innovationen,PROPN,ORG_B
text5,4,10,.,.,PUNCT,
text7,1,1,⚙,⚙,NOUN,
text7,1,2,️,️,X,
text7,1,3,*,*,PUNCT,
text7,1,4,*,*,PUNCT,
text7,1,5,Was,be,AUX,
text7,1,6,konkret,konkret,NOUN,
text7,1,7,ist,ist,ADJ,
text7,1,8,zu,zu,ADJ,
text7,1,9,tun,tun,NOUN,
text7,1,10,?,?,PUNCT,
text7,2,1,*,*,PUNCT,
text7,2,2,*,*,PUNCT,
text7,2,3,Deutschland,Deutschland,PROPN,GPE_B
text7,2,4,braucht,braucht,PROPN,
text7,2,5,ein,ein,PROPN,
text7,2,6,Transparenzgesetz,Transparenzgesetz,PROPN,
text7,2,7,.,.,PUNCT,
text7,3,1,Die,die,VERB,PERSON_B
text7,3,2,Zivilgesellschaft,Zivilgesellschaft,PROPN,PERSON_I
text7,3,3,hat,hat,NOUN,
text7,3,4,auch,auch,ADJ,
text7,3,5,schon,schon,ADJ,
text7,3,6,eins,ein,NOUN,
text7,3,7,geschrieben,geschrieben,PROPN,
text7,3,8,",",",",PUNCT,
text7,3,9,schwarz,schwarz,NOUN,
text7,3,10,-,-,PUNCT,
text7,3,11,rot,rot,NOUN,
text7,3,12,müsste,müsste,NOUN,
text7,3,13,es,es,PROPN,
text7,3,14,nur,nur,PROPN,
text7,3,15,noch,noch,PROPN,
text7,3,16,absegnen,absegnen,PROPN,
text7,3,17,.,.,PUNCT,
text7,4,1,Von,Von,PROPN,ORG_B
text7,4,2,einem,einem,PROPN,ORG_I
text7,4,3,Rechtsanspruch,Rechtsanspruch,PROPN,ORG_I
text7,4,4,auf,auf,PROPN,ORG_I
text7,4,5,Open,Open,PROPN,ORG_I
text7,4,6,Data,Data,PROPN,ORG_I
text7,4,7,würden,würden,NOUN,
text7,4,8,Bürger*innen,Bürger*innen,PROPN,
text7,4,9,",",",",PUNCT,
text7,4,10,die,die,AUX,
text7,4,11,Verwaltung,Verwaltung,PROPN,GPE_B
text7,4,12,sowie,sowie,ADV,
text7,4,13,die,die,VERB,
text7,4,14,Wirtschaft,Wirtschaft,PROPN,ORG_B
text7,4,15,profitieren,profitieren,NOUN,
text7,4,16,.,.,PUNCT,
text9,1,1,👉,👉,PROPN,
text9,1,2,*,*,PUNCT,
text9,1,3,*,*,PROPN,
text9,1,4,Was,be,AUX,
text9,1,5,gehört,gehört,NOUN,
text9,1,6,noch,noch,PROPN,
text9,1,7,dazu,dazu,PROPN,
text9,1,8,?,?,PUNCT,
text9,2,1,*,*,PUNCT,
text9,2,2,*,*,PUNCT,
text9,2,3,Ein,Ein,PROPN,
text9,2,4,wichtiger,wichtiger,NOUN,
text9,2,5,Beitrag,Beitrag,PROPN,ORG_B
text9,2,6,zur,zur,PROPN,
text9,2,7,Transparenz,Transparenz,PROPN,ORG_B
text9,2,8,staatlichen,staatlichen,PUNCT,
text9,3,1,Handelns,Handelns,PROPN,ORG_B
text9,3,2,wäre,wäre,NOUN,
text9,3,3,auch,auch,PROPN,
text9,3,4,eine,eine,NOUN,
text9,3,5,regelmäßige,regelmäßige,NOUN,
text9,3,6,Überwachungsgesamtrechnung,Überwachungsgesamtrechnung,PROPN,PRODUCT_B
text9,3,7,.,.,PUNCT,
text9,4,1,Eine,eine,NOUN,
text9,4,2,aktuelle,aktuelle,NOUN,
text9,4,3,Evaluation,Evaluation,PROPN,
text9,4,4,der,der,NOUN,
text9,4,5,Sicherheitsgesetze,Sicherheitsgesetze,PROPN,PERSON_B
text9,4,6,hat,hat,PROPN,
text9,4,7,das,das,PROPN,PERSON_B
text9,4,8,Max,Max,PROPN,PERSON_I
text9,4,9,-,-,PUNCT,PERSON_I
text9,4,10,Planck,Planck,PROPN,PERSON_I
text9,4,11,-,-,PUNCT,PERSON_I
text9,4,12,Institut,Institut,PROPN,PERSON_I
text9,4,13,wohl,wohl,NOUN,
text9,4,14,bereits,bereit,VERB,
text9,4,15,fertiggestellt,fertiggestellt,ADV,
text9,4,16,.,.,PUNCT,
text9,5,1,Doch,Doch,PROPN,PERSON_B
text9,5,2,sie,sie,PROPN,
text9,5,3,wurde,wurde,PROPN,PERSON_B
text9,5,4,bislang,bislang,PROPN,PERSON_I
text9,5,5,noch,noch,PROPN,
text9,5,6,nicht,nicht,PROPN,PERSON_B
text9,5,7,veröffentlicht,veröffentlicht,PROPN,PERSON_I
text9,5,8,.,.,PUNCT,
text11,1,1,👥,👥,PROPN,
text11,1,2,*,*,PUNCT,
text11,1,3,*,*,PUNCT,
text11,1,4,Wie,wie,NOUN,
text11,1,5,schwer,schwer,NOUN,
text11,1,6,wird,wird,PROPN,
text11,1,7,es,es,PROPN,
text11,1,8,",",",",PUNCT,
text11,1,9,sich,sich,PROPN,PERSON_B
text11,1,10,darauf,darauf,PROPN,PERSON_I
text11,1,11,zu,zu,PROPN,
text11,1,12,einigen,einigen,NOUN,
text11,1,13,?,?,PUNCT,
text11,2,1,*,*,PUNCT,
text11,2,2,*,*,PUNCT,
text11,2,3,Die,die,VERB,
text11,2,4,SPD,SPD,PROPN,
text11,2,5,hatte,hatte,NOUN,
text11,2,6,bereits,bereit,VERB,
text11,2,7,i,I,PRON,
text11,2,8,m,m,VERB,
text11,2,9,Ampel,Ampel,PROPN,PERSON_B
text11,2,10,-,-,PUNCT,PERSON_I
text11,2,11,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_I
text11,2,12,ein,ein,NOUN,
text11,2,13,Transparenzgesetz,Transparenzgesetz,PROPN,
text11,2,14,und,und,VERB,
text11,2,15,eine,eine,NOUN,
text11,2,16,Überwachungsgesamtrechnung,Überwachungsgesamtrechnung,PROPN,PRODUCT_B
text11,2,17,mit,mit,VERB,
