doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,zwei,zwei,PROPN,
text1,1,3,Wochen,Wochen,PROPN,
text1,1,4,treffen,treffen,NOUN,
text1,1,5,sich,sich,PRON,
text1,1,6,die,die,VERB,
text1,1,7,Justiz-,Justiz-,PROPN,
text1,1,8,und,und,PROPN,
text1,1,9,Innenminister,Innenminister,PROPN,NORP_B
text1,1,10,der,der,PROPN,
text1,1,11,EU,EU,PROPN,ORG_B
text1,1,12,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,wollen,wollen,VERB,
text1,2,3,ihre,ihre,ADJ,
text1,2,4,finale,finale,NOUN,
text1,2,5,Position,position,NOUN,
text1,2,6,zum,zum,NOUN,PERSON_B
text1,2,7,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text1,2,8,der,der,NOUN,
text1,2,9,Kommission,Kommission,PROPN,
text1,2,10,zur,zur,PROPN,
text1,3,1,„,„,PROPN,
text1,3,2,Prävention,Prävention,PROPN,WORK_OF_ART_B
text1,3,3,und,und,PROPN,WORK_OF_ART_I
text1,3,4,Bekämpfung,Bekämpfung,PROPN,WORK_OF_ART_I
text1,3,5,des,des,X,WORK_OF_ART_I
text1,3,6,sexuellen,sexuellen,NOUN,WORK_OF_ART_I
text1,3,7,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,3,8,von,von,PROPN,PERSON_I
text1,3,9,Kindern,Kindern,PROPN,PERSON_I
text1,3,10,“,"""",PUNCT,
text1,3,11,beschließen,beschließen,NOUN,
text1,3,12,",",",",PUNCT,
text1,3,13,besser,besser,PROPN,
text1,3,14,bekannt,bekannt,PROPN,
text1,3,15,als,al,VERB,
text1,3,16,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,3,17,.,.,PUNCT,
text1,4,1,Auch,auch,ADJ,
text1,4,2,deutsche,deutsche,NOUN,
text1,4,3,Minister,Minister,PROPN,
text1,4,4,sitzen,sitzen,NOUN,PERSON_B
text1,4,5,dann,dann,PROPN,PERSON_I
text1,4,6,mit,mit,VERB,PERSON_I
text1,4,7,am,be,AUX,
text1,4,8,Tisch,Tisch,PROPN,PERSON_B
text1,4,9,.,.,PUNCT,
text3,1,1,Doch,Doch,PROPN,
text3,1,2,wie,wie,NOUN,
text3,1,3,wird,wird,NOUN,
text3,1,4,sich,sich,PROPN,
text3,1,5,Deutschland,Deutschland,PROPN,GPE_B
text3,1,6,am,be,AUX,
text3,1,7,28,28,NUM,CARDINAL_B
text3,1,8,.,.,PUNCT,
text3,2,1,September,September,PROPN,DATE_B
text3,2,2,verhalten,verhalten,VERB,
text3,2,3,?,?,PUNCT,
text3,3,1,Klar,Klar,PROPN,ORG_B
text3,3,2,ist,ist,NOUN,
text3,3,3,:,:,PUNCT,
text3,3,4,Zustimmen,Zustimmen,PROPN,GPE_B
text3,3,5,kann,kann,NOUN,
text3,3,6,Deutschland,Deutschland,PROPN,GPE_B
text3,3,7,dem,dem,ADJ,
text3,3,8,derzeitigen,derzeitigen,NOUN,
text3,3,9,Verhandlungsstand,Verhandlungsstand,PROPN,GPE_B
text3,3,10,nicht,nicht,NOUN,
text3,3,11,.,.,PUNCT,
text3,4,1,„,„,PUNCT,
text3,4,2,Aus,Aus,PROPN,PERSON_B
text3,4,3,Sicht,Sicht,PROPN,PERSON_I
text3,4,4,der,der,NOUN,
text3,4,5,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,4,6,muss,muss,NOUN,
text3,4,7,der,der,PROPN,
text3,4,8,Verordnungsentwurf,Verordnungsentwurf,PROPN,PERSON_B
text3,4,9,an,an,DET,
text3,4,10,einigen,einigen,NOUN,
text3,4,11,Stellen,Stellen,PROPN,PRODUCT_B
text3,4,12,deutlich,deutlich,NOUN,
text3,4,13,nachgeschärft,nachgeschärft,NOUN,
text3,4,14,werden,werden,PROPN,
text3,4,15,",",",",PUNCT,
text3,4,16,damit,damit,PROPN,
text3,4,17,er,er,INTJ,
text3,4,18,für,für,INTJ,
text3,4,19,die,die,VERB,
text3,4,20,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,4,21,zustimmungsfähig,zustimmungsfähig,PROPN,PERSON_I
text3,4,22,wird,wird,PROPN,
text3,4,23,“,"""",PUNCT,
text3,4,24,",",",",PUNCT,
text3,4,25,schreibt,schreibt,NOUN,
text3,4,26,uns,uns,NOUN,
text3,4,27,ein,ein,NOUN,
text3,4,28,Sprecher,Sprecher,PROPN,ORG_B
text3,4,29,des,des,NOUN,ORG_I
text3,4,30,federführenden,federführenden,ADJ,ORG_I
text3,4,31,Bundesinnenministeriums,Bundesinnenministeriums,PROPN,PERSON_B
text3,4,32,(,(,PUNCT,
text3,4,33,BMI,BMI,PROPN,ORG_B
text3,4,34,),),PUNCT,
text3,4,35,.,.,PUNCT,
text5,1,1,Aktuell,Aktuell,PROPN,ORG_B
text5,1,2,sieht,sieht,PROPN,PRODUCT_B
text5,1,3,der,der,PROPN,PRODUCT_I
text5,1,4,Verordnungsentwurf,Verordnungsentwurf,PROPN,PRODUCT_I
text5,1,5,vor,vor,NOUN,
text5,1,6,",",",",PUNCT,
text5,1,7,dass,dass,NOUN,
