doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,Politik,Politik,PROPN,
text1,1,3,und,und,PROPN,
text1,1,4,Nachrichtenmedien,Nachrichtenmedien,PROPN,GPE_B
text1,1,5,",",",",PUNCT,
text1,1,6,in,in,ADP,
text1,1,7,der,der,PROPN,
text1,1,8,Promi,Promi,PROPN,PERSON_B
text1,1,9,-,-,PUNCT,PERSON_I
text1,1,10,Welt,Welt,PROPN,PERSON_I
text1,1,11,und,und,PROPN,
text1,1,12,zuhause,zuhause,NOUN,
text1,1,13,am,be,AUX,
text1,1,14,Küchentisch,Küchentisch,PROPN,PERSON_B
text1,1,15,sprechen,sprechen,PROPN,
text1,1,16,gerade,gerade,VERB,
text1,1,17,viele,viele,PROPN,
text1,1,18,über,über,PROPN,
text1,1,19,die,die,PROPN,
text1,1,20,Gewalterfahrungen,Gewalterfahrungen,PROPN,PERSON_B
text1,1,21,der,der,PROPN,
text1,1,22,Schauspielerin,Schauspielerin,PROPN,PERSON_B
text1,1,23,Collien,Collien,PROPN,PERSON_I
text1,1,24,Fernandes,Fernandes,PROPN,PERSON_I
text1,1,25,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,der,der,ADJ,
text1,2,3,Debatte,Debatte,PROPN,ORG_B
text1,2,4,geht,geht,NOUN,
text1,2,5,es,es,PROPN,
text1,2,6,auch,auch,PROPN,
text1,2,7,um,um,INTJ,
text1,2,8,die,die,VERB,
text1,2,9,gesellschaftliche,gesellschaftliche,NOUN,
text1,2,10,Dimension,Dimension,PROPN,
text1,2,11,von,von,PROPN,
text1,2,12,digitaler,digitaler,NOUN,
text1,2,13,und,und,PROPN,
text1,2,14,häuslicher,häuslicher,NOUN,
text1,2,15,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,16,gegen,gegen,PROPN,
text1,2,17,Frauen,Frauen,PROPN,GPE_B
text1,2,18,.,.,PUNCT,
text3,1,1,Früher,früher,NOUN,
text3,1,2,war,war,NOUN,
text3,1,3,digitale,digitale,NOUN,
text3,1,4,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,5,ein,ein,PROPN,PERSON_I
text3,1,6,kaum,kaum,NOUN,PERSON_I
text3,1,7,bekannter,bekannter,NOUN,
text3,1,8,Begriff,Begriff,PROPN,ORG_B
text3,1,9,unter,unter,NOUN,
text3,1,10,Fachleuten,Fachleuten,PROPN,
text3,1,11,",",",",PUNCT,
text3,1,12,nun,nun,PROPN,
text3,1,13,steht,steht,NOUN,
text3,1,14,er,er,INTJ,
text3,1,15,in,in,ADP,
text3,1,16,den,den,NOUN,
text3,1,17,Schlagzeilen,Schlagzeilen,PROPN,ORG_B
text3,1,18,großer,großer,PROPN,
text3,1,19,Zeitungen,Zeitungen,PROPN,PERSON_B
text3,1,20,und,und,PROPN,
text3,1,21,beschäftigt,beschäftigt,PROPN,
text3,1,22,Abgeordnete,Abgeordnete,PROPN,PERSON_B
text3,1,23,i,I,PRON,
text3,1,24,m,m,VERB,
text3,1,25,Bundestag,Bundestag,PROPN,PERSON_B
text3,1,26,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Menschen,Menschen,PROPN,PERSON_I
text3,2,3,",",",",PUNCT,
text3,2,4,die,die,VERB,
text3,2,5,wir,wir,NOUN,
text3,2,6,in,in,ADP,
text3,2,7,diesem,diesem,PROPN,
text3,2,8,Artikel,Artikel,PROPN,
text3,2,9,vorstellen,vorstellen,NOUN,
text3,2,10,",",",",PUNCT,
text3,2,11,haben,haben,NOUN,PERSON_B
text3,2,12,dazu,dazu,NOUN,PERSON_I
text3,2,13,viel,viel,PROPN,PERSON_I
text3,2,14,zu,zu,PROPN,PERSON_I
text3,2,15,sagen,sagen,PROPN,PERSON_I
text3,2,16,.,.,PUNCT,
text3,3,1,Etwa,Etwa,NOUN,
text3,3,2,",",",",PUNCT,
text3,3,3,weil,weil,PROPN,
text3,3,4,sie,sie,PROPN,
text3,3,5,seit,seit,PROPN,
text3,3,6,Jahren,Jahren,PROPN,PERSON_B
text3,3,7,dazu,dazu,PROPN,
text3,3,8,arbeiten,arbeiten,PROPN,
text3,3,9,",",",",PUNCT,
text3,3,10,weil,weil,PROPN,
text3,3,11,sie,sie,PROPN,
text3,3,12,betroffene,betroffene,PROPN,
text3,3,13,Frauen,Frauen,PROPN,GPE_B
text3,3,14,beraten,beraten,NOUN,
text3,3,15,oder,oder,NOUN,
text3,3,16,die,die,VERB,
text3,3,17,Rechtslage,Rechtslage,PROPN,
text3,3,18,in-,in-,PROPN,
text3,3,19,und,und,PROPN,
text3,3,20,auswendig,auswendig,PROPN,
text3,3,21,kennen,kennen,PROPN,
text3,3,22,.,.,PUNCT,
text5,1,1,Einhellig,Einhellig,PROPN,
text5,1,2,fordern,fordern,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,sieben,sieben,PROPN,
text5,1,5,Expert*innen,Expert*innen,PROPN,
text5,1,6,",",",",PUNCT,
text5,1,7,Betroffene,Betroffene,PROPN,GPE_B
text5,1,8,ernstzunehmen,ernstzunehman,NOUN,
text5,1,9,und,und,VERB,
text5,1,10,das,das,PROPN,PERSON_B
text5,1,11,Hilfesystem,Hilfesystem,PROPN,PERSON_I
text5,1,12,zu,zu,NOUN,
text5,1,13,stärken,stärken,NOUN,
text5,1,14,–,–,PUNCT,
text5,1,15,und,und,PROPN,
text5,1,16,sie,sie,PROPN,
text5,1,17,warnen,warnen,PROPN,
text5,1,18,vor,vor,VERB,
text5,1,19,dem,dem,ADJ,ORG_B
text5,1,20,Ausbau,Ausbau,PROPN,ORG_I
text5,1,21,digitaler,digitaler,NOUN,
text5,1,22,Überwachung,Überwachung,PROPN,PERSON_B
text5,1,23,.,.,PUNCT,
text7,1,1,-,-,PUNCT,
text7,1,2,Elizabeth,Elizabeth,PROPN,
text7,1,3,Ávila,Ávila,PROPN,
text7,1,4,González,González,PROPN,
text7,1,5,:,:,PUNCT,
text7,2,1,„,„,PUNCT,
text7,2,2,Diese,Diese,PROPN,NORP_B
text7,2,3,Gewalt,Gewalt,PROPN,
text7,2,4,ist,ist,ADP,
text7,2,5,kein,kein,PROPN,PERSON_B
text7,2,6,neues,neues,PROPN,PERSON_I
text7,2,7,Phänomen,Phänomen,PROPN,GPE_B
text7,2,8,“,"""",PUNCT,
text8,1,1,-,-,PUNCT,
text8,1,2,Ophélie,Ophélie,PROPN,
text8,1,3,Ivombo,Ivombo,PROPN,
text8,1,4,:,:,PUNCT,
text8,1,5,Ein,Ein,PROPN,
text8,1,6,gesamtgesellschaftliches,gesamtgesellschaftliche,VERB,
text8,1,7,Problem,Problem,PROPN,
text9,1,1,-,-,PUNCT,
text9,1,2,Cordelia,Cordelia,PROPN,
text9,1,3,Moore,Moore,PROPN,
text9,1,4,:,:,PUNCT,
text9,1,5,„,„,PUNCT,
text9,1,6,Digitale,Digitale,PROPN,PERSON_B
text9,1,7,Gewalt,Gewalt,PROPN,PERSON_I
text9,1,8,passiert,passiert,NOUN,PERSON_I
text9,1,9,",",",",PUNCT,
text9,1,10,weil,weil,PROPN,
text9,1,11,wir,wir,PROPN,
text9,1,12,wegschauen,wegschauen,PROPN,
text9,1,13,“,"""",PUNCT,
text10,1,1,-,-,PUNCT,
text10,1,2,Zara,Zara,PROPN,
text10,1,3,Rahman,Rahman,PROPN,
text10,1,4,:,:,PUNCT,
text10,1,5,„,„,PUNCT,
text10,1,6,Das,Das,PROPN,ORG_B
text10,1,7,Strafrechtssystem,Strafrechtssystem,PROPN,ORG_I
text10,1,8,schützt,schützt,VERB,
text10,1,9,uns,uns,ADJ,
text10,1,10,nicht,nicht,NOUN,
text10,1,11,“,"""",PUNCT,
text11,1,1,-,-,PUNCT,
text11,1,2,Theresia,Theresia,PROPN,
text11,1,3,Rasche,Rasche,PROPN,
text11,1,4,:,:,PUNCT,
text11,1,5,Plattformen,Plattformen,PROPN,
text11,1,6,zur,zur,NOUN,
text11,1,7,Verantwortung,Verantwortung,PROPN,
text11,1,8,ziehen,ziehen,NOUN,
text12,1,1,-,-,PUNCT,
text12,1,2,Anne,Anne,PROPN,
text12,1,3,Roth,Roth,PROPN,
text12,1,4,:,:,PUNCT,
text12,1,5,Betroffene,Betroffene,PROPN,GPE_B
text12,1,6,endlich,endlich,NOUN,
text12,1,7,ernst,ernst,VERB,
text12,1,8,nehmen,nehman,NOUN,
text13,1,1,-,-,PUNCT,
text13,1,2,Isa,Isa,PROPN,
text13,1,3,Schaller,schaller,NOUN,
text13,1,4,:,:,PUNCT,
text13,1,5,Fokus,Fokus,PROPN,
text13,1,6,auf,auf,PROPN,
text13,1,7,Selbstbestimmung,Selbstbestimmung,PROPN,PERSON_B
text15,1,1,#,#,SYM,
text15,1,2,#,#,NOUN,
text15,1,3,Elizabeth,Elizabeth,PROPN,PERSON_B
text15,1,4,Ávila,Ávila,PROPN,PERSON_I
text15,1,5,González,González,PROPN,PERSON_I
text15,1,6,:,:,PUNCT,
text15,2,1,„,„,PUNCT,
text15,2,2,Kein,Kein,PROPN,PERSON_B
text15,2,3,neues,neue,NOUN,
text15,2,4,Phänomen,phänoman,NOUN,
text15,2,5,“,"""",PUNCT,
text17,1,1,„,„,PUNCT,
text17,1,2,Ich,Ich,PROPN,
text17,1,3,bin,bin,PROPN,
text17,1,4,Referentin,Referentin,PROPN,
text17,1,5,für,für,NOUN,
text17,1,6,digitale,digitale,NOUN,
text17,1,7,Gewalt,Gewalt,PROPN,PERSON_B
text17,1,8,beim,beim,NOUN,
text17,1,9,Bundesverband,Bundesverband,PROPN,GPE_B
text17,1,10,der,der,PROPN,
text17,1,11,Frauenberatungsstellen,Frauenberatungsstellen,PROPN,
text17,1,12,und,und,PROPN,
text17,1,13,Frauennotrufe,Frauennotrufe,PROPN,PERSON_B
text17,1,14,(,(,PUNCT,
text17,1,15,bff,bff,PROPN,
text17,1,16,),),PUNCT,
text17,1,17,.,.,PUNCT,
text17,2,1,Seit,Seit,PROPN,PERSON_B
text17,2,2,mehreren,mehreren,PROPN,
text17,2,3,Jahren,Jahren,PROPN,PERSON_B
text17,2,4,arbeite,arbeite,VERB,
text17,2,5,ich,ich,NOUN,
text17,2,6,als,al,NOUN,
text17,2,7,Juristin,Juristin,PROPN,PERSON_B
text17,3,1,i,I,PRON,
text17,3,2,m,m,VERB,
text17,3,3,Bereich,Bereich,PROPN,PERSON_B
text17,3,4,Menschenrechte,Menschenrechte,PROPN,PERSON_I
text17,3,5,und,und,PROPN,
text17,3,6,Digitalisierung,Digitalisierung,PROPN,
text17,3,7,.,.,PUNCT,
text17,4,1,Mein,Mein,PROPN,PERSON_B
text17,4,2,Fokus,Fokus,PROPN,PERSON_I
text17,4,3,ist,ist,NOUN,
text17,4,4,digitale,digitale,NOUN,
text17,4,5,geschlechtsspezifische,geschlechtsspezifische,NOUN,
text17,4,6,Gewalt,Gewalt,PROPN,PERSON_B
text17,4,7,i,I,PRON,
text17,4,8,m,m,AUX,
text17,4,9,sozialen,sozialen,VERB,
text17,4,10,Nahraum,Nahraum,PROPN,ORG_B
text17,4,11,.,.,PUNCT,
text17,5,1,Neben,Neben,PROPN,ORG_B
text17,5,2,Michaela,Michaela,PROPN,ORG_I
text17,5,3,Burkard,Burkard,PROPN,ORG_I
text17,5,4,und,und,VERB,
text17,5,5,Sandra,Sandra,PROPN,PERSON_B
text17,5,6,Boger,Boger,PROPN,PERSON_I
text17,5,7,bin,bin,PROPN,PERSON_I
text17,5,8,ich,ich,PROPN,PERSON_I
text17,5,9,außerdem,außerdem,PROPN,
text17,5,10,Referentin,Referentin,PROPN,GPE_B
text17,6,1,i,I,PRON,
