doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Bei,Bei,PROPN,
text1,1,2,der,der,NOUN,
text1,1,3,Erarbeitung,Erarbeitung,PROPN,PERSON_B
text1,1,4,der,der,NOUN,PERSON_I
text1,1,5,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,6,-,-,PUNCT,PERSON_I
text1,1,7,Verordnung,Verordnung,PROPN,PERSON_I
text1,1,8,hat,hat,NOUN,
text1,1,9,die,die,VERB,
text1,1,10,EU,EU,PROPN,ORG_B
text1,1,11,-,-,PUNCT,ORG_I
text1,1,12,Kommission,Kommission,PROPN,ORG_I
text1,1,13,nicht,nicht,NOUN,
text1,1,14,nur,nur,VERB,
text1,1,15,eng,eng,PROPN,PERSON_B
text1,1,16,mit,mit,PROPN,PERSON_I
text1,1,17,der,der,PROPN,PERSON_I
text1,1,18,umstrittenen,umstrittenen,PROPN,
text1,1,19,Organisation,Organisation,PROPN,ORG_B
text1,1,20,Thorn,Thorn,PROPN,ORG_I
text1,1,21,zusammengearbeitet,zusammengearbeitet,PROPN,
text1,1,22,",",",",PUNCT,
text1,2,1,sondern,sondern,NOUN,
text1,2,2,auch,auch,NOUN,
text1,2,3,mit,mit,NOUN,
text1,2,4,Vertreter,Vertreter,PROPN,PERSON_B
text1,2,5,:,:,PUNCT,
text1,2,6,innen,innen,NOUN,PERSON_B
text1,2,7,von,von,PROPN,PERSON_I
text1,2,8,Europol,Europol,PROPN,PERSON_I
text1,2,9,",",",",PUNCT,
text1,2,10,der,der,PROPN,
text1,2,11,australischen,australischen,ADV,
text1,2,12,und,und,PROPN,
text1,2,13,der,der,ADJ,
text1,2,14,spanischen,spanischen,PROPN,
text1,2,15,Polizei,Polizei,PROPN,ORG_B
text1,2,16,sowie,sowie,NOUN,
text1,2,17,Vertretern,Vertretern,PROPN,ORG_B
text1,2,18,des,des,PROPN,
text1,2,19,britischen,britischen,PROPN,
text1,2,20,Geheimdienstes,Geheimdienstes,PROPN,PERSON_B
text1,2,21,GCHQ,GCHQ,PROPN,PERSON_I
text1,2,22,.,.,PUNCT,
text3,1,1,Die,die,VERB,
