doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Gesellschaft,Gesellschaft,PROPN,ORG_I
text1,1,3,für,für,NOUN,
text1,1,4,Informatik,Informatik,PROPN,
text1,1,5,(,(,PUNCT,
text1,1,6,GI,GI,PROPN,ORG_B
text1,1,7,),),PUNCT,
text1,1,8,stellt,stellt,PROPN,PERSON_B
text1,1,9,sich,sich,PROPN,PERSON_I
text1,1,10,gegen,gegen,NOUN,PERSON_I
text1,1,11,die,die,VERB,PERSON_I
text1,1,12,geplante,geplante,ADJ,
text1,1,13,Überwachungsmaßnahme,Überwachungsmaßnahme,PROPN,NORP_B
text1,1,14,der,der,NOUN,NORP_I
text1,1,15,„,„,PUNCT,
text1,1,16,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,17,“,"""",PUNCT,
text1,1,18,in,in,ADP,
text1,1,19,der,der,PROPN,
text1,1,20,Europäischen,Europäischen,PROPN,ORG_B
text1,1,21,Union,Union,PROPN,ORG_I
text1,1,22,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Präsidiumsarbeitskreis,Präsidiumsarbeitskreis,PROPN,PERSON_I
text1,2,3,„,„,PUNCT,PERSON_I
text1,2,4,Datenschutz,Datenschutz,PROPN,PERSON_I
text1,2,5,und,und,PROPN,
text1,2,6,IT,IT,PROPN,
text1,2,7,-,-,PUNCT,
text1,2,8,Sicherheit,Sicherheit,PROPN,
text1,2,9,“,"""",PUNCT,
text1,2,10,der,der,PROPN,
text1,2,11,GI,GI,PROPN,ORG_B
text1,2,12,lehne,lehne,PROPN,
text1,2,13,das,das,PROPN,ORG_B
text1,2,14,Vorhaben,Vorhaben,PROPN,ORG_I
text1,2,15,der,der,PROPN,
text1,2,16,EU,EU,PROPN,ORG_B
text1,2,17,-,-,PUNCT,ORG_I
text1,2,18,Kommission,Kommission,PROPN,ORG_I
text1,2,19,",",",",PUNCT,
text1,2,20,Anbieter,Anbieter,PROPN,GPE_B
