doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,Berlin,Berlin,PROPN,GPE_B
text3,1,3,gibt,gibt,NOUN,
text3,1,4,es,es,PROPN,
text3,1,5,eigentlich,eigentlich,PROPN,
text3,1,6,nur,nur,VERB,
text3,1,7,zwei,zwei,PROPN,
text3,1,8,Jahreszeiten,Jahreszeiten,PROPN,
text3,1,9,:,:,PUNCT,
text3,1,10,Sommer,Sommer,PROPN,
text3,1,11,und,und,NOUN,
text3,1,12,Winter,Winter,PROPN,DATE_B
text3,1,13,.,.,PUNCT,
text3,2,1,Wechselhafte,Wechselhafte,PROPN,PERSON_B
text3,2,2,Zwischenphasen,Zwischenphasen,PROPN,PERSON_I
text3,2,3,sind,sind,NOUN,
text3,2,4,meist,meist,NOUN,
text3,2,5,nur,nur,NOUN,
text3,2,6,von,von,PROPN,PERSON_B
text3,2,7,kurzer,kurzer,PROPN,PERSON_I
text3,2,8,Dauer,Dauer,PROPN,PERSON_I
text3,2,9,.,.,PUNCT,
text5,1,1,Gerade,gerade,NOUN,
text5,1,2,ist,ist,VERB,
text5,1,3,so,so,ADV,
text5,1,4,eine,eine,NOUN,
text5,1,5,Zwischenphase,Zwischenphase,PROPN,PERSON_B
text5,1,6,:,:,PUNCT,
text5,1,7,Draußen,Draußen,PROPN,
text5,1,8,schlägt,schlägt,VERB,
text5,1,9,das,das,PROPN,
text5,1,10,Wetter,Wetter,PROPN,
text5,1,11,mitunter,mitunter,NOUN,
text5,1,12,stundenweise,stundenweise,PROPN,
text5,1,13,um,um,INTJ,
text5,1,14,.,.,PUNCT,
text5,2,1,Mal,Mal,PROPN,PERSON_B
text5,2,2,wärmt,wärmt,NOUN,
text5,2,3,die,die,VERB,
text5,2,4,Spätsommersonne,Spätsommersonne,PROPN,GPE_B
text5,2,5,",",",",PUNCT,
text5,2,6,dann,dann,PROPN,
text5,2,7,prasselt,prasselt,VERB,
text5,2,8,wieder,wieder,NOUN,
text5,2,9,heftiger,heftiger,VERB,
text5,2,10,Regen,Regen,PROPN,ORG_B
text5,2,11,gegen,gegen,NOUN,
text5,2,12,die,die,VERB,
text5,2,13,Scheiben,Scheiben,PROPN,ORG_B
text5,2,14,.,.,PUNCT,
text7,1,1,Ein,Ein,PROPN,
text7,1,2,ähnliches,ähnliche,VERB,
text7,1,3,Umschlagen,Umschlagen,PROPN,ORG_B
text7,1,4,der,der,NOUN,
text7,1,5,politischen,politischen,ADJ,
text7,1,6,Wetterlage,Wetterlage,PROPN,
text7,1,7,erleben,erleben,PROPN,NORP_B
text7,1,8,wir,wir,PROPN,
text7,1,9,aktuell,aktuell,PROPN,
text7,1,10,mit,mit,VERB,
text7,1,11,Blick,Blick,PROPN,ORG_B
text7,1,12,auf,auf,PROPN,
text7,1,13,die,die,VERB,
text7,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,1,15,.,.,PUNCT,
text9,1,1,Ende,ende,NOUN,
text9,1,2,September,September,PROPN,DATE_B
text9,1,3,schien,schien,NOUN,
text9,1,4,es,es,PROPN,
text9,1,5,noch,noch,PROPN,
text9,1,6,so,so,ADV,
text9,1,7,",",",",PUNCT,
text9,1,8,als,al,NOUN,
text9,1,9,klare,klare,VERB,
text9,1,10,sich,sich,ADJ,
text9,1,11,der,der,NOUN,
text9,1,12,Himmel,Himmel,PROPN,ORG_B
text9,1,13,leicht,leicht,PROPN,
text9,1,14,auf,auf,PROPN,
text9,1,15,:,:,PUNCT,
text9,2,1,Die,die,VERB,
text9,2,2,entsprechende,entsprechende,ADJ,
text9,2,3,Verordnung,Verordnung,PROPN,PERSON_B
text9,2,4,flog,flog,NOUN,
text9,2,5,erst,erst,NOUN,
text9,2,6,i,I,PRON,
text9,2,7,m,m,VERB,
text9,2,8,Ausschuss,Ausschuss,PROPN,PERSON_B
text9,2,9,der,der,NOUN,PERSON_I
text9,2,10,Ständigen,Ständigen,PROPN,PERSON_B
text9,2,11,Vertreter,Vertreter,PROPN,PERSON_I
text9,2,12,der,der,PROPN,
text9,2,13,Mitgliedstaaten,Mitgliedstaaten,PROPN,PERSON_B
text9,2,14,von,von,PROPN,PERSON_I
text9,2,15,der,der,PROPN,PERSON_I
text9,2,16,Tagesordnung,Tagesordnung,PROPN,GPE_B
text9,2,17,",",",",PUNCT,
text9,2,18,kurz,kurz,PROPN,PERSON_B
text9,2,19,darauf,darauf,PROPN,PERSON_I
text9,2,20,verschob,verschob,PROPN,PERSON_I
text9,2,21,der,der,PROPN,
text9,2,22,Rat,Rat,PROPN,
text9,2,23,die,die,VERB,
text9,2,24,Abstimmung,Abstimmung,PROPN,ORG_B
text9,2,25,darüber,darüber,PROPN,
text9,2,26,.,.,PUNCT,
text11,1,1,Zaghaft,Zaghaft,PROPN,PERSON_B
text11,1,2,keimte,keimte,PROPN,PERSON_I
text11,1,3,bei,bei,PROPN,
text11,1,4,uns,uns,NOUN,
text11,1,5,die,die,VERB,
text11,1,6,Hoffnung,Hoffnung,PROPN,GPE_B
text11,1,7,auf,auf,PROPN,
text11,1,8,",",",",PUNCT,
text11,1,9,dass,dass,PROPN,
text11,1,10,das,das,PROPN,PERSON_B
text11,1,11,Vorhaben,Vorhaben,PROPN,PERSON_I
text11,1,12,doch,doch,PROPN,PERSON_B
text11,1,13,noch,noch,PROPN,PERSON_I
