doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,ersten,ersten,ADJ,
text1,1,4,Text,Text,PROPN,
text1,1,5,des,des,X,
text1,1,6,Jahres,Jahres,PROPN,
text1,1,7,ging,ge,VERB,
text1,1,8,es,es,X,
text1,1,9,um,um,INTJ,
text1,1,10,die,die,VERB,
text1,1,11,gigantische,gigantische,PROPN,
text1,1,12,Zentrale,Zentrale,PROPN,ORG_B
text1,1,13,des,des,PROPN,ORG_I
text1,1,14,Bundesnachrichtendienstes,Bundesnachrichtendienstes,PROPN,ORG_I
text1,1,15,in,in,ADP,
text1,1,16,Berlin,Berlin,PROPN,GPE_B
text1,1,17,.,.,PUNCT,
text1,2,1,Seitdem,Seitdem,PROPN,ORG_B
text1,2,2,ist,ist,VERB,
text1,2,3,jede,jede,PROPN,
text1,2,4,Menge,Menge,PROPN,
text1,2,5,passiert,passiert,PROPN,
text1,2,6,und,und,PROPN,
text1,2,7,zuletzt,zuletzt,PROPN,PERSON_B
text1,2,8,sogar,sogar,PROPN,PERSON_I
text1,2,9,die,die,VERB,
text1,2,10,Ampelregierung,Ampelregierung,PROPN,PERSON_B
text1,2,11,zerbrochen,zerbrochen,PROPN,
text1,2,12,",",",",PUNCT,
text1,2,13,die,die,VERB,
text1,2,14,noch,noch,PROPN,
text1,2,15,eine,eine,NOUN,
text1,2,16,volle,volle,NOUN,
text1,2,17,To,to,ADP,
text1,2,18,-,-,PUNCT,
text1,2,19,do,do,AUX,
text1,2,20,-,-,PUNCT,
text1,2,21,Liste,Liste,PROPN,
text1,2,22,hatte,hatte,NOUN,
text1,2,23,.,.,PUNCT,
text3,1,1,Ein,Ein,PROPN,PERSON_B
text3,1,2,Rückblick,Rückblick,PROPN,PERSON_I
text3,1,3,auf,auf,PROPN,
text3,1,4,all,all,PRON,
text3,1,5,die,die,VERB,
text3,1,6,Themen,Themen,PROPN,
text3,1,7,zwischen,zwischen,ADP,PERSON_B
text3,1,8,Kennzeichenscannern,Kennzeichenscannern,PROPN,PERSON_I
text3,1,9,in,in,ADP,
text3,1,10,Brandenburg,Brandenburg,PROPN,GPE_B
text3,1,11,und,und,NOUN,
text3,1,12,globalen,globalen,ADJ,
text3,1,13,Abkommen,Abkommen,PROPN,
text3,1,14,ist,ist,ADP,
text3,1,15,zur,zur,PROPN,
text3,1,16,Unvollständigkeit,Unvollständigkeit,PROPN,ORG_B
text3,1,17,verurteilt,verurteilt,NOUN,
text3,1,18,.,.,PUNCT,
text3,2,1,Wir,Wir,PROPN,
text3,2,2,orientieren,orientieren,PROPN,
text3,2,3,uns,un,VERB,
text3,2,4,daher,daher,PROPN,
text3,2,5,am,be,AUX,
text3,2,6,Alphabet,Alphabet,PROPN,PERSON_B
text3,2,7,–,–,PUNCT,
text3,2,8,ohne,ohne,PROPN,
text3,2,9,Anspruch,Anspruch,PROPN,
text3,2,10,auf,auf,PROPN,
text3,2,11,Vollständigkeit,Vollständigkeit,PROPN,PERSON_B
text3,2,12,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
text5,1,3,AI,AI,PROPN,MONEY_I
text5,1,4,Act,Act,PROPN,MONEY_I
text7,1,1,I,I,PRON,
text7,1,2,m,m,VERB,
text7,1,3,August,August,PROPN,DATE_B
text7,1,4,ist,ist,NOUN,
text7,1,5,die,die,VERB,
text7,1,6,KI,KI,PROPN,ORG_B
text7,1,7,-,-,PUNCT,ORG_I
text7,1,8,Verordnung,Verordnung,PROPN,ORG_I
text7,1,9,der,der,NOUN,ORG_I
text7,1,10,EU,EU,PROPN,ORG_I
text7,1,11,in,in,ADP,
text7,1,12,Kraft,Kraft,PROPN,ORG_B
text7,1,13,getreten,getreten,PROPN,
text7,1,14,.,.,PUNCT,
text7,2,1,Das,Das,PROPN,
text7,2,2,Gesetz,Gesetz,PROPN,
text7,2,3,sortiert,sortiert,ADJ,
text7,2,4,KI,KI,PROPN,
text7,2,5,-,-,PUNCT,
text7,2,6,Systeme,Systeme,PROPN,
text7,2,7,in,in,ADP,
text7,2,8,Risiko,Risiko,PROPN,GPE_B
text7,2,9,-,-,PUNCT,GPE_I
text7,2,10,Klassen,Klassen,PROPN,GPE_I
text7,2,11,",",",",PUNCT,
text7,2,12,für,für,ADV,
text7,2,13,die,die,AUX,
text7,2,14,riskantesten,riskantesten,VERB,
text7,2,15,gelten,gelten,ADJ,PERSON_B
text7,2,16,besonders,besonder,NOUN,PERSON_I
text7,2,17,strikte,strikte,PROPN,
text7,2,18,Auflagen,Auflagen,PROPN,ORG_B
text7,2,19,.,.,PUNCT,
text7,3,1,Gerade,Gerade,PROPN,
text7,3,2,die,die,VERB,
text7,3,3,biometrische,biometrische,PROPN,
text7,3,4,Identifikation,Identifikation,PROPN,
text7,3,5,in,in,ADP,
text7,3,6,Echtzeit,Echtzeit,PROPN,GPE_B
text7,3,7,",",",",PUNCT,
text7,3,8,ein,ein,PROPN,ORG_B
text7,3,9,Killer,Killer,PROPN,ORG_I
text7,3,10,für,für,PROPN,
text7,3,11,Grundrechte,Grundrechte,PROPN,PERSON_B
text7,3,12,",",",",PUNCT,
text7,3,13,bleibt,bleibt,ADJ,
text7,3,14,aber,aber,PROPN,
text7,3,15,unter,unter,NOUN,
text7,4,1,Auflagen,Auflagen,PROPN,ORG_B
text7,4,2,erlaubt,erlaubt,VERB,
text7,4,3,.,.,PUNCT,
text7,5,1,Die,die,VERB,
text7,5,2,ersten,ersten,ADJ,
text7,5,3,Konsequenzen,Konsequenzen,PROPN,NORP_B
text7,5,4,sehen,sehen,NOUN,
text7,5,5,wir,wir,NOUN,
text7,5,6,jetzt,jetzt,PROPN,
text7,5,7,schon,schon,PROPN,
text7,5,8,–,–,PUNCT,
text7,5,9,siehe,siehe,ADJ,
text7,5,10,Sicherheitspaket,sicherheitspaket,NOUN,GPE_B
text7,5,11,.,.,PUNCT,
text9,1,1,#,#,SYM,MONEY_B
text9,1,2,#,#,NOUN,MONEY_I
text9,1,3,Biometrie,biometrie,NOUN,PERSON_B
text11,1,1,Digitalisierte,Digitalisierte,PROPN,PERSON_B
text11,1,2,Gesichtserkennung,Gesichtserkennung,PROPN,PERSON_I
text11,1,3,war,war,NOUN,
text11,1,4,ein,ein,PROPN,
text11,1,5,Trendthema,Trendthema,PROPN,PERSON_B
text11,1,6,des,des,X,
text11,1,7,Jahres,Jahres,PROPN,
text11,1,8,.,.,PUNCT,
text11,2,1,Erst,erst,ADJ,
text11,2,2,wurde,wurde,PROPN,PERSON_B
text11,2,3,damit,damit,PROPN,
text11,2,4,(,(,PUNCT,
text11,2,5,beinahe,beinahe,NOUN,
text11,2,6,),),PUNCT,
text11,2,7,die,die,VERB,
text11,2,8,Ex,Ex,PROPN,ORG_B
text11,2,9,-,-,ADJ,ORG_I
text11,2,10,Terroristin,Terroristin,PROPN,ORG_I
text11,2,11,Daniela,Daniela,PROPN,ORG_I
text11,2,12,Klette,Klette,PROPN,ORG_I
text11,2,13,gefunden,gefunden,NOUN,
text11,2,14,",",",",PUNCT,
text11,3,1,seitdem,seitdem,PROPN,ORG_B
text11,3,2,dreht,dreht,PROPN,ORG_I
text11,3,3,die,die,PROPN,ORG_I
text11,3,4,politische,politische,PROPN,
text11,3,5,Forderung,Forderung,PROPN,PERSON_B
text11,3,6,nach,nach,NOUN,
text11,3,7,einer,einer,NOUN,
text11,3,8,biometrischen,biometrischen,PROPN,
text11,3,9,Datenbank,Datenbank,PROPN,ORG_B
text11,3,10,mit,mit,VERB,
text11,3,11,frei,frei,ADV,
text11,4,1,i,I,PRON,
text11,4,2,m,m,VERB,
