doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Beim,Beim,PROPN,
text1,1,2,Amt,Amt,PROPN,
text1,1,3,eine,eine,NOUN,
text1,1,4,Wohnung,Wohnung,PROPN,PERSON_B
text1,1,5,ummelden,ummelden,VERB,
text1,1,6,oder,oder,NOUN,
text1,1,7,bei,bei,PROPN,
text1,1,8,der,der,PROPN,
text1,1,9,Bank,Bank,PROPN,ORG_B
text1,1,10,ein,ein,PROPN,
text1,1,11,Konto,Konto,PROPN,GPE_B
text1,1,12,eröffnen,eröffnen,PROPN,
text1,1,13,–,–,PUNCT,
text1,1,14,das,das,PROPN,
text1,1,15,sollte,sollte,PROPN,
text1,1,16,bestenfalls,bestenfall,VERB,
text1,1,17,ohne,ohne,NOUN,
text1,1,18,weitere,weitere,ADV,
text1,1,19,Umwege,Umwege,PROPN,ORG_B
text1,1,20,online,online,ADJ,
text1,1,21,möglich,möglich,PROPN,
text1,1,22,sein,sein,PROPN,
text1,1,23,.,.,PUNCT,
text1,2,1,Dafür,Dafür,PROPN,PERSON_B
text1,2,2,aber,aber,PROPN,
text1,2,3,ist,ist,NOUN,
text1,2,4,eine,eine,NOUN,
text1,2,5,elektronische,elektronische,NOUN,
text1,2,6,Identifizierung,Identifizierung,PROPN,PERSON_B
text1,2,7,erforderlich,erforderlich,PROPN,PERSON_I
text1,2,8,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,entsprechenden,entsprechenden,ADJ,
text1,3,3,Funktionen,Funktionen,PROPN,GPE_B
text1,3,4,bietet,bietet,PROPN,
text1,3,5,der,der,NOUN,
text1,3,6,elektronische,elektronische,NOUN,
text1,3,7,Personalausweis,Personalausweis,PROPN,PERSON_B
text1,3,8,mit,mit,NOUN,
text1,4,1,der,der,PROPN,
text1,4,2,eID,eID,PROPN,
text1,4,3,bereits,bereit,VERB,
text1,4,4,seit,seit,NOUN,
text1,4,5,mehr,mehr,NOUN,
text1,4,6,als,al,NOUN,
text1,4,7,zehn,zehn,VERB,
text1,4,8,Jahren,Jahren,PROPN,PERSON_B
text1,4,9,.,.,PUNCT,
text1,5,1,Dass,Dass,PROPN,ORG_B
text1,5,2,diese,diese,PROPN,NORP_B
text1,5,3,bis,bis,PROPN,
text1,5,4,heute,heute,NOUN,
text1,5,5,aber,aber,PROPN,
text1,5,6,kaum,kaum,PROPN,
text1,5,7,genutzt,genutzt,PROPN,
text1,5,8,werden,werden,PROPN,
text1,5,9,",",",",PUNCT,
text1,5,10,ist,ist,ADP,
text1,5,11,peinlich,peinlich,PROPN,
text1,5,12,für,für,PROPN,
text1,5,13,das,das,PROPN,
text1,5,14,federführende,federführende,PROPN,
text1,5,15,Bundesinnenministerium,Bundesinnenministerium,PROPN,
text1,5,16,(,(,PUNCT,
text1,5,17,BMI,BMI,PROPN,ORG_B
text1,5,18,),),PUNCT,
text1,5,19,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,BMI,BMI,PROPN,
text3,1,3,hat,hat,NOUN,
text3,1,4,es,es,X,
text3,1,5,weder,weder,NOUN,
text3,1,6,vermocht,vermocht,NOUN,
text3,1,7,",",",",PUNCT,
text3,1,8,die,die,VERB,
text3,1,9,an,an,DET,
text3,1,10,sich,sich,PROPN,
text3,1,11,sinnvolle,sinnvolle,PROPN,
text3,1,12,und,und,PROPN,
text3,1,13,einsatzfähige,einsatzfähige,NOUN,
text3,1,14,Technologie,Technologie,PROPN,ORG_B
text3,1,15,des,des,PROPN,ORG_I
text3,1,16,Personalausweises,Personalausweises,PROPN,ORG_I
text3,1,17,bekannt,bekannt,PROPN,PERSON_B
text3,1,18,zu,zu,PROPN,PERSON_I
text3,1,19,machen,machen,PROPN,PERSON_I
text3,1,20,",",",",PUNCT,
text3,1,21,noch,noch,PROPN,
text3,1,22,hat,hat,PROPN,
text3,1,23,es,es,X,
text3,1,24,entsprechende,entsprechende,ADJ,
text3,1,25,Anwendungsfälle,Anwendungsfälle,PROPN,LOC_B
text3,1,26,geschaffen,geschaffen,NOUN,
text3,1,27,",",",",PUNCT,
text3,1,28,wo,will,AUX,
text3,1,29,diese,diese,VERB,NORP_B
text3,1,30,Technologie,Technologie,PROPN,ORG_B
text3,1,31,nutzer,nutzer,PROPN,
text3,1,32,:,:,PUNCT,
text3,1,33,innenfreundlich,innenfreundlich,PROPN,PERSON_B
text3,1,34,eingesetzt,eingesetzt,PROPN,PERSON_I
text3,1,35,werden,werden,PROPN,
text3,1,36,kann,kann,PROPN,
text3,1,37,.,.,PUNCT,
text3,2,1,Daran,daran,NOUN,
text3,2,2,trägt,trägt,VERB,
text3,2,3,auch,auch,ADJ,
text3,2,4,die,die,NOUN,
text3,2,5,privatisierte,privatisierte,NOUN,
text3,2,6,Bundesdruckerei,bundesdruckerei,NOUN,PERSON_B
text3,2,7,mit,mit,NOUN,
text3,2,8,ihrem,ihrem,NOUN,PERSON_B
text3,2,9,Quasi,Quasi,PROPN,PERSON_I
text3,2,10,-,-,ADJ,PERSON_I
text3,2,11,Monopol,monopol,ADJ,PERSON_I
text3,2,12,eine,eine,NOUN,
text3,2,13,Mitschuld,Mitschuld,PROPN,FAC_B
text3,2,14,.,.,PUNCT,
text3,3,1,Sie,Sie,PROPN,
text3,3,2,hat,hat,PROPN,
text3,3,3,es,es,PROPN,
text3,3,4,mittels,mittels,PROPN,
text3,3,5,überhöhter,überhöhter,PROPN,
text3,3,6,Preise,Preise,PROPN,
text3,3,7,für,für,NOUN,
text3,3,8,die,die,VERB,
text3,3,9,Zertifikate,zertifikate,ADJ,
text3,3,10,geradezu,geradezu,NOUN,
text3,3,11,verhindert,verhindert,NOUN,
text3,3,12,",",",",PUNCT,
text3,4,1,dass,dass,PROPN,
text3,4,2,es,es,PROPN,
text3,4,3,ein,ein,PROPN,
text3,4,4,Ökosystem,Ökosystem,PROPN,GPE_B
text3,4,5,aus,aus,ADP,
text3,4,6,Apps,Apps,PROPN,
text3,4,7,und,und,PROPN,
text3,4,8,Web,Web,PROPN,
text3,4,9,-,-,PUNCT,
text3,4,10,Anwendungen,Anwendungen,PROPN,
text3,4,11,gibt,gibt,NOUN,
text3,4,12,.,.,PUNCT,
text5,1,1,Was,be,AUX,
text5,1,2,derzeit,derzeit,ADJ,
text5,1,3,auf,auf,PROPN,
text5,1,4,EU,EU,PROPN,ORG_B
text5,1,5,-,-,PUNCT,ORG_I
text5,1,6,Ebene,Ebene,PROPN,ORG_I
text5,1,7,mit,mit,VERB,ORG_I
text5,1,8,der,der,PROPN,ORG_I
text5,1,9,eIDAS,eIDAS,PROPN,ORG_I
text5,1,10,-,-,PUNCT,ORG_I
text5,1,11,Verordnung,Verordnung,PROPN,ORG_I
text5,1,12,und,und,NOUN,
text5,1,13,den,den,NOUN,
text5,1,14,Plänen,Plänen,PROPN,ORG_B
text5,1,15,der,der,PROPN,
text5,1,16,EU,EU,PROPN,ORG_B
text5,1,17,-,-,PUNCT,ORG_I
text5,1,18,Kommission,Kommission,PROPN,ORG_I
text5,1,19,für,für,NOUN,
text5,1,20,ein,ein,NOUN,
text5,2,1,Smartphone,Smartphone,PROPN,ORG_B
text5,2,2,-,-,PUNCT,ORG_I
text5,2,3,Wallet,Wallet,PROPN,ORG_I
text5,2,4,auf,auf,PROPN,
text5,2,5,uns,un,VERB,
text5,2,6,zukommt,zukommt,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,ist,ist,NOUN,
text5,2,9,indes,inde,VERB,
text5,2,10,weit,weit,PROPN,
text5,2,11,mehr,mehr,PROPN,
text5,2,12,als,als,PROPN,
text5,2,13,ein,ein,PROPN,
text5,2,14,politisches,politische,VERB,
text5,2,15,Versäumnis,Versäumnis,PROPN,NORP_B
