doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,
text1,1,2,intimes,intime,VERB,
text1,1,3,Foto,Foto,PROPN,
text1,1,4,ohne,ohne,PROPN,
text1,1,5,Einverständnis,Einverständnis,PROPN,
text1,1,6,posten,posten,NOUN,
text1,1,7,",",",",PUNCT,
text1,1,8,ein,ein,PROPN,
text1,1,9,Gesicht,Gesicht,PROPN,GPE_B
text1,1,10,unerlaubt,unerlaubt,NOUN,
text1,1,11,in,in,ADP,
text1,1,12,einen,einen,NOUN,
text1,1,13,Deepfake,Deepfake,PROPN,PERSON_B
text1,1,14,-,-,PUNCT,PERSON_I
text1,1,15,Porno,Porno,PROPN,PERSON_I
text1,1,16,montieren,montieren,NOUN,
text1,1,17,oder,oder,NOUN,PERSON_B
text1,1,18,jemandem,jemandem,PROPN,PERSON_I
text1,1,19,mit,mit,VERB,PERSON_I
text1,1,20,Spyware,Spyware,PROPN,GPE_B
text1,1,21,auf,auf,PROPN,
text1,1,22,dessen,dessen,VERB,
text1,1,23,Handy,Handy,PROPN,PERSON_B
text1,1,24,überwachen,überwachen,NOUN,
text1,1,25,:,:,PUNCT,
text1,1,26,Das,Das,PROPN,
text1,1,27,und,und,PROPN,
text1,1,28,mehr,mehr,PROPN,
text1,1,29,soll,soll,PROPN,
text1,1,30,in,in,ADP,
text1,1,31,der,der,PROPN,
text1,1,32,EU,EU,PROPN,ORG_B
text1,1,33,zur,zur,PROPN,
text1,1,34,Straftat,Straftat,PROPN,ORG_B
text1,1,35,werden,werden,PROPN,
text1,1,36,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,i,I,PRON,
text1,2,3,m,m,VERB,
text1,2,4,März,März,PROPN,PERSON_B
text1,2,5,2022,2022,NUM,
text1,2,6,vorgestellten,vorgestellten,NOUN,
text1,2,7,Pläne,Pläne,PROPN,ORG_B
text1,2,8,der,der,PROPN,
text1,2,9,EU,EU,PROPN,ORG_B
text1,2,10,-,-,PUNCT,ORG_I
text1,2,11,Kommission,Kommission,PROPN,ORG_I
text1,2,12,haben,haben,NOUN,
text1,2,13,inzwischen,inzwischen,VERB,
text1,2,14,weitere,weitere,VERB,
text1,2,15,Hürden,Hürden,PROPN,GPE_B
text1,2,16,genommen,genomman,NOUN,
text1,2,17,.,.,PUNCT,
text1,3,1,Diese,diese,ADJ,ORG_B
text1,3,2,Woche,Woche,PROPN,ORG_I
text1,3,3,haben,haben,NOUN,
text1,3,4,sich,sich,PRON,
