doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Sie,Sie,PROPN,
text1,1,2,haben,haben,NOUN,
text1,1,3,in,in,ADP,
text1,1,4,den,den,NOUN,
text1,1,5,vergangenen,vergangenen,NOUN,
text1,1,6,Jahren,Jahren,PROPN,PERSON_B
text1,1,7,über,über,PROPN,
text1,1,8,digitale,digitale,NOUN,
text1,1,9,Identitäten,Identitäten,PROPN,PERSON_B
text1,1,10,debattiert,debattiert,NOUN,PERSON_I
text1,1,11,",",",",PUNCT,
text1,1,12,über,über,PROPN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,gestritten,gestritten,VERB,
text1,1,15,und,und,NOUN,
text1,1,16,das,das,PROPN,PERSON_B
text1,1,17,Recht,Recht,PROPN,PERSON_I
text1,1,18,auf,auf,PROPN,
text1,1,19,schnelles,schnelle,VERB,
text1,1,20,Internet,Internet,PROPN,
text1,1,21,:,:,PUNCT,
text1,1,22,die,die,VERB,
text1,1,23,Bundestagsabgeordneten,Bundestagsabgeordneten,PROPN,
text1,1,24,",",",",PUNCT,
text1,1,25,die,die,VERB,
text1,1,26,ihre,ihre,ADJ,
text1,1,27,Fraktionen,Fraktionen,PROPN,ORG_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Digitalausschuss,digitalausschuss,ADJ,PERSON_B
text1,2,4,vertreten,vertreten,NOUN,
text1,2,5,haben,haben,NOUN,
text1,2,6,.,.,PUNCT,
text1,3,1,Mit,mit,NOUN,
text1,3,2,der,der,NOUN,
text1,3,3,Wahl,Wahl,PROPN,
text1,3,4,gehören,gehören,PROPN,PERSON_B
text1,3,5,jedoch,jedoch,PROPN,PERSON_I
text1,3,6,viele,viele,PROPN,PERSON_I
text1,3,7,zentrale,zentrale,PROPN,
text1,3,8,Digitalpolitiker,Digitalpolitiker,PROPN,
text1,3,9,:,:,PUNCT,
text1,3,10,innen,innen,NOUN,ORG_B
text1,3,11,nicht,nicht,NOUN,ORG_I
text1,3,12,mehr,mehr,NOUN,ORG_I
text1,3,13,dem,dem,INTJ,ORG_I
text1,3,14,Parlament,Parlament,PROPN,ORG_I
text1,3,15,an,an,NOUN,
text1,3,16,.,.,PUNCT,
text1,4,1,Fast,fast,ADJ,
text1,4,2,keiner,keiner,NOUN,
text1,4,3,der,der,PROPN,PERSON_B
text1,4,4,bisherigen,bisherigen,PROPN,PERSON_I
text1,4,5,Obmenschen,Obmenschen,PROPN,
text1,4,6,",",",",PUNCT,
text1,4,7,Sprecher,Sprecher,PROPN,PERSON_B
text1,4,8,:,:,PUNCT,
text1,4,9,innen,innen,NOUN,
text1,4,10,und,und,PROPN,
text1,4,11,Vorsitzenden,Vorsitzenden,PROPN,ORG_B
