doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Zwei,Zwei,PROPN,
text1,1,2,große,große,NOUN,
text1,1,3,Verbände,Verbände,PROPN,
text1,1,4,der,der,NOUN,
text1,1,5,Digitalwirtschaft,Digitalwirtschaft,PROPN,ORG_B
text1,1,6,",",",",PUNCT,
text1,1,7,Bitkom,Bitkom,PROPN,
text1,1,8,und,und,PROPN,
text1,1,9,eco,eco,PROPN,
text1,1,10,",",",",PUNCT,
text1,1,11,haben,haben,PROPN,PERSON_B
text1,1,12,sich,sich,PROPN,PERSON_I
text1,1,13,beide,beide,PROPN,
text1,1,14,klar,klar,NOUN,ORG_B
text1,1,15,gegen,gegen,NOUN,
text1,1,16,die,die,VERB,
text1,1,17,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,18,ausgesprochen,ausgesprochen,ADV,PERSON_I
text1,1,19,.,.,PUNCT,
text1,2,1,Damit,Damit,PROPN,ORG_B
text1,2,2,stehen,stehen,PROPN,
text1,2,3,nun,nun,PROPN,
text1,2,4,nicht,nicht,PROPN,
text1,2,5,nur,nur,VERB,
text1,2,6,unzählige,unzählige,ADP,
text1,2,7,zivilgesellschaftliche,zivilgesellschaftliche,PROPN,
text1,2,8,Organisationen,Organisationen,PROPN,PERSON_B
text1,2,9,",",",",PUNCT,
text1,2,10,zu,zu,ADJ,PERSON_B
text1,2,11,denen,denen,NOUN,PERSON_I
text1,2,12,der,der,NOUN,
text1,2,13,Kinderschutzbund,Kinderschutzbund,PROPN,PERSON_B
text1,2,14,gehört,gehört,NOUN,
text1,2,15,",",",",PUNCT,
text1,2,16,sowie,sowie,PROPN,
text1,2,17,Vertreter,Vertreter,PROPN,PERSON_B
text1,2,18,:,:,PUNCT,
text1,2,19,innen,innen,NOUN,ORG_B
text1,2,20,aus,aus,PROPN,ORG_I
text1,2,21,der,der,PROPN,ORG_I
text1,2,22,Wissenschaft,Wissenschaft,PROPN,ORG_I
text1,2,23,",",",",PUNCT,
text1,2,24,sondern,sondern,NOUN,
text1,2,25,auch,auch,NOUN,
text1,2,26,die,die,VERB,
text1,2,27,Digitalwirtschaftsvertreter,Digitalwirtschaftsvertreter,PROPN,PERSON_B
text1,2,28,:,:,PUNCT,
text1,2,29,innen,innen,NOUN,
text1,2,30,deutlich,deutlich,NOUN,
text1,2,31,gegen,gegen,NOUN,
text1,2,32,eine,eine,NOUN,
text1,2,33,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,34,.,.,PUNCT,
text3,1,1,Bei,Bei,PROPN,
text3,1,2,der,der,NOUN,
text3,1,3,Abstimmung,Abstimmung,PROPN,ORG_B
text3,1,4,i,i,PROPN,
text3,1,5,m,m,VERB,
text3,1,6,EU,EU,PROPN,PERSON_B
text3,1,7,-,-,PUNCT,PERSON_I
text3,1,8,Rat,Rat,PROPN,PERSON_I
text3,1,9,am,be,AUX,
text3,1,10,14,14,NUM,DATE_B
text3,1,11,.,.,PUNCT,
text3,2,1,Oktober,Oktober,PROPN,
text3,2,2,über,über,NOUN,
text3,2,3,den,den,PROPN,
text3,2,4,Vorschlag,Vorschlag,PROPN,ORG_B
text3,2,5,der,der,PROPN,
text3,2,6,dänischen,dänischen,PROPN,
text3,2,7,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,2,8,",",",",PUNCT,
text3,2,9,der,der,PROPN,
text3,2,10,die,die,VERB,
text3,2,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,12,enthält,enthält,NOUN,
text3,2,13,",",",",PUNCT,
text3,2,14,ist,ist,ADJ,
text3,2,15,die,die,VERB,
text3,2,16,Haltung,Haltung,PROPN,GPE_B
text3,2,17,der,der,NOUN,
text3,2,18,deutschen,deutschen,ADJ,
text3,2,19,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,2,20,maßgeblich,maßgeblich,PROPN,PERSON_I
text3,2,21,.,.,PUNCT,
text3,3,1,Bislang,Bislang,PROPN,PERSON_B
text3,3,2,war,war,NOUN,
text3,3,3,sie,sie,PROPN,
text3,3,4,gegen,gegen,PROPN,
text3,3,5,die,die,VERB,
text3,3,6,Pläne,Pläne,PROPN,PERSON_B
text3,3,7,gewesen,gewesen,PROPN,
text3,3,8,",",",",PUNCT,
text3,3,9,in,in,ADP,
text3,3,10,letzter,letzter,NOUN,
text3,3,11,Zeit,Zeit,PROPN,GPE_B
text3,3,12,nach,nach,VERB,
text3,3,13,dem,dem,ADJ,PERSON_B
text3,3,14,Regierungswechsel,Regierungswechsel,PROPN,PERSON_I
text3,3,15,war,war,NOUN,
text3,3,16,ihre,ihre,ADJ,
text3,3,17,Haltung,Haltung,PROPN,GPE_B
text3,3,18,jedoch,jedoch,PROPN,
text3,3,19,unklar,unklar,ADJ,
text3,3,20,.,.,PUNCT,
text3,4,1,Laut,Laut,PROPN,PERSON_B
text3,4,2,Informationen,Informationen,PROPN,PERSON_I
text3,4,3,von,von,PROPN,PERSON_I
text3,4,4,netzpolitik.org,netzpolitik.org,PROPN,PERSON_I
text3,4,5,und,und,PROPN,
text3,4,6,D64,D64,PROPN,ORG_B
text3,4,7,will,will,AUX,
text3,4,8,sich,sich,VERB,
text3,4,9,die,die,VERB,
text3,4,10,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,4,11,heute,heute,NOUN,
text3,4,12,auf,auf,PROPN,
text3,4,13,eine,eine,NOUN,
text3,4,14,Position,position,NOUN,
text3,4,15,einigen,einigen,NOUN,
text3,4,16,.,.,PUNCT,
text5,1,1,Der,Der,PROPN,PERSON_B
text5,1,2,Digitalverband,Digitalverband,PROPN,PERSON_I
text5,1,3,Bitkom,Bitkom,PROPN,PERSON_I
text5,1,4,",",",",PUNCT,
text5,1,5,der,der,NOUN,
text5,1,6,mehr,mehr,NOUN,
text5,1,7,als,al,NOUN,
text5,1,8,2.200,2.200,NUM,CARDINAL_B
text5,1,9,Unternehmen,Unternehmen,PROPN,PRODUCT_B
text5,1,10,vertritt,vertritt,NOUN,
text5,1,11,",",",",PUNCT,
text5,1,12,unterstützt,unterstützt,PROPN,
text5,1,13,das,das,PROPN,PRODUCT_B
text5,1,14,grundsätzliche,grundsätzliche,PROPN,PRODUCT_I
text5,1,15,Ziel,Ziel,PROPN,PRODUCT_I
text5,1,16,",",",",PUNCT,
text5,1,17,Kinder,Kinder,PROPN,NORP_B
text5,1,18,in,in,ADP,
text5,1,19,der,der,ADJ,
text5,1,20,digitalen,digitalen,ADJ,
text5,1,21,und,und,NOUN,
text5,1,22,analogen,analogen,NOUN,
