doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Forscher*innen,forscher*innen,NOUN,
text1,1,3,untersuchen,untersuchen,PROPN,
text1,1,4,unter,unter,PROPN,PERSON_B
text1,1,5,anderem,anderem,PROPN,PERSON_I
text1,1,6,das,das,PROPN,PERSON_B
text1,1,7,Ausmaß,Ausmaß,PROPN,PERSON_I
text1,1,8,der,der,PROPN,PERSON_I
text1,1,9,DNA,DNA,PROPN,PERSON_I
text1,1,10,-,-,PUNCT,PERSON_I
text1,1,11,Sammlung,Sammlung,PROPN,PERSON_I
text1,1,12,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,schätzen,schätzen,NOUN,
text1,2,3,",",",",PUNCT,
text1,2,4,dass,dass,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,chinesischen,chinesischen,PROPN,
text1,2,7,Behörden,Behörden,PROPN,GPE_B
text1,2,8,über,über,PROPN,
text1,2,9,die,die,NOUN,
text1,2,10,genetischen,genetischen,ADP,
text1,2,11,Fingerabdrücke,Fingerabdrücke,PROPN,PERSON_B
text1,2,12,von,von,PROPN,PERSON_I
text1,3,1,bis,bis,CCONJ,
text1,4,1,zu,zu,PROPN,
text1,4,2,32,32,NUM,CARDINAL_B
text1,4,3,Prozent,Prozent,PROPN,ORG_B
text1,4,4,der,der,NOUN,
text1,4,5,tibetischen,tibetischen,PROPN,
text1,4,6,Bevölkerung,Bevölkerung,PROPN,GPE_B
text1,4,7,verfügen,verfügen,NOUN,
text1,4,8,.,.,PUNCT,
text1,5,1,Für,für,ADJ,
text1,5,2,die,die,VERB,
text1,5,3,Studie,Studie,PROPN,PERSON_B
text1,5,4,werteten,werteten,VERB,
text1,5,5,die,die,ADJ,
text1,5,6,Forscher*innen,forscher*innen,NOUN,
text1,6,1,100,100,NUM,CARDINAL_B
text1,6,2,öffentlich,öffentlich,PROPN,
text1,6,3,zugängliche,zugängliche,NOUN,
text1,6,4,Quellen,Quellen,PROPN,PERSON_B
text1,6,5,aus,au,VERB,PERSON_I
text1,6,6,dem,dem,PROPN,PERSON_I
text1,6,7,Zeitraum,Zeitraum,PROPN,PERSON_B
text1,6,8,von,von,PROPN,PERSON_I
text1,6,9,2016,2016,NUM,PERSON_I
text1,6,10,bis,bis,X,
text1,6,11,2022,2022,NUM,
text1,6,12,aus,aus,NOUN,
text1,6,13,.,.,PUNCT,
text3,1,1,Demnach,Demnach,PROPN,PERSON_B
text3,1,2,erstellen,erstellen,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Behörden,Behörden,PROPN,GPE_B
text3,1,5,nicht,nicht,NOUN,
text3,1,6,nur,nur,VERB,
text3,1,7,DNA,DNA,PROPN,
text3,1,8,-,-,PUNCT,
text3,1,9,Profile,Profile,PROPN,
text3,1,10,von,von,PROPN,PERSON_B
text3,1,11,Personen,Personen,PROPN,PERSON_I
text3,1,12,",",",",PUNCT,
text3,1,13,die,die,VERB,
text3,1,14,einer,einer,NOUN,
text3,1,15,Straftat,Straftat,PROPN,PERSON_B
text3,1,16,verdächtigt,verdächtigt,PROPN,PERSON_I
text3,1,17,werden,werden,NOUN,PERSON_I
text3,1,18,",",",",PUNCT,
text3,1,19,sondern,sondern,PROPN,
text3,1,20,vielmehr,vielmehr,PROPN,PERSON_B
text3,1,21,von,von,PROPN,PERSON_I
text3,1,22,einem,einem,PROPN,PERSON_I
text3,1,23,Querschnitt,Querschnitt,PROPN,PERSON_B
text3,1,24,der,der,NOUN,PERSON_I
text3,1,25,tibetischen,tibetischen,PROPN,
text3,1,26,Gesellschaft,Gesellschaft,PROPN,ORG_B
text3,1,27,.,.,PUNCT,
text3,2,1,Die,die,AUX,
text3,2,2,Maßnahmen,maßnahman,NOUN,
text3,2,3,sind,sind,VERB,
text3,2,4,eine,eine,NOUN,
text3,2,5,neue,neue,NOUN,
text3,2,6,Form,Form,PROPN,
text3,2,7,der,der,NOUN,
text3,2,8,sozialen,sozialen,NOUN,
text3,2,9,Überwachung,Überwachung,PROPN,
text3,2,10,und,und,PROPN,
text3,2,11,Repression,Repression,PROPN,
text3,2,12,",",",",PUNCT,
text3,2,13,die,die,VERB,
text3,2,14,sich,sich,PROPN,
text3,2,15,gegen,gegen,NOUN,
text3,2,16,die,die,VERB,
text3,2,17,Unabhängigkeitsbestrebungen,Unabhängigkeitsbestrebungen,PROPN,GPE_B
text3,2,18,der,der,NOUN,
text3,2,19,tibetischen,tibetischen,PROPN,
text3,2,20,Bevölkerung,Bevölkerung,PROPN,GPE_B
text3,2,21,richtet,richtet,NOUN,
text3,2,22,.,.,PUNCT,
text3,3,1,Seit,Seit,PROPN,
text3,3,2,der,der,PROPN,
text3,3,3,chinesischen,chinesischen,PROPN,
text3,3,4,Annexion,Annexion,PROPN,ORG_B
text3,3,5,Tibets,Tibets,PROPN,ORG_I
text3,3,6,i,I,PRON,
text3,3,7,m,m,VERB,
text3,3,8,Jahr,Jahr,PROPN,PERSON_B
text3,3,9,1951,1951,NUM,PERSON_I
text3,3,10,hat,hat,NOUN,
text3,3,11,die,die,VERB,
text3,3,12,dortige,dortige,NOUN,
text3,3,13,Bevölkerung,Bevölkerung,PROPN,PERSON_B
text3,3,14,Repressionen,Repressionen,PROPN,PERSON_I
text3,3,15,erlebt,erlebt,NOUN,
text3,3,16,–,–,PUNCT,
text3,3,17,sie,sie,PROPN,
text3,3,18,wird,wird,PROPN,
text3,3,19,überwacht,überwacht,PROPN,
text3,3,20,",",",",PUNCT,
text3,3,21,in,in,ADP,
text3,3,22,ihrer,ihrer,NOUN,
text3,3,23,Religionsfreiheit,Religionsfreiheit,PROPN,ORG_B
text3,3,24,eingeschränkt,eingeschränkt,PROPN,
text3,3,25,und,und,PROPN,
text3,3,26,ist,ist,ADJ,
text3,3,27,der,der,PROPN,
text3,3,28,Willkür,Willkür,PROPN,PERSON_B
text3,3,29,von,von,PROPN,PERSON_I
text3,3,30,Polizei,Polizei,PROPN,PERSON_I
text3,3,31,und,und,VERB,
text3,3,32,Behörden,Behörden,PROPN,GPE_B
text3,3,33,ausgeliefert,ausgeliefert,NOUN,
text3,3,34,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,Erhebung,Erhebung,PROPN,ORG_I
text5,1,3,der,der,NOUN,
text5,1,4,Daten,Daten,PROPN,PERSON_B
text5,1,5,begründen,begründen,PROPN,
text5,1,6,die,die,VERB,
text5,1,7,chinesischen,chinesischen,NOUN,
text5,1,8,Behörden,Behörden,PROPN,GPE_B
text5,1,9,unterschiedlich,unterschiedlich,PROPN,
text5,1,10,.,.,PUNCT,
text5,2,1,So,so,ADV,
text5,2,2,nutzt,nutzt,NOUN,
text5,2,3,die,die,VERB,
text5,2,4,Polizei,Polizei,PROPN,
text5,2,5,die,die,VERB,
text5,2,6,DNA,DNA,PROPN,
text5,2,7,-,-,PUNCT,
text5,2,8,Profile,Profile,PROPN,
text5,2,9,nach,nach,NOUN,
text5,2,10,eigenen,eigenen,NOUN,
text5,2,11,Angaben,Angaben,PROPN,ORG_B
text5,2,12,dazu,dazu,NOUN,
text5,2,13,",",",",PUNCT,
text5,2,14,um,um,INTJ,
text5,2,15,Kriminalität,Kriminalität,PROPN,ORG_B
text5,2,16,und,und,VERB,
text5,2,17,Terrorismus,Terrorismus,PROPN,PERSON_B
text5,2,18,zu,zu,PROPN,
text5,2,19,bekämpfen,bekämpfen,NOUN,
text5,2,20,.,.,PUNCT,
text5,3,1,„,„,PUNCT,
text5,3,2,In,in,ADP,
text5,3,3,anderen,anderen,NOUN,
text5,3,4,Fällen,Fällen,PROPN,PERSON_B
text5,3,5,hat,hat,NOUN,
text5,3,6,die,die,VERB,
text5,3,7,Polizei,Polizei,PROPN,
text5,3,8,gesagt,gesagt,NOUN,
text5,3,9,",",",",PUNCT,
text5,3,10,dass,dass,NOUN,
text5,3,11,die,die,VERB,
text5,3,12,DNA,DNA,PROPN,
text5,3,13,-,-,PUNCT,
text5,3,14,Sammlung,Sammlung,PROPN,
text5,3,15,dabei,dabei,X,
text5,3,16,helfen,helfen,PROPN,
text5,3,17,wird,wird,PROPN,
text5,3,18,",",",",PUNCT,
text5,3,19,den,den,VERB,
text5,3,20,Menschenhandel,Menschenhandel,PROPN,
text5,3,21,zu,zu,PROPN,
text5,3,22,bekämpfen,bekämpfen,NOUN,
text5,3,23,und,und,PROPN,
text5,3,24,verschollene,verschollene,PROPN,
text5,3,25,Menschen,Menschen,PROPN,PERSON_B
text5,3,26,wiederzufinden,wiederzufinden,PROPN,
text5,3,27,“,"""",PUNCT,
text5,3,28,",",",",PUNCT,
text5,3,29,so,so,ADV,
text5,3,30,die,die,VERB,
text5,3,31,Forscher*innen,forscher*innen,NOUN,
text5,3,32,.,.,PUNCT,
text7,1,1,Die,die,VERB,ORG_B
text7,1,2,Argumentation,Argumentation,PROPN,ORG_I
text7,1,3,erinnert,erinnert,VERB,
text7,1,4,an,an,DET,
text7,1,5,jene,jene,ADJ,
text7,1,6,westlicher,westlicher,ADJ,
text7,1,7,Sicherheitsdiskurse,Sicherheitsdiskurse,PROPN,PERSON_B
text7,1,8,:,:,PUNCT,
text7,1,9,Mit,Mit,PROPN,
text7,1,10,Bezug,Bezug,PROPN,
text7,1,11,auf,auf,PROPN,
text7,1,12,mehr,mehr,NOUN,
text7,2,1,Sicherheit,Sicherheit,PROPN,PERSON_B
text7,2,2,rechtfertigen,rechtfertigen,VERB,
text7,2,3,auch,auch,NOUN,
text7,2,4,hiesige,hiesige,NOUN,
text7,2,5,Regierungen,Regierungen,PROPN,PERSON_B
text7,2,6,weitreichende,weitreichende,NOUN,
text7,2,7,Überwachungsmaßnahmen,Überwachungsmaßnahmen,PROPN,
text7,2,8,wie,wie,NOUN,
text7,2,9,etwa,etwa,NOUN,
text7,2,10,die,die,VERB,
text7,2,11,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,PERSON_B
text7,2,12,",",",",PUNCT,
text7,2,13,die,die,VERB,
text7,2,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,2,15,oder,oder,NOUN,
text7,2,16,auch,auch,NOUN,
text7,2,17,die,die,VERB,
text7,2,18,Videoüberwachung,Videoüberwachung,PROPN,PERSON_B
text7,2,19,.,.,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,MONEY_B
text9,1,3,DNA,dna,NOUN,
text9,1,4,-,-,PUNCT,
text9,1,5,Sammlung,Sammlung,PROPN,
text9,1,6,als,al,NOUN,
text9,1,7,Teil,Teil,PROPN,
text9,1,8,der,der,NOUN,
text9,1,9,Repressionsstrategie,Repressionsstrategie,PROPN,PERSON_B
text11,1,1,Die,die,VERB,
text11,1,2,DNA,dna,NOUN,
text11,1,3,-,-,PUNCT,
text11,1,4,Daten,Daten,PROPN,
text11,1,5,bilden,bilden,NOUN,
text11,1,6,indes,inde,NOUN,
text11,1,7,nur,nur,VERB,
text11,1,8,einen,einen,NOUN,
text11,1,9,Baustein,Baustein,PROPN,ORG_B
text11,1,10,der,der,PROPN,
text11,1,11,chinesischen,chinesischen,PROPN,
text11,1,12,Repressionspolitik,Repressionspolitik,PROPN,
text11,1,13,.,.,PUNCT,
text11,2,1,Neben,Neben,PROPN,
text11,2,2,der,der,PROPN,
text11,2,3,DNA,DNA,PROPN,
text11,2,4,erfassen,erfassen,PROPN,
text11,2,5,die,die,VERB,
text11,2,6,chinesischen,chinesischen,PROPN,
text11,2,7,Behörden,Behörden,PROPN,GPE_B
text11,2,8,auch,auch,NOUN,
text11,2,9,weitere,weitere,INTJ,
text11,2,10,(,(,PUNCT,
text11,2,11,biometrische,biometrische,PROPN,
text11,2,12,),),PUNCT,
text11,2,13,Daten,Daten,PROPN,
text11,2,14,:,:,PUNCT,
text11,3,1,Sie,Sie,PROPN,PERSON_B
text11,3,2,nehmen,nehman,NOUN,
text11,3,3,Fingerabdrücke,Fingerabdrücke,PROPN,DATE_B
text11,3,4,",",",",PUNCT,
text11,3,5,scannen,scannen,NOUN,
text11,3,6,Gesichter,Gesichter,PROPN,PERSON_B
text11,3,7,und,und,PROPN,
text11,3,8,Iris,Iris,PROPN,PERSON_B
text11,3,9,und,und,VERB,
text11,3,10,zeichnen,zeichnen,NOUN,
text11,3,11,Stimmen,Stimmen,PROPN,
text11,3,12,auf,auf,PROPN,
text11,3,13,.,.,PUNCT,
text11,4,1,Die,die,VERB,
text11,4,2,Daten,Daten,PROPN,PERSON_B
text11,4,3,fließen,fließen,NOUN,
text11,4,4,in,in,ADP,
text11,4,5,eine,eine,NOUN,
text11,4,6,zentrale,zentrale,NOUN,
text11,5,1,Datenbank,Datenbank,PROPN,ORG_B
text11,5,2,und,und,PROPN,
text11,5,3,werden,werden,PROPN,
text11,5,4,dort,dort,PROPN,
text11,5,5,von,von,PROPN,
text11,5,6,den,den,VERB,
text11,5,7,Behörden,Behörden,PROPN,GPE_B
text11,5,8,miteinander,miteinander,NOUN,
text11,5,9,verknüpft,verknüpft,NOUN,
text11,5,10,.,.,PUNCT,
text13,1,1,Unter,Unter,PROPN,
text13,1,2,all,all,PRON,
text13,1,3,den,den,VERB,
text13,1,4,gesammelten,gesammelten,NOUN,
text13,1,5,Daten,Daten,PROPN,PERSON_B
text13,1,6,ist,ist,NOUN,
text13,1,7,die,die,VERB,
text13,1,8,Erfassung,Erfassung,PROPN,
text13,1,9,der,der,NOUN,
text13,1,10,DNA,DNA,PROPN,
text13,1,11,besonders,besonder,NOUN,
text13,1,12,problematisch,problematisch,VERB,
text13,1,13,.,.,PUNCT,
text13,2,1,Sie,Sie,PROPN,
text13,2,2,gibt,gibt,NOUN,
text13,2,3,nicht,nicht,PROPN,
text13,2,4,nur,nur,VERB,
text13,2,5,Auskunft,Auskunft,PROPN,PRODUCT_B
text13,2,6,über,über,PROPN,
text13,2,7,einen,einen,PROPN,
text13,2,8,einzelnen,einzelnen,NOUN,
text13,2,9,Menschen,Menschen,PROPN,LOC_B
text13,2,10,",",",",PUNCT,
text13,2,11,sondern,sondern,NOUN,
text13,2,12,die,die,VERB,
text13,2,13,Behörden,Behörden,PROPN,GPE_B
text13,2,14,können,können,NOUN,
text13,2,15,mit,mit,NOUN,
text13,2,16,ihrer,ihrer,NOUN,
text13,2,17,Hilfe,Hilfe,PROPN,ORG_B
text13,2,18,auch,auch,NOUN,
text13,2,19,die,die,VERB,
text13,2,20,genetischen,genetischen,ADP,
text13,2,21,Verwandten,verwandten,ADJ,ORG_B
text13,2,22,und,und,ADJ,
text13,2,23,Nachkommen,Nachkommen,PROPN,NORP_B
text13,2,24,einer,einer,NOUN,
text13,2,25,Person,Person,PROPN,
text13,2,26,bestimmen,bestimman,NOUN,
text13,2,27,.,.,PUNCT,
text15,1,1,Die,die,VERB,
text15,1,2,chinesischen,chinesischen,NOUN,
text15,1,3,Überwachungsmaßnahmen,Überwachungsmaßnahmen,PROPN,
text15,1,4,umfassen,umfassen,VERB,
text15,1,5,darüber,darüber,PROPN,
text15,1,6,hinaus,hinaus,PROPN,
text15,2,1,Kameraüberwachung,Kameraüberwachung,PROPN,PERSON_B
text15,2,2,mit,mit,VERB,PERSON_I
text15,2,3,Gesichtserkennung,Gesichtserkennung,PROPN,PERSON_I
text15,2,4,.,.,PUNCT,
text15,3,1,Teilweise,teilweise,NOUN,
text15,3,2,sind,sind,NOUN,
text15,3,3,die,die,VERB,
text15,3,4,Kameras,Kameras,PROPN,PERSON_B
text15,3,5,auch,auch,NOUN,
text15,3,6,mit,mit,NOUN,
text15,3,7,Mikrofonen,Mikrofonen,PROPN,GPE_B
text15,3,8,zur,zur,PROPN,
text15,3,9,Stimmerkennung,Stimmerkennung,PROPN,GPE_B
text15,3,10,ausgestattet,ausgestattet,NOUN,
text15,3,11,.,.,PUNCT,
text15,4,1,Außerdem,Außerdem,PROPN,
text15,4,2,durchleuchten,durchleuchten,VERB,
text15,4,3,die,die,VERB,
text15,4,4,Behörden,Behörden,PROPN,GPE_B
text15,4,5,die,die,VERB,
text15,4,6,Internetaktivitäten,Internetaktivitäten,PROPN,GPE_B
text15,4,7,der,der,PROPN,
text15,4,8,Bürger*innen,Bürger*innen,PROPN,
text15,4,9,.,.,PUNCT,
text17,1,1,#,#,SYM,
text17,1,2,#,#,NOUN,
text17,1,3,Sammeln,Sammeln,PROPN,
text17,1,4,der,der,NOUN,
text17,1,5,DNA,dna,NOUN,PERSON_B
text17,1,6,-,-,PUNCT,PERSON_I
text17,1,7,Daten,daten,ADJ,PERSON_I
text17,1,8,wird,wird,NOUN,
text17,1,9,auf,auf,PROPN,
text17,1,10,ganz,ganz,PROPN,
text17,1,11,China,China,PROPN,GPE_B
text17,1,12,ausgeweitet,ausgeweitet,NOUN,
text19,1,1,Die,die,VERB,
text19,1,2,umfassende,umfassende,ADJ,
text19,1,3,Datensammlung,Datensammlung,PROPN,PERSON_B
text19,1,4,beschränkt,beschränkt,NOUN,
text19,1,5,sich,sich,PROPN,
text19,1,6,allerdings,allerding,NOUN,
text19,1,7,nicht,nicht,PROPN,
text19,1,8,auf,auf,PROPN,
text19,1,9,Tibet,Tibet,PROPN,GPE_B
text19,1,10,",",",",PUNCT,
text19,1,11,wo,will,AUX,
text19,1,12,die,die,VERB,
text19,1,13,chinesische,chinesische,NOUN,
text19,1,14,Regierung,Regierung,PROPN,
text19,2,1,i,I,PRON,
text19,2,2,m,m,VERB,
text19,2,3,Jahr,Jahr,PROPN,PERSON_B
text19,2,4,2014,2014,NUM,PERSON_I
text19,2,5,mit,mit,NOUN,
text19,2,6,der,der,PROPN,
text19,2,7,systematischen,systematischen,NOUN,
text19,2,8,Erfassung,Erfassung,PROPN,ORG_B
text19,2,9,der,der,PROPN,ORG_I
text19,2,10,DNA,DNA,PROPN,ORG_I
text19,2,11,begonnen,begonnen,NOUN,ORG_I
text19,2,12,hat,hat,NOUN,
text19,2,13,.,.,PUNCT,
text19,3,1,Seit,Seit,PROPN,PERSON_B
text19,3,2,2016,2016,NUM,DATE_B
text19,3,3,wenden,wenden,VERB,
text19,3,4,sie,sie,PROPN,
text19,3,5,diese,diese,PROPN,NORP_B
text19,3,6,Repressionen,Repressionen,PROPN,PERSON_B
text19,3,7,auch,auch,NOUN,
text19,3,8,in,in,ADP,
text19,3,9,der,der,PROPN,
text19,3,10,Region,Region,PROPN,PERSON_B
text19,3,11,Xinjiang,Xinjiang,PROPN,PERSON_I
text19,3,12,an,an,INTJ,
text19,3,13,",",",",PUNCT,
text19,3,14,in,in,ADP,
text19,3,15,der,der,ADJ,ORG_B
text19,3,16,die,die,ADJ,ORG_I
text19,3,17,muslimische,muslimische,NOUN,
text19,3,18,Minderheit,Minderheit,PROPN,GPE_B
text19,3,19,der,der,PROPN,
text19,3,20,Uiguren,Uiguren,PROPN,PERSON_B
text19,3,21,lebt,lebt,NOUN,
text19,3,22,.,.,PUNCT,
text19,4,1,So,so,ADV,
text19,4,2,müssen,müssen,PROPN,
text19,4,3,die,die,VERB,
text19,4,4,Bewohner*innen,bewohner*innen,NOUN,
text19,4,5,in,in,ADP,
text19,4,6,Xinjiang,Xinjiang,PROPN,GPE_B
text19,4,7,etwa,etwa,NOUN,
text19,4,8,DNA,DNA,PROPN,ORG_B
text19,4,9,-,-,PUNCT,ORG_I
text19,4,10,Proben,Proben,PROPN,ORG_I
text19,4,11,einreichen,einreichen,NOUN,
text19,4,12,",",",",PUNCT,
text19,4,13,wenn,wenn,PROPN,
text19,4,14,sie,sie,PROPN,
text19,4,15,Reisedokumente,Reisedokumente,PROPN,PERSON_B
text19,4,16,beantragen,beantragen,NOUN,
text19,4,17,.,.,PUNCT,
text21,1,1,Mithilfe,Mithilfe,PROPN,
text21,1,2,unterschiedlicher,unterschiedlicher,NOUN,
text21,1,3,staatlicher,staatlicher,NOUN,
text21,1,4,Maßnahmen,Maßnahmen,PROPN,PRODUCT_B
text21,1,5,wie,wie,NOUN,
text21,1,6,dem,dem,INTJ,
text21,1,7,Programm,Programm,PROPN,ORG_B
text21,1,8,„,„,PUNCT,ORG_I
text21,1,9,Ärztliche,Ärztliche,PROPN,ORG_I
text21,1,10,Untersuchung,Untersuchung,PROPN,ORG_I
text21,1,11,für,für,NOUN,
text21,1,12,alle,alle,NOUN,
text21,1,13,“,"""",PUNCT,
text21,1,14,oder,oder,NOUN,PERSON_B
text21,1,15,dem,dem,PROPN,PERSON_I
text21,1,16,„,„,PUNCT,PERSON_I
text21,1,17,System,System,PROPN,PERSON_I
text21,1,18,zur,zur,NOUN,
text21,1,19,Untersuchung,Untersuchung,PROPN,
text21,1,20,männlicher,männlicher,NOUN,
text21,1,21,Vorfahren,Vorfahren,PROPN,PERSON_B
text21,1,22,“,"""",PUNCT,
text21,1,23,weiten,weiten,VERB,
text21,1,24,die,die,VERB,
text21,1,25,Behörden,Behörden,PROPN,GPE_B
text21,1,26,das,das,PROPN,
text21,1,27,Sammeln,Sammeln,PROPN,
text21,1,28,von,von,PROPN,
text21,1,29,DNA,DNA,PROPN,
text21,1,30,-,-,PUNCT,
text21,1,31,Daten,Daten,PROPN,
text21,1,32,zudem,zudem,NOUN,
text21,1,33,mehr,mehr,NOUN,
text21,1,34,und,und,PROPN,
text21,1,35,mehr,mehr,NOUN,
text21,1,36,auf,auf,PROPN,
text21,1,37,das,das,PROPN,PRODUCT_B
text21,1,38,ganze,ganze,PROPN,PRODUCT_I
text21,1,39,Land,Land,PROPN,PRODUCT_I
text21,1,40,aus,aus,PROPN,PRODUCT_I
text21,1,41,.,.,PUNCT,
text21,2,1,Dies,die,NOUN,
text21,2,2,zielt,zielt,PROPN,
text21,2,3,allerdings,allerding,NOUN,
text21,2,4,laut,laut,PROPN,PERSON_B
text21,2,5,der,der,PROPN,PERSON_I
text21,2,6,Forscher*innen,Forscher*innen,PROPN,
text21,2,7,nicht,nicht,PROPN,ORG_B
text21,2,8,darauf,darauf,PROPN,ORG_I
text21,2,9,ab,ab,PROPN,ORG_I
text21,2,10,",",",",PUNCT,
text21,2,11,Proben,Proben,PROPN,ORG_B
text21,2,12,von,von,PROPN,ORG_I
text21,2,13,der,der,NOUN,ORG_I
text21,2,14,Gesamtbevölkerung,Gesamtbevölkerung,PROPN,ORG_I
text21,2,15,zu,zu,PROPN,
text21,2,16,erhalten,erhalten,ADV,
text21,2,17,.,.,PUNCT,
text21,3,1,Vielmehr,Vielmehr,PROPN,GPE_B
text21,3,2,will,will,AUX,
text21,3,3,Peking,Peking,PROPN,GPE_B
text21,3,4,auf,auf,PROPN,
text21,3,5,diese,diese,PROPN,NORP_B
text21,3,6,Weise,Weise,PROPN,PERSON_B
text21,3,7,eine,eine,NOUN,
text21,3,8,repräsentative,repräsentative,ADJ,
text21,3,9,Stichprobe,Stichprobe,PROPN,GPE_B
text21,3,10,der,der,NOUN,
text21,3,11,chinesischen,chinesischen,PROPN,
text21,3,12,Gesamtbevölkerung,Gesamtbevölkerung,PROPN,
text21,3,13,erhalten,erhalten,ADV,
text21,3,14,.,.,PUNCT,
text23,1,1,Es,es,INTJ,
text23,1,2,ist,ist,ADJ,
text23,1,3,offenbar,offenbar,NOUN,
text23,1,4,zu,zu,PROPN,PERSON_B
text23,1,5,aufwändig,aufwändig,PROPN,PERSON_I
text23,1,6,",",",",PUNCT,
text23,1,7,DNA,DNA,PROPN,
text23,1,8,-,-,PUNCT,
text23,1,9,Profile,Profile,PROPN,
text23,1,10,von,von,PROPN,
text23,1,11,der,der,NOUN,
text23,1,12,Gesamtbevölkerung,Gesamtbevölkerung,PROPN,
text23,1,13,zu,zu,PROPN,
text23,1,14,erstellen,erstellen,NOUN,
text23,1,15,.,.,PUNCT,
text23,2,1,Die,die,VERB,
text23,2,2,chinesische,chinesische,NOUN,
text23,2,3,Regierung,Regierung,PROPN,PERSON_B
text23,2,4,versucht,versucht,NOUN,PERSON_I
text23,2,5,daher,daher,PROPN,
text23,2,6,Rückschlüsse,Rückschlüsse,PROPN,PERSON_B
text23,2,7,aus,aus,PROPN,
text23,2,8,den,den,NOUN,
text23,2,9,den,den,PROPN,
text23,2,10,gesammelten,gesammelten,VERB,
text23,2,11,Stichproben,Stichproben,PROPN,NORP_B
text23,2,12,zu,zu,NOUN,PERSON_B
text23,2,13,ziehen,ziehen,NOUN,PERSON_I
text23,2,14,–,–,PUNCT,
text23,2,15,was,be,AUX,
text23,2,16,durchaus,durchaus,NOUN,
text23,2,17,möglich,möglich,NOUN,
text23,2,18,sei,sei,ADJ,
text23,2,19,:,:,PUNCT,
text23,2,20,„,„,PUNCT,
text23,2,21,Zum,zum,ADJ,ORG_B
text23,2,22,Beispiel,Beispiel,PROPN,ORG_I
text23,2,23,kann,kann,NOUN,
text23,2,24,Chinas,Chinas,PROPN,PERSON_B
text23,2,25,‚,‚,PROPN,PERSON_I
text23,2,26,männliches,männliches,PROPN,
text23,2,27,Abstammungsuntersuchungssystem,Abstammungsuntersuchungssystem,PROPN,
text23,2,28,’,',PUNCT,
text23,2,29,DNA,DNA,PROPN,
text23,2,30,-,-,PUNCT,
text23,2,31,Proben,Proben,PROPN,
text23,2,32,von,von,PROPN,
text23,2,33,35,35,NUM,
text23,2,34,bis,bis,CCONJ,
text23,2,35,70,70,NUM,CARDINAL_B
text23,2,36,Millionen,Millionen,PROPN,ORG_B
text23,2,37,Männern,Männern,PROPN,ORG_I
text23,2,38,enthalten,enthalten,NOUN,
text23,2,39,“,"""",PUNCT,
text23,2,40,",",",",PUNCT,
text23,2,41,so,so,ADV,
text23,2,42,die,die,VERB,
text23,2,43,Forscher*innen,forscher*innen,NOUN,
text23,2,44,",",",",PUNCT,
text23,2,45,was,be,AUX,
text23,2,46,etwa,etwa,NOUN,
text23,3,1,5,5,NUM,CARDINAL_B
text23,3,2,bis,bis,ADJ,
text23,3,3,10,10,NUM,CARDINAL_B
text23,3,4,Prozent,Prozent,PROPN,ORG_B
text23,3,5,der,der,NOUN,
text23,3,6,männlichen,männlichen,NOUN,
text23,3,7,Bevölkerung,Bevölkerung,PROPN,ORG_B
text23,3,8,Chinas,Chinas,PROPN,ORG_I
text23,3,9,entspreche,entspreche,NOUN,
text23,3,10,.,.,PUNCT,
text23,4,1,In,in,ADP,
text23,4,2,Kombination,Kombination,PROPN,
text23,4,3,mit,mit,NOUN,
text23,4,4,den,den,VERB,
text23,4,5,„,„,PUNCT,
