doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,AUX,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,verfolgt,verfolgt,ADV,
text1,1,6,mit,mit,VERB,
text1,1,7,der,der,PROPN,
text1,1,8,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,9,den,den,VERB,PERSON_I
text1,1,10,Plan,Plan,PROPN,PERSON_I
text1,1,11,",",",",PUNCT,
text1,1,12,unsere,unsere,ADJ,
text1,1,13,Kommunikation,Kommunikation,PROPN,ORG_B
text1,1,14,über,über,PROPN,
text1,1,15,Messenger,Messenger,PROPN,
text1,1,16,und,und,PROPN,
text1,1,17,E‑Mail,E‑Mail,PROPN,
text1,1,18,anlasslos,anlasslo,NOUN,
text1,1,19,zu,zu,PROPN,
text1,1,20,überwachen,überwachen,NOUN,
text1,1,21,–,–,PUNCT,
text1,1,22,sogar,sogar,PROPN,
text1,1,23,wenn,wenn,PROPN,
text1,1,24,diese,diese,PROPN,NORP_B
text1,1,25,verschlüsselt,verschlüsselt,NOUN,
text1,1,26,ist,ist,NOUN,
text1,1,27,.,.,PUNCT,
text1,2,1,Doch,Doch,PROPN,
text1,2,2,eine,eine,NOUN,
text1,2,3,demokratische,demokratische,NOUN,
text1,2,4,Gesellschaft,Gesellschaft,PROPN,ORG_B
text1,2,5,braucht,braucht,NOUN,
text1,2,6,vertrauliche,vertrauliche,PROPN,
text1,2,7,Kommunikation,Kommunikation,PROPN,
text1,2,8,und,und,PROPN,
text1,2,9,Privatsphäre,Privatsphäre,PROPN,
text1,2,10,.,.,PUNCT,
text1,3,1,Eine,eine,NOUN,
text1,3,2,sichere,sichere,ADJ,
text1,4,1,Ende,ende,NOUN,ORG_B
text1,4,2,-,-,PUNCT,ORG_I
text1,4,3,zu,zu,NOUN,ORG_I
text1,4,4,-,-,PUNCT,ORG_I
text1,4,5,Ende,Ende,PROPN,ORG_I
text1,4,6,-,-,PUNCT,ORG_I
text1,4,7,Verschlüsselung,Verschlüsselung,PROPN,ORG_I
text1,4,8,schützt,schützt,VERB,
text1,4,9,uns,uns,NOUN,
text1,4,10,alle,alle,NOUN,
text1,5,1,i,I,PRON,
text1,5,2,m,m,VERB,
text1,5,3,Alltag,Alltag,PROPN,PERSON_B
text1,5,4,–,–,PUNCT,
text1,5,5,ob,ob,PROPN,
text1,5,6,nun,nun,PROPN,
text1,5,7,beim,beim,X,
text1,5,8,Online,Online,PROPN,
text1,5,9,-,-,PUNCT,
text1,5,10,Banking,Banking,PROPN,
text1,5,11,",",",",PUNCT,
text1,5,12,i,I,PRON,
text1,5,13,m,m,VERB,
text1,5,14,Familienchat,familienchat,ADJ,
text1,5,15,oder,oder,NOUN,
text1,6,1,i,I,PRON,
text1,6,2,m,m,VERB,
text1,6,3,Gespräch,Gespräch,PROPN,PERSON_B
text1,6,4,mit,mit,VERB,PERSON_I
text1,6,5,der,der,PROPN,
text1,6,6,Rechtsanwältin,Rechtsanwältin,PROPN,NORP_B
text1,6,7,.,.,PUNCT,
text3,1,1,Dank,Dank,PROPN,
text3,1,2,eines,eine,VERB,
text3,1,3,jahrelangen,jahrelangen,PROPN,
text3,1,4,Kampfes,Kampfes,PROPN,PERSON_B
text3,1,5,von,von,PROPN,PERSON_I
