doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Eigentlich,Eigentlich,PROPN,
text1,1,2,will,will,AUX,
text1,1,3,die,die,VERB,
text1,1,4,EU,EU,PROPN,ORG_B
text1,1,5,-,-,PUNCT,ORG_I
text1,1,6,Kommission,Kommission,PROPN,ORG_I
text1,1,7,mit,mit,VERB,
text1,2,1,einem,einem,PROPN,
text1,2,2,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,ORG_B
text1,2,3,aus,aus,PROPN,ORG_I
text1,2,4,dem,dem,PROPN,ORG_I
text1,2,5,letzten,letzten,NOUN,ORG_I
text1,2,6,Jahr,Jahr,PROPN,ORG_I
text1,2,7,sexualisierte,sexualisierte,NOUN,ORG_I
text1,2,8,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,9,gegen,gegen,NOUN,
text1,2,10,Kinder,Kinder,PROPN,
text1,2,11,i,I,PRON,
text1,2,12,m,m,VERB,
text1,2,13,Netz,Netz,PROPN,PERSON_B
text1,2,14,bekämpfen,bekämpfen,NOUN,
text1,2,15,.,.,PUNCT,
text1,3,1,Doch,Doch,PROPN,PERSON_B
text1,3,2,auf,auf,PROPN,
text1,3,3,der,der,PROPN,
text1,3,4,einen,einen,PROPN,
text1,3,5,Seite,Seite,PROPN,ORG_B
text1,3,6,zweifeln,zweifeln,PROPN,
text1,3,7,Expert,Expert,PROPN,
text1,3,8,:,:,PUNCT,
text1,3,9,innen,innen,NOUN,
text1,3,10,die,die,VERB,
text1,3,11,Wirksamkeit,Wirksamkeit,PROPN,ORG_B
text1,3,12,des,des,X,ORG_I
text1,3,13,Vorschlags,Vorschlags,PROPN,ORG_I
text1,3,14,an,an,PRON,
text1,3,15,",",",",PUNCT,
text1,3,16,zum,zum,PROPN,PERSON_B
text1,3,17,anderen,anderen,NOUN,PERSON_I
text1,3,18,schätzen,schätzen,SCONJ,
text1,3,19,sie,sie,PROPN,
text1,3,20,die,die,VERB,
text1,3,21,Pläne,Pläne,PROPN,PERSON_B
text1,3,22,als,al,NOUN,
text1,3,23,grundrechtswidrig,grundrechtswidrig,PROPN,
text1,3,24,ein,ein,PROPN,
text1,3,25,.,.,PUNCT,
text1,4,1,Ein,Ein,PROPN,PERSON_B
text1,4,2,Teil,Teil,PROPN,PERSON_I
text1,4,3,des,des,X,PERSON_I
text1,4,4,Vorschlags,Vorschlags,PROPN,PERSON_I
text1,4,5,ist,ist,NOUN,
text1,4,6,die,die,VERB,
text1,4,7,sogenannte,sogenannte,NOUN,
text1,4,8,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,4,9,:,:,PUNCT,
text1,4,10,Anbieter,Anbieter,PROPN,PERSON_B
text1,4,11,von,von,PROPN,PERSON_I
text1,4,12,Kommunikations-,Kommunikations-,PROPN,PERSON_I
text1,5,1,oder,oder,NOUN,
text1,5,2,Hostingdiensten,Hostingdiensten,PROPN,PERSON_B
text1,5,3,sollen,sollen,NOUN,
text1,5,4,auf,auf,PROPN,
text1,5,5,Anordnung,Anordnung,PROPN,PERSON_B
text1,5,6,auch,auch,NOUN,
text1,5,7,die,die,AUX,
text1,5,8,privaten,privaten,VERB,
text1,5,9,Daten,daten,ADJ,PERSON_B
text1,5,10,ihrer,ihrer,NOUN,
text1,5,11,Nutzenden,Nutzenden,PROPN,PERSON_B
text1,5,12,nach,nach,VERB,
text1,5,13,Hinweisen,Hinweisen,PROPN,PERSON_B
text1,5,14,auf,auf,PROPN,
text1,5,15,mögliches,mögliche,VERB,
text1,5,16,Missbrauchsmaterial,missbrauchsmaterial,ADJ,
text1,5,17,oder,oder,NOUN,
text1,5,18,Grooming,Grooming,PROPN,PERSON_B
text1,5,19,scannen,scannen,NOUN,
text1,5,20,.,.,PUNCT,
text1,6,1,So,so,ADV,
text1,6,2,nennt,nennt,PROPN,PERSON_B
text1,6,3,man,man,PROPN,
text1,6,4,es,es,PROPN,
text1,6,5,",",",",PUNCT,
text1,6,6,wenn,wenn,PROPN,
text1,6,7,Erwachsene,Erwachsene,PROPN,PERSON_B
text1,6,8,mit,mit,VERB,
text1,6,9,sexuellem,sexuellem,NOUN,
text1,6,10,Interesse,Interesse,PROPN,PERSON_B
text1,6,11,Kontakt,Kontakt,PROPN,PERSON_I
text1,6,12,an,an,DET,
text1,6,13,Minderjährige,Minderjährige,PROPN,PERSON_B
text1,6,14,anbahnen,anbahnen,NOUN,
text1,6,15,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,
text3,1,2,mehr,mehr,NOUN,
text3,1,3,als,al,NOUN,
text3,1,4,einem,einem,PROPN,
text3,1,5,Jahr,Jahr,PROPN,PERSON_B
text3,1,6,bricht,bricht,NOUN,
text3,1,7,die,die,VERB,
text3,1,8,Kritik,Kritik,PROPN,PRODUCT_B
text3,1,9,an,an,DET,
text3,1,10,den,den,NOUN,
text3,1,11,Plänen,Plänen,PROPN,ORG_B
text3,1,12,der,der,PROPN,
text3,1,13,EU,EU,PROPN,ORG_B
text3,1,14,-,-,PUNCT,ORG_I
text3,1,15,Kommission,Kommission,PROPN,ORG_I
text3,1,16,nicht,nicht,NOUN,
text3,1,17,ab,ab,PROPN,
text3,1,18,",",",",PUNCT,
text3,1,19,doch,doch,PROPN,
text3,1,20,die,die,VERB,
text3,1,21,Befürworter,Befürworter,PROPN,
text3,1,22,:,:,PUNCT,
text3,1,23,innen,innen,NOUN,ORG_B
text3,1,24,bleiben,bleiben,PROPN,ORG_I
text3,1,25,stur,stur,PROPN,ORG_I
text3,1,26,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,ist,ist,PROPN,
text3,2,3,für,für,PROPN,
text3,2,4,Gegner,Gegner,PROPN,
text3,2,5,:,:,PUNCT,
text3,2,6,innen,innen,NOUN,
text3,2,7,frustrierend,frustrierend,NOUN,
text3,2,8,.,.,PUNCT,
text3,3,1,Lässt,lässt,ADJ,
text3,3,2,sich,sich,PROPN,
text3,3,3,der,der,PROPN,
text3,3,4,Kommissionsvorschlag,Kommissionsvorschlag,PROPN,PERSON_B
text3,3,5,überhaupt,überhaupt,PROPN,
text3,3,6,noch,noch,PROPN,
text3,3,7,verändern,verändern,ADJ,
text3,3,8,oder,oder,PROPN,
text3,3,9,sogar,sogar,PROPN,PERSON_B
text3,3,10,verhindern,verhindern,NOUN,PERSON_I
text3,3,11,–,–,PUNCT,
text3,3,12,und,und,PROPN,
text3,3,13,was,be,AUX,
text3,3,14,können,können,PROPN,
text3,3,15,Menschen,Menschen,PROPN,
text3,3,16,tun,tun,NOUN,
text3,3,17,",",",",PUNCT,
text3,3,18,die,die,VERB,
text3,3,19,sich,sich,ADJ,
text3,3,20,irgendwie,irgendwie,ADJ,
text3,3,21,engagieren,engagieren,NOUN,
text3,3,22,wollen,wollen,VERB,
text3,3,23,?,?,PUNCT,
text3,4,1,Wir,wir,ADJ,
text3,4,2,haben,haben,NOUN,
text3,4,3,Aktivist,aktivist,NOUN,
text3,4,4,:,:,PUNCT,
text3,4,5,innen,innen,NOUN,
text3,4,6,gefragt,gefragt,NOUN,
text3,4,7,und,und,PROPN,
text3,4,8,konkrete,konkrete,ADJ,
text3,4,9,Handlungswege,Handlungswege,PROPN,PERSON_B
text3,4,10,aufgeschrieben,aufgeschrieben,NOUN,
text3,4,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,PROPN,
text5,1,3,Herausfinden,Herausfinden,PROPN,
text5,1,4,",",",",PUNCT,
text5,1,5,wo,will,AUX,
text5,1,6,gerade,gerade,VERB,
text5,1,7,verhandelt,verhandelt,ADJ,
text5,1,8,wird,wird,NOUN,
text7,1,1,Tom,Tom,PROPN,PERSON_B
text7,1,2,Jennissen,Jennissen,PROPN,PERSON_I
text7,1,3,engagiert,engagiert,ADJ,
text7,1,4,sich,sich,NOUN,
text7,1,5,beim,beim,NOUN,
text7,1,6,Bündnis,Bündnis,PROPN,PERSON_B
text7,1,7,„,„,ADJ,PERSON_I
text7,1,8,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text7,1,9,stoppen,stoppen,NOUN,
text7,1,10,“,"""",PUNCT,
text7,1,11,und,und,VERB,
text7,1,12,dem,dem,ADJ,NORP_B
text7,1,13,Verein,Verein,PROPN,ORG_B
text7,1,14,Digitale,Digitale,PROPN,ORG_I
text7,1,15,Gesellschaft,Gesellschaft,PROPN,ORG_I
text7,1,16,–,–,PUNCT,
text7,1,17,und,und,VERB,
text7,1,18,er,er,INTJ,
text7,1,19,ist,ist,ADJ,
text7,1,20,optimistisch,optimistisch,PROPN,
text7,1,21,.,.,PUNCT,
text7,2,1,„,„,PUNCT,
text7,2,2,Wir,Wir,PROPN,
text7,2,3,haben,haben,NOUN,
text7,2,4,auf,auf,PROPN,
text7,2,5,jeden,jeden,PROPN,PERSON_B
text7,2,6,Fall,Fall,PROPN,PERSON_I
text7,2,7,noch,noch,ADV,
text7,2,8,die,die,VERB,
text7,2,9,Möglichkeit,Möglichkeit,PROPN,GPE_B
text7,2,10,",",",",PUNCT,
text7,2,11,die,die,VERB,
text7,2,12,Pläne,Pläne,PROPN,PERSON_B
text7,2,13,zur,zur,NOUN,
text7,2,14,Chatkontrolle,Chatkontrolle,PROPN,
text7,2,15,zu,zu,PROPN,
text7,2,16,verhindern,verhindern,NOUN,
text7,2,17,“,"""",PUNCT,
text7,2,18,",",",",PUNCT,
text7,2,19,schreibt,schreibt,NOUN,
text7,2,20,er,er,INTJ,
text7,2,21,auf,auf,PROPN,
text7,2,22,Anfrage,Anfrage,PROPN,
text7,2,23,von,von,PROPN,
text7,2,24,netzpolitik.org,netzpolitik.org,PROPN,
text7,2,25,.,.,PUNCT,
text7,3,1,„,„,PUNCT,
text7,3,2,Dazu,Dazu,PROPN,PERSON_B
text7,3,3,müssen,müssen,PROPN,PERSON_I
text7,3,4,wir,wir,PROPN,
text7,3,5,jetzt,jetzt,PROPN,
text7,3,6,den,den,VERB,
text7,3,7,Druck,Druck,PROPN,PERSON_B
text7,3,8,erhöhen,erhöhen,PROPN,
text7,3,9,",",",",PUNCT,
text7,3,10,denn,denn,NOUN,
text7,3,11,die,die,VERB,
text7,3,12,Zeit,Zeit,PROPN,
text7,3,13,bis,bis,INTJ,
text7,4,1,Ende,Ende,PROPN,
text7,4,2,September,September,PROPN,DATE_B
text7,4,3,wird,wird,NOUN,
text7,4,4,entscheidend,entscheidend,PROPN,
text7,4,5,sein,sein,PROPN,
text7,4,6,.,.,PUNCT,
text7,4,7,“,"""",PUNCT,
text9,1,1,Bis,Bis,PROPN,
text9,1,2,Ende,Ende,PROPN,
text9,1,3,September,September,PROPN,DATE_B
text9,1,4,werden,werden,NOUN,
text9,1,5,die,die,NOUN,
text9,1,6,wichtigen,wichtigen,NOUN,
text9,1,7,Gremien,Gremien,PROPN,PERSON_B
text9,1,8,i,i,PROPN,
text9,1,9,m,m,VERB,
text9,1,10,EU,EU,PROPN,ORG_B
text9,1,11,-,-,PUNCT,ORG_I
text9,1,12,Parlament,parlament,ADJ,ORG_I
text9,1,13,ihre,ihre,ADJ,
text9,1,14,Positionen,Positionen,PROPN,PERSON_B
text9,1,15,zum,zum,NOUN,PERSON_I
text9,1,16,Kommissionsentwurf,Kommissionsentwurf,PROPN,PERSON_I
text9,1,17,verhandeln,verhandeln,NOUN,
text9,1,18,.,.,PUNCT,
text9,2,1,Dort,Dort,PROPN,PERSON_B
text9,2,2,beschäftigt,beschäftigt,PROPN,
text9,2,3,sich,sich,PROPN,
text9,2,4,federführend,federführend,PROPN,
text9,2,5,der,der,PROPN,PERSON_B
text9,2,6,Ausschuss,Ausschuss,PROPN,PERSON_I
text9,2,7,für,für,NOUN,
text9,2,8,bürgerliche,bürgerliche,NOUN,
text9,2,9,Freiheiten,Freiheiten,PROPN,PERSON_B
text9,2,10,",",",",PUNCT,
text9,2,11,Justiz,Justiz,PROPN,
text9,2,12,und,und,PROPN,
text9,2,13,Inneres,Inneres,PROPN,
text9,2,14,(,(,PUNCT,
text9,2,15,LIBE,LIBE,PROPN,ORG_B
text9,2,16,),),PUNCT,
text9,2,17,mit,mit,VERB,
text9,2,18,dem,dem,ADJ,PERSON_B
text9,2,19,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text9,2,20,.,.,PUNCT,
text9,3,1,Außerdem,Außerdem,PROPN,ORG_B
