doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,ungarische,ungarische,NOUN,
text1,1,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text1,1,4,hat,hat,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,7,entgegen,entgegen,PROPN,
text1,1,8,vorheriger,vorheriger,PROPN,
text1,1,9,Planungen,Planungen,PROPN,PERSON_B
text1,1,10,von,von,PROPN,PERSON_I
text1,1,11,der,der,NOUN,PERSON_I
text1,1,12,Tagesordnung,Tagesordnung,PROPN,PERSON_B
text1,1,13,der,der,PROPN,PERSON_I
text1,1,14,heutigen,heutigen,NOUN,
text1,1,15,Sitzung,Sitzung,PROPN,GPE_B
text1,1,16,der,der,NOUN,
text1,1,17,Ständigen,Ständigen,PROPN,PERSON_B
text1,1,18,Vertreter,Vertreter,PROPN,PERSON_I
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,EU,EU,PROPN,PERSON_B
text1,2,4,-,-,PUNCT,PERSON_I
text1,2,5,Rat,Rat,PROPN,PERSON_I
text1,2,6,genommen,genomman,NOUN,
text1,2,7,.,.,PUNCT,
text1,3,1,Dies,die,NOUN,
text1,3,2,bestätigte,bestätigte,NOUN,
text1,3,3,ein,ein,PROPN,
text1,3,4,Sprecher,Sprecher,PROPN,ORG_B
text1,3,5,des,des,X,ORG_I
text1,3,6,EU,EU,PROPN,ORG_I
text1,3,7,-,-,PUNCT,ORG_I
text1,3,8,Rates,Rates,PROPN,ORG_I
text1,3,9,gegenüber,gegenüber,NOUN,
text1,3,10,netzpolitik.org,netzpolitik.org,X,
text1,3,11,.,.,PUNCT,
text1,4,1,Der,Der,PROPN,PERSON_B
text1,4,2,Schritt,Schritt,PROPN,PERSON_I
text1,4,3,deutete,deutete,ADJ,
text1,4,4,sich,sich,PROPN,
text1,4,5,gestern,gestern,PROPN,
text1,4,6,schon,schon,PROPN,
text1,4,7,an,an,PRON,
text1,4,8,",",",",PUNCT,
text1,4,9,nachdem,nachdem,PROPN,
text1,4,10,die,die,NOUN,
text1,4,11,Niederlande,Niederlande,PROPN,
text1,4,12,angekündigt,angekündigt,PROPN,
text1,4,13,hatten,hatten,PROPN,
text1,4,14,",",",",PUNCT,
text1,4,15,sich,sich,PROPN,
text1,4,16,zu,zu,PROPN,
text1,4,17,enthalten,enthalten,X,
text1,4,18,.,.,PUNCT,
text1,5,1,Dadurch,dadurch,NOUN,
text1,5,2,steht,steht,NOUN,
text1,5,3,die,die,NOUN,
text1,5,4,Sperrminorität,Sperrminorität,PROPN,
text1,6,1,i,I,PRON,
text1,6,2,m,m,VERB,
text1,6,3,Rat,Rat,PROPN,
text1,6,4,gegen,gegen,NOUN,
text1,6,5,die,die,VERB,
text1,6,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,6,7,.,.,PUNCT,
text3,1,1,Elina,Elina,PROPN,PERSON_B
text3,1,2,Eickstädt,Eickstädt,PROPN,PERSON_I
text3,1,3,",",",",PUNCT,
text3,1,4,Sprecherin,Sprecherin,PROPN,ORG_B
text3,1,5,des,des,PROPN,ORG_I
text3,1,6,Chaos,Chaos,PROPN,ORG_I
text3,1,7,Computer,Computer,PROPN,ORG_I
text3,1,8,Clubs,Clubs,PROPN,ORG_I
text3,1,9,",",",",PUNCT,
text3,1,10,sieht,sieht,PROPN,
text3,1,11,das,das,PROPN,
text3,1,12,als,al,NOUN,
text3,1,13,einen,einen,NOUN,
text3,1,14,Erfolg,Erfolg,PROPN,GPE_B
text3,1,15,der,der,NOUN,
text3,1,16,anhaltenden,anhaltenden,NOUN,
text3,1,17,Proteste,proteste,NOUN,ORG_B
text3,1,18,gegen,gegen,NOUN,
text3,1,19,die,die,VERB,
text3,1,20,Verordnung,verordnung,NOUN,PERSON_B
text3,1,21,:,:,PUNCT,
text3,1,22,„,„,PUNCT,
text3,1,23,Dass,dass,NOUN,
text3,1,24,die,die,VERB,
