doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Jugendverbände,Jugendverbände,PROPN,
text1,1,3,der,der,NOUN,
text1,1,4,Ampel,Ampel,PROPN,PERSON_B
text1,1,5,-,-,PUNCT,PERSON_I
text1,1,6,Parteien,Parteien,PROPN,PERSON_I
text1,1,7,erhöhen,erhöhen,ADV,
text1,1,8,den,den,VERB,
text1,1,9,Druck,Druck,PROPN,PERSON_B
text1,1,10,auf,auf,PROPN,
text1,1,11,Innenministerin,Innenministerin,PROPN,PERSON_B
text1,1,12,Nancy,Nancy,PROPN,PERSON_I
text1,1,13,Faeser,Faeser,PROPN,PERSON_I
text1,1,14,(,(,PUNCT,
text1,1,15,SPD,SPD,PROPN,
text1,1,16,),),PUNCT,
text1,1,17,.,.,PUNCT,
text1,2,1,Auf,Auf,PROPN,
text1,2,2,ihr,ihr,NOUN,
text1,2,3,Ministerium,Ministerium,PROPN,PRODUCT_B
text1,2,4,",",",",PUNCT,
text1,2,5,das,das,PROPN,
text1,2,6,BMI,BMI,PROPN,
text1,2,7,",",",",PUNCT,
text1,2,8,richten,richten,VERB,
text1,2,9,sich,sich,PROPN,
text1,2,10,gerade,gerade,VERB,
text1,2,11,viele,viele,PROPN,
text1,2,12,ungeduldige,ungeduldige,ADJ,ORG_B
text1,2,13,Blicke,Blicke,PROPN,ORG_I
text1,2,14,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,BMI,BMI,PROPN,ORG_B
text1,3,3,spielt,spielt,VERB,
text1,3,4,eine,eine,NOUN,
text1,3,5,entscheidende,entscheidende,NOUN,
text1,3,6,Rolle,Rolle,PROPN,PERSON_B
text1,3,7,bei,bei,PROPN,
text1,3,8,der,der,PROPN,PERSON_B
text1,3,9,Frage,Frage,PROPN,PERSON_I
text1,3,10,",",",",PUNCT,
text1,3,11,welche,welche,PROPN,
text1,3,12,Position,Position,PROPN,PERSON_B
text1,3,13,Deutschland,Deutschland,PROPN,PERSON_I
text1,3,14,in,in,ADP,
text1,3,15,den,den,NOUN,
text1,3,16,EU,EU,PROPN,ORG_B
text1,3,17,-,-,PUNCT,
text1,3,18,Verhandlungen,Verhandlungen,PROPN,
text1,3,19,zur,zur,NOUN,
text1,3,20,geplanten,geplanten,VERB,
text1,3,21,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,22,einnehmen,einnehmen,VERB,
text1,3,23,wird,wird,NOUN,
text1,3,24,.,.,PUNCT,
text1,4,1,Die,die,VERB,ORG_B
text1,4,2,Parteijugend,Parteijugend,PROPN,ORG_I
text1,4,3,der,der,NOUN,
text1,4,4,SPD,SPD,PROPN,PERSON_B
text1,4,5,verliert,verliert,NOUN,PERSON_I
text1,4,6,dabei,dabei,NOUN,
text1,4,7,offenbar,offenbar,NOUN,
text1,4,8,die,die,VERB,
text1,4,9,Geduld,Geduld,PROPN,
text1,4,10,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,BMI,BMI,PROPN,ORG_B
text1,5,3,solle,solle,NOUN,
text1,5,4,„,„,PUNCT,
text1,5,5,zügig,zügig,NOUN,
text1,5,6,eindeutig,eindeutig,NOUN,
text1,5,7,“,"""",PUNCT,
text1,5,8,Stellung,Stellung,PROPN,
text1,5,9,beziehen,beziehen,NOUN,
text1,5,10,",",",",PUNCT,
text1,5,11,schreibt,schreibt,ADJ,
text1,5,12,Fabian,Fabian,PROPN,PERSON_B
text1,5,13,Kors,Kors,PROPN,PERSON_I
text1,5,14,",",",",PUNCT,
text1,5,15,stellvertretender,stellvertretend,ADJ,
text1,5,16,Jusos,Jusos,PROPN,PERSON_B
text1,5,17,-,-,PUNCT,PERSON_I
text1,5,18,Bundesvorsitzender,Bundesvorsitzender,PROPN,PERSON_I
text1,5,19,",",",",PUNCT,
text1,5,20,auf,auf,PROPN,
text1,5,21,Anfrage,Anfrage,PROPN,
text1,5,22,von,von,PROPN,
text1,5,23,netzpolitik.org,netzpolitik.org,PROPN,
text1,5,24,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,3,ist,ist,ADP,
text3,1,4,ein,ein,PROPN,PERSON_B
text3,1,5,von,von,PROPN,PERSON_I
text3,1,6,der,der,PROPN,PERSON_I
text3,1,7,EU,EU,PROPN,ORG_B
