doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,Europa,Europa,PROPN,LOC_B
text1,1,3,ist,ist,ADJ,
text1,1,4,Datenschutz,Datenschutz,PROPN,PERSON_B
text1,1,5,ein,ein,PROPN,PERSON_I
text1,1,6,Grundrecht,Grundrecht,PROPN,PERSON_I
text1,1,7,",",",",PUNCT,
text1,1,8,das,das,PROPN,ORG_B
text1,1,9,für,für,PROPN,
text1,1,10,alle,alle,PROPN,
text1,1,11,27,27,NUM,CARDINAL_B
text1,1,12,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,1,13,gilt,gilt,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Auch,auch,NOUN,
text1,2,2,die,die,VERB,
text1,2,3,EU,EU,PROPN,ORG_B
text1,2,4,-,-,PUNCT,
text1,2,5,Organe,Organe,PROPN,
text1,2,6,und,und,PROPN,
text1,2,7,EU,EU,PROPN,ORG_B
text1,2,8,-,-,PUNCT,
text1,2,9,Einrichtungen,Einrichtungen,PROPN,
text1,2,10,selbst,selbst,NOUN,
text1,2,11,stehen,stehen,NOUN,
text1,2,12,unter,unter,NOUN,
text1,3,1,Aufsicht,Aufsicht,PROPN,PERSON_B
text1,3,2,eines,eine,NOUN,
text1,3,3,Datenschutzbeauftragten,datenschutzbeauftragten,ADV,PERSON_B
text1,3,4,.,.,PUNCT,
text3,1,1,Doch,Doch,PROPN,PERSON_B
text3,1,2,was,be,AUX,
text3,1,3,macht,macht,PROPN,
text3,1,4,eigentlich,eigentlich,PROPN,
text3,1,5,dieser,dieser,PROPN,
text3,1,6,Europäische,Europäische,PROPN,PERSON_B
text3,1,7,Datenschutzbeauftragte,Datenschutzbeauftragte,PROPN,PERSON_I
text3,1,8,(,(,PUNCT,
text3,1,9,EDSB,EDSB,PROPN,ORG_B
text3,1,10,),),PUNCT,
text3,1,11,",",",",PUNCT,
text3,1,12,der,der,PROPN,
text3,1,13,schon,schon,PROPN,
text3,1,14,mehr,mehr,PROPN,
text3,1,15,als,al,NOUN,
text3,1,16,zwei,zwei,PROPN,PERSON_B
text3,1,17,Jahrzehnte,Jahrzehnte,PROPN,PERSON_I
text3,1,18,für,für,NOUN,
text3,1,19,den,den,VERB,
text3,1,20,Schutz,Schutz,PROPN,PERSON_B
text3,1,21,der,der,PROPN,
text3,1,22,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,1,23,und,und,PROPN,
text3,1,24,die,die,VERB,
text3,1,25,Datenschutzrechte,Datenschutzrechte,PROPN,ORG_B
text3,1,26,der,der,NOUN,
text3,1,27,Bürger,Bürger,PROPN,PERSON_B
text3,1,28,arbeitet,arbeitet,NOUN,
text3,1,29,?,?,PUNCT,
text3,2,1,Was,be,AUX,
text3,2,2,sind,sind,NOUN,
text3,2,3,seine,seine,NOUN,
text3,2,4,Aufgaben,Aufgaben,PROPN,ORG_B
text3,2,5,",",",",PUNCT,
text3,2,6,welche,welche,PROPN,
text3,2,7,Rolle,Rolle,PROPN,PERSON_B
text3,2,8,hat,hat,PROPN,
text3,2,9,der,der,NOUN,
text3,2,10,EDSB,EDSB,PROPN,ORG_B
text3,2,11,in,in,ADP,
text3,2,12,Brüssel,Brüssel,PROPN,GPE_B
text3,2,13,?,?,PUNCT,
text3,3,1,Wer,wer,ADJ,
text3,3,2,konsultiert,konsultiert,VERB,
text3,3,3,ihn,ihn,NOUN,
text3,3,4,?,?,PUNCT,
text3,4,1,Wann,Wann,PROPN,PERSON_B
text3,4,2,wird,wird,NOUN,
text3,4,3,er,er,INTJ,
text3,4,4,typischerweise,typischerweise,VERB,
text3,4,5,angehört,angehört,NOUN,
text3,4,6,?,?,PUNCT,
text3,5,1,Wie,wie,NOUN,PERSON_B
text3,5,2,funktioniert,funktioniert,NOUN,
text3,5,3,die,die,VERB,
text3,5,4,Zusammenarbeit,Zusammenarbeit,PROPN,GPE_B
text3,5,5,zwischen,zwischen,ADV,
text3,5,6,dem,dem,ADJ,
text3,5,7,EDSB,EDSB,PROPN,ORG_B
text3,6,1,und,und,NOUN,
text3,6,2,den,den,VERB,
text3,6,3,nationalen,nationalen,ADJ,
text3,6,4,Behörden,Behörden,PROPN,GPE_B
text3,6,5,?,?,PUNCT,
text5,1,1,Das,Das,PROPN,
text5,1,2,berichten,berichten,NOUN,
text5,1,3,uns,un,VERB,
text5,1,4,zwei,zwei,PROPN,
text5,1,5,Insider,Insider,PROPN,
text5,1,6,:,:,PUNCT,
text5,1,7,Thomas,Thomas,PROPN,PERSON_B
text5,1,8,Zerdick,Zerdick,PROPN,PERSON_I
text5,1,9,und,und,VERB,
text5,1,10,Robert,Robert,PROPN,PERSON_B
text5,1,11,Riemann,Riemann,PROPN,PERSON_I
text5,1,12,",",",",PUNCT,
text5,1,13,die,die,VERB,
text5,1,14,beide,beide,NOUN,
text5,1,15,beim,beim,NOUN,
text5,1,16,EDSB,EDSB,PROPN,ORG_B
text5,1,17,arbeiten,arbeiten,NOUN,
text5,1,18,.,.,PUNCT,
text7,1,1,Thomas,Thomas,PROPN,PERSON_B
text7,1,2,Zerdick,Zerdick,PROPN,PERSON_I
text7,1,3,ist,ist,VERB,
text7,1,4,Jurist,Jurist,PROPN,PERSON_B
text7,1,5,und,und,PROPN,PERSON_I
text7,1,6,Leiter,Leiter,PROPN,PERSON_I
text7,1,7,des,des,PROPN,
text7,1,8,Referats,Referats,PROPN,
text7,1,9,für,für,NOUN,
text7,1,10,Aufsicht,Aufsicht,PROPN,PERSON_B
text7,1,11,und,und,VERB,
text7,1,12,Durchsetzung,Durchsetzung,PROPN,GPE_B
text7,1,13,.,.,PUNCT,
text7,2,1,Vor,Vor,PROPN,PERSON_B
text7,2,2,seiner,seiner,NOUN,
text7,2,3,Zeit,Zeit,PROPN,ORG_B
text7,2,4,beim,beim,NOUN,
text7,2,5,EDSB,EDSB,PROPN,ORG_B
text7,2,6,arbeitete,arbeitete,ADJ,
text7,2,7,er,er,INTJ,
text7,2,8,bei,bei,PROPN,
text7,2,9,der,der,PROPN,
text7,2,10,Europäischen,Europäischen,PROPN,PERSON_B
text7,2,11,Kommission,Kommission,PROPN,PERSON_I
text7,3,1,i,I,PRON,
text7,3,2,m,m,VERB,
text7,3,3,Referat,Referat,PROPN,PERSON_B
text7,3,4,Datenschutz,Datenschutz,PROPN,PERSON_I
text7,3,5,und,und,PROPN,
text7,3,6,war,war,NOUN,
text7,3,7,einer,einer,NOUN,
text7,3,8,derjenigen,derjenigen,NOUN,
text7,3,9,",",",",PUNCT,
text7,3,10,die,die,VERB,
text7,3,11,an,an,DET,
text7,3,12,der,der,ADJ,
text7,3,13,EU,EU,PROPN,ORG_B
text7,3,14,-,-,PUNCT,
text7,3,15,Datenschutzgrundverordnung,Datenschutzgrundverordnung,PROPN,
text7,3,16,mitgeschrieben,mitgeschrieben,NOUN,
text7,3,17,haben,haben,NOUN,
text7,3,18,.,.,PUNCT,
text7,4,1,Robert,Robert,PROPN,PERSON_B
text7,4,2,Riemann,Riemann,PROPN,PERSON_I
text7,4,3,ist,ist,NOUN,
text7,4,4,Informatiker,Informatiker,PROPN,ORG_B
text7,4,5,und,und,PROPN,
text7,4,6,arbeitete,arbeitete,ADJ,
text7,4,7,bis,bis,ADJ,
text7,4,8,Ende,Ende,PROPN,
text7,4,9,Dezember,Dezember,PROPN,
text7,4,10,beim,beim,NOUN,
text7,4,11,EDSB,EDSB,PROPN,ORG_B
text7,4,12,i,I,PRON,
text7,4,13,m,m,VERB,
text7,4,14,Referat,Referat,PROPN,PERSON_B
text7,4,15,Technik,Technik,PROPN,PERSON_I
text7,4,16,und,und,PROPN,
text7,4,17,Privatheit,Privatheit,PROPN,ORG_B
text7,4,18,.,.,PUNCT,
text9,1,1,Das,Das,PROPN,
text9,1,2,Gespräch,Gespräch,PROPN,
text9,1,3,ist,ist,VERB,
text9,1,4,eine,eine,NOUN,
text9,1,5,gekürzte,gekürzte,PROPN,
text9,1,6,und,und,PROPN,
text9,1,7,behutsam,behutsam,PROPN,ORG_B
text9,1,8,überarbeitete,überarbeitete,PROPN,ORG_I
text9,1,9,Fassung,Fassung,PROPN,ORG_B
text9,1,10,des,des,PROPN,ORG_I
text9,1,11,Podcasts,Podcasts,PROPN,ORG_I
text9,1,12,„,„,PUNCT,
text9,1,13,Dicke,Dicke,PROPN,PERSON_B
text9,1,14,Bretter,Bretter,PROPN,PERSON_I
text9,1,15,“,"""",PUNCT,PERSON_I
text9,1,16,von,von,PROPN,PERSON_I
text9,1,17,Constanze,Constanze,PROPN,PERSON_I
text9,1,18,Kurz,Kurz,PROPN,PERSON_I
text9,1,19,",",",",PUNCT,
text9,1,20,Elisa,Elisa,PROPN,PERSON_B
text9,1,21,Lindinger,Lindinger,PROPN,PERSON_I
text9,1,22,und,und,PROPN,
text9,1,23,Elina,Elina,PROPN,PERSON_B
text9,1,24,Eickstädt,Eickstädt,PROPN,PERSON_I
text9,1,25,beim,beim,X,
text9,1,26,Chaosradio,Chaosradio,PROPN,PERSON_B
text9,1,27,.,.,PUNCT,
text9,2,1,In,in,ADP,
text9,2,2,„,„,PUNCT,
text9,2,3,Dicke,Dicke,PROPN,PERSON_B
text9,2,4,Bretter,Bretter,PROPN,PERSON_I
text9,2,5,“,"""",PUNCT,
text9,2,6,beleuchten,beleuchten,VERB,
text9,2,7,wir,wir,NOUN,
text9,2,8,Institutionen,Institutionen,PROPN,PERSON_B
text9,2,9,",",",",PUNCT,
text9,2,10,Akteure,Akteure,PROPN,ORG_B
text9,2,11,oder,oder,NOUN,
text9,2,12,Organisationen,Organisationen,PROPN,PERSON_B
text9,2,13,",",",",PUNCT,
text9,2,14,die,die,VERB,
text9,2,15,daran,daran,PROPN,
text9,2,16,mitwirken,mitwirken,PROPN,
text9,2,17,",",",",PUNCT,
text9,2,18,wenn,wenn,PROPN,
text9,2,19,Gesetze,Gesetze,PROPN,PERSON_B
text9,2,20,",",",",PUNCT,
text9,2,21,Richtlinien,Richtlinien,PROPN,PERSON_B
text9,2,22,oder,oder,NOUN,
text9,2,23,auch,auch,NOUN,
text9,2,24,nur,nur,PROPN,
text9,2,25,politische,politische,PROPN,
text9,2,26,Positionen,Positionen,PROPN,PERSON_B
text9,2,27,bei,bei,PROPN,
text9,2,28,digitalen,digitalen,NOUN,
text9,2,29,Themen,Themen,PROPN,PERSON_B
text9,2,30,entstehen,entstehen,ADV,
text9,2,31,.,.,PUNCT,
text11,1,1,#,#,SYM,MONEY_B
text11,1,2,#,#,NOUN,MONEY_I
text11,1,3,Die,die,VERB,MONEY_I
text11,1,4,unabhängige,unabhängige,ADJ,
text11,1,5,Datenschutzaufsichtsbehörde,Datenschutzaufsichtsbehörde,PROPN,
text13,1,1,*,*,PUNCT,
text13,1,2,*,*,PUNCT,
text13,1,3,Constanze,Constanze,PROPN,PERSON_B
text13,1,4,Kurz,Kurz,PROPN,PERSON_I
text13,1,5,*,*,PROPN,
text13,1,6,*,*,PROPN,
text13,1,7,:,:,PUNCT,
text13,1,8,Ihr,ihr,NOUN,
text13,1,9,arbeitet,arbeitet,NOUN,
text13,1,10,beide,beide,NOUN,
text13,1,11,beim,beim,X,
text13,1,12,Europäischen,Europäischen,PROPN,PERSON_B
text13,1,13,Datenschutzbeauftragten,Datenschutzbeauftragten,PROPN,PERSON_I
text13,1,14,.,.,PUNCT,
text13,2,1,Was,be,AUX,
text13,2,2,sind,sind,NOUN,
text13,2,3,die,die,VERB,
text13,2,4,Aufgaben,Aufgaben,PROPN,ORG_B
text13,2,5,dieses,diesis,NOUN,
text13,2,6,Amtes,amte,VERB,PERSON_B
text13,2,7,?,?,PUNCT,
text15,1,1,*,*,PUNCT,
text15,1,2,*,*,PUNCT,
text15,1,3,Thomas,Thomas,PROPN,PERSON_B
text15,1,4,Zerdick,Zerdick,PROPN,PERSON_I
text15,1,5,*,*,PROPN,PERSON_I
text15,1,6,*,*,PROPN,
text15,1,7,:,:,PUNCT,
text15,1,8,Der,Der,PROPN,PERSON_B
text15,1,9,Europäische,Europäische,PROPN,PERSON_I
text15,1,10,Datenschutzbeauftragte,Datenschutzbeauftragte,PROPN,PERSON_I
text15,1,11,ist,ist,AUX,
text15,1,12,die,die,VERB,
text15,1,13,unabhängige,unabhängige,ADJ,
text15,1,14,Datenschutzaufsichtsbehörde,Datenschutzaufsichtsbehörde,PROPN,PRODUCT_B
text15,1,15,für,für,NOUN,
