doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wir,Wir,PROPN,
text1,1,2,alle,alle,PROPN,
text1,1,3,kennen,kennen,NOUN,
text1,1,4,es,es,PROPN,
text1,1,5,:,:,PUNCT,
text1,1,6,Das,Das,PROPN,
text1,1,7,erste,erste,NOUN,
text1,1,8,Mal,Mal,PROPN,
text1,1,9,zur,zur,NOUN,
text1,1,10,Schule,Schule,PROPN,
text1,1,11,gehen,gehen,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,erste,erste,NOUN,
text1,2,3,Mal,Mal,PROPN,ORG_B
text1,2,4,Tapete,Tapete,PROPN,ORG_I
text1,2,5,anbringen,anbringen,NOUN,
text1,2,6,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,erste,erste,NOUN,
text1,3,3,Mal,Mal,PROPN,PERSON_B
text1,3,4,am,be,AUX,
text1,3,5,Flughafen,Flughafen,PROPN,PERSON_B
text1,3,6,stehen,stehen,ADV,
text1,3,7,.,.,PUNCT,
text1,4,1,Oder,oder,NOUN,
text1,4,2,–,–,PUNCT,
text1,4,3,das,das,PROPN,PERSON_B
text1,4,4,kennen,kennen,PROPN,PERSON_I
text1,4,5,wir,wir,PROPN,
text1,4,6,nicht,nicht,PROPN,
text1,4,7,alle,alle,NOUN,
text1,4,8,–,–,PUNCT,
text1,4,9,einen,einen,NOUN,
text1,4,10,ebensolchen,ebensolchen,NOUN,
text1,4,11,bauen,bauen,NOUN,
text1,4,12,.,.,PUNCT,
text1,5,1,Bei,Bei,PROPN,PERSON_B
text1,5,2,Letzterem,Letzterem,PROPN,PERSON_I
text1,5,3,steigt,steigt,NOUN,
text1,5,4,die,die,VERB,
text1,5,5,Fehleranfälligkeit,Fehleranfälligkeit,PROPN,
text1,5,6,noch,noch,PROPN,
text1,5,7,zusätzlich,zusätzlich,PROPN,
text1,5,8,",",",",PUNCT,
text1,5,9,denn,denn,NOUN,
text1,5,10,mit,mit,VERB,
text1,5,11,jedem,jedem,PROPN,
text1,5,12,weiteren,weiteren,PROPN,
text1,5,13,involviertem,involviertem,PROPN,
text1,5,14,Menschen,Menschen,PROPN,ORG_B
text1,5,15,und,und,PROPN,
text1,5,16,zunehmender,zunehmender,NOUN,
text1,5,17,Komplexität,Komplexität,PROPN,PERSON_B
text1,5,18,nimmt,nimmt,PROPN,
text1,5,19,auch,auch,PROPN,
text1,5,20,die,die,VERB,
