doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,ORG_B
text1,1,2,britische,britische,PROPN,ORG_I
text1,1,3,Parlament,Parlament,PROPN,ORG_I
text1,1,4,hat,hat,NOUN,
text1,1,5,gestern,gestern,NOUN,
text1,1,6,den,den,NOUN,
text1,1,7,umstrittenen,umstrittenen,PROPN,
text1,1,8,Online,Online,PROPN,PRODUCT_B
text1,1,9,Safety,Safety,PROPN,PRODUCT_I
text1,1,10,Bill,Bill,PROPN,PRODUCT_I
text1,1,11,beschlossen,beschlossen,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,Gesetz,Gesetz,PROPN,
text1,2,3,soll,soll,PROPN,
text1,2,4,vor,vor,VERB,
text1,2,5,allem,allem,NOUN,
text1,2,6,Kinder,Kinder,PROPN,NORP_B
text1,2,7,vor,vor,VERB,
text1,2,8,schädlichen,schädlichen,NOUN,
text1,2,9,Inhalten,Inhalten,PROPN,
text1,2,10,i,I,PRON,
text1,2,11,m,m,VERB,
text1,2,12,Internet,internet,NOUN,
text1,2,13,schützen,schützen,NOUN,
text1,2,14,und,und,PROPN,
text1,2,15,sieht,sieht,PROPN,
text1,2,16,unter,unter,NOUN,
text1,2,17,anderem,anderem,NOUN,
text1,2,18,weitläufige,weitläufige,PROPN,
text1,2,19,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text1,2,20,",",",",PUNCT,
text1,2,21,strenge,strenge,NOUN,
text1,2,22,Vorgaben,Vorgaben,PROPN,ORG_B
text1,2,23,zur,zur,PROPN,
text1,2,24,Inhaltemoderation,Inhaltemoderation,PROPN,GPE_B
text1,2,25,und,und,PROPN,
text1,2,26,empfindliche,empfindliche,PROPN,
text1,2,27,Geldbußen,Geldbußen,PROPN,PRODUCT_B
text1,2,28,bei,bei,VERB,
text1,2,29,Verstößen,Verstößen,PROPN,PERSON_B
text1,2,30,vor,vor,NOUN,
text1,2,31,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,Gesetz,Gesetz,PROPN,
text1,3,3,enthält,enthält,NOUN,
text1,3,4,ebenso,ebenso,ADJ,
text1,3,5,eine,eine,NOUN,
text1,3,6,britische,britische,PROPN,
text1,3,7,Variante,Variante,PROPN,PERSON_B
text1,3,8,der,der,PROPN,PERSON_I
text1,3,9,sogenannten,sogenannten,VERB,
text1,3,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,11,",",",",PUNCT,
text1,3,12,die,die,VERB,
text1,3,13,eine,eine,NOUN,
text1,3,14,automatisierte,automatisierte,NOUN,
text1,3,15,Durchleuchtung,Durchleuchtung,PROPN,GPE_B
text1,3,16,privater,privater,NOUN,
text1,3,17,Chat,Chat,PROPN,PERSON_B
text1,3,18,-,-,PUNCT,PERSON_I
text1,3,19,Nachrichten,Nachrichten,PROPN,PERSON_I
text1,3,20,festschreibt,festschreibt,NOUN,
text1,3,21,.,.,PUNCT,
text1,4,1,Diese,diese,ADJ,NORP_B
text1,4,2,dürfte,dürfte,PROPN,
text1,4,3,aber,aber,PROPN,
text1,4,4,vorerst,vorerst,ADJ,
text1,4,5,nicht,nicht,PROPN,
text1,4,6,umgesetzt,umgesetzt,PROPN,
text1,4,7,werden,werden,PROPN,
text1,4,8,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,rund,rund,NOUN,
text3,1,3,sechs,sechs,PROPN,
text3,1,4,Jahre,Jahre,PROPN,PERSON_B
text3,1,5,lang,lang,PROPN,
text3,1,6,verhandelte,verhandelte,PROPN,
text3,1,7,Gesetz,Gesetz,PROPN,PRODUCT_B
text3,1,8,ist,ist,NOUN,
text3,1,9,inzwischen,inzwischen,VERB,
text3,1,10,auf,auf,PROPN,
text3,1,11,gut,gut,VERB,
text3,1,12,300,300,NUM,CARDINAL_B
text3,1,13,Seiten,Seiten,PROPN,
text3,1,14,angewachsen,angewachsen,NOUN,
text3,1,15,und,und,VERB,
text3,1,16,trifft,trifft,PROPN,PERSON_B
text3,1,17,nicht,nicht,PROPN,PERSON_I
text3,1,18,nur,nur,VERB,
text3,1,19,große,große,VERB,
text3,1,20,Online,Online,PROPN,PERSON_B
text3,1,21,-,-,PUNCT,PERSON_I
text3,1,22,Dienste,Dienste,PROPN,PERSON_I
text3,1,23,wie,wie,NOUN,
text3,2,1,Facebook,Facebook,PROPN,
text3,2,2,oder,oder,NOUN,
text3,2,3,Google,Google,PROPN,
text3,2,4,.,.,PUNCT,
text3,3,1,Schätzungen,Schätzungen,PROPN,ORG_B
text3,3,2,der,der,NOUN,
text3,3,3,konservativen,konservativen,PROPN,PERSON_B
text3,3,4,Regierung,Regierung,PROPN,PERSON_I
text3,3,5,zufolge,zufolge,PROPN,
text3,3,6,sind,sind,NOUN,
text3,3,7,rund,rund,VERB,
text3,3,8,20.000,20.000,NUM,CARDINAL_B
text3,3,9,kleinere,kleinere,ADJ,
text3,3,10,und,und,ADJ,
text3,3,11,nicht,nicht,PROPN,
text3,3,12,-,-,PUNCT,
text3,3,13,kommerzielle,kommerzielle,NOUN,PERSON_B
text3,3,14,Anbieter,Anbieter,PROPN,PERSON_I
text3,3,15,wie,wie,NOUN,
text3,3,16,die,die,VERB,
text3,3,17,Wikipedia,Wikipedia,PROPN,ORG_B
text3,3,18,betroffen,betroffen,NOUN,
text3,3,19,.,.,PUNCT,
text3,4,1,Viele,Viele,PROPN,
text3,4,2,davon,davon,PROPN,
text3,4,3,machen,machen,PROPN,
text3,4,4,sind,sind,NOUN,
text3,4,5,nun,nun,PROPN,
text3,4,6,Sorgen,Sorgen,PROPN,ORG_B
text3,4,7,",",",",PUNCT,
text3,4,8,ob,ob,PROPN,
text3,4,9,sie,sie,PROPN,
text3,4,10,die,die,VERB,
text3,4,11,Vorgaben,Vorgaben,PROPN,ORG_B
text3,4,12,überhaupt,überhaupt,ADJ,
text3,4,13,umsetzen,umsetzen,ADJ,
text3,4,14,können,können,PROPN,ORG_B
text3,4,15,",",",",PUNCT,
text3,5,1,für,für,PROPN,
text3,5,2,manche,manche,PROPN,
text3,5,3,kommt,kommt,PROPN,PERSON_B
text3,5,4,sogar,sogar,PROPN,PERSON_I
text3,5,5,ein,ein,PROPN,
