doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,die,die,ADJ,
text1,1,3,seit,seit,NOUN,
text1,1,4,Jahren,Jahren,PROPN,PERSON_B
text1,1,5,feststeckenden,feststeckenden,VERB,
text1,1,6,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,EU,EU,PROPN,PERSON_B
text1,2,4,-,-,PUNCT,PERSON_I
text1,2,5,Rat,Rat,PROPN,PERSON_I
text1,2,6,zur,zur,PROPN,
text1,2,7,sogenannten,sogenannten,VERB,
text1,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,9,ist,ist,ADP,
text1,2,10,Bewegung,Bewegung,PROPN,PERSON_B
text1,2,11,gekommen,gekomman,NOUN,
text1,2,12,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,nationalen,nationalen,ADV,
text1,4,1,Botschafter,Botschafter,PROPN,
text1,4,2,haben,haben,NOUN,PERSON_B
text1,4,3,laut,laut,PROPN,PERSON_I
text1,4,4,einem,einem,PROPN,PERSON_I
text1,4,5,Bericht,Bericht,PROPN,PERSON_B
text1,4,6,von,von,PROPN,PERSON_I
text1,4,7,Politico,Politico,PROPN,PERSON_I
text1,4,8,(,(,PUNCT,
text1,4,9,€,€,NOUN,
text1,4,10,),),PUNCT,
text1,4,11,in,in,ADP,
text1,4,12,der,der,PROPN,
text1,4,13,gestrigen,gestrigen,NOUN,
text1,4,14,Sitzung,Sitzung,PROPN,GPE_B
text1,4,15,einem,einem,PROPN,
text1,4,16,neuen,neuen,NOUN,
text1,4,17,Anlauf,Anlauf,PROPN,PERSON_B
text1,4,18,aus,aus,ADP,PERSON_I
text1,4,19,Dänemark,Dänemark,PROPN,PERSON_I
text1,4,20,zugestimmt,zugestimmt,PROPN,PERSON_I
text1,4,21,.,.,PUNCT,
text1,5,1,Wie,Wie,PROPN,ORG_B
text1,5,2,MLex,MLex,PROPN,ORG_I
text1,5,3,berichtet,berichtet,NOUN,
text1,5,4,",",",",PUNCT,
text1,5,5,habe,habe,NOUN,
text1,5,6,mit,mit,VERB,
text1,5,7,Deutschland,Deutschland,PROPN,GPE_B
text1,5,8,auch,auch,ADJ,
text1,5,9,ein,ein,NOUN,
text1,5,10,großes,großes,NOUN,
text1,5,11,Kritikerland,Kritikerland,PROPN,GPE_B
text1,5,12,Zustimmung,Zustimmung,PROPN,
text1,5,13,signalisiert,signalisiert,NOUN,
text1,5,14,.,.,PUNCT,
text1,6,1,Damit,Damit,PROPN,ORG_B
text1,6,2,ließe,ließe,PROPN,
text1,6,3,sich,sich,PROPN,
text1,6,4,die,die,PROPN,
text1,6,5,Sperrminorität,Sperrminorität,PROPN,GPE_B
text1,6,6,",",",",PUNCT,
text1,6,7,die,die,VERB,
text1,6,8,den,den,VERB,
text1,6,9,Rat,Rat,PROPN,
text1,6,10,bisher,bisher,PROPN,
text1,6,11,gebremst,gebremst,PROPN,
text1,6,12,hat,hat,PROPN,
text1,6,13,",",",",PUNCT,
text1,6,14,überwinden,überwinden,PROPN,
text1,6,15,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,PERSON_B
text3,1,2,Jahren,Jahren,PROPN,PERSON_I
text3,1,3,ist,ist,NOUN,
text3,2,1,der,der,PROPN,
text3,2,2,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,2,3,der,der,NOUN,PERSON_I
text3,2,4,Europäischen,Europäischen,PROPN,PERSON_I
text3,2,5,Union,Union,PROPN,PERSON_I
text3,2,6,zur,zur,PROPN,PERSON_B
text3,2,7,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text3,2,8,von,von,PROPN,PERSON_I
text3,2,9,Material,Material,PROPN,PERSON_I
text3,2,10,über,über,PROPN,
text3,2,11,sexuellen,sexuellen,NOUN,
text3,2,12,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text3,2,13,(,(,PUNCT,
text3,2,14,CSAM,CSAM,PROPN,ORG_B
text3,2,15,),),PUNCT,
text3,2,16,umstritten,umstritten,ADV,
text3,2,17,;,;,PUNCT,
text3,2,18,i,I,PRON,
text3,2,19,m,m,VERB,
text3,2,20,EU,EU,PROPN,PERSON_B
text3,2,21,-,-,PUNCT,PERSON_I
text3,2,22,Rat,Rat,PROPN,PERSON_I
text3,2,23,gab,gab,VERB,
text3,2,24,es,es,X,
text3,2,25,dazu,dazu,NOUN,
text3,2,26,seit,seit,NOUN,
text3,2,27,drei,drei,NOUN,
text3,2,28,Jahren,Jahren,PROPN,PERSON_B
text3,2,29,keine,keine,NOUN,
text3,2,30,Einigung,Einigung,PROPN,
text3,2,31,.,.,PUNCT,
text3,3,1,Knackpunkt,Knackpunkt,PROPN,ORG_B
text3,3,2,bei,bei,PROPN,
text3,3,3,den,den,VERB,
text3,3,4,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text3,3,5,ist,ist,ADJ,
text3,3,6,immer,immer,NOUN,
text3,3,7,wieder,wieder,NOUN,
text3,3,8,die,die,VERB,
text3,3,9,verpflichtende,verpflichtende,NOUN,
text3,3,10,",",",",PUNCT,
text3,3,11,anlasslose,anlasslose,VERB,
text3,3,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,13,",",",",PUNCT,
text3,3,14,also,also,ADV,
text3,3,15,die,die,VERB,
text3,3,16,massenhafte,massenhafte,NOUN,
text3,3,17,Durchleuchtung,Durchleuchtung,PROPN,GPE_B
text3,3,18,privater,privater,NOUN,
text3,3,19,und,und,VERB,
text3,3,20,auch,auch,ADJ,
text3,3,21,verschlüsselter,verschlüsselter,NOUN,
text3,3,22,Kommunikation,Kommunikation,PROPN,ORG_B
text3,3,23,.,.,PUNCT,
text5,1,1,Dänemark,Dänemark,PROPN,PERSON_B
text5,1,2,hatte,hatte,PROPN,PERSON_I
text5,1,3,",",",",PUNCT,
text5,1,4,nachdem,nachdem,PROPN,
text5,1,5,es,es,PROPN,
text5,1,6,keine,keine,PROPN,
text5,1,7,Mehrheit,Mehrheit,PROPN,GPE_B
text5,1,8,für,für,NOUN,
text5,1,9,seinen,seinen,NOUN,
text5,1,10,Vorschlag,Vorschlag,PROPN,ORG_B
text5,1,11,erhalten,erhalten,PROPN,
text5,1,12,hatte,hatte,PROPN,ORG_B
text5,1,13,",",",",PUNCT,
text5,1,14,einen,einen,NOUN,
text5,1,15,neuen,neuen,PROPN,
text5,1,16,Kompromiss,Kompromiss,PROPN,PERSON_B
text5,1,17,(,(,PUNCT,
text5,1,18,PDF,PDF,PROPN,ORG_B
text5,1,19,),),PUNCT,
text5,1,20,vorgelegt,vorgelegt,VERB,
text5,1,21,.,.,PUNCT,
text5,2,1,Demnach,Demnach,PROPN,
text5,2,2,sollten,sollten,NOUN,
text5,2,3,die,die,VERB,
text5,2,4,„,„,PROPN,
text5,2,5,Aufdeckungspflichten,Aufdeckungspflichten,PROPN,
text5,2,6,“,"""",PUNCT,
text5,2,7,aus,aus,PROPN,
text5,2,8,dem,dem,PROPN,PERSON_B
text5,2,9,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text5,2,10,entfallen,entfallen,NOUN,
text5,2,11,",",",",PUNCT,
text5,2,12,also,also,ADV,
text5,2,13,Artikel,Artikel,PROPN,
text5,2,14,7,7,NUM,
text5,2,15,bis,bis,ADJ,
text5,2,16,11,11,NUM,CARDINAL_B
text5,2,17,–,–,PUNCT,
text5,2,18,und,und,PROPN,
text5,2,19,damit,damit,NOUN,
text5,2,20,auch,auch,PROPN,
text5,2,21,die,die,PROPN,
text5,2,22,Anordnungen,Anordnungen,PROPN,
text5,2,23,",",",",PUNCT,
text5,2,24,die,die,VERB,
text5,2,25,Dienste,Dienste,PROPN,GPE_B
text5,2,26,zur,zur,PROPN,
text5,2,27,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text5,2,28,verpflichten,verpflichten,VERB,PERSON_B
text5,2,29,könnten,könnten,X,PERSON_I
text5,2,30,.,.,PUNCT,
text7,1,1,Es,es,INTJ,
text7,1,2,gibt,gibt,NOUN,
text7,1,3,allerdings,allerding,NOUN,
text7,1,4,widersprüchliche,widersprüchliche,PROPN,
text7,1,5,Signale,Signale,PROPN,ORG_B
text7,1,6,über,über,PROPN,
text7,1,7,die,die,PROPN,
text7,1,8,mögliche,mögliche,PROPN,
text7,1,9,",",",",PUNCT,
