doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Tech,tech,NOUN,
text1,1,2,-,-,PUNCT,
text1,1,3,Unternehmen,Unternehmen,PROPN,
text1,1,4,müssten,müssten,VERB,
text1,1,5,Ermittlungsbehörden,Ermittlungsbehörden,PROPN,FAC_B
text1,1,6,Zugang,Zugang,PROPN,FAC_I
text1,1,7,zu,zu,NOUN,
text1,1,8,verschlüsselten,verschlüsselten,VERB,
text1,1,9,Inhalten,Inhalten,PROPN,
text1,1,10,geben,geben,NOUN,
text1,1,11,",",",",PUNCT,
text1,1,12,sonst,sonst,NOUN,
text1,1,13,sei,sei,PROPN,
text1,1,14,die,die,VERB,
text1,1,15,europäische,europäische,PROPN,
text1,1,16,Demokratie,Demokratie,PROPN,PERSON_B
text1,1,17,gefährdet,gefährdet,NOUN,
text1,1,18,",",",",PUNCT,
text1,1,19,sagte,sagte,PROPN,
text1,1,20,Europol,Europol,PROPN,ORG_B
text1,1,21,-,-,PUNCT,ORG_I
text1,1,22,Chefin,Chefin,PROPN,ORG_I
text1,1,23,Catherine,Catherine,PROPN,PERSON_B
text1,1,24,De,De,PROPN,PERSON_I
text1,1,25,Bolle,Bolle,PROPN,PERSON_I
text1,1,26,gegenüber,gegenüber,NOUN,
text1,1,27,der,der,PROPN,
text1,1,28,Financial,Financial,PROPN,ORG_B
text1,1,29,Times,Times,PROPN,ORG_I
text1,1,30,am,be,AUX,
text1,1,31,Rande,Rande,PROPN,ORG_B
text1,1,32,des,des,X,ORG_I
text1,1,33,Weltwirtschaftsforums,Weltwirtschaftsforums,PROPN,ORG_I
text1,1,34,in,in,ADP,
text1,1,35,Davos,Davos,PROPN,GPE_B
text1,1,36,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Unternehmen,Unternehmen,PROPN,
text3,1,3,hätten,hätten,VERB,
text3,1,4,eine,eine,NOUN,
text3,1,5,„,„,PUNCT,
text3,1,6,soziale,soziale,ADJ,
text3,1,7,Verantwortung,Verantwortung,PROPN,
text3,1,8,“,"""",PUNCT,
text3,1,9,und,und,VERB,
text3,1,10,müssten,müssten,ADJ,
text3,1,11,der,der,PROPN,
text3,1,12,langjährigen,langjährigen,NOUN,
text3,1,13,Forderung,Forderung,PROPN,
text3,1,14,nach,nach,VERB,
