doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,gestern,gestern,PROPN,
text1,1,3,liegt,liegt,PROPN,
text1,1,4,der,der,PROPN,
text1,1,5,Berichtsentwurf,Berichtsentwurf,PROPN,ORG_B
text1,1,6,des,des,PROPN,ORG_I
text1,1,7,federführenden,federführenden,ADJ,
text1,1,8,EU,EU,PROPN,ORG_B
text1,1,9,-,-,PUNCT,ORG_I
text1,1,10,Ausschusses,Ausschusses,PROPN,ORG_I
text1,1,11,für,für,NOUN,
text1,1,12,bürgerliche,bürgerliche,NOUN,
text1,1,13,Freiheiten,Freiheiten,PROPN,PERSON_B
text1,1,14,",",",",PUNCT,
text1,1,15,Justiz,Justiz,PROPN,
text1,1,16,und,und,PROPN,
text1,1,17,Inneres,Inneres,PROPN,
text1,1,18,(,(,PUNCT,
text1,1,19,LIBE,LIBE,PROPN,ORG_B
text1,1,20,),),PUNCT,
text1,1,21,zur,zur,PROPN,
text1,1,22,sogenannten,sogenannten,VERB,
text1,1,23,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,24,vor,vor,NOUN,
text1,1,25,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Entwurf,Entwurf,PROPN,PERSON_I
text1,2,3,enthält,enthält,VERB,
text1,2,4,einige,einige,NOUN,
text1,2,5,erfreuliche,erfreuliche,NOUN,
text1,2,6,Änderungen,Änderungen,PROPN,GPE_B
text1,2,7,",",",",PUNCT,
text1,2,8,zumindest,zumindest,VERB,
text1,2,9,auf,auf,PROPN,
text1,2,10,dem,dem,ADJ,NORP_B
text1,2,11,Papier,Papier,PROPN,
text1,2,12,:,:,PUNCT,
text1,2,13,So,so,CCONJ,
text1,2,14,verbietet,verbietet,NOUN,
text1,2,15,er,er,INTJ,
text1,2,16,etwa,etwa,NOUN,
text1,2,17,ausdrücklich,ausdrücklich,NOUN,
text1,2,18,die,die,VERB,
text1,2,19,Schwächung,Schwächung,PROPN,GPE_B
text1,2,20,oder,oder,NOUN,
text1,2,21,das,das,PROPN,
text1,2,22,Verbot,Verbot,PROPN,PERSON_B
text1,2,23,von,von,PROPN,PERSON_I
text1,2,24,Ende,Ende,PROPN,PERSON_I
text1,2,25,-,-,PUNCT,PERSON_I
text1,2,26,zu,zu,PROPN,PERSON_I
text1,2,27,-,-,PUNCT,PERSON_I
text1,2,28,Ende,ende,ADJ,PERSON_I
text1,2,29,-,-,PUNCT,PERSON_I
text1,2,30,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text1,2,31,und,und,PROPN,
text1,2,32,sieht,sieht,PROPN,
text1,2,33,leicht,leicht,PROPN,
text1,2,34,abgemilderte,abgemilderte,VERB,
text1,2,35,Abhöranordnungen,Abhöranordnungen,PROPN,ORG_B
text1,2,36,vor,vor,NOUN,
text1,2,37,.,.,PUNCT,
text3,1,1,Dennoch,Dennoch,PROPN,PERSON_B
text3,1,2,fällt,fällt,ADJ,
text3,1,3,das,das,PROPN,
text3,1,4,erste,erste,NOUN,
text3,1,5,Echo,Echo,PROPN,LOC_B
text3,1,6,auf,auf,PROPN,
text3,1,7,den,den,VERB,
text3,1,8,Vorschlag,Vorschlag,PROPN,ORG_B
text3,1,9,des,des,PROPN,
text3,1,10,konservativen,konservativen,NOUN,
text3,1,11,Berichterstatters,Berichterstatters,PROPN,
text3,1,12,Javier,Javier,PROPN,
text3,1,13,Zarzalejos,Zarzalejos,PROPN,PERSON_B
text3,1,14,verhalten,verhalten,VERB,
text3,1,15,bis,bis,PROPN,
text3,1,16,kritisch,kritisch,PROPN,PERSON_B
text3,1,17,aus,aus,PROPN,PERSON_I
text3,1,18,.,.,PUNCT,
