doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nur,Nur,PROPN,PERSON_B
text1,1,2,Massenüberwachung,Massenüberwachung,PROPN,PERSON_I
text1,1,3,verhindert,verhindert,NOUN,
text1,1,4,sexualisierte,sexualisierte,NOUN,
text1,1,5,Gewalt,Gewalt,PROPN,PERSON_B
text1,1,6,und,und,PROPN,
text1,1,7,Bürgerrechtler,Bürgerrechtler,PROPN,ORG_B
text1,1,8,:,:,PUNCT,
text1,1,9,innen,innen,NOUN,PERSON_B
text1,1,10,gehören,gehören,PROPN,PERSON_I
text1,1,11,der,der,PROPN,PERSON_I
text1,1,12,„,„,PUNCT,PERSON_I
text1,1,13,Kinderschänder,Kinderschänder,PROPN,PERSON_I
text1,1,14,-,-,PUNCT,PERSON_I
text1,1,15,Lobby,Lobby,PROPN,PERSON_I
text1,1,16,“,"""",PUNCT,
text1,1,17,an,an,PROPN,
text1,1,18,!,!,NOUN,
text1,1,19,2023,2023,NUM,DATE_B
text1,1,20,war,war,NOUN,
text1,1,21,viel,viel,PROPN,
text1,1,22,los,los,PROPN,
text1,1,23,in,in,ADP,
text1,1,24,der,der,PROPN,
text1,1,25,Debatte,Debatte,PROPN,ORG_B
text1,1,26,um,um,INTJ,
text1,1,27,die,die,VERB,
text1,1,28,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,29,.,.,PUNCT,
text1,2,1,Da,Da,PROPN,
text1,2,2,den,den,VERB,
text1,2,3,Überblick,Überblick,PROPN,PERSON_B
text1,2,4,zu,zu,PROPN,
text1,2,5,behalten,behalten,NOUN,
text1,2,6,",",",",PUNCT,
text1,2,7,fiel,fiel,PROPN,ORG_B
text1,2,8,oft,oft,ADJ,
text1,2,9,schwer,schwer,NOUN,
text1,2,10,.,.,PUNCT,
text1,3,1,Doch,Doch,PROPN,
text1,3,2,haarsträubende,haarsträubende,NOUN,
text1,3,3,Debattenbeiträge,Debattenbeiträge,PROPN,ORG_B
text1,3,4,gaben,gaben,ADJ,
text1,3,5,immer,immer,NOUN,
text1,3,6,wieder,wieder,NOUN,
text1,3,7,die,die,VERB,
text1,3,8,Chance,Chance,PROPN,
text1,3,9,innezuhalten,innezuhalten,VERB,
text1,3,10,.,.,PUNCT,
text1,4,1,In,in,ADP,
text1,4,2,meiner,meiner,NOUN,
text1,4,3,letzten,letzten,VERB,
text1,4,4,Kolumne,Kolumne,PROPN,PERSON_B
text1,4,5,dieses,diesis,NOUN,
text1,4,6,Jahres,Jahres,PROPN,PERSON_B
text1,4,7,versuche,versuche,PROPN,
text1,4,8,ich,ich,PROPN,
text1,4,9,",",",",PUNCT,
text1,4,10,die,die,VERB,
text1,4,11,komplizierte,komplizierte,NOUN,PERSON_B
text1,4,12,Debatte,Debatte,PROPN,PERSON_I
text1,4,13,um,um,INTJ,
text1,4,14,die,die,AUX,
text1,4,15,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,4,16,2023,2023,NUM,DATE_B
text1,4,17,zusammenzufassen,zusammenzufassen,NOUN,
text1,4,18,–,–,PUNCT,
text1,4,19,und,und,PROPN,
text1,4,20,die,die,VERB,
text1,4,21,unsachlichsten,unsachlichsten,VERB,
text1,4,22,Debattenbeiträge,Debattenbeiträge,PROPN,ORG_B
text1,4,23,gebührend,gebührend,PROPN,
text1,4,24,zu,zu,PROPN,
text1,4,25,würdigen,würdigen,PROPN,
text1,4,26,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,3,ist,ist,NOUN,
text3,1,4,Teil,Teil,PROPN,ORG_B
text3,1,5,des,des,X,ORG_I
text3,1,6,Verordnungsvorschlags,Verordnungsvorschlags,PROPN,ORG_I
text3,1,7,zur,zur,PROPN,
text3,1,8,„,„,PUNCT,
text3,1,9,Bekämpfung,Bekämpfung,PROPN,
text3,1,10,des,des,X,
text3,1,11,sexuellen,sexuellen,NOUN,
text3,1,12,Missbrauchs,Missbrauchs,PROPN,PERSON_B
