doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,umstrittene,umstrittene,ADJ,
text1,1,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,4,-,-,PUNCT,ORG_I
text1,1,5,Verordnung,Verordnung,PROPN,ORG_I
text1,1,6,wird,wird,NOUN,
text1,1,7,weiter,weiter,PROPN,PERSON_B
text1,1,8,zwischen,zwischen,PROPN,PERSON_I
text1,1,9,den,den,VERB,
text1,1,10,Mitgliedsländern,Mitgliedsländern,PROPN,NORP_B
text1,1,11,der,der,NOUN,
text1,1,12,EU,EU,PROPN,ORG_B
text1,1,13,verhandelt,verhandelt,PROPN,
text1,1,14,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,gibt,gibt,NOUN,
text1,2,3,weiterhin,weiterhin,PROPN,
text1,2,4,keine,keine,NOUN,
text1,2,5,Einigung,Einigung,PROPN,GPE_B
text1,2,6,zum,zum,PROPN,PERSON_B
text1,2,7,Thema,Thema,PROPN,PERSON_I
text1,2,8,",",",",PUNCT,
text1,2,9,aber,aber,PROPN,
text1,2,10,es,es,PROPN,
text1,2,11,sieht,sieht,PROPN,ORG_B
text1,2,12,so,so,SCONJ,ORG_I
text1,2,13,aus,aus,PROPN,ORG_I
text1,2,14,als,als,PROPN,
text1,2,15,würde,würde,PROPN,
text1,2,16,der,der,PROPN,
text1,2,17,Widerstand,Widerstand,PROPN,ORG_B
text1,2,18,Frankreichs,Frankreichs,PROPN,ORG_I
text1,2,19,gegen,gegen,NOUN,
text1,2,20,die,die,VERB,
text1,2,21,Pläne,Pläne,PROPN,PERSON_B
text1,2,22,bröckeln,bröckeln,ADV,
text1,2,23,.,.,PUNCT,
text1,3,1,Damit,Damit,PROPN,
text1,3,2,wackelt,wackelt,PRON,
text1,3,3,die,die,VERB,
text1,3,4,Sperrminorität,Sperrminorität,PROPN,GPE_B
text1,3,5,",",",",PUNCT,
text1,3,6,die,die,VERB,
text1,3,7,derzeit,derzeit,ADJ,
text1,3,8,verhindert,verhindert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,dass,dass,NOUN,
text1,3,11,der,der,PROPN,
text1,3,12,Rat,Rat,PROPN,
text1,3,13,sich,sich,PROPN,
text1,3,14,auf,auf,PROPN,
text1,3,15,die,die,VERB,
text1,3,16,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,3,17,einigt,einigt,PROPN,
text1,3,18,.,.,PUNCT,
text1,4,1,Wir,Wir,PROPN,
text1,4,2,veröffentlichen,veröffentlichen,PROPN,
text1,4,3,das,das,PROPN,
text1,4,4,eingestufte,eingestufte,PROPN,
text1,4,5,Protokoll,Protokoll,PROPN,ORG_B
text1,4,6,der,der,PROPN,
text1,4,7,Sitzung,Sitzung,PROPN,GPE_B
text1,4,8,vom,vom,NOUN,
text1,4,9,4,4,NUM,CARDINAL_B
text1,4,10,.,.,PUNCT,
text1,5,1,Juni,Juni,PROPN,
text1,5,2,i,I,PRON,
text1,5,3,m,m,VERB,
text1,5,4,Volltext,Volltext,PROPN,PERSON_B
text1,5,5,.,.,PUNCT,
text3,1,1,Hinter,hinter,NOUN,
text3,1,2,dem,dem,INTJ,
text3,1,3,Begriff,Begriff,PROPN,ORG_B
text3,1,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text3,1,5,verbirgt,verbirgt,VERB,
text3,1,6,sich,sich,PRON,
text3,1,7,die,die,VERB,
text3,1,8,so,so,ADV,
text3,1,9,genannte,genannte,VERB,
text3,1,10,CSA,CSA,PROPN,ORG_B
text3,1,11,-,-,PUNCT,ORG_I
text3,1,12,Verordnung,Verordnung,PROPN,ORG_I
text3,1,13,",",",",PUNCT,
text3,1,14,mit,mit,AUX,
text3,1,15,der,der,PROPN,
text3,1,16,die,die,AUX,
text3,1,17,EU,EU,PROPN,ORG_B
text3,1,18,-,-,PUNCT,ORG_I
text3,1,19,Kommisssion,Kommisssion,PROPN,ORG_I
text3,1,20,Dienste,Dienste,PROPN,ORG_I
text3,1,21,wie,wie,NOUN,
text3,1,22,Messenger,Messenger,PROPN,PERSON_B
text3,1,23,verpflichten,verpflichten,VERB,
text3,1,24,will,will,AUX,
text3,1,25,",",",",PUNCT,
text3,1,26,die,die,VERB,
text3,1,27,Inhalte,Inhalte,PROPN,NORP_B
text3,1,28,ihrer,ihrer,NOUN,
text3,1,29,Nutzer,Nutzer,PROPN,ORG_B
text3,1,30,:,:,PUNCT,
text3,1,31,innen,innen,NOUN,
text3,1,32,auf,auf,PROPN,
text3,1,33,Straftaten,Straftaten,PROPN,NORP_B
text3,1,34,mit,mit,NOUN,
text3,1,35,Bezug,Bezug,PROPN,
text3,1,36,zu,zu,NOUN,
text3,1,37,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text3,1,38,zu,zu,NOUN,
text3,1,39,durchsuchen,durchsuchen,VERB,
text3,1,40,und,und,VERB,
text3,1,41,diese,diese,ADJ,NORP_B
text3,1,42,bei,bei,NOUN,
text3,1,43,Verdacht,Verdacht,PROPN,PERSON_B
text3,1,44,an,an,DET,
text3,1,45,Behörden,Behörden,PROPN,GPE_B
text3,1,46,zu,zu,NOUN,
text3,1,47,schicken,schicken,NOUN,
text3,1,48,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Pläne,Pläne,PROPN,PERSON_I
text3,2,3,werden,werden,NOUN,
text3,2,4,weithin,weithin,PROPN,
text3,2,5,als,al,NOUN,
text3,3,1,Einführung,einführung,ADJ,GPE_B
text3,3,2,einer,einer,NOUN,
text3,3,3,neuen,neuen,NOUN,
text3,3,4,Form,Form,PROPN,
text3,3,5,anlassloser,anlassloser,NOUN,
text3,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,3,7,und,und,VERB,
text3,3,8,Angriff,Angriff,PROPN,PERSON_B
text3,3,9,auf,auf,PROPN,
text3,3,10,verschlüsselte,verschlüsselte,PROPN,
text3,3,11,Kommunikation,Kommunikation,PROPN,
text3,3,12,bewertet,bewertet,NOUN,
text3,3,13,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Belgischer,Belgischer,PROPN,PERSON_B
text5,1,4,Kompromissvorschlag,Kompromissvorschlag,PROPN,PERSON_I
text7,1,1,Nachdem,Nachdem,PROPN,ORG_B
text7,1,2,die,die,AUX,
text7,1,3,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text7,1,4,für,für,NOUN,
text7,1,5,die,die,VERB,
text7,1,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,1,7,gestockt,gestockt,VERB,
text7,1,8,hatten,hatten,ADV,
text7,1,9,",",",",PUNCT,
text7,1,10,hatte,hatte,PROPN,PERSON_B
text7,1,11,die,die,VERB,PERSON_I
text7,1,12,belgische,belgische,PROPN,
text7,1,13,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text7,1,14,Anfang,Anfang,PROPN,PERSON_I
text7,1,15,Mai,Mai,PROPN,PERSON_I
text7,1,16,neue,neue,NOUN,
text7,1,17,Kompromissvorschläge,Kompromissvorschläge,PROPN,GPE_B
text7,1,18,gemacht,gemacht,NOUN,
text7,1,19,.,.,PUNCT,
text7,2,1,Dazu,Dazu,PROPN,PERSON_B
text7,2,2,hatten,hatten,PROPN,
text7,2,3,wir,wir,NOUN,
text7,2,4,die,die,VERB,
text7,2,5,belgische,belgische,NOUN,
text7,2,6,PowerPoint,PowerPoint,PROPN,ORG_B
text7,2,7,-,-,PUNCT,ORG_I
text7,2,8,Präsentation,Präsentation,PROPN,ORG_I
text7,2,9,veröffentlicht,veröffentlicht,NOUN,
text7,2,10,.,.,PUNCT,
text7,3,1,Ende,Ende,PROPN,
text7,3,2,Mai,Mai,PROPN,
text7,3,3,hatte,hatte,NOUN,
text7,3,4,die,die,VERB,
text7,3,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text7,3,6,ihren,ihren,PROPN,
text7,3,7,ausformulierten,ausformulierten,VERB,
text7,3,8,Kompromisstext,Kompromisstext,PROPN,PERSON_B
text7,3,9,dann,dann,VERB,
text7,3,10,an,an,DET,
text7,3,11,die,die,NOUN,
text7,3,12,Staaten,Staaten,PROPN,PRODUCT_B
text7,3,13,verschickt,verschickt,NOUN,
text7,3,14,.,.,PUNCT,
text7,4,1,Wir,wir,ADJ,
text7,4,2,haben,haben,NOUN,
text7,4,3,auch,auch,NOUN,
text7,4,4,diesen,diesen,VERB,
text7,4,5,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text7,5,1,i,I,PRON,
text7,5,2,m,m,VERB,
text7,5,3,Volltext,Volltext,PROPN,PERSON_B
text7,5,4,veröffentlicht,veröffentlicht,NOUN,
text7,5,5,.,.,PUNCT,
text9,1,1,Laut,Laut,PROPN,PERSON_B
text9,1,2,dieses,diesis,NOUN,
text9,1,3,Entwurfs,Entwurfs,PROPN,ORG_B
text9,1,4,sollen,sollen,NOUN,
text9,1,5,Dienste,Dienste,PROPN,ORG_B
text9,1,6,das,das,PROPN,ORG_I
text9,1,7,Risiko,Risiko,PROPN,ORG_I
text9,1,8,",",",",PUNCT,
text9,1,9,dass,dass,NOUN,
text9,1,10,auf,auf,PROPN,
text9,1,11,ihren,ihren,PROPN,
text9,1,12,Plattformen,Plattformen,PROPN,
text9,1,13,Straftaten,Straftaten,PROPN,
text9,1,14,begangen,begangen,NOUN,
text9,1,15,werden,werden,NOUN,
text9,1,16,",",",",PUNCT,
text9,1,17,bewerten,bewerten,ADJ,
text9,1,18,.,.,PUNCT,
text9,2,1,Demnach,Demnach,PROPN,PERSON_B
text9,2,2,wird,wird,NOUN,
text9,2,3,die,die,VERB,
