doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wohl,Wohl,PROPN,
text1,1,2,kaum,kaum,NOUN,
text1,1,3,ein,ein,PROPN,
text1,1,4,EU,EU,PROPN,ORG_B
text1,1,5,-,-,PUNCT,
text1,1,6,Vorhaben,Vorhaben,PROPN,
text1,1,7,ist,ist,VERB,
text1,1,8,derzeit,derzeit,PROPN,
text1,1,9,so,so,ADV,
text1,1,10,umstritten,umstritten,ADJ,
text1,1,11,wie,wie,NOUN,
text1,1,12,die,die,VERB,
text1,1,13,sogenannte,sogenannte,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,15,.,.,PUNCT,
text1,2,1,Um,um,INTJ,
text1,2,2,Kinder,Kinder,PROPN,
text1,2,3,vor,vor,VERB,
text1,2,4,sexualisierter,sexualisierter,NOUN,
text1,2,5,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,6,zu,zu,NOUN,
text1,2,7,schützen,schützen,NOUN,
text1,2,8,",",",",PUNCT,
text1,2,9,will,will,AUX,
text1,2,10,die,die,VERB,
text1,2,11,EU,EU,PROPN,ORG_B
text1,2,12,-,-,PUNCT,ORG_I
text1,2,13,Kommission,Kommission,PROPN,ORG_I
text1,2,14,etwa,etwa,NOUN,
text1,2,15,Messenger,Messenger,PROPN,PERSON_B
text1,2,16,und,und,PROPN,
text1,2,17,Online,Online,PROPN,
text1,2,18,-,-,PUNCT,
text1,2,19,Plattformen,Plattformen,PROPN,
text1,2,20,wie,wie,NOUN,
text1,2,21,Facebook,Facebook,PROPN,
text1,2,22,dazu,dazu,NOUN,
text1,2,23,zwingen,zwingen,NOUN,
text1,2,24,",",",",PUNCT,
text1,2,25,die,die,AUX,
text1,2,26,privaten,privaten,VERB,
text1,2,27,Nachrichten,nachrichten,ADJ,
text1,2,28,ihrer,ihrer,NOUN,
text1,2,29,Nutzer,Nutzer,PROPN,
text1,2,30,:,:,PUNCT,
text1,2,31,innen,innen,NOUN,
text1,2,32,zu,zu,NOUN,
text1,2,33,durchleuchten,durchleuchten,NOUN,
text1,2,34,.,.,PUNCT,
text1,3,1,Dabei,Dabei,PROPN,
text1,3,2,soll,soll,PROPN,
text1,3,3,auch,auch,NOUN,
text1,3,4,in,in,ADP,
text1,3,5,verschlüsselter,verschlüsselter,NOUN,
text1,3,6,Kommunikation,Kommunikation,PROPN,ORG_B
text1,3,7,nach,nach,NOUN,ORG_I
text1,3,8,Darstellungen,Darstellungen,PROPN,ORG_B
text1,3,9,von,von,PROPN,
text1,3,10,sexualisierter,sexualisierter,NOUN,
text1,3,11,Gewalt,Gewalt,PROPN,PERSON_B
text1,3,12,gesucht,gesucht,PROPN,
text1,3,13,werden,werden,PROPN,
text1,3,14,.,.,PUNCT,
text3,1,1,Immer,immer,ADJ,
text3,1,2,wieder,wieder,NOUN,
text3,1,3,werden,werden,NOUN,
text3,1,4,dabei,dabei,NOUN,
text3,1,5,die,die,VERB,
text3,1,6,Zahlen,Zahlen,PROPN,PERSON_B
text3,1,7,angeführt,angeführt,PROPN,
text3,1,8,.,.,PUNCT,
text3,2,1,Von,Von,PROPN,
text3,2,2,einer,einer,NOUN,
text3,2,3,„,„,PUNCT,
text3,2,4,Online,Online,PROPN,
text3,2,5,-,-,PUNCT,
text3,2,6,Pandemie,Pandemie,PROPN,
text3,2,7,“,"""",PUNCT,
text3,2,8,spricht,spricht,NOUN,
text3,2,9,die,die,VERB,
text3,2,10,EU,EU,PROPN,ORG_B
text3,2,11,-,-,PUNCT,
text3,2,12,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text3,2,13,Ylva,Ylva,PROPN,PERSON_I
text3,2,14,Johansson,Johansson,PROPN,PERSON_I
text3,2,15,",",",",PUNCT,
text3,2,16,eine,eine,NOUN,
text3,2,17,der,der,NOUN,
text3,2,18,größten,größten,NOUN,
text3,2,19,Verfechterinnen,Verfechterinnen,PROPN,ORG_B
text3,2,20,des,des,X,
text3,2,21,Vorhabens,Vorhabens,PROPN,GPE_B
text3,2,22,.,.,PUNCT,
text3,3,1,Die,die,VERB,ORG_B
text3,3,2,Meldungen,Meldungen,PROPN,ORG_I
text3,3,3,des,des,X,ORG_I
text3,3,4,US,US,PROPN,ORG_I
text3,3,5,-,-,PUNCT,
text3,3,6,amerikanischen,amerikanischen,PROPN,
text3,3,7,National,National,PROPN,ORG_B
text3,3,8,Center,Center,PROPN,ORG_I
text3,3,9,for,for,ADP,ORG_I
text3,3,10,Missing,Missing,PROPN,ORG_I
text3,3,11,and,and,CCONJ,
text3,3,12,Exploited,exploited,ADJ,
text3,3,13,Children,Children,PROPN,
text3,3,14,(,(,PUNCT,
text3,3,15,NCMEC,NCMEC,PROPN,ORG_B
text3,3,16,),),PUNCT,
text3,3,17,",",",",PUNCT,
text3,3,18,das,das,PROPN,PERSON_B
text3,3,19,Verdachtsfälle,Verdachtsfälle,PROPN,PERSON_I
text3,3,20,sichtet,sichtet,PROPN,
text3,3,21,und,und,VERB,
text3,3,22,an,an,DET,
text3,3,23,Ermittlungsbehörden,Ermittlungsbehörden,PROPN,ORG_B
text3,3,24,weiterleitet,weiterleitet,NOUN,
text3,3,25,",",",",PUNCT,
text3,3,26,hätten,hätten,VERB,
text3,3,27,sich,sich,ADJ,
text3,3,28,binnen,binnen,NOUN,
text3,3,29,zwei,zwei,NOUN,PERSON_B
text3,3,30,Jahren,Jahren,PROPN,PERSON_I
text3,3,31,verdoppelt,verdoppelt,NOUN,
text3,3,32,.,.,PUNCT,
