doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,heutigen,heutigen,NOUN,
text1,1,3,Mittwoch,Mittwoch,PROPN,
text1,1,4,trifft,trifft,PROPN,
text1,1,5,sich,sich,PROPN,
text1,1,6,der,der,PROPN,
text1,1,7,Ausschuss,Ausschuss,PROPN,ORG_B
text1,1,8,der,der,NOUN,
text1,1,9,Ständigen,Ständigen,PROPN,PERSON_B
text1,1,10,Vertreter,Vertreter,PROPN,PERSON_I
text1,1,11,der,der,PROPN,
text1,1,12,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,1,13,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,diesem,diesem,PROPN,
text1,2,3,Ratsgremium,Ratsgremium,PROPN,
text1,2,4,sollte,sollte,PROPN,
text1,2,5,die,die,VERB,
text1,2,6,geplante,geplante,ADJ,
text1,2,7,EU,EU,PROPN,ORG_B
text1,2,8,-,-,PUNCT,
text1,2,9,Verordnung,Verordnung,PROPN,
text1,2,10,zur,zur,NOUN,
text1,3,1,„,„,PUNCT,
text1,3,2,Bekämpfung,Bekämpfung,PROPN,
text1,3,3,des,des,X,
text1,3,4,sexuellen,sexuellen,NOUN,
text1,3,5,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,3,6,von,von,PROPN,PERSON_I
text1,3,7,Kindern,Kindern,PROPN,PERSON_I
text1,3,8,“,"""",PUNCT,PERSON_I
text1,3,9,auf,auf,PROPN,PERSON_I
text1,3,10,der,der,PROPN,
text1,3,11,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,3,12,stehen,stehen,ADV,
text1,3,13,.,.,PUNCT,
text1,4,1,Denn,denn,NOUN,
text1,4,2,in,in,ADP,
text1,4,3,einer,einer,NOUN,
text1,4,4,Woche,Woche,PROPN,
text1,4,5,will,will,AUX,
text1,4,6,der,der,VERB,
text1,4,7,Rat,Rat,PROPN,
text1,4,8,seine,seine,NOUN,
text1,4,9,Position,Position,PROPN,
text1,4,10,dazu,dazu,NOUN,
text1,4,11,finalisieren,finalisieren,NOUN,
text1,4,12,.,.,PUNCT,
text1,5,1,Doch,Doch,PROPN,PERSON_B
text1,5,2,der,der,PROPN,PERSON_I
text1,5,3,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text1,5,4,",",",",PUNCT,
text1,5,5,besser,besser,PROPN,
text1,5,6,bekannt,bekannt,PROPN,
text1,5,7,als,al,NOUN,
text1,5,8,„,„,PUNCT,
text1,5,9,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text1,5,10,“,"""",PUNCT,
text1,5,11,",",",",PUNCT,
text1,5,12,ist,ist,PROPN,
text1,5,13,von,von,PROPN,PERSON_B
text1,5,14,der,der,PROPN,PERSON_I
text1,5,15,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,5,16,verschwunden,verschwunden,PROPN,
text1,5,17,",",",",PUNCT,
text1,5,18,wie,wie,PROPN,
text1,5,19,zuerst,zuerst,PROPN,
text1,5,20,heise.de,heise.de,SYM,
text1,5,21,berichtete,berichtete,NOUN,
text1,5,22,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,ORG_B
text3,1,2,ursprüngliche,ursprüngliche,NOUN,
text3,1,3,Zeitplan,Zeitplan,PROPN,ORG_B
text3,1,4,des,des,X,ORG_I
text3,1,5,Rats,Rats,PROPN,ORG_I
text3,1,6,ist,ist,VERB,
text3,1,7,dadurch,dadurch,NOUN,
text3,1,8,nicht,nicht,PROPN,
text3,1,9,mehr,mehr,NOUN,
text3,1,10,zu,zu,PROPN,
text3,1,11,halten,halten,PROPN,
text3,1,12,.,.,PUNCT,
text3,2,1,Deutschland,deutschland,NOUN,GPE_B
text3,2,2,hatte,hatte,PROPN,
text3,2,3,schon,schon,VERB,
text3,2,4,in,in,ADP,
text3,2,5,der,der,PROPN,
text3,2,6,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text3,2,7,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,2,8,versucht,versucht,NOUN,
text3,2,9,",",",",PUNCT,
text3,2,10,die,die,VERB,
text3,2,11,Abstimmung,Abstimmung,PROPN,ORG_B
text3,2,12,über,über,NOUN,
text3,2,13,die,die,PROPN,
text3,2,14,Ratsposition,Ratsposition,PROPN,
text3,2,15,zu,zu,PROPN,
text3,2,16,verschieben,verschieben,PROPN,
text3,2,17,und,und,VERB,
text3,2,18,bekam,bekam,PROPN,PERSON_B
text3,2,19,dafür,dafür,NOUN,PERSON_I
text3,2,20,Unterstützung,Unterstützung,PROPN,PERSON_B
text3,2,21,aus,aus,ADP,PERSON_I
text3,2,22,Polen,Polen,PROPN,PERSON_I
