doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,ORG_B
text1,1,2,Verhandlungspapier,Verhandlungspapier,PROPN,ORG_I
text1,1,3,von,von,PROPN,ORG_I
text1,1,4,Union,Union,PROPN,ORG_I
text1,1,5,und,und,VERB,
text1,1,6,SPD,SPD,PROPN,
text1,1,7,zur,zur,PROPN,
text1,1,8,Innen-,Innen-,PROPN,
text1,1,9,und,und,PROPN,
text1,1,10,Sicherheitspolitik,Sicherheitspolitik,PROPN,ORG_B
text1,1,11,setzt,setzt,NOUN,
text1,1,12,die,die,VERB,
text1,1,13,Axt,Axt,PROPN,PERSON_B
text1,1,14,an,an,DET,
text1,1,15,Grundrechten,Grundrechten,PROPN,
text1,1,16,an,an,X,
text1,1,17,.,.,PUNCT,
text1,2,1,Doch,Doch,PROPN,
text1,2,2,die,die,VERB,
text1,2,3,CDU,CDU,PROPN,ORG_B
text1,3,1,will,will,AUX,
text1,3,2,so,so,ADV,
text1,3,3,weit,weit,PROPN,
text1,3,4,gehen,gehen,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,dass,dass,PROPN,
text1,3,7,sie,sie,PROPN,
text1,3,8,fordert,fordert,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,dass,dass,NOUN,
text1,3,11,Anbieter,Anbieter,PROPN,PERSON_B
text1,3,12,elektronischer,elektronischer,NOUN,
text1,3,13,Kommunikationsdienste,Kommunikationsdienste,PROPN,PERSON_B
text1,3,14,„,„,NOUN,
text1,3,15,i,I,PRON,
text1,3,16,m,m,VERB,
text1,3,17,Einzelfall,Einzelfall,PROPN,
text1,3,18,zur,zur,PROPN,
text1,3,19,Entschlüsselung,Entschlüsselung,PROPN,
text1,3,20,und,und,VERB,
text1,3,21,Ausleitung,Ausleitung,PROPN,PERSON_B
text1,3,22,von,von,PROPN,PERSON_I
text1,3,23,Kommunikationsinhalten,Kommunikationsinhalten,PROPN,PERSON_I
text1,3,24,an,an,DET,
text1,3,25,Strafverfolgungs-,Strafverfolgungs-,PROPN,
text1,3,26,und,und,VERB,
text1,3,27,Gefahrenabwehrbehörden,Gefahrenabwehrbehörden,PROPN,PERSON_B
text1,3,28,“,"""",PUNCT,
text1,3,29,verpflichtet,verpflichtet,PROPN,
text1,3,30,werden,werden,PROPN,
text1,3,31,.,.,PUNCT,
text1,4,1,I,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Verhandlungspapier,Verhandlungspapier,PROPN,PERSON_B
text1,4,4,lehnt,lehnt,NOUN,
text1,4,5,die,die,VERB,
text1,4,6,SPD,SPD,PROPN,ORG_B
text1,4,7,diese,diese,PROPN,ORG_I
text1,4,8,hingegen,hingegen,PROPN,ORG_B
text1,4,9,explizit,explizit,PROPN,ORG_I
text1,4,10,ab,ab,PROPN,ORG_I
text1,4,11,.,.,PUNCT,
text3,1,1,Käme,Käme,PROPN,PERSON_B
text3,1,2,die,die,VERB,
text3,1,3,Forderung,Forderung,PROPN,ORG_B
text3,1,4,der,der,NOUN,ORG_I
text3,1,5,Union,Union,PROPN,ORG_I
text3,1,6,in,in,ADP,
text3,1,7,den,den,NOUN,
text3,1,8,Koalitionsverhandlungen,Koalitionsverhandlungen,PROPN,PERSON_B
text3,1,9,durch,durch,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,wäre,wäre,NOUN,
text3,1,12,einer,einer,NOUN,
text3,1,13,Umgehung,Umgehung,PROPN,PERSON_B
text3,1,14,von,von,PROPN,PERSON_I
text3,1,15,Ende,Ende,PROPN,PERSON_I
text3,1,16,-,-,PUNCT,PERSON_I
text3,1,17,zu,zu,PROPN,PERSON_I
text3,1,18,-,-,PUNCT,PERSON_I
text3,1,19,Ende,ende,ADJ,PERSON_I
text3,1,20,-,-,PUNCT,PERSON_I
text3,1,21,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text3,1,22,oder,oder,NOUN,
text3,1,23,Hintertüren,Hintertüren,PROPN,PERSON_B
text3,1,24,der,der,NOUN,PERSON_I
text3,1,25,Weg,Weg,PROPN,PERSON_I
text3,1,26,geebnet,geebnet,NOUN,
text3,1,27,.,.,PUNCT,
text3,2,1,Zusätzlich,zusätzlich,NOUN,
text3,2,2,würde,würde,NOUN,
text3,2,3,die,die,VERB,
text3,2,4,Forderung,Forderung,PROPN,GPE_B
text3,2,5,letztlich,letztlich,NOUN,
text3,2,6,ein,ein,PROPN,PERSON_B
text3,2,7,Ja,Ja,PROPN,PERSON_I
text3,2,8,zur,zur,PROPN,
text3,2,9,umstrittenen,umstrittenen,PROPN,
text3,2,10,EU,EU,PROPN,ORG_B
text3,2,11,-,-,PUNCT,
text3,2,12,Chatkontrolle,Chatkontrolle,PROPN,
text3,2,13,bedeuten,bedeuten,NOUN,
text3,2,14,",",",",PUNCT,
text3,2,15,die,die,VERB,
text3,2,16,derzeit,derzeit,ADJ,
text3,2,17,auch,auch,NOUN,
text3,2,18,am,be,AUX,
text3,2,19,Widerstand,Widerstand,PROPN,GPE_B
text3,2,20,Deutschlands,Deutschlands,PROPN,
text3,2,21,scheitert,scheitert,NOUN,
text3,2,22,.,.,PUNCT,
text3,3,1,Wir,wir,ADJ,
text3,3,2,haben,haben,NOUN,
text3,3,3,Digital-,Digital-,PROPN,
text3,3,4,und,und,PROPN,
text3,3,5,Menschenrechtsorganisationen,Menschenrechtsorganisationen,PROPN,PERSON_B
text3,3,6,sowie,sowie,NOUN,
text3,3,7,Umwelt-,Umwelt-,PROPN,
text3,4,1,und,und,VERB,
text3,4,2,Journalistenverbände,Journalistenverbände,PROPN,
text3,4,3,gefragt,gefragt,NOUN,
text3,4,4,",",",",PUNCT,
text3,4,5,was,be,AUX,
text3,4,6,sie,sie,PROPN,
text3,4,7,von,von,PROPN,PERSON_B
text3,4,8,der,der,PROPN,PERSON_I
text3,4,9,Forderung,Forderung,PROPN,PERSON_I
text3,4,10,der,der,PROPN,PERSON_I
text3,4,11,Union,Union,PROPN,PERSON_I
text3,4,12,halten,halten,PROPN,
text3,4,13,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,„,„,PUNCT,
text5,1,4,Tiefer,Tiefer,PROPN,
text5,1,5,Eingriff,Eingriff,PROPN,
text5,1,6,in,in,ADP,
text5,1,7,Grundrechte,Grundrechte,PROPN,GPE_B
text5,1,8,“,"""",PUNCT,
text7,1,1,Christoffer,Christoffer,PROPN,PERSON_B
text7,1,2,Horlitz,Horlitz,PROPN,PERSON_I
text7,1,3,",",",",PUNCT,
text7,1,4,Experte,Experte,PROPN,
text7,1,5,für,für,NOUN,
text7,1,6,Menschenrechte,Menschenrechte,PROPN,PERSON_B
text7,2,1,i,I,PRON,
text7,2,2,m,m,VERB,
text7,2,3,digitalen,digitalen,ADJ,
text7,2,4,Zeitalter,Zeitalter,PROPN,PERSON_B
text7,2,5,bei,bei,NOUN,
text7,2,6,*,*,PUNCT,
text7,2,7,*,*,PUNCT,
text7,2,8,Amnesty,Amnesty,PROPN,
text7,2,9,International,International,PROPN,
text7,2,10,*,*,PROPN,
text7,2,11,*,*,PROPN,
text7,2,12,",",",",PUNCT,
text7,2,13,kritisiert,kritisiert,PROPN,PERSON_B
text7,2,14,das,das,PROPN,PERSON_I
text7,2,15,Vorhaben,Vorhaben,PROPN,PERSON_I
text7,2,16,als,al,NOUN,
text7,2,17,einen,einen,VERB,
text7,2,18,„,„,PRON,
text7,2,19,tiefen,tiefen,NOUN,
text7,2,20,Eingriff,Eingriff,PROPN,PERSON_B
text7,2,21,in,in,ADP,
text7,2,22,die,die,ADJ,
text7,2,23,Grundrechte,Grundrechte,PROPN,PERSON_B
text7,2,24,aller,aller,NOUN,
text7,2,25,Menschen,Menschen,PROPN,PERSON_B
text7,2,26,“,"""",PUNCT,PERSON_I
text7,2,27,.,.,PUNCT,
text7,3,1,Durch,durch,NOUN,
text7,3,2,so,so,ADV,
text7,3,3,etwas,etwa,VERB,
text7,3,4,werde,werde,PROPN,PRODUCT_B
text7,3,5,die,die,VERB,
text7,3,6,Arbeit,Arbeit,PROPN,GPE_B
text7,3,7,von,von,PROPN,
text7,3,8,Menschenrechtler,Menschenrechtler,PROPN,
text7,3,9,:,:,PUNCT,
text7,3,10,innen,innen,NOUN,
text7,3,11,",",",",PUNCT,
text7,3,12,Journalist,journalist,NOUN,
text7,3,13,:,:,PUNCT,
text7,3,14,innen,innen,NOUN,
text7,3,15,und,und,ADJ,
text7,3,16,Oppositionellen,Oppositionellen,PROPN,PERSON_B
text7,3,17,weltweit,weltweit,NOUN,
text7,3,18,gefährdet,gefährdet,NOUN,
text7,3,19,.,.,PUNCT,
text9,1,1,Elina,Elina,PROPN,PERSON_B
text9,1,2,Eickstädt,Eickstädt,PROPN,PERSON_I
text9,1,3,",",",",PUNCT,
text9,1,4,Sprecherin,Sprecherin,PROPN,
text9,1,5,des,des,PROPN,
text9,1,6,*,*,PUNCT,
text9,1,7,*,*,PUNCT,
text9,1,8,Chaos,Chaos,PROPN,
text9,1,9,Computer,Computer,PROPN,
text9,1,10,Clubs,Clubs,PROPN,
text9,1,11,*,*,PROPN,
text9,1,12,*,*,NUM,
text9,1,13,",",",",PUNCT,
text9,1,14,sagt,sagt,PROPN,
text9,1,15,:,:,PUNCT,
text9,1,16,„,„,PUNCT,
text9,1,17,In,in,ADP,
text9,1,18,einer,einer,NOUN,
text9,1,19,Demokratie,Demokratie,PROPN,ORG_B
text9,1,20,",",",",PUNCT,
text9,1,21,in,in,ADP,
text9,1,22,der,der,PROPN,
text9,1,23,vertrauliche,vertrauliche,PROPN,
text9,1,24,Kommunikation,Kommunikation,PROPN,
text9,1,25,unmöglich,unmöglich,ADJ,
text9,1,26,gemacht,gemacht,PROPN,
text9,1,27,wird,wird,PROPN,
text9,1,28,",",",",PUNCT,
text9,1,29,ist,ist,ADJ,
text9,1,30,eine,eine,NOUN,
text9,1,31,lebendige,lebendige,PROPN,
text9,1,32,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text9,1,33,unmöglich,unmöglich,PROPN,
text9,1,34,.,.,PUNCT,
text9,1,35,“,"""",PUNCT,
text9,2,1,Anstatt,Anstatt,PROPN,
text9,2,2,immer,immer,NOUN,
text9,2,3,weiteren,weiteren,NOUN,
text9,2,4,Überwachungsträumen,Überwachungsträumen,PROPN,
text9,2,5,nachzujagen,nachzujagen,ADV,
text9,2,6,",",",",PUNCT,
text9,2,7,sollte,sollte,PROPN,
text9,2,8,die,die,VERB,
text9,2,9,zukünftige,zukünftige,PROPN,PERSON_B
text9,2,10,Koalition,Koalition,PROPN,PERSON_I
text9,2,11,lieber,lieber,PROPN,
text9,2,12,darüber,darüber,PROPN,
text9,2,13,reden,reden,PROPN,
text9,2,14,",",",",PUNCT,
text9,2,15,wie,wie,PROPN,
text9,2,16,eine,eine,NOUN,
text9,2,17,gute,gute,NOUN,
text9,2,18,digitale,digitale,NOUN,
text9,2,19,Gesellschaft,Gesellschaft,PROPN,ORG_B
text9,2,20,für,für,NOUN,
text9,2,21,alle,alle,NOUN,
text9,2,22,aussieht,aussieht,NOUN,
text9,2,23,.,.,PUNCT,
text11,1,1,#,#,SYM,
text11,1,2,#,#,NOUN,
text11,1,3,„,„,PUNCT,
text11,1,4,Gefährdet,Gefährdet,PROPN,PERSON_B
text11,1,5,Vertraulichkeit,Vertraulichkeit,PROPN,PERSON_I
text11,1,6,von,von,PROPN,PERSON_I
text11,1,7,Recherchen,Recherchen,PROPN,PERSON_I
text11,1,8,“,"""",PUNCT,
text13,1,1,Bei,bei,NOUN,
text13,1,2,*,*,PUNCT,
text13,1,3,*,*,PROPN,
text13,1,4,Reporter,reporter,NOUN,
text13,1,5,ohne,ohne,NOUN,
text13,1,6,Grenzen,Grenzen,PROPN,
text13,1,7,*,*,PROPN,
text13,1,8,*,*,PROPN,
text13,1,9,fürchtet,fürchtet,PROPN,
text13,1,10,man,man,PROPN,
text13,1,11,hingegen,hingegen,PROPN,
text13,1,12,um,um,INTJ,
text13,1,13,die,die,VERB,
text13,1,14,Pressefreiheit,Pressefreiheit,PROPN,PERSON_B
text13,1,15,.,.,PUNCT,
text13,2,1,Es,es,INTJ,
text13,2,2,stelle,stelle,NOUN,
text13,2,3,sich,sich,PRON,
text13,2,4,die,die,VERB,
text13,2,5,Frage,Frage,PROPN,
text13,2,6,",",",",PUNCT,
text13,2,7,inwieweit,inwieweit,NOUN,
text13,2,8,die,die,NOUN,
text13,2,9,Koalitionspartner,Koalitionspartner,PROPN,ORG_B
text13,2,10,den,den,VERB,
text13,2,11,journalistischen,journalistischen,PROPN,
text13,2,12,Schutz,Schutz,PROPN,PERSON_B
text13,3,1,i,I,PRON,
text13,3,2,m,m,VERB,
text13,3,3,digitalen,digitalen,ADJ,
text13,3,4,Zeitalter,Zeitalter,PROPN,PERSON_B
text13,3,5,tatsächlich,tatsächlich,PROPN,
text13,3,6,ernst,ernst,VERB,
text13,3,7,nehmen,nehmen,PROPN,
text13,3,8,würden,würden,PROPN,GPE_B
text13,3,9,.,.,PUNCT,
text13,4,1,„,„,PUNCT,
text13,4,2,Sicher,Sicher,PROPN,
text13,4,3,verschlüsselte,verschlüsselte,NOUN,
text13,4,4,Dienste,Dienste,PROPN,PERSON_B
text13,4,5,sind,sind,NOUN,
text13,4,6,für,für,ADP,
text13,4,7,Medienschaffende,Medienschaffende,PROPN,
text13,4,8,ein,ein,NOUN,
text13,4,9,essenzielles,essenzielle,VERB,
text13,4,10,Mittel,Mittel,PROPN,ORG_B
text13,4,11,der,der,NOUN,
text13,4,12,Recherche,Recherche,PROPN,ORG_B
text13,4,13,und,und,PROPN,
text13,4,14,Kommunikation,Kommunikation,PROPN,
text13,4,15,“,"""",PUNCT,
text13,4,16,",",",",PUNCT,
text13,4,17,so,so,CCONJ,
text13,4,18,Helene,Helene,PROPN,PERSON_B
text13,4,19,Hahn,Hahn,PROPN,PERSON_I
text13,4,20,",",",",PUNCT,
text13,4,21,Referentin,Referentin,PROPN,PERSON_B
text13,4,22,für,für,NOUN,
text13,4,23,Internetfreiheit,Internetfreiheit,PROPN,ORG_B
text13,4,24,.,.,PUNCT,
text13,5,1,„,„,PUNCT,
text13,5,2,Wer,wer,ADJ,
text13,5,3,dieses,diesis,NOUN,
text13,5,4,Instrument,instrument,NOUN,
text13,5,5,in,in,ADP,
text13,5,6,Frage,Frage,PROPN,
text13,5,7,stellt,stellt,ADJ,
text13,5,8,und,und,ADJ,
text13,5,9,Hintertüren,Hintertüren,PROPN,PERSON_B
text13,5,10,für,für,NOUN,
text13,5,11,Sicherheitsbehörden,Sicherheitsbehörden,PROPN,
text13,5,12,offenhält,offenhält,NOUN,
text13,5,13,",",",",PUNCT,
text13,5,14,gefährdet,gefährdet,NOUN,
text13,5,15,die,die,VERB,
text13,5,16,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text13,5,17,journalistischer,journalistischer,PROPN,
text13,5,18,Recherchen,Recherchen,PROPN,ORG_B
text13,5,19,und,und,PROPN,
text13,5,20,damit,damit,NOUN,
text13,5,21,die,die,VERB,
text13,5,22,Kontrollfunktion,Kontrollfunktion,PROPN,
text13,5,23,der,der,NOUN,PERSON_B
text13,5,24,Medien,Medien,PROPN,PERSON_I
text13,5,25,in,in,ADP,
text13,5,26,einer,einer,NOUN,
text13,5,27,Demokratie,Demokratie,PROPN,PERSON_B
text13,5,28,.,.,PUNCT,
text13,5,29,“,"""",PUNCT,
text13,6,1,Was,be,AUX,
text13,6,2,die,die,VERB,
text13,6,3,Union,Union,PROPN,
text13,6,4,fordere,fordere,ADV,
text13,6,5,",",",",PUNCT,
text13,6,6,führe,führe,NOUN,
text13,6,7,dazu,dazu,NOUN,
text13,6,8,",",",",PUNCT,
text13,6,9,dass,dass,PROPN,
text13,6,10,verschlüsselte,verschlüsselte,PROPN,
text13,6,11,Kommunikation,Kommunikation,PROPN,ORG_B
text13,6,12,weltweit,weltweit,PROPN,
text13,6,13,geschwächt,geschwächt,PROPN,
text13,6,14,würde,würde,PROPN,
text13,6,15,.,.,PUNCT,
text15,1,1,Hanna,Hanna,PROPN,ORG_B
text15,1,2,Möllers,Möllers,PROPN,ORG_I
text15,1,3,",",",",PUNCT,
text15,1,4,Justiziarin,Justiziarin,PROPN,PERSON_B
text15,1,5,des,des,X,
text15,1,6,*,*,PUNCT,
text15,1,7,*,*,PROPN,
text15,1,8,Deutschen,Deutschen,PROPN,
text15,1,9,Journalisten,Journalisten,PROPN,
text15,1,10,-,-,PUNCT,
text15,1,11,Verbandes,Verbandes,PROPN,
text15,1,12,*,*,PROPN,
text15,1,13,*,*,PROPN,
text15,1,14,",",",",PUNCT,
text15,1,15,stellt,stellt,PROPN,
text15,1,16,fest,f,ADJ,
text15,1,17,",",",",PUNCT,
text15,1,18,dass,dass,NOUN,
text15,1,19,viele,viele,PROPN,
text15,1,20,Grundrechtseinschränkungen,Grundrechtseinschränkungen,PROPN,
text15,2,1,i,I,PRON,
text15,2,2,m,m,VERB,
text15,2,3,Namen,Namen,PROPN,PERSON_B
text15,2,4,der,der,NOUN,PERSON_I
text15,2,5,Sicherheit,Sicherheit,PROPN,PERSON_B
text15,2,6,vor,vor,VERB,
text15,2,7,allem,allem,NOUN,
text15,2,8,aus,aus,ADP,PERSON_B
text15,2,9,symbolischen,symbolischen,PROPN,PERSON_I
text15,2,10,Gründen,Gründen,PROPN,PERSON_I
text15,2,11,erfolgen,erfolgen,PROPN,PERSON_I
text15,2,12,",",",",PUNCT,
text15,2,13,damit,damit,NOUN,
text15,2,14,die,die,VERB,
text15,2,15,Politik,Politik,PROPN,NORP_B
text15,2,16,behaupten,behaupten,ADJ,
text15,2,17,kann,kann,NOUN,
text15,2,18,",",",",PUNCT,
text15,2,19,„,„,PUNCT,
text15,2,20,etwas,etwas,PROPN,
text15,2,21,getan,getan,PROPN,NORP_B
text15,2,22,zu,zu,PROPN,
text15,2,23,haben,haben,PROPN,
text15,2,24,“,"""",PUNCT,
text15,2,25,.,.,PUNCT,
text15,3,1,Statt,Statt,PROPN,PERSON_B
text15,3,2,mehr,mehr,NOUN,
text15,3,3,Überwachung,Überwachung,PROPN,
text15,3,4,und,und,PROPN,
text15,3,5,Kontrolle,Kontrolle,PROPN,ORG_B
text15,3,6,fordert,fordert,PROPN,
text15,3,7,der,der,PROPN,
text15,3,8,Verband,Verband,PROPN,PERSON_B
text15,4,1,„,„,PUNCT,
text15,4,2,von,von,PROPN,
text15,4,3,den,den,VERB,
text15,4,4,Parteien,Parteien,PROPN,
text15,4,5,mutige,mutige,PROPN,
text15,5,1,und,und,PROPN,
text15,5,2,überzeugende,überzeugende,VERB,
text15,5,3,Initiativen,Initiativen,PROPN,PERSON_B
text15,5,4,zur,zur,NOUN,PERSON_I
text15,5,5,Stärkung,Stärkung,PROPN,PERSON_I
text15,5,6,der,der,PROPN,PERSON_I
text15,5,7,Freiheitsrechte,Freiheitsrechte,PROPN,PERSON_I
text15,5,8,“,"""",PUNCT,PERSON_I
text15,5,9,.,.,PUNCT,
text17,1,1,#,#,SYM,
text17,1,2,#,#,NOUN,
text17,1,3,„,„,PUNCT,
text17,1,4,Gefährdet,Gefährdet,PROPN,
text17,1,5,nationale,nationale,NOUN,
text17,1,6,Sicherheit,Sicherheit,PROPN,PERSON_B
text17,1,7,“,"""",PUNCT,
text19,1,1,Erik,Erik,PROPN,PERSON_B
text19,1,2,Tuchtfeld,Tuchtfeld,PROPN,PERSON_I
text19,1,3,",",",",PUNCT,
text19,1,4,Co,Co,PROPN,ORG_B
text19,1,5,-,-,ADJ,ORG_I
text19,1,6,Vorsitzender,vorsitzender,VERB,ORG_I
text19,1,7,des,des,NOUN,ORG_I
text19,1,8,*,*,PUNCT,ORG_I
text19,1,9,*,*,NOUN,
text19,1,10,netzpolitischen,netzpolitischen,NOUN,
text19,1,11,Vereins,Vereins,PROPN,
text19,1,12,D64,D64,PROPN,
text19,1,13,*,*,PROPN,
text19,1,14,*,*,PROPN,
text19,1,15,",",",",PUNCT,
text19,1,16,warnt,warnt,VERB,
text19,1,17,vor,vor,VERB,
text19,1,18,Auswirkungen,Auswirkungen,PROPN,ORG_B
