doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,heutige,heutige,PROPN,
text1,1,3,Folge,Folge,PROPN,PERSON_B
text1,1,4,von,von,PROPN,PERSON_I
text1,1,5,Degitalisierung,Degitalisierung,PROPN,PERSON_I
text1,1,6,beginnt,beginnt,NOUN,
text1,1,7,mit,mit,VERB,
text1,1,8,Fahrradhelmen,Fahrradhelmen,PROPN,
text1,1,9,.,.,PUNCT,
text1,2,1,Oder,oder,ADJ,PERSON_B
text1,2,2,der,der,NOUN,PERSON_I
text1,2,3,digitalen,digitalen,VERB,
text1,2,4,Entsprechung,Entsprechung,PROPN,PERSON_B
text1,2,5,",",",",PUNCT,
text1,2,6,die,die,VERB,
text1,2,7,als,al,NOUN,
text1,3,1,„,„,PUNCT,
text1,3,2,das,das,PROPN,
text1,3,3,ist,ist,NOUN,
text1,3,4,sicher,sicher,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,das,das,PROPN,PRODUCT_B
text1,3,7,bleibt,bleibt,PROPN,PRODUCT_I
text1,3,8,ja,ja,PROPN,
text1,3,9,alles,alle,VERB,
text1,3,10,auf,auf,PROPN,
text1,3,11,dem,dem,ADJ,NORP_B
text1,3,12,Device,device,NOUN,
text1,3,13,“,"""",PUNCT,
text1,3,14,bezeichnet,bezeichnet,NOUN,
text1,3,15,werden,werden,PROPN,
text1,3,16,könnte,könnte,PROPN,
text1,3,17,.,.,PUNCT,
text1,4,1,Aber,Aber,PROPN,PERSON_B
text1,4,2,bleiben,bleiben,NOUN,
text1,4,3,wir,wir,PROPN,
text1,4,4,bei,bei,PROPN,
text1,4,5,Fahrradhelmen,Fahrradhelmen,PROPN,
text1,4,6,.,.,PUNCT,
text3,1,1,Fahrradhelme,Fahrradhelme,PROPN,ORG_B
text3,1,2,sind,sind,NOUN,
text3,1,3,grundsätzlich,grundsätzlich,NOUN,
text3,1,4,sinnvoll,sinnvoll,NOUN,
text3,1,5,",",",",PUNCT,
text3,1,6,um,um,INTJ,
text3,1,7,i,I,PRON,
text3,1,8,m,m,VERB,
text3,1,9,Falle,Falle,PROPN,PERSON_B
text3,1,10,eines,eine,VERB,
text3,1,11,Falles,Falles,PROPN,PERSON_B
text3,1,12,den,den,VERB,PERSON_I
text3,1,13,Schädel,Schädel,PROPN,PERSON_I
text3,1,14,zu,zu,PROPN,
text3,1,15,schützen,schützen,NOUN,
text3,1,16,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,gilt,gilt,NOUN,
text3,2,3,besonders,besonder,NOUN,
text3,2,4,in,in,ADP,
text3,2,5,einer,einer,NOUN,
text3,2,6,Verkehrsumgebung,Verkehrsumgebung,PROPN,GPE_B
text3,2,7,",",",",PUNCT,
text3,2,8,die,die,ADJ,
text3,2,9,wie,wie,NOUN,
text3,2,10,in,in,ADP,
text3,2,11,Deutschland,Deutschland,PROPN,GPE_B
text3,2,12,oftmals,oftmal,NOUN,
text3,2,13,nur,nur,VERB,
text3,2,14,auf,auf,PROPN,
text3,2,15,Autos,Autos,PROPN,PERSON_B
text3,2,16,ausgerichtet,ausgerichtet,NOUN,
text3,2,17,ist,ist,NOUN,
text3,2,18,.,.,PUNCT,
text3,3,1,Wenn,Wenn,PROPN,
text3,3,2,es,es,NOUN,
text3,3,3,zum,zum,NOUN,PERSON_B
text3,3,4,Sturz,Sturz,PROPN,PERSON_I
text3,3,5,auf,auf,PROPN,
text3,3,6,dem,dem,PROPN,NORP_B
text3,3,7,Kopf,Kopf,PROPN,PERSON_B
text3,3,8,kommt,kommt,PROPN,PERSON_I
text3,3,9,",",",",PUNCT,
text3,3,10,kann,kann,PROPN,PERSON_B
text3,3,11,der,der,NOUN,PERSON_I
text3,3,12,Helm,Helm,PROPN,PERSON_B
text3,3,13,Schäden,Schäden,PROPN,PERSON_I
text3,3,14,reduzieren,reduzieren,NOUN,
text3,3,15,",",",",PUNCT,
text3,3,16,sinnvoll,sinnvoll,NOUN,
text3,3,17,also,also,ADV,
text3,3,18,auf,auf,PROPN,
text3,3,19,jeden,jeden,PROPN,PERSON_B
text3,3,20,Fall,Fall,PROPN,PERSON_I
text3,3,21,.,.,PUNCT,
text5,1,1,Psychologisch,Psychologisch,PROPN,ORG_B
text5,1,2,gesehen,gesehen,PROPN,
text5,1,3,passiert,passiert,PROPN,
text5,1,4,bei,bei,PROPN,
text5,1,5,der,der,PROPN,
text5,1,6,Nutzung,Nutzung,PROPN,PERSON_B
text5,1,7,von,von,PROPN,PERSON_I
text5,1,8,Fahrradhelmen,Fahrradhelmen,PROPN,PERSON_I
text5,1,9,oftmals,oftmal,NOUN,
text5,1,10,aber,aber,PROPN,
text5,1,11,etwas,etwa,VERB,
text5,1,12,Widersprüchliches,Widersprüchliches,PROPN,ORG_B
text5,1,13,:,:,PUNCT,
text5,2,1,Träger*innen,Träger*innen,PROPN,
text5,2,2,von,von,PROPN,
text5,2,3,Fahrradhelmen,Fahrradhelmen,PROPN,
text5,2,4,verhalten,verhalten,VERB,
text5,2,5,sich,sich,ADJ,
text5,2,6,meist,meist,NOUN,
text5,2,7,risikofreudiger,risikofreudiger,NOUN,
text5,2,8,",",",",PUNCT,
text5,2,9,weil,weil,PROPN,
text5,2,10,die,die,PROPN,
text5,2,11,gefühlte,gefühlte,PROPN,PERSON_B
