doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Rund,rund,VERB,
text1,1,2,um,um,INTJ,
text1,1,3,den,den,VERB,
text1,1,4,Globus,Globus,PROPN,ORG_B
text1,1,5,wollen,wollen,NOUN,
text1,1,6,Regierungen,Regierungen,PROPN,PRODUCT_B
text1,1,7,gerade,gerade,VERB,
text1,1,8,Alterskontrollen,Alterskontrollen,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Internet,internet,NOUN,
text1,2,4,hochziehen,hochziehen,NOUN,
text1,2,5,.,.,PUNCT,
text1,3,1,Unter,Unter,PROPN,
text1,3,2,anderem,anderem,NOUN,
text1,3,3,in,in,ADP,
text1,3,4,Deutschland,Deutschland,PROPN,GPE_B
text1,3,5,",",",",PUNCT,
text1,3,6,Frankreich,Frankreich,PROPN,PERSON_B
text1,3,7,",",",",PUNCT,
text1,3,8,Großbritannien,Großbritannien,PROPN,PERSON_B
text1,3,9,und,und,NOUN,
text1,3,10,den,den,VERB,
text1,3,11,USA,USA,PROPN,GPE_B
text1,3,12,sollen,sollen,PROPN,
text1,3,13,Besucher*innen,Besucher*innen,PROPN,
text1,3,14,von,von,PROPN,PERSON_B
text1,3,15,Pornoseiten,Pornoseiten,PROPN,PERSON_I
text1,3,16,vermehrt,vermehrt,VERB,
text1,3,17,Daten,Daten,PROPN,PERSON_B
text1,3,18,preisgeben,preisgeben,PROPN,
text1,3,19,",",",",PUNCT,
text1,3,20,um,um,INTJ,
text1,3,21,zu,zu,ADJ,
text1,3,22,beweisen,beweisen,NOUN,
text1,3,23,",",",",PUNCT,
text1,3,24,dass,dass,PROPN,
text1,3,25,sie,sie,PROPN,
text1,3,26,volljährig,volljährig,PROPN,
text1,3,27,sind,sind,NOUN,
text1,3,28,.,.,PUNCT,
text1,4,1,Da,Da,PROPN,PERSON_B
text1,4,2,Pornoplattformen,Pornoplattformen,PROPN,PERSON_I
text1,4,3,zu,zu,X,
text1,4,4,den,den,VERB,
text1,4,5,meistbesuchten,meistbesuchten,NOUN,
text1,4,6,Seiten,Seiten,PROPN,
text1,4,7,i,I,PRON,
text1,4,8,m,m,VERB,
text1,4,9,Netz,Netz,PROPN,PERSON_B
text1,4,10,gehören,gehören,NOUN,
text1,4,11,",",",",PUNCT,
text1,4,12,betrifft,betrifft,PROPN,
text1,4,13,das,das,PROPN,PERSON_B
text1,4,14,Abermillionen,Abermillionen,PROPN,PERSON_I
text1,4,15,Menschen,Menschen,PROPN,PERSON_I
text1,4,16,.,.,PUNCT,
text1,5,1,Sie,Sie,PROPN,
text1,5,2,sollen,sollen,NOUN,
text1,5,3,zum,zum,VERB,CARDINAL_B
text1,5,4,Beispiel,Beispiel,PROPN,ORG_B
text1,5,5,ihre,ihre,ADJ,
text1,5,6,Ausweise,Ausweise,PROPN,LOC_B
text1,5,7,vorlegen,vorlegen,NOUN,
text1,5,8,oder,oder,NOUN,
text1,5,9,ihr,ihr,PROPN,
text1,5,10,Gesicht,Gesicht,PROPN,GPE_B
text1,5,11,biometrisch,biometrisch,PROPN,
text1,5,12,scannen,scannen,NOUN,
text1,5,13,lassen,lassen,NOUN,
text1,5,14,.,.,PUNCT,
text1,6,1,Gegen,Gegen,PROPN,PERSON_B
text1,6,2,diesen,diesen,VERB,
text1,6,3,Trend,Trend,PROPN,
text1,6,4,stellt,stellt,PROPN,
text1,6,5,sich,sich,PROPN,
text1,6,6,nun,nun,PROPN,
text1,6,7,die,die,VERB,
text1,6,8,Regierung,Regierung,PROPN,GPE_B
text1,6,9,in,in,ADP,
text1,6,10,Australien,Australien,PROPN,GPE_B
text1,6,11,.,.,PUNCT,
text3,1,1,Alterskontrollen,Alterskontrollen,PROPN,
text3,1,2,müssen,müssen,PROPN,PERSON_B
text3,1,3,„,„,PUNCT,PERSON_I
text3,1,4,ein,ein,PROPN,PERSON_B
text3,1,5,Gleichgewicht,Gleichgewicht,PROPN,PERSON_I
text3,1,6,zwischen,zwischen,ADP,PERSON_B
text3,1,7,Privatsphäre,Privatsphäre,PROPN,PERSON_I
text3,1,8,und,und,VERB,
text3,1,9,Sicherheit,Sicherheit,PROPN,PERSON_B
text3,1,10,herstellen,herstellen,VERB,
text3,1,11,",",",",PUNCT,
text3,1,12,ohne,ohne,NOUN,
text3,1,13,die,die,NOUN,
text3,1,14,persönlichen,persönlichen,PROPN,
text3,1,15,Daten,Daten,PROPN,PERSON_B
text3,1,16,von,von,PROPN,PERSON_I
text3,1,17,Erwachsenen,Erwachsenen,PROPN,PERSON_I
text3,1,18,zu,zu,X,PERSON_I
text3,1,19,gefährden,gefährden,ADJ,PERSON_I
text3,1,20,",",",",PUNCT,
text3,1,21,die,die,VERB,
text3,2,1,sich,sich,PROPN,
text3,2,2,für,für,NOUN,
text3,2,3,den,den,VERB,
text3,2,4,Zugang,Zugang,PROPN,GPE_B
text3,2,5,zu,zu,NOUN,
text3,2,6,legaler,legaler,NOUN,
text3,2,7,Pornografie,Pornografie,PROPN,
text3,2,8,entscheiden,entscheiden,NOUN,
text3,2,9,“,"""",PUNCT,
text3,2,10,",",",",PUNCT,
text3,2,11,erklärte,erklärte,PROPN,
text3,2,12,nun,nun,PROPN,
text3,2,13,das,das,PROPN,PERSON_B
text3,2,14,zuständige,zuständige,PROPN,PERSON_I
text3,2,15,Ministerium,Ministerium,PROPN,PERSON_I
text3,2,16,für,für,PROPN,
text3,2,17,Infrastruktur,Infrastruktur,PROPN,ORG_B
text3,2,18,in,in,ADP,
text3,2,19,einem,einem,PROPN,
text3,2,20,ausführlichen,ausführlichen,PROPN,
text3,2,21,Statement,Statement,PROPN,
text3,2,22,(,(,PUNCT,
text3,2,23,PDF,PDF,PROPN,ORG_B
text3,2,24,),),PUNCT,
text3,2,25,.,.,PUNCT,
text3,3,1,Außerdem,Außerdem,PROPN,
text3,3,2,müssten,müssten,VERB,
text3,3,3,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text3,3,4,verlässlich,verlässlich,NOUN,
text3,3,5,funktionieren,funktionieren,PROPN,
text3,3,6,",",",",PUNCT,
text3,3,7,ohne,ohne,ADJ,
text3,3,8,einfach,einfach,NOUN,
text3,3,9,umgangen,umgangen,NOUN,
text3,3,10,werden,werden,NOUN,
text3,3,11,zu,zu,PROPN,
text3,3,12,können,können,NOUN,
text3,3,13,.,.,PUNCT,
text3,4,1,Diese,diese,ADJ,NORP_B
text3,4,2,und,und,NOUN,
text3,4,3,weitere,weitere,VERB,
text3,4,4,Eigenschaften,Eigenschaften,PROPN,PERSON_B
text3,4,5,könnten,könnten,VERB,
text3,4,6,aktuelle,aktuelle,NOUN,
text3,4,7,Technologien,Technologien,PROPN,GPE_B
text3,4,8,jedoch,jedoch,PROPN,PERSON_B
text3,4,9,nicht,nicht,PROPN,PERSON_I
text3,4,10,erfüllen,erfüllen,VERB,
text3,4,11,.,.,PUNCT,
text3,5,1,Das,Das,PROPN,
text3,5,2,Fazit,Fazit,PROPN,ORG_B
text3,5,3,der,der,PROPN,
text3,5,4,Regierung,Regierung,PROPN,PERSON_B
text3,5,5,:,:,PUNCT,
text3,5,6,Der,Der,PROPN,PERSON_B
text3,5,7,Markt,Markt,PROPN,PERSON_I
text3,5,8,für,für,NOUN,
text3,6,1,Alterskontrollen,Alterskontrollen,PROPN,
text3,6,2,sei,sei,ADJ,
text3,6,3,aktuell,aktuell,PROPN,
text3,6,4,nicht,nicht,PROPN,
text3,6,5,ausgreift,ausgreift,ADV,
text3,6,6,.,.,PUNCT,
text3,7,1,„,„,NOUN,
text3,7,2,Eine,Eine,PROPN,PERSON_B
text3,7,3,Entscheidung,Entscheidung,PROPN,PERSON_I
text3,7,4,über,über,NOUN,
text3,7,5,verpflichtende,verpflichtende,NOUN,
text3,7,6,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text3,7,7,kann,kann,PROPN,PERSON_B
text3,7,8,noch,noch,PROPN,PERSON_I
text3,7,9,nicht,nicht,PROPN,PERSON_I
text3,7,10,getroffen,getroffen,PROPN,
text3,7,11,werden,werden,PROPN,
text3,7,12,.,.,PUNCT,
text3,7,13,“,"""",PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Behörde,Behörde,PROPN,PERSON_B
text5,1,4,empfiehlt,empfiehlt,NOUN,
text5,1,5,Förderung,Förderung,PROPN,PERSON_B
text5,1,6,von,von,PROPN,PERSON_I
text5,1,7,Pornokompetenz,Pornokompetenz,PROPN,PERSON_I
text7,1,1,Das,Das,PROPN,
text7,1,2,Ministerium,Ministerium,PROPN,
text7,1,3,reagiert,reagiert,VERB,
text7,1,4,damit,damit,NOUN,
text7,1,5,auf,auf,PROPN,
text7,1,6,Australiens,Australiens,PROPN,PRODUCT_B
text7,1,7,unabhängige,unabhängige,ADJ,
text7,1,8,Regulierungsbehörde,Regulierungsbehörde,PROPN,PRODUCT_B
text7,1,9,eSafety,eSafety,PROPN,PRODUCT_I
text7,1,10,.,.,PUNCT,
text7,2,1,Die,die,VERB,PERSON_B
text7,2,2,Behörde,Behörde,PROPN,PERSON_I
text7,2,3,hat,hat,NOUN,
text7,2,4,das,das,PROPN,PERSON_B
text7,2,5,Ziel,Ziel,PROPN,PERSON_I
text7,2,6,",",",",PUNCT,
text7,2,7,die,die,VERB,
text7,2,8,Sicherheit,Sicherheit,PROPN,GPE_B
text7,2,9,für,für,NOUN,
text7,2,10,australische,australische,NOUN,
text7,2,11,Internet,Internet,PROPN,
text7,2,12,-,-,PUNCT,
text7,2,13,Nutzer*innen,Nutzer*innen,PROPN,
text7,2,14,zu,zu,PROPN,
text7,2,15,erhöhen,erhöhen,ADV,
text7,2,16,.,.,PUNCT,
text7,3,1,I,I,PRON,
text7,3,2,m,m,VERB,
text7,3,3,März,März,PROPN,PERSON_B
text7,3,4,hat,hat,PROPN,
text7,3,5,sie,sie,PROPN,
text7,3,6,eine,eine,NOUN,
text7,3,7,ausführliche,ausführliche,PROPN,
text7,4,1,Analyse,Analyse,PROPN,PRODUCT_B
text7,4,2,über,über,PROPN,PRODUCT_I
text7,4,3,Alterskontrollen,Alterskontrollen,PROPN,PRODUCT_I
text7,4,4,für,für,NOUN,
text7,4,5,Pornoseiten,Pornoseiten,PROPN,PERSON_B
text7,4,6,vorgelegt,vorgelegt,VERB,
text7,4,7,.,.,PUNCT,
text7,5,1,Die,die,VERB,PERSON_B
text7,5,2,Empfehlungen,Empfehlungen,PROPN,PERSON_I
text7,5,3,von,von,PROPN,PERSON_I
text7,5,4,eSafety,eSafety,PROPN,PERSON_I
text7,5,5,sind,sind,VERB,
text7,5,6,nicht,nicht,NOUN,
text7,5,7,bindend,bindend,NOUN,
text7,5,8,.,.,PUNCT,
text7,6,1,Die,die,AUX,
text7,6,2,zumindest,zumind,ADJ,
text7,6,3,vorläufige,vorläufige,NOUN,
text7,6,4,Absage,Absage,PROPN,
text7,6,5,der,der,NOUN,
text7,6,6,australischen,australischen,ADV,
text7,6,7,Regierung,Regierung,PROPN,PERSON_B
text7,6,8,an,an,DET,PERSON_I
