doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,einem,einem,NOUN,
text1,1,3,Jahr,Jahr,PROPN,ORG_B
text1,1,4,ist,ist,ADJ,ORG_I
text1,1,5,Europawahl,Europawahl,PROPN,ORG_I
text1,1,6,.,.,PUNCT,
text1,2,1,Bis,Bis,PROPN,
text1,2,2,dahin,dahin,NOUN,
text1,2,3,will,will,AUX,
text1,2,4,die,die,VERB,
text1,2,5,EU,EU,PROPN,ORG_B
text1,3,1,noch,noch,PROPN,
text1,3,2,einige,einige,PROPN,
text1,3,3,Gesetze,Gesetze,PROPN,PERSON_B
text1,3,4,verabschieden,verabschieden,VERB,
text1,3,5,",",",",PUNCT,
text1,3,6,auch,auch,ADJ,
text1,3,7,die,die,VERB,
text1,3,8,Verordnung,Verordnung,PROPN,PERSON_B
text1,3,9,gegen,gegen,NOUN,
text1,3,10,sexuellen,sexuellen,NOUN,
text1,4,1,Missbrauch,Missbrauch,PROPN,PERSON_B
text1,4,2,von,von,PROPN,PERSON_I
text1,4,3,Kindern,Kindern,PROPN,PERSON_I
text1,4,4,.,.,PUNCT,
text1,5,1,Seit,Seit,PROPN,GPE_B
text1,5,2,einem,einem,PROPN,
text1,5,3,Jahr,Jahr,PROPN,ORG_B
text1,5,4,verhandeln,verhandeln,NOUN,ORG_I
text1,5,5,Parlament,Parlament,PROPN,ORG_I
text1,5,6,und,und,PROPN,
text1,5,7,Rat,Rat,PROPN,
text1,5,8,über,über,NOUN,
text1,5,9,den,den,NOUN,
text1,5,10,Gesetzentwurf,Gesetzentwurf,PROPN,ORG_B
text1,5,11,der,der,PROPN,ORG_I
text1,5,12,Kommission,Kommission,PROPN,ORG_I
text1,5,13,.,.,PUNCT,
text1,6,1,Doch,Doch,PROPN,PERSON_B
text1,6,2,der,der,NOUN,
text1,6,3,wichtigste,wichtigste,NOUN,
text1,6,4,Teil,Teil,PROPN,PERSON_B
text1,6,5,–,–,PUNCT,
text1,6,6,die,die,VERB,
text1,6,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,6,8,–,–,PUNCT,
text1,6,9,sorgt,sorgt,VERB,
text1,6,10,weiter,weiter,PROPN,
text1,6,11,für,für,PROPN,
text1,6,12,Streit,Streit,PROPN,ORG_B
text1,6,13,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,verhandeln,verhandeln,NOUN,
text3,1,6,den,den,VERB,
text3,1,7,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Rat,Rat,PROPN,
text3,2,4,.,.,PUNCT,
text3,3,1,Obwohl,obwohl,NOUN,
text3,3,2,das,das,PROPN,
text3,3,3,Gesetz,Gesetz,PROPN,
text3,3,4,offiziell,offiziell,NOUN,
text3,3,5,den,den,VERB,
text3,3,6,Binnenmarkt,Binnenmarkt,PROPN,
text3,3,7,reguliert,reguliert,NOUN,
text3,3,8,",",",",PUNCT,
text3,3,9,verhandelt,verhandelt,NOUN,
text3,3,10,die,die,VERB,
text3,3,11,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text3,3,12,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,3,13,.,.,PUNCT,
text3,4,1,Am,be,AUX,
text3,4,2,12,12,NUM,CARDINAL_B
text3,4,3,.,.,PUNCT,
text3,5,1,Mai,Mai,PROPN,
text3,5,2,verhandelte,verhandelte,PROPN,
text3,5,3,diese,diese,PROPN,
text3,5,4,Arbeitsgruppe,Arbeitsgruppe,PROPN,ORG_B
text3,5,5,wieder,wieder,NOUN,
text3,5,6,ausschließlich,ausschließlich,PRON,
text3,5,7,die,die,VERB,
text3,5,8,geplante,geplante,ADJ,
text3,5,9,Verordnung,Verordnung,PROPN,PERSON_B
text3,5,10,.,.,PUNCT,
text3,6,1,Wir,Wir,PROPN,
text3,6,2,veröffentlichen,veröffentlichen,PROPN,
text3,6,3,ein,ein,PROPN,
text3,6,4,weiteres,weitere,VERB,
text3,6,5,Mal,Mal,PROPN,PERSON_B
text3,6,6,ein,ein,NOUN,PERSON_I
text3,6,7,eingestuftes,eingestufte,VERB,
text3,6,8,Protokoll,Protokoll,PROPN,ORG_B
text3,6,9,der,der,NOUN,
text3,6,10,Verhandlungsrunde,Verhandlungsrunde,PROPN,ORG_B
text3,6,11,i,I,PRON,
text3,6,12,m,m,VERB,
