doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,ORG_B
text1,1,2,Europäische,Europäische,PROPN,ORG_I
text1,1,3,Datenschutzausschuss,Datenschutzausschuss,PROPN,ORG_I
text1,1,4,(,(,PUNCT,
text1,1,5,EDSA,EDSA,PROPN,PERSON_B
text1,1,6,),),PUNCT,
text1,1,7,hat,hat,NOUN,
text1,1,8,den,den,VERB,
text1,1,9,EU,EU,PROPN,ORG_B
text1,1,10,-,-,PUNCT,
text1,1,11,Gesetzgeber,Gesetzgeber,PROPN,
text1,1,12,dazu,dazu,NOUN,
text1,1,13,aufgerufen,aufgerufen,NOUN,
text1,1,14,",",",",PUNCT,
text1,1,15,die,die,PROPN,
text1,1,16,Änderungsvorschläge,Änderungsvorschläge,PROPN,ORG_B
text1,1,17,des,des,X,ORG_I
text1,1,18,Europäischen,Europäischen,PROPN,ORG_I
text1,1,19,Parlaments,Parlaments,PROPN,ORG_I
text1,1,20,zur,zur,NOUN,
text1,1,21,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,22,-,-,PUNCT,ORG_I
text1,1,23,Gesetzgebung,Gesetzgebung,PROPN,ORG_I
text1,1,24,zu,zu,ADJ,
text1,1,25,unterstützen,unterstützen,NOUN,
text1,1,26,–,–,PUNCT,
text1,1,27,aber,aber,PROPN,
text1,1,28,darüber,darüber,PROPN,
text1,1,29,hinaus,hinaus,NOUN,
text1,1,30,weitere,weitere,VERB,
text1,1,31,Änderungen,Änderungen,PROPN,ORG_B
text1,1,32,vorzunehmen,vorzunehman,NOUN,
text1,1,33,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Datenschützer,Datenschützer,PROPN,
text3,1,3,:,:,PUNCT,
text3,1,4,innen,innen,NOUN,
text3,1,5,begrüßen,begrüßen,NOUN,
text3,1,6,zwar,zwar,NOUN,
text3,1,7,in,in,ADP,
text3,1,8,der,der,PROPN,
text3,1,9,Stellungnahme,Stellungnahme,PROPN,PERSON_B
text3,1,10,(,(,PUNCT,
text3,1,11,PDF,PDF,PROPN,ORG_B
text3,1,12,),),PUNCT,
text3,2,1,„,„,PUNCT,
text3,2,2,die,die,VERB,
text3,2,3,vielen,vielen,NOUN,
text3,2,4,vom,vom,NOUN,
text3,2,5,Parlament,Parlament,PROPN,PRODUCT_B
text3,2,6,vorgeschlagenen,vorgeschlagenen,NOUN,
text3,2,7,Verbesserungen,Verbesserungen,PROPN,ORG_B
