doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Kurz,Kurz,PROPN,PERSON_B
text1,1,2,war,war,PROPN,
text1,1,3,sie,sie,PROPN,
text1,1,4,da,da,PROPN,
text1,1,5,",",",",PUNCT,
text1,1,6,die,die,VERB,
text1,1,7,Hoffnung,Hoffnung,PROPN,GPE_B
text1,1,8,.,.,PUNCT,
text1,2,1,Doch,Doch,PROPN,PERSON_B
text1,2,2,sie,sie,PROPN,
text1,2,3,verging,verging,PROPN,
text1,2,4,genauso,genauso,PROPN,ORG_B
text1,2,5,schnell,schnell,NOUN,
text1,2,6,wie,wie,PROPN,
text1,2,7,sich,sich,PROPN,
text1,2,8,die,die,VERB,
text1,2,9,vermeintliche,vermeintliche,PROPN,
text1,2,10,Löwin,Löwin,PROPN,PERSON_B
text1,2,11,von,von,PROPN,PERSON_I
text1,2,12,Kleinmachnow,Kleinmachnow,PROPN,PERSON_I
text1,2,13,als,al,NOUN,
text1,2,14,heimisches,heimische,VERB,
text1,2,15,Wildschwein,Wildschwein,PROPN,GPE_B
text1,2,16,entzauberte,entzauberte,NOUN,
text1,2,17,.,.,PUNCT,
text1,3,1,Es,es,INTJ,
text1,3,2,war,war,NOUN,
text1,3,3,die,die,VERB,
text1,3,4,Hoffnung,Hoffnung,PROPN,GPE_B
text1,3,5,aufs,aufs,NOUN,
text1,3,6,Sommerloch,Sommerloch,PROPN,
text1,3,7,.,.,PUNCT,
text1,4,1,Denn,Denn,PROPN,
text1,4,2,sobald,sobald,NOUN,
text1,4,3,die,die,VERB,
text1,4,4,Tage,Tage,PROPN,
text1,4,5,warm,warm,ADJ,
text1,4,6,werden,werden,NOUN,
text1,4,7,",",",",PUNCT,
text1,4,8,hört,hört,PROPN,
text1,4,9,man,man,NOUN,
text1,4,10,Kolleg,Kolleg,PROPN,PERSON_B
text1,4,11,:,:,PUNCT,
text1,4,12,innen,innen,NOUN,
text1,4,13,verlässlich,verlässlich,PROPN,
text1,4,14,sagen,sagen,PROPN,
text1,4,15,:,:,PUNCT,
text1,4,16,„,„,PUNCT,
text1,4,17,Wenn,Wenn,PROPN,
text1,4,18,dann,dann,NOUN,
text1,4,19,Sommerpause,sommerpause,NOUN,
text1,4,20,ist,ist,NOUN,
text1,4,21,",",",",PUNCT,
text1,4,22,schaue,schaue,VERB,ORG_B
text1,4,23,ich,ich,PROPN,
text1,4,24,mir,mir,PROPN,PERSON_B
text1,4,25,das,das,PROPN,PERSON_I
text1,4,26,endlich,endlich,PROPN,
text1,4,27,mal,mal,PROPN,
text1,4,28,genauer,genauer,PROPN,
text1,4,29,an,an,PROPN,
text1,4,30,.,.,PUNCT,
text1,4,31,“,"""",PUNCT,
text3,1,1,Denn,denn,NOUN,
text3,1,2,dann,dann,NOUN,
text3,1,3,verringert,verringert,VERB,
text3,1,4,sich,sich,PROPN,
text3,1,5,das,das,PROPN,
text3,1,6,Tempo,Tempo,PROPN,
text3,1,7,",",",",PUNCT,
text3,1,8,die,die,VERB,
text3,1,9,Parlamente,Parlamente,PROPN,
text3,1,10,tagen,tagen,NOUN,
text3,1,11,nicht,nicht,NOUN,
text3,1,12,mehr,mehr,NOUN,
text3,1,13,regulär,regulär,PROPN,
text3,1,14,",",",",PUNCT,
text3,1,15,die,die,VERB,
text3,1,16,Taktung,Taktung,PROPN,PERSON_B
text3,1,17,der,der,NOUN,PERSON_I
text3,1,18,politischen,politischen,PROPN,
text3,1,19,Ereignisse,Ereignisse,PROPN,GPE_B
text3,1,20,nimmt,nimmt,PROPN,
text3,1,21,ab,ab,PROPN,
text3,1,22,",",",",PUNCT,
text3,1,23,in,in,ADP,
text3,1,24,den,den,NOUN,
text3,1,25,Zeitungen,Zeitungen,PROPN,PERSON_B
text3,1,26,der,der,NOUN,
text3,1,27,Welt,Welt,PROPN,
text3,1,28,ist,ist,NOUN,
text3,1,29,Platz,Platz,PROPN,PERSON_B
text3,1,30,frei,frei,ADJ,
text3,1,31,für,für,NOUN,
text3,1,32,tierische,tierische,PROPN,
text3,1,33,Geschichten,Geschichten,PROPN,PERSON_B
text3,1,34,.,.,PUNCT,
text3,2,1,Da,Da,PROPN,PERSON_B
text3,2,2,Löwinnen,Löwinnen,PROPN,PERSON_I
text3,2,3,und,und,VERB,
text3,2,4,Kaimane,Kaimane,PROPN,PERSON_B
text3,2,5,nicht,nicht,NOUN,
text3,2,6,in,in,ADP,
text3,2,7,unser,unser,NOUN,
text3,2,8,Kernthema,Kernthema,PROPN,PERSON_B
text3,2,9,fallen,fall,VERB,
text3,2,10,",",",",PUNCT,
text3,2,11,heißt,heißt,NOUN,
text3,2,12,das,das,PROPN,
text3,2,13,:,:,PUNCT,
text3,3,1,Zeit,Zeit,PROPN,
text3,3,2,für,für,NOUN,
text3,3,3,lange,lange,NOUN,
text3,3,4,immer,immer,NOUN,
text3,3,5,wieder,wieder,NOUN,
text3,3,6,weitergetragene,weitergetragene,NOUN,
text3,3,7,Todos,Todos,PROPN,GPE_B
text3,3,8,.,.,PUNCT,
text5,1,1,Doch,Doch,PROPN,
text5,1,2,dazu,dazu,NOUN,
text5,1,3,kam,kam,PROPN,
text5,1,4,es,es,PROPN,
text5,1,5,nicht,nicht,PROPN,
text5,1,6,.,.,PUNCT,
text5,2,1,Die,die,VERB,
text5,2,2,Diskussionen,Diskussionen,PROPN,
text5,2,3,um,um,INTJ,
text5,2,4,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text5,2,5,gingen,gingen,NOUN,
text5,2,6,weiter,weiter,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,wir,wir,PROPN,
text5,2,9,begannen,begannen,PROPN,
text5,2,10,die,die,PROPN,
text5,2,11,Suche,Suche,PROPN,PERSON_B
text5,2,12,nach,nach,PROPN,
text5,2,13,einem,einem,PROPN,
text5,2,14,neuen,neuen,PROPN,
text5,2,15,Büro,Büro,PROPN,ORG_B
text5,2,16,",",",",PUNCT,
text5,2,17,wir,wir,NOUN,
text5,2,18,führten,führten,NOUN,
text5,2,19,Gespräche,Gespräche,PROPN,PERSON_B
text5,2,20,",",",",PUNCT,
text5,2,21,um,um,INTJ,
text5,2,22,unsere,unsere,NOUN,
text5,2,23,erste,erste,NOUN,
text5,2,24,Freiwilligendienstlerin,Freiwilligendienstlerin,PROPN,GPE_B
text5,2,25,zu,zu,NOUN,
text5,2,26,finden,finden,NOUN,
text5,2,27,.,.,PUNCT,
text7,1,1,Dazu,dazu,NOUN,
text7,1,2,ging,ging,NOUN,
text7,1,3,die,die,VERB,
text7,1,4,Debatte,Debatte,PROPN,ORG_B
text7,1,5,um,um,INTJ,ORG_I
text7,1,6,Staatstrojaner,Staatstrojaner,PROPN,ORG_I
text7,1,7,weiter,weiter,PROPN,
text7,1,8,",",",",PUNCT,
text7,1,9,als,als,PROPN,
text7,1,10,wäre,wäre,PROPN,
text7,1,11,nichts,nichts,PROPN,
text7,1,12,gewesen,gewesen,PROPN,
text7,1,13,",",",",PUNCT,
text7,1,14,einige,einige,PROPN,
text7,1,15,neue,neue,NOUN,
text7,1,16,Regeln,Regeln,PROPN,ORG_B
text7,1,17,aus,aus,PROPN,ORG_I
text7,1,18,dem,dem,PROPN,ORG_I
text7,1,19,Digital,Digital,PROPN,ORG_B
text7,1,20,Services,Services,PROPN,ORG_I
text7,1,21,Act,Act,PROPN,ORG_I
text7,1,22,wurden,wurden,VERB,
text7,1,23,wirksam,wirksam,NOUN,
text7,1,24,.,.,PUNCT,
text7,2,1,Also,also,ADV,
text7,2,2,kaum,kaum,VERB,
text7,2,3,Zeit,Zeit,PROPN,
text7,2,4,zum,zum,NOUN,PERSON_B
text7,2,5,Luftholen,Luftholen,PROPN,PERSON_I
text7,2,6,und,und,PROPN,
text7,2,7,kaum,kaum,PROPN,
text7,2,8,Gelegenheit,Gelegenheit,PROPN,ORG_B
text7,2,9,",",",",PUNCT,
text7,2,10,den,den,VERB,
text7,2,11,Rückstau,Rückstau,PROPN,PRODUCT_B
text7,2,12,der,der,NOUN,
text7,2,13,interessanten,interessanten,VERB,
text7,2,14,Recherchefragen,Recherchefragen,PROPN,ORG_B
text7,2,15,auch,auch,NOUN,
text7,2,16,nur,nur,NOUN,
text7,2,17,annähernd,annähernd,PROPN,
text7,2,18,aufzulösen,aufzulösen,PROPN,
text7,2,19,.,.,PUNCT,
text9,1,1,Was,be,AUX,
text9,1,2,lernen,lernen,NOUN,
text9,1,3,wir,wir,NOUN,
text9,1,4,daraus,darau,NOUN,
text9,1,5,?,?,PUNCT,
text9,2,1,Aufs,Aufs,PROPN,PERSON_B
text9,2,2,Sommerloch,Sommerloch,PROPN,PERSON_I
text9,2,3,können,können,NOUN,
text9,2,4,wir,wir,PROPN,
text9,2,5,uns,uns,PROPN,
text9,2,6,genauso,genauso,PROPN,ORG_B
text9,2,7,wenig,wenig,PROPN,
text9,2,8,verlassen,verlassen,PROPN,
text9,2,9,wie,wie,PROPN,
text9,2,10,auf,auf,PROPN,
text9,2,11,das,das,PROPN,PERSON_B
text9,2,12,strahlenden,strahlenden,VERB,PERSON_I
text9,2,13,Wetter,Wetter,PROPN,PERSON_I
text9,2,14,an,an,DET,
text9,2,15,einem,einem,PROPN,
text9,2,16,ersehnten,ersehnten,NOUN,
text9,2,17,langen,langen,PROPN,
text9,2,18,Wochenende,Wochenende,PROPN,
text9,2,19,.,.,PUNCT,
text9,3,1,Wir,Wir,PROPN,
text9,3,2,müssen,müssen,PROPN,
text9,3,3,uns,uns,PROPN,
text9,3,4,die,die,VERB,
text9,3,5,Räume,Räume,PROPN,PERSON_B
text9,3,6,für,für,NOUN,
text9,3,7,den,den,VERB,
text9,3,8,ausgeruhten,ausgeruhten,VERB,
text9,3,9,Blick,Blick,PROPN,ORG_B
text9,3,10,auf,auf,PROPN,
text9,3,11,das,das,PROPN,PRODUCT_B
text9,3,12,",",",",PUNCT,
text9,3,13,was,be,AUX,
text9,3,14,nicht,nicht,NOUN,
text9,3,15,direkt,direkt,NOUN,
text9,3,16,zu,zu,PROPN,
text9,3,17,drängen,drängen,PROPN,
text9,3,18,scheint,scheint,NOUN,
