doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,in,in,ADP,
text3,1,2,dieser,dieser,PROPN,ORG_B
text3,1,3,Woche,Woche,PROPN,ORG_I
text3,1,4,fand,fand,NOUN,
text3,1,5,in,in,ADP,
text3,1,6,Berlin,Berlin,PROPN,GPE_B
text3,1,7,die,die,VERB,
text3,1,8,re,re,PROPN,
text3,1,9,:,:,PUNCT,
text3,1,10,publica,publica,PROPN,PERSON_B
text3,1,11,statt,statt,PROPN,PERSON_I
text3,1,12,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,dem,dem,ADJ,NORP_B
text3,2,3,dichten,dichten,VERB,
text3,2,4,Programm,Programm,PROPN,PERSON_B
text3,2,5,einen,einen,NOUN,
text3,2,6,roten,roten,NOUN,
text3,2,7,Faden,Faden,PROPN,ORG_B
text3,2,8,zu,zu,NOUN,
text3,2,9,entdecken,entdecken,VERB,
text3,2,10,ist,ist,ADJ,
text3,2,11,nicht,nicht,PROPN,
text3,2,12,leicht,leicht,PROPN,
text3,2,13,.,.,PUNCT,
text3,3,1,Zwar,zwar,ADJ,
text3,3,2,war,war,NOUN,
text3,3,3,die,die,VERB,
text3,3,4,re,re,NOUN,
text3,3,5,:,:,PUNCT,
text3,3,6,publica,publica,PROPN,
text3,3,7,in,in,ADP,
text3,3,8,diesem,diesem,PROPN,
text3,3,9,Jahr,Jahr,PROPN,PERSON_B
text3,3,10,mit,mit,VERB,
text3,3,11,dem,dem,ADJ,
text3,3,12,Motto,Motto,PROPN,
text3,3,13,„,„,PUNCT,
text3,3,14,Cash,cash,NOUN,
text3,3,15,“,"""",PUNCT,
text3,3,16,überschrieben,überschrieben,NOUN,
text3,3,17,.,.,PUNCT,
text3,4,1,Letztlich,Letztlich,PROPN,
text3,4,2,war,war,NOUN,
text3,4,3,dies,die,VERB,
text3,4,4,aber,aber,PROPN,
text3,4,5,nur,nur,VERB,
text3,4,6,ein,ein,PROPN,
text3,4,7,Thema,Thema,PROPN,ORG_B
text3,4,8,unter,unter,NOUN,
text3,4,9,vielen,vielen,NOUN,
text3,4,10,.,.,PUNCT,
text5,1,1,Das,Das,PROPN,
text5,1,2,hat,hat,PROPN,
text5,1,3,auch,auch,NOUN,
text5,1,4,was,be,AUX,
text5,1,5,mit,mit,VERB,
text5,1,6,der,der,ADJ,
text5,1,7,schieren,schieren,PROPN,
text5,1,8,Größe,Größe,PROPN,ORG_B
text5,1,9,des,des,PROPN,ORG_I
text5,1,10,Events,Events,PROPN,ORG_I
text5,1,11,zu,zu,NOUN,
text5,1,12,tun,tun,NOUN,
text5,1,13,.,.,PUNCT,
text5,2,1,Einst,einst,NOUN,
text5,2,2,als,al,NOUN,
text5,2,3,Bloggerkonferenz,Bloggerkonferenz,PROPN,ORG_B
text5,2,4,gestartet,gestartet,PROPN,
text5,2,5,",",",",PUNCT,
text5,2,6,ist,ist,ADJ,
text5,2,7,die,die,VERB,
text5,2,8,re,re,NOUN,
text5,2,9,:,:,PUNCT,
text5,2,10,publica,publica,PROPN,PERSON_B
text5,2,11,längst,längst,PROPN,PERSON_I
text5,2,12,zum,zum,PROPN,PERSON_I
text5,2,13,großen,großen,NOUN,
text5,2,14,Schmelztiegel,Schmelztiegel,PROPN,GPE_B
text5,2,15,all,all,DET,
text5,2,16,derer,derer,NOUN,
text5,2,17,geworden,geworden,NOUN,
text5,2,18,",",",",PUNCT,
text5,2,19,die,die,VERB,
text5,2,20,sich,sich,PRON,
text5,2,21,mit,mit,VERB,
text5,2,22,dem,dem,ADJ,
text5,2,23,Querschnittthema,Querschnittthema,PROPN,PERSON_B
text5,2,24,Digitalisierung,Digitalisierung,PROPN,PERSON_I
text5,2,25,beschäftigen,beschäftigen,NOUN,
text5,2,26,.,.,PUNCT,
text7,1,1,Die,die,VERB,PERSON_B
text7,1,2,Spannweite,Spannweite,PROPN,PERSON_I
text7,1,3,empfand,empfand,ADJ,
text7,1,4,ich,ich,NOUN,
text7,1,5,in,in,ADP,
text7,1,6,diesem,diesem,PROPN,
text7,1,7,Jahr,Jahr,PROPN,PERSON_B
text7,1,8,als,al,VERB,
text7,1,9,besonders,besonder,NOUN,
text7,1,10,groß,groß,NOUN,
text7,1,11,:,:,PUNCT,
text7,1,12,Auf,Auf,PROPN,
text7,1,13,der,der,NOUN,
text7,1,14,einen,einen,NOUN,
text7,1,15,Seite,Seite,PROPN,ORG_B
text7,1,16,Schufa,Schufa,PROPN,ORG_I
text7,1,17,",",",",PUNCT,
text7,1,18,Gema,Gema,PROPN,PERSON_B
text7,1,19,",",",",PUNCT,
text7,1,20,Fintech,Fintech,PROPN,NORP_B
text7,1,21,-,-,PUNCT,
text7,1,22,Unternehmen,Unternehmen,PROPN,
text7,1,23,sowie,sowie,ADJ,
text7,1,24,etliche,etliche,NOUN,
text7,1,25,Bundesministerien,Bundesministerien,PROPN,PERSON_B
text7,1,26,",",",",PUNCT,
text7,1,27,auf,auf,PROPN,ORG_B
text7,1,28,der,der,PROPN,
text7,1,29,anderen,anderen,PROPN,
text7,1,30,Verbraucherzentrale,Verbraucherzentrale,PROPN,ORG_B
text7,1,31,",",",",PUNCT,
text7,1,32,GLS,GLS,PROPN,ORG_B
text7,1,33,Bank,Bank,PROPN,ORG_I
text7,1,34,",",",",PUNCT,
text7,1,35,Bürgerrechtler,Bürgerrechtler,PROPN,ORG_B
