doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Staaten,Staaten,PROPN,ORG_I
text1,1,5,finden,finden,NOUN,
text1,1,6,keine,keine,NOUN,
text1,1,7,gemeinsame,gemeinsame,PROPN,
text1,1,8,Position,Position,PROPN,ORG_B
text1,1,9,zur,zur,PROPN,PERSON_B
text1,1,10,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text1,1,11,.,.,PUNCT,
text1,2,1,Seit,Seit,PROPN,PERSON_B
text1,2,2,anderthalb,anderthalb,VERB,
text1,2,3,Jahren,Jahren,PROPN,PERSON_B
text1,2,4,verhandeln,verhandeln,NOUN,
text1,2,5,sie,sie,PROPN,
text1,2,6,den,den,VERB,
text1,2,7,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text1,2,8,der,der,PROPN,
text1,2,9,EU,EU,PROPN,ORG_B
text1,2,10,-,-,PUNCT,ORG_I
text1,2,11,Kommission,Kommission,PROPN,ORG_I
text1,2,12,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,EU,EU,PROPN,ORG_B
text1,3,3,-,-,PUNCT,ORG_I
text1,3,4,Parlament,Parlament,PROPN,ORG_I
text1,3,5,hat,hat,NOUN,
text1,3,6,sich,sich,PROPN,
text1,3,7,auf,auf,PROPN,
text1,3,8,eine,eine,NOUN,
text1,3,9,abgeschwächte,abgeschwächte,NOUN,
text1,3,10,Form,Form,PROPN,
text1,3,11,geeinigt,geeinigt,PROPN,
text1,3,12,.,.,PUNCT,
text1,4,1,Um,um,INTJ,
text1,4,2,das,das,PROPN,PRODUCT_B
text1,4,3,Gesetz,Gesetz,PROPN,PRODUCT_I
text1,4,4,noch,noch,ADV,
text1,4,5,vor,vor,VERB,
text1,4,6,der,der,NOUN,
text1,4,7,Europawahl,Europawahl,PROPN,PERSON_B
text1,4,8,i,I,PRON,
text1,4,9,m,m,VERB,
text1,4,10,Juni,Juni,PROPN,
text1,4,11,zu,zu,ADJ,
text1,4,12,beschließen,beschließen,NOUN,
text1,4,13,",",",",PUNCT,
text1,4,14,müssen,müssen,PROPN,PERSON_B
text1,4,15,die,die,VERB,
text1,4,16,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,4,17,zwischen,zwischen,ADP,ORG_I
text1,4,18,Parlament,Parlament,PROPN,ORG_I
text1,4,19,und,und,NOUN,
text1,4,20,Rat,Rat,PROPN,
text1,4,21,bald,bald,ADJ,
text1,4,22,starten,starten,NOUN,
text1,4,23,.,.,PUNCT,
text1,5,1,Doch,Doch,PROPN,
text1,5,2,die,die,VERB,
text1,5,3,Staaten,Staaten,PROPN,PRODUCT_B
text1,5,4,sind,sind,NOUN,
text1,5,5,sich,sich,NOUN,
text1,5,6,uneinig,uneinig,NOUN,
text1,5,7,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,geplante,geplante,NOUN,
text3,1,3,Gesetz,Gesetz,PROPN,ORG_B
text3,1,4,soll,soll,PROPN,
text3,1,5,Internetdienste,Internetdienste,PROPN,
text3,1,6,verpflichten,verpflichten,PROPN,
text3,1,7,",",",",PUNCT,
text3,1,8,die,die,VERB,
text3,1,9,Inhalte,Inhalte,PROPN,NORP_B
text3,1,10,ihrer,ihrer,NOUN,
text3,1,11,Nutzer,Nutzer,PROPN,ORG_B
text3,1,12,:,:,PUNCT,
text3,1,13,innen,innen,NOUN,
text3,1,14,zu,zu,NOUN,
text3,1,15,durchsuchen,durchsuchen,NOUN,
text3,1,16,und,und,VERB,
text3,1,17,strafbare,strafbare,ADJ,
text3,1,18,Kinderpornografie,Kinderpornografie,PROPN,PERSON_B
text3,1,19,an,an,DET,
text3,1,20,ein,ein,NOUN,
text3,1,21,EU,EU,PROPN,ORG_B
text3,1,22,-,-,PUNCT,
text3,1,23,Zentrum,Zentrum,PROPN,
text3,1,24,weiterzuleiten,weiterzuleiten,NOUN,
text3,1,25,.,.,PUNCT,
text3,2,1,Doch,Doch,PROPN,PERSON_B
text3,2,2,der,der,NOUN,
text3,2,3,Juristische,Juristische,PROPN,PERSON_B
text3,2,4,Dienst,Dienst,PROPN,PERSON_I
text3,2,5,der,der,PROPN,
text3,2,6,EU,EU,PROPN,ORG_B
text3,2,7,-,-,PUNCT,
text3,2,8,Staaten,Staaten,PROPN,
text3,2,9,kritisiert,kritisiert,NOUN,
text3,2,10,:,:,PUNCT,
text3,2,11,Private,private,ADJ,
text3,2,12,Daten,Daten,PROPN,
text3,2,13,massenhaft,massenhaft,NOUN,
text3,2,14,und,und,PROPN,
text3,2,15,anlasslos,anlasslos,PROPN,PERSON_B
text3,2,16,mitzulesen,mitzulesen,PROPN,PERSON_I
text3,2,17,ist,ist,VERB,
text3,2,18,illegal,illegal,ADJ,
text3,2,19,und,und,PROPN,
text3,2,20,wird,wird,NOUN,
text3,2,21,vor,vor,VERB,
text3,2,22,Gericht,Gericht,PROPN,PERSON_B
text3,2,23,scheitern,scheitern,NOUN,
text3,2,24,.,.,PUNCT,
text3,3,1,Trotzdem,Trotzdem,PROPN,GPE_B
text3,3,2,halten,halten,PROPN,
text3,3,3,EU,EU,PROPN,ORG_B
text3,3,4,-,-,PUNCT,ORG_I
text3,3,5,Kommission,Kommission,PROPN,ORG_I
text3,3,6,und,und,PROPN,
text3,3,7,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,3,8,daran,daran,NOUN,
text3,3,9,fest,f,ADJ,
text3,3,10,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Anlasslos,Anlasslos,PROPN,
text5,1,4,und,und,PROPN,
text5,1,5,massenhaft,massenhaft,NOUN,ORG_B
text7,1,1,Unter,Unter,PROPN,
text7,1,2,den,den,VERB,
text7,1,3,EU,EU,PROPN,ORG_B
text7,1,4,-,-,PUNCT,
text7,1,5,Staaten,Staaten,PROPN,
text7,1,6,gehen,gehen,NOUN,
text7,1,7,die,die,VERB,
text7,1,8,Meinungen,Meinungen,PROPN,ORG_B
text7,1,9,stark,stark,ADJ,
text7,1,10,auseinander,auseinander,NOUN,
text7,1,11,.,.,PUNCT,
text7,2,1,Viele,Viele,PROPN,
text7,2,2,Staaten,Staaten,PROPN,
text7,2,3,befürworten,befürworten,NOUN,
text7,2,4,die,die,VERB,
text7,2,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,2,6,",",",",PUNCT,
text7,2,7,andere,andere,VERB,
text7,2,8,lehnen,lehnen,PROPN,PERSON_B
text7,2,9,sie,sie,PROPN,PERSON_I
text7,2,10,ab,ab,PROPN,
text7,2,11,.,.,PUNCT,
text7,3,1,Schon,schon,NOUN,
text7,3,2,24,24,NUM,CARDINAL_B
text7,4,1,Mal,Mal,PROPN,PERSON_B
text7,4,2,haben,haben,NOUN,
text7,4,3,die,die,VERB,
text7,4,4,Regierungen,Regierungen,PROPN,PERSON_B
text7,4,5,in,in,ADP,
text7,4,6,der,der,PROPN,
text7,4,7,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text7,4,8,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text7,4,9,verhandelt,verhandelt,ADV,
text7,4,10,.,.,PUNCT,
text7,5,1,Doch,Doch,PROPN,
text7,5,2,die,die,VERB,
text7,5,3,spanische,spanische,NOUN,
text7,5,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text7,5,5,erkennt,erkennt,NOUN,
text7,5,6,an,an,PRON,
text7,5,7,",",",",PUNCT,
text7,5,8,dass,dass,NOUN,
text7,5,9,die,die,VERB,
text7,5,10,EU,EU,PROPN,ORG_B
text7,5,11,-,-,PUNCT,
text7,5,12,Staaten,Staaten,PROPN,
text7,5,13,ihren,ihren,NOUN,
text7,5,14,aktuellen,aktuellen,NOUN,
text7,5,15,Gesetzvorschlag,Gesetzvorschlag,PROPN,ORG_B
text7,5,16,„,„,PUNCT,
text7,5,17,nicht,nicht,NOUN,
text7,5,18,in,in,ADP,
text7,5,19,ausreichendem,ausreichendem,ADJ,
text7,5,20,Maße,Maße,PROPN,PERSON_B
text7,5,21,unterstützen,unterstützen,NOUN,
text7,5,22,“,"""",PUNCT,
text7,5,23,.,.,PUNCT,
text9,1,1,Insbesondere,insbesondere,ADV,
text9,1,2,zur,zur,NOUN,
text9,1,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text9,1,4,haben,haben,NOUN,
text9,1,5,einige,einige,NOUN,
text9,1,6,Staaten,Staaten,PROPN,PRODUCT_B
text9,1,7,„,„,PUNCT,
text9,1,8,Bedenken,Bedenken,PROPN,PRODUCT_B
text9,1,9,hinsichtlich,hinsichtlich,NOUN,
text9,1,10,der,der,PROPN,
text9,1,11,Verhältnismäßigkeit,Verhältnismäßigkeit,PROPN,ORG_B
text9,1,12,“,"""",PUNCT,
text9,1,13,.,.,PUNCT,
text9,2,1,Das,Das,PROPN,
text9,2,2,EU,EU,PROPN,ORG_B
text9,2,3,-,-,PUNCT,ORG_I
text9,2,4,Parlament,Parlament,PROPN,ORG_I
text9,2,5,teilt,teilt,VERB,
text9,2,6,diese,diese,VERB,NORP_B
text9,2,7,Bedenken,Bedenken,PROPN,PRODUCT_B
text9,2,8,und,und,PROPN,
text9,2,9,fordert,fordert,PROPN,
text9,2,10,",",",",PUNCT,
text9,2,11,die,die,VERB,
text9,2,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text9,2,13,auf,auf,PROPN,
text9,2,14,unverschlüsselte,unverschlüsselte,ADJ,
text9,2,15,Inhalte,Inhalte,PROPN,PERSON_B
text9,2,16,von,von,PROPN,PERSON_I
text9,2,17,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text9,2,18,zu,zu,PROPN,PERSON_I
text9,2,19,beschränken,beschränken,PROPN,PERSON_I
text9,2,20,.,.,PUNCT,
text11,1,1,Doch,Doch,PROPN,PERSON_B
text11,1,2,Spanien,Spanien,PROPN,PERSON_I
text11,1,3,ist,ist,ADJ,
text11,1,4,nicht,nicht,PROPN,
text11,1,5,bereit,bereit,NOUN,
text11,1,6,",",",",PUNCT,
text11,1,7,unverdächtige,unverdächtige,PROPN,
text11,1,8,Personen,Personen,PROPN,ORG_B
text11,1,9,",",",",PUNCT,
text11,1,10,verschlüsselte,verschlüsselte,NOUN,
text11,1,11,Inhalte,Inhalte,PROPN,NORP_B
text11,1,12,oder,oder,NOUN,
text11,1,13,Audiokommunikation,Audiokommunikation,PROPN,PRODUCT_B
text11,1,14,von,von,PROPN,PRODUCT_I
text11,1,15,der,der,NOUN,
text11,1,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,1,17,auszunehmen,auszunehman,NOUN,
text11,1,18,.,.,PUNCT,
text11,2,1,Stattdessen,Stattdessen,PROPN,
text11,2,2,schlägt,schlägt,PROPN,
text11,2,3,die,die,VERB,
