doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Aus,Aus,PROPN,ORG_B
text1,1,2,Dokumenten,Dokumenten,PROPN,ORG_I
text1,1,3,der,der,PROPN,
text1,1,4,belgischen,belgischen,NOUN,
text1,1,5,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text1,1,6,geht,geht,NOUN,ORG_I
text1,1,7,hervor,hervor,NOUN,
text1,1,8,",",",",PUNCT,
text1,1,9,dass,dass,NOUN,
text1,1,10,sichere,sichere,NOUN,
text1,1,11,und,und,VERB,
text1,1,12,die,die,ADJ,
text1,1,13,Privatsphäre,Privatsphäre,PROPN,
text1,1,14,schützende,schützende,NOUN,
text1,1,15,Dienste,Dienste,PROPN,PERSON_B
text1,1,16,besonders,besonder,NOUN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Visier,visier,ADJ,PERSON_B
text1,2,4,der,der,NOUN,PERSON_I
text1,2,5,geplanten,geplanten,VERB,
text1,2,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,7,stehen,stehen,ADP,
text1,2,8,sollen,sollen,NOUN,
text1,2,9,.,.,PUNCT,
text1,3,1,Nach,Nach,PROPN,
text1,3,2,dem,dem,ADJ,
text1,3,3,Motto,Motto,PROPN,
text1,3,4,„,„,PUNCT,
text1,3,5,Je,Je,PROPN,
text1,3,6,sicherer,sicherer,NOUN,
text1,3,7,",",",",PUNCT,
text1,3,8,desto,desto,NOUN,
text1,3,9,mehr,mehr,NOUN,
text1,3,10,Chatkontrolle,Chatkontrolle,PROPN,
text1,4,1,“,"""",PUNCT,
text1,4,2,führen,führen,NOUN,
text1,4,3,Sicherheitsfeatures,Sicherheitsfeatures,PROPN,
text1,4,4,wie,wie,NOUN,
text1,4,5,Anonymität,Anonymität,PROPN,
text1,4,6,oder,oder,NOUN,
text1,4,7,Ende,Ende,PROPN,
text1,4,8,-,-,PUNCT,
text1,4,9,zu,zu,PROPN,
text1,4,10,-,-,PUNCT,
text1,4,11,Ende,ende,ADJ,
text1,4,12,-,-,PUNCT,
text1,4,13,Verschlüsselung,Verschlüsselung,PROPN,
text1,4,14,dazu,dazu,NOUN,
text1,4,15,",",",",PUNCT,
text1,4,16,dass,dass,NOUN,
text1,4,17,eine,eine,NOUN,
text1,4,18,andere,andere,VERB,
text1,4,19,Risikobewertung,Risikobewertung,PROPN,PERSON_B
text1,4,20,vorgenommen,vorgenomman,NOUN,
text1,4,21,wird,wird,NOUN,
text1,4,22,.,.,PUNCT,
