doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,Mai,Mai,PROPN,PERSON_B
text1,1,4,2022,2022,NUM,PERSON_I
text1,1,5,hat,hat,NOUN,
text1,1,6,die,die,VERB,
text1,1,7,EU,EU,PROPN,ORG_B
text1,1,8,-,-,PUNCT,ORG_I
text1,1,9,Kommission,Kommission,PROPN,ORG_I
text1,1,10,ein,ein,NOUN,
text1,1,11,neues,neue,VERB,
text1,1,12,Gesetz,Gesetz,PROPN,ORG_B
text1,1,13,vorgeschlagen,vorgeschlagen,NOUN,
text1,1,14,:,:,PUNCT,
text1,1,15,Um,um,INTJ,
text1,1,16,sexualisierte,sexualisierte,NOUN,
text1,1,17,Gewalt,Gewalt,PROPN,PERSON_B
text1,1,18,gegen,gegen,NOUN,
text1,1,19,Kinder,Kinder,PROPN,
text1,1,20,zu,zu,PROPN,
text1,1,21,bekämpfen,bekämpfen,NOUN,
text1,1,22,",",",",PUNCT,
text1,1,23,will,will,AUX,
text1,1,24,sie,sie,VERB,
text1,1,25,private,private,ADJ,
text1,1,26,Chats,Chats,PROPN,PERSON_B
text1,1,27,und,und,VERB,
text1,1,28,Nachrichten,Nachrichten,PROPN,
text1,1,29,scannen,scannen,NOUN,
text1,1,30,.,.,PUNCT,
text1,2,1,Nicht,nicht,NOUN,ORG_B
text1,2,2,etwa,etwa,NOUN,
text1,2,3,bei,bei,VERB,
text1,2,4,Verdächtigen,Verdächtigen,PROPN,ORG_B
text1,2,5,",",",",PUNCT,
text1,2,6,sondern,sondern,ADJ,
text1,2,7,ganz,ganz,PROPN,
text1,2,8,pauschal,pauschal,NOUN,
text1,2,9,bei,bei,PROPN,
text1,2,10,allen,allen,ADJ,
text1,2,11,Menschen,Menschen,PROPN,GPE_B
text1,2,12,in,in,ADP,
text1,2,13,der,der,PROPN,
text1,2,14,EU,EU,PROPN,ORG_B
text1,2,15,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,so,so,ADV,
text1,3,3,genannte,genannte,VERB,
text1,3,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,5,.,.,PUNCT,
text1,4,1,Seitdem,Seitdem,PROPN,PERSON_B
text1,4,2,hagelt,hagelt,PROPN,
text1,4,3,es,es,PROPN,
text1,4,4,Kritik,Kritik,PROPN,PRODUCT_B
text1,4,5,:,:,PUNCT,
text1,4,6,Fachleute,Fachleute,PROPN,
text1,4,7,sprechen,sprechen,PROPN,PERSON_B
text1,4,8,von,von,PROPN,PERSON_I
text1,4,9,einer,einer,PROPN,PERSON_I
text1,4,10,„,„,PROPN,
text1,4,11,nie,nie,PROPN,
text1,4,12,dagewesenen,dagewesenen,PROPN,
text1,4,13,Überwachungsstruktur,Überwachungsstruktur,PROPN,PERSON_B
text1,4,14,“,"""",PUNCT,
text1,4,15,und,und,ADJ,
text1,4,16,einem,einem,PROPN,
text1,5,1,„,„,PUNCT,
text1,5,2,digitalen,digitalen,PROPN,
text1,5,3,Angriff,Angriff,PROPN,PERSON_B
text1,5,4,“,"""",PUNCT,
text1,5,5,auf,auf,PROPN,
text1,5,6,unsere,unsere,NOUN,
text1,5,7,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,5,8,.,.,PUNCT,
text3,1,1,Seitdem,Seitdem,PROPN,GPE_B
text3,1,2,hagelt,hagelt,PROPN,
text3,1,3,es,es,X,
text3,1,4,auch,auch,PROPN,
text3,1,5,Berichte,Berichte,PROPN,PERSON_B
text3,1,6,",",",",PUNCT,
text3,1,7,zumindest,zumind,ADJ,
text3,1,8,bei,bei,NOUN,
text3,1,9,netzpolitik.org,netzpolitik.org,X,
text3,1,10,.,.,PUNCT,
text3,2,1,Wir,wir,ADJ,
text3,2,2,haben,haben,PROPN,
text3,2,3,über,über,PROPN,
text3,2,4,die,die,PROPN,
text3,2,5,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,vergangenen,vergangenen,ADJ,
text3,3,4,Jahr,Jahr,PROPN,PERSON_B
text3,3,5,so,so,ADV,
text3,3,6,oft,oft,ADV,
text3,3,7,und,und,ADJ,
text3,3,8,viel,viel,PROPN,
text3,3,9,berichtet,berichtet,PROPN,
text3,3,10,wie,wie,PROPN,
text3,3,11,vielleicht,vielleicht,PROPN,PERSON_B
text3,3,12,über,über,PROPN,PERSON_I
text3,3,13,kein,kein,PROPN,PERSON_I
text3,3,14,anderes,anderes,PROPN,
text3,3,15,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_B
text3,3,16,.,.,PUNCT,
text3,4,1,151,151,NUM,CARDINAL_B
text3,4,2,Beiträge,Beiträge,PROPN,ORG_B
text3,4,3,haben,haben,NOUN,
text3,4,4,wir,wir,NOUN,
text3,4,5,geschrieben,geschrieben,PROPN,
text3,4,6,",",",",PUNCT,
text3,4,7,Hintergründe,Hintergründe,PROPN,
text3,4,8,zur,zur,PROPN,
text3,4,9,Lobbyarbeit,Lobbyarbeit,PROPN,GPE_B
text3,4,10,von,von,PROPN,
text3,4,11,involvierten,involvierten,VERB,
text3,4,12,KI,KI,PROPN,ORG_B
text3,4,13,-,-,PUNCT,ORG_I
text3,4,14,Firmen,firmen,NOUN,ORG_I
text3,4,15,recherchiert,recherchiert,NOUN,
text3,4,16,",",",",PUNCT,
text3,4,17,interne,interne,ADJ,
text3,4,18,Dokumente,Dokumente,PROPN,NORP_B
text3,4,19,veröffentlicht,veröffentlicht,NOUN,
text3,4,20,.,.,PUNCT,
text3,5,1,Ein,Ein,PROPN,
text3,5,2,ganzes,ganze,VERB,
text3,5,3,Team,Team,PROPN,PERSON_B
text3,5,4,von,von,PROPN,PERSON_I
text3,5,5,Kolleg,Kolleg,PROPN,PERSON_I
text3,5,6,:,:,PUNCT,
text3,5,7,innen,innen,NOUN,
text3,5,8,arbeitet,arbeitet,NOUN,PERSON_B
text3,5,9,zum,zum,NOUN,PERSON_I
text3,5,10,Thema,Thema,PROPN,PERSON_I
text3,5,11,und,und,PROPN,
text3,5,12,beobachtet,beobachtet,NOUN,
text3,5,13,täglich,täglich,NOUN,
text3,5,14,",",",",PUNCT,
text3,5,15,wie,wie,PROPN,
text3,5,16,es,es,X,
text3,5,17,mit,mit,VERB,
text3,5,18,dem,dem,INTJ,NORP_B
text3,5,19,Vorhaben,Vorhaben,PROPN,
text3,5,20,weitergeht,weitergeht,NOUN,
text3,5,21,.,.,PUNCT,
text5,1,1,Bleibt,Bleibt,PROPN,ORG_B
text5,1,2,die,die,NOUN,
text5,1,3,Frage,frage,NOUN,
text5,1,4,:,:,PUNCT,
text5,1,5,Warum,warum,NOUN,
text5,1,6,beschäftigen,beschäftigen,NOUN,
text5,1,7,wir,wir,NOUN,
text5,1,8,uns,un,VERB,
text5,1,9,so,so,ADV,
text5,1,10,intensiv,intensiv,ADV,PERSON_B
text5,1,11,mit,mit,VERB,PERSON_I
text5,1,12,einem,einem,PROPN,
text5,1,13,Gesetz,Gesetz,PROPN,ORG_B
text5,1,14,",",",",PUNCT,
text5,1,15,das,das,PROPN,PRODUCT_B
text5,1,16,ja,ja,PROPN,PRODUCT_I
text5,1,17,bisher,bisher,PROPN,
text5,1,18,nicht,nicht,PROPN,
text5,1,19,mal,mal,PROPN,
text5,1,20,verabschiedet,verabschiedet,PROPN,PERSON_B
text5,1,21,wurde,wurde,PROPN,PERSON_I
text5,1,22,?,?,PUNCT,
text5,2,1,Darüber,Darüber,PROPN,PERSON_B
text5,2,2,spricht,spricht,NOUN,
text5,2,3,Chris,Chris,PROPN,PERSON_B
text5,2,4,in,in,ADP,
